Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Head_vel_X,Head_vel_Y,Head_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,880.44159832649,626.3623840062967,878.3233962920825,628.4876643728434,950.6885981243807,854.0938333268381,888.9489400839906,1056.2714373145336,967.6877385717748,1069.040743554664,950.6586794475522,1079.6856200083491,865.5331924032491,1075.4257368724996,884.7004357623665,628.4909922782007,929.3979698459464,845.5762668587967,888.945866270619,1039.247087726083,995.3488469109149,1052.0134356619558,988.96820463652,1041.3701907475602,869.7924067590874,1047.7564397006831,957.0500845755598,326.2764190365159,1054.940676357394,202.8473279255531,1046.423295390766,302.8638938377971,929.3839352369446,370.9682864981897,950.644565444834,556.1458700006838,1018.7467056973325,707.2701860608281,929.3727357542998,358.20618740020785,940.0036097217952,539.1134194600488,995.3289778596152,683.8436021530782,11,2,trajectory,person0,34.76600913767226,23.432756481223585,9.856363878433887,20.558008794645747,25.955531628513203,20.86778313224214,17.683298178010247,17.708939798973468,17.557636713282495,3.5754811305669554,-1.9431765703441624,-106.98154589982252,-101.79812399407628,-72.21553676215024,-78.36536751285273,35.79151780789362,75.6791008586341,90.04293169208947,51.5822189598675,-83.45311600912379,-86.63760096953024,-65.74417621015033,-69.07996425169208,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.89463762078435,34.766009137672285
1,0.0336538461538461,877.906553389565,622.731755426361,876.1076019972521,625.4723498769927,947.059852283052,846.3232787363496,885.0371043361471,1049.7870190784724,965.6381889194612,1062.401230710116,947.1995590853119,1071.7316545833467,861.9498827284699,1069.9267068496501,885.2010291715623,624.7100001910734,934.9876682273853,838.0187685564182,894.1541381051096,1025.7925421895493,995.2523233449691,1037.958698981133,987.0386632600992,1026.3708383110284,876.5799474991164,1037.7993269891733,958.8768871719576,329.5303444016895,1057.6646834898456,209.5689132972241,1047.6781784905488,309.0734715648436,932.2695037560054,372.3036465654851,958.8579899063956,552.4347127330345,1034.666038735026,697.4766652158069,931.2622211142532,360.145204299083,950.137707029348,533.8655282586483,1015.4945633773183,673.3578628407479,11,2,trajectory,person0,34.774124931356646,25.463572221971205,12.413783060763397,21.100333008412868,28.64698355585218,23.93770321120896,21.870798178000857,19.16663089941657,18.691309276513177,4.142904478241265,0.1187479701469737,-106.9563001519986,-102.29387427413262,-72.18217522064195,-76.83030205216147,27.538443091324176,74.5227143919864,42.87882155586622,50.50561679651354,-81.53958239680465,-83.60648747873695,-62.37295149738808,-64.91517818316714,80.94192622141516,199.72710818679582,0.21550525089912093,201.68692484657524,-295.86849199914514,0.358072311428734,301.1274628529971,-155.93733855590284,0.3391079510129207,-102.78529076371453,-236.34640120007424,0.25772938784237975,54.282134292962716,96.68806799373013,0.11088341893971082,-107.82559071376944,-230.8964792602294,0.25483238049263457,-116.237405078778,-192.6798561572496,0.22502591252614956,-60.900903954462294,-197.2883816665761,0.20647427356231876,-106.47548747915224,-163.39974925038425,0.19502950415004278,-75.3270495543404,-107.88153494666038,0.13157731558672855,-2.8681288166720615,-417.626461373021,0.41763630996581275,56.14470783861449,57.6165021380031,0.08044805489818815,14.874775587533481,-112.34947916035556,0.11332989198081259,-65.84074476067578,-89.5979164481348,0.11118808525416471,166.09389476275487,-224.5656638421013,0.279315089557125,154.76007736772019,-399.79221022843365,0.42870093644194296,37.28795496497898,184.51316674652492,0.18824319453382957,-57.33494375650605,-445.69504382837187,0.44936774235445076,85.74260742351939,39.679270571063356,0.09447877666881285,244.05604114354483,-110.2743873815748,0.26781297901901857,473.0316102628916,-291.0074765377755,0.5553775794077288,599.2059696688929,-311.57625385210486,0.6753721611462449,0.24115501233593192,60.34423915364367,75.99188427493412,16.1147766376516,79.97457155521548,146.70488961262834,34.77412493135665
2,0.0673076923076923,875.1858240046969,619.1655465171392,873.7643872797333,622.2066801104403,943.6067260118592,838.9226297141,880.8140084168829,1043.307092927923,963.6460393991147,1056.564899207656,943.8678930892158,1065.087465734732,857.7907412358835,1064.707489011971,885.4432294633807,620.8125273569281,939.1068471394735,830.779721737613,897.933733334491,1013.3106269774684,994.7327193885395,1025.4011117134796,984.9353318176708,1013.7116558531212,881.2658000175535,1028.2886413429108,960.2792415928336,332.3501493940192,1060.0668430189096,215.6373553044642,1048.29142202277,314.76372479706987,934.5745014470373,373.0716755989742,966.7203445288718,548.1535053979451,1050.3354090519397,686.7990464793255,932.5814210476033,361.7584284830938,960.1909093222316,528.4665608589074,1035.1477833288645,662.3099172447467,11,2,trajectory,person0,34.962966182319235,27.106395511656483,14.386831426739182,21.502626946093923,30.939513587250165,27.05571533989839,26.215773869863856,20.64186429146137,19.57526533348694,4.416120842190244,1.6501890388279563,-107.0857377078094,-102.73685959659976,-72.12277152549017,-75.63046408494334,19.944664004587807,73.43002232780653,4.370161869310787,49.44449591518742,-79.51426233229508,-80.35420392228124,-58.872398040833694,-60.77893854706554,71.37845457790083,180.3194196437057,0.19393291850166203,139.23676054784553,-282.603230631808,0.31504199950386447,298.72372527425637,-160.42645987801458,0.3390759694680849,-98.99807531256737,-197.4273257874055,0.22085780014108422,41.66995993460094,83.78849120065381,0.09357829245414391,-102.60718062972767,-219.90499951827266,0.24266528867951645,-125.48627874385288,-192.54637704489872,0.22982800844565537,-59.195300033154304,-173.422421787379,0.18324688244173415,-123.58591863685427,-155.08533003389275,0.19830516603718776,-80.84453029322384,-105.96735044544997,0.13328509833721394,-15.439660419621834,-373.1397359531268,0.3734590280888151,39.1990837338302,47.93580432489318,0.06192260897157257,7.19680867117615,-115.81062135746079,0.11603402119314261,-69.62695160627129,-97.03704449183941,0.11943240931042655,122.39845910205365,-215.10310547306733,0.24748884575817678,112.3079725301908,-370.89119487326263,0.3875220756658368,18.22209352885345,169.08181032900896,0.1700608810888302,-62.498991432156814,-376.15856446352774,0.3813153413505661,68.49135996208986,22.821434137961905,0.07219338089859692,233.62425163929234,-127.21301795694556,0.2660139900300989,465.6041465597216,-317.27781388401587,0.5634291725466715,583.9813928459442,-328.28181199546356,0.6699277687014578,5.611282885745505,48.81532060779105,58.62772287470895,11.953877005379896,68.12089236153999,145.5527938532967,34.962966182319235
3,0.1009615384615384,872.3663574827996,615.6671431190252,871.3130748587417,618.5255252867838,940.3680143733192,831.9236139805162,876.36699571153,1036.486255058649,961.9596300496933,1051.687900886463,941.0926683049572,1060.0565070749633,853.156352003343,1059.474383274995,885.1724805765582,616.747391046021,940.8583570605688,823.9331154658045,899.4427480187452,1002.4921254883348,993.3536484098482,1015.2714909530296,982.3150081072563,1004.6238213226355,882.396137842427,1019.4838687913636,960.8986812968326,334.3138812267823,1061.7457099686471,220.5440433056515,1047.8184044619925,319.40327603285454,935.8834641453744,372.87551192354226,974.0543480732132,542.9038237327693,1065.3830023368284,674.6462431337135,932.942550342599,362.8597484748713,969.9514709903192,522.9162038464569,1053.7785626159612,650.4229871043954,11,2,trajectory,person0,35.33624124685804,28.131300865606057,15.375702232073074,21.5465848667283,32.55819503878899,30.227089620680836,30.708806259764017,22.040896632750293,20.111502415866955,4.161581332538709,2.308936351999258,-107.38581657354092,-103.07017934016282,-72.04957532668288,-74.93887847455682,13.499680165465849,72.5029264866542,-20.564779178279093,48.427267079728935,-77.26998389266495,-76.7882674676754,-55.229087259914635,-56.67676498243239,49.886332220775174,145.79872917813697,0.15409709787144363,33.58718108195502,-261.6275272459682,0.2637746419689957,290.02811813746024,-164.92489408424183,0.33364131938213976,-82.46382216082782,-149.49134303312945,0.17072768846095648,18.40620834739964,58.35088874496093,0.061185085789387375,-96.23600297376194,-207.97075322649218,0.2291575930794361,-132.1398061019138,-202.6763252584215,0.24194755873310408,-50.110449239951336,-144.91652154401868,0.1533357601456613,-137.70756576691642,-155.49799904156944,0.20770893426952425,-83.77843379352146,-103.95255811538507,0.13351015057900267,-40.978109081115605,-300.9944454533716,0.30377106777579477,10.730699051302771,32.724936898530984,0.034439358256832614,-8.045109779869987,-120.79262180981128,0.1210602382083327,-72.83899765232238,-109.38288618865039,0.1314158870531043,52.04486622682844,-203.44201493374027,0.2099936226195183,44.8392934749832,-321.4640442485403,0.3245761759340373,-14.055378948815521,137.86095100617223,0.1385755948560966,-77.86104739517506,-270.0385117630034,0.2810393932114347,38.894891607732085,-5.828863498548017,0.039329228861775735,217.92467674614602,-155.99054090808147,0.26800039848423374,447.12848617955393,-361.11187084104546,0.5747396509860264,553.600298816591,-353.21163845615206,0.6566823831889342,11.091601917724432,30.45433051735883,29.383589644207145,1.3061782131357624,48.0979631314394,144.55250181333707,35.33624124685804
4,0.1346153846153846,869.8179741658099,612.1677886832917,868.9358954575687,614.3927940037843,937.2467537465724,825.0965595482364,872.2672648408015,1028.7599000860591,960.9480750774798,1047.2000865336006,939.4397209084974,1055.8133256074768,848.8692087251732,1053.4775391021258,884.3318154210693,612.585264900296,940.1790247965778,817.338801847218,898.6981049765415,993.530943385857,990.8608810884792,1007.7030256670405,978.8849275942061,998.9059819570476,879.7393810955683,1011.3908498922557,960.5810683002868,335.1304774787085,1062.3203241964816,223.99468965379472,1046.161730870419,322.53454661585,936.0659022128434,371.5534834627935,980.813160642341,536.5530843251896,1079.3238037473295,660.8708808530957,932.3597513475246,363.3685534989188,979.1222480872742,517.314022915152,1070.7648621971452,637.703093124025,11,2,trajectory,person0,35.68863728813859,28.49812355315077,15.268152771569266,21.01785419854748,33.40069320715496,33.38451033046573,35.136597074146636,23.219566945699444,20.358624846872097,3.3142860649484223,2.0314349603907864,-107.7079267263738,-103.2456429453262,-72.01928943823525,-74.74751939217545,8.300358823178327,71.8517874006696,-29.92191825820485,47.519178750986946,-74.76370226886469,-73.01161582739485,-51.54413532316521,-52.65299088951845,17.074251341366388,102.53349148768378,0.10394540362865051,-78.94362904951292,-240.4782758592076,0.25310451937435696,272.50309088094866,-166.46480481591774,0.3193250159039723,-49.11615120909186,-126.08310646245185,0.13531203215093748,-9.437643325934362,24.264574342950045,0.026035335211825158,-92.74603005190416,-202.86104598773963,0.22305701080582183,-121.82057444450253,-229.5831191855277,0.25990125234970457,-30.05763346005499,-133.3521979136249,0.13669773230603938,-127.3894002656204,-178.19194113668675,0.21904434981549942,-75.72338999055094,-103.9808175189369,0.12863141997026825,-74.07080040639117,-224.89153992653254,0.23677560728117797,-17.317455853639498,15.118777857411024,0.022988512808454896,-24.979764620240434,-123.67460547297048,0.1261720915233536,-70.63618792057204,-122.80115812341388,0.14166719973374947,-20.185872987160295,-195.94531895228522,0.19698232785599465,-22.12653611119815,-266.27512533076725,0.26719286287286187,-49.22687243532706,93.04346875186626,0.10526334617113155,-101.9223923877727,-169.9015125774686,0.1981279840056897,5.421016861935451,-39.28313140510722,0.03965541371374543,200.83328776836865,-188.70768525379276,0.2755804781723424,414.2409561977473,-409.3250506240683,0.5823594825020196,504.735758983753,-377.96256398814603,0.6305663217881197,10.471196655193447,10.899874144185702,-3.1957553978274347,-15.710854140230063,25.034231288588806,143.87107683890486,35.68863728813855
5,0.1682692307692307,867.9729196031218,608.6137184677061,866.9410587000758,609.9463292302738,934.038194162607,818.3176485302955,869.2911456507595,1019.9696551779598,960.8904714244504,1042.4238618075824,939.2437815106128,1051.2965065026506,845.8770608130123,1046.2952660917554,883.1847988402254,608.484758643152,937.5890544523944,810.9116003467831,896.3917880113739,986.2544868455988,987.5038371480108,1002.2447086105677,974.815793665606,995.5002536188313,874.4352692856269,1004.0044246359931,959.4786347831367,334.7640703530775,1061.5901882851376,225.8806693563249,1043.632155928997,323.8930711963284,935.320214216634,369.2714538604413,986.953220648033,529.2976963595491,1091.6644129368483,645.8374725026184,931.241548116812,363.2210313552689,987.3938466845588,511.69291315429354,1085.3767299072888,624.3495757262358,11,2,trajectory,person0,35.65358216140465,28.232788298352094,14.246503039170213,19.824220689843795,33.486314057749425,36.39802103930224,39.181881545658456,24.10001935971252,20.441821352175673,2.0377624564695695,1.0486895654378323,-107.79675257107849,-103.2142567100369,-72.14317040967386,-74.9814684116848,4.245662123603591,71.53221753056576,-25.13820236656171,46.84255435337771,-72.06976143013202,-69.28590124191346,-47.96974207041946,-48.84407980582318,-21.69546707993831,56.04053973232554,0.060093555272650034,-157.60789378111926,-219.48235047180165,0.2702087162745631,245.78464403359843,-167.02726146551004,0.2971669519233095,-5.822199251426253,-134.2140534005554,0.13434027740901253,-32.758024509600155,-10.88752601875029,0.03451994195505736,-95.34005620925706,-201.43049881881643,0.22285415000035677,-88.43325593267784,-261.1958486978122,0.27576024392907855,-1.7116514043029323,-141.922106144539,0.1419324274541644,-88.90953796134777,-213.41611230815403,0.23119546477651104,-54.824478434158415,-105.60665783454449,0.11898945169450971,-99.75216280249066,-162.1899925351926,0.19041031395998595,-33.22661028402996,-4.383515125596467,0.033514516792326546,-34.082778402219674,-121.84361449799268,0.12652075789193748,-59.275149365503474,-132.12352469859846,0.14481080453848705,-76.95911879859263,-190.97970172720744,0.20590277423597045,-68.53056125069087,-216.2147086248159,0.22681542727744233,-75.1645125451119,40.36758753421419,0.08531849781540185,-120.91140816412043,-101.19878490700168,0.15767296119146149,-22.15758617307734,-67.80887961275083,0.07133724678843362,182.44749731199136,-215.58867097903283,0.28242798078433157,366.692387345697,-446.7069909856116,0.5779363656430575,434.18121195854894,-396.7902312485949,0.5881800850352789,-1.0416380515227002,-7.884247571160642,-30.357592048429073,-35.46796711576667,2.544162417664151,143.6753879402396,35.65358216140463
6,0.2019230769230769,867.0751599602315,605.0881922161819,865.6322429499733,605.528752948231,930.5059966679232,811.8399837496485,867.950022911069,1010.8195743453667,961.763327832351,1037.3020272662422,940.4000642671261,1046.1994406619842,844.62868788576,1038.4561828395708,882.1406985760149,604.6353251314317,933.8184970771111,804.8523503940341,893.5137439391435,980.4488497768137,984.0464047456763,998.2350358531075,970.7930655059924,993.2903996136554,868.4427530225942,997.5714715403471,957.957420054659,333.43589564484176,1059.6280205045985,226.2550557519541,1040.8217531896914,323.5361059203264,934.0947461526412,366.5398858381533,992.3923402081624,521.6624661169844,1101.9883670959352,630.4672477091376,930.061870457909,362.4120574918323,994.4414232815075,506.04932826118267,1097.042124090782,610.8030369367364,11,2,trajectory,person0,34.86127764955702,27.356540619319777,12.719985545291378,18.03893952917279,32.9139266785678,39.11376627904525,42.56831361412792,24.676961492307267,20.497212264955166,0.6413173264959742,-0.1787780462890502,-107.41599675514426,-102.92267135839266,-72.55471910558727,-75.56613073907286,1.490934918520148,71.51994258235932,-12.2868881935889,46.52929290629459,-69.36629113859544,-65.91174395228663,-44.68932964628813,-45.41453167544085,-58.30441405030273,11.124624327267654,0.05935622936282235,-178.06334038725578,-191.15060627062238,0.2612376455786842,209.41370459504552,-167.6950939667236,0.2682829555017039,34.3581161935398,-151.45567069407994,0.15530389671145528,-45.20180907476799,-39.46576275900382,0.06000624945605042,-104.95672555631874,-192.4791820535118,0.21923537525566753,-39.85050426508754,-271.888116168479,0.2747930319419073,25.9363046919029,-152.1916549426796,0.15438585341689465,-37.094509838358135,-232.93275949347924,0.23586791453140696,-26.676286531597288,-104.75849433100605,0.10810164845003663,-102.73513424079424,-119.14456193595751,0.15732111888232053,-35.05327900740437,-24.038080513544372,0.04250366671178591,-31.024693565112983,-114.38316720540276,0.11851599280581625,-38.89052514590441,-131.2651238092703,0.13690509732945405,-112.03941915127211,-180.04628431025515,0.2120601234029719,-85.51902386056236,-172.5103586153257,0.19254435144052323,-83.50910996793296,-10.606968201201852,0.08418004052064613,-119.53249388566037,-65.66423329665271,0.1363811153677908,-36.41390818721513,-81.16659266227255,0.08896060068294395,161.61955264384252,-226.87541292192333,0.27855579833363553,306.768923584297,-456.71525100628673,0.5501781465841803,346.62885573808364,-402.52572403084224,0.5312047836163064,-23.542762637758187,-26.037073891245974,-45.35937696097103,-53.04835448850979,-17.00808212425405,144.0746616879466,34.861277649556996
7,0.235576923076923,867.0860274288881,601.8353719665118,865.1669079628582,601.5921399617605,926.5087755846008,806.1990879900429,868.2030999403177,1002.6112396725857,963.2246841262172,1032.4542627879089,942.4768784644531,1041.0702941936217,844.9841590948073,1031.1997580256166,881.4503599155028,601.2296727609653,929.531636429099,799.5899357007161,890.9671643512744,976.0372300569836,981.2671128886692,995.1330859283119,967.5372593097333,991.5736066728313,863.4992092843664,992.4911214162512,956.3631832628524,331.5541113691754,1056.803577651941,225.3897476419823,1038.2819520742378,321.9228881588523,932.9042558605544,363.9873780097186,997.0747684174645,514.3510453958064,1110.084860465765,616.0375913897454,928.9878869740768,361.0837047434601,999.9579805589984,500.53136753665706,1105.6891740950045,597.7567965729711,11,2,trajectory,person0,33.1298105273244,25.916329287036525,11.120174180319392,15.872465535731047,31.845588334685825,41.398361787002194,45.169603617721016,24.969809004525093,20.656685868905488,-0.5714853347328263,-1.184715564295593,-106.47153043590326,-102.33125319638287,-73.34171990857888,-76.41492390934636,0.6036575220866257,71.73948775596782,0.0623873814420882,46.61375608083827,-66.86215045703,-63.09090826756241,-41.89234145250485,-42.43422256901451,-83.9263019075401,-25.7120124105904,0.08777660129030927,-146.8938710787694,-150.95897511599637,0.2106333818001746,163.92055910259026,-163.96226152876085,0.23184816777825,61.71105043485537,-152.40892363134282,0.16442850649518698,-47.37160752796738,-55.91587561980099,0.07328474838677439,-118.77456933301032,-167.61518828542327,0.2054318613657579,7.520003154815378,-243.90480170549415,0.24402070146289812,43.423158446311035,-144.04785878476267,0.15045051116539407,10.562573068835,-215.61948018607364,0.21587804007250733,0.322919068651118,-96.65523027591196,0.09665576970059504,-82.58467232249994,-92.17222633678766,0.12375761556564792,-31.91265209101557,-39.4710530944892,0.05075806729841263,-20.512920198072276,-101.19652757957371,0.10325462260458805,-13.827096759988146,-116.97364302655289,0.11778803745590424,-127.38100211236284,-156.3688937443068,0.20168577200677318,-75.66979346810996,-131.0881288178111,0.15136054690857012,-75.46837600205656,-47.93561348380211,0.08940525049713946,-96.74395554598794,-51.01327595591809,0.10936977305653854,-35.37456867915198,-75.84594690205955,0.08368971125954539,139.13500964783384,-217.25364428643132,0.2579877843337511,240.5815172749419,-428.7669306333688,0.4916508387657579,256.94091441118667,-387.6597136661675,0.465079226689595,-51.4493087749121,-42.79485101641669,-47.5372519877391,-64.37522723369763,-31.744910789635814,145.0812076645467,33.12981052732438
8,0.2692307692307692,867.781410542681,599.15679554598,865.5700888154121,598.5034400826872,922.123131598546,801.863595195618,869.5639121666001,996.5094565659575,964.8582392509868,1028.603899434942,945.0054800910555,1036.6967031614238,846.492787439867,1025.6831702261188,881.0996690610102,598.4218242651552,925.1688943610416,795.5041488723468,889.2700934717257,973.0446410993924,979.493306384432,992.71705803904,965.3482927379348,990.1394036130816,860.3953603599003,989.0296596910092,954.890503206452,329.61369446045256,1053.7023866030625,223.8028703791311,1036.2504462765646,319.7748707590315,932.1270448507682,362.0583236069145,1000.9899900688637,508.05010004174653,1116.0388998318751,603.7800104083536,927.8370206417268,359.50115979937453,1003.7341605964698,495.49013017294743,1111.7707663285655,586.102074428441,11,2,trajectory,person0,30.549123530080116,24.015063746842316,9.68791552413703,13.616488044302743,30.47003046768348,43.15890700410468,47.01087324922966,25.029261832601986,21.00525247828554,-1.4006162402381108,-1.7371856130207244,-105.0525002490234,-101.44018137077806,-74.50337671894331,-77.42511762393576,2.2153975190806587,72.10485190838077,4.941613373926278,46.98339713294853,-64.73624108751456,-60.884273488672186,-39.70697925491253,-39.87902151088379,-92.1496768809614,-47.15292438186411,0.10351309688646837,-92.22865375556165,-102.85486269290422,0.13814936609749412,112.20649254200639,-149.7967673788007,0.18716134345990856,75.13559119047116,-129.9581335281698,0.1501148677968549,-43.75963596161309,-57.6581024306208,0.07238344089218791,-130.31627844277054,-128.8260716057685,0.18324434275728213,40.435563295250795,-181.31012659694954,0.18576435822193155,48.5399237074392,-114.41079677387503,0.12428175494398586,44.82781368177428,-163.92146604221395,0.1699405187379295,20.662812524132235,-79.59198506723104,0.08223038312174985,-52.70739326876229,-71.7905429955067,0.0890615032928238,-34.19717101839854,-47.02419262425627,0.05814396957230178,-10.420528247779338,-83.43321244692734,0.08408143878512593,11.980231047314785,-91.77851069246482,0.09255712269120041,-129.63576430799174,-121.40623718582864,0.177608856241289,-50.42724899230514,-88.92264331128257,0.1022259455050308,-60.36474370228247,-63.8268027375319,0.0878507998252609,-65.0435781334397,-42.6163194897028,0.07776128691868016,-23.094270005073117,-57.32047368332197,0.0617979126698275,116.33801478443421,-187.22809052063647,0.22042888096614488,176.9200268787016,-364.22526344707126,0.40492065697349766,180.71016922580807,-346.31174372317986,0.3906251260508079,-76.68327077525859,-56.4947474800564,-42.55854292656154,-67.03475974529803,-40.87371947664105,146.60822862732408,30.54912353008008
9,0.3028846153846153,868.924353689207,597.281054312149,866.8061466875473,596.4135824842813,917.7046249051728,799.0188605293578,871.4153850799947,992.98797802068,966.3275316296949,1026.111267541844,947.563432683026,1033.6193597388847,848.6028254904699,1022.4159782984923,880.9812157532905,596.3056904288733,921.0518928559578,792.7381514149491,888.5526227498158,971.4252665354433,978.6673456885763,990.9904433360468,964.1808570486752,989.0438317570975,859.1007215106412,987.1627564008908,953.619376635275,328.0277700556371,1050.8772161815405,222.11817249237788,1034.6494018170629,317.7413910906316,931.8702489135807,360.8730309111857,1004.0901282793451,503.28048965175,1120.0916519719979,594.6217571317056,926.337275963411,357.9411153760479,1005.7010948551953,491.35846855816317,1115.8769701548833,576.8346470353042,11,2,trajectory,person0,27.45480441662573,21.837380360299857,8.479070678735372,11.570115356832972,28.96940665314139,44.33572751801,48.174276270863615,24.929906453485657,21.52351208330627,-1.790388214774285,-1.8638330262186669,-103.39630301849846,-100.32079371601932,-75.94149860187275,-78.48341335571949,6.4510521553064635,72.54717999113913,0.96677204564125,47.45137687373,-63.117092490850865,-59.27854085883247,-38.18718603736518,-37.755029748635046,-83.94792109664974,-50.05959434923838,0.09774055679634544,-38.46926866370135,-55.473697763518416,0.0675071535104112,58.446046544983595,-122.76937369644598,0.1359715392078651,76.00773416141102,-91.44106169830394,0.11890602767254801,-37.770618114973956,-47.12461088594564,0.060393282274926775,-131.29277031737476,-84.52925865458982,0.15615052707661756,55.01519514086831,-104.63821963110671,0.11821940916768087,43.658973538757635,-74.0667762520552,0.08597670216302757,62.69827350362725,-97.08227442090455,0.1155683412837247,33.96173921106062,-55.73631094812279,0.06526818588214264,-24.542832105423884,-51.30512260322598,0.05687324690121952,-44.5638418699558,-46.355605721705786,0.06430224089436283,-3.5197554293870694,-62.87940542094957,0.06297783978809404,36.72857677201774,-62.098625781202614,0.0721472638123709,-122.33375900820344,-82.1896387341064,0.14737939241400108,-21.31913002246454,-48.118558471630976,0.05262984870111749,-47.57389251091136,-60.42339586102559,0.07690423925908084,-34.68951762371355,-32.55413514924456,0.04757241162986393,-7.6305078478612325,-35.22012581594027,0.03603722953428765,92.11839254001845,-141.72556587418407,0.16903234680532192,120.42463502079185,-272.1309545061121,0.2975858684821889,122.0129136963062,-275.3749853960653,0.30119517541047275,-91.94548222835907,-64.70830634297603,-35.91996112050645,-60.806502713387616,-44.58996477496499,148.48867859301188,27.454804416625706
