Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Neck_vel_X,Neck_vel_Y,Neck_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Head_vel_X,Head_vel_Y,Head_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,896.8089240368795,650.8188086572908,870.1926448632998,645.9802414033179,846.15597153362,882.8864098978171,805.2914440647389,1071.6076949567052,911.8767260336812,1100.6090596628376,902.2044050777076,1112.711164700328,785.9719060916309,1078.9006869884772,933.1040239577426,648.3976741733422,923.4439994456787,880.65486285741,921.02704594517,1064.4747039706162,993.5868469083572,1110.372118735019,964.6370598826268,1095.8878016645133,904.0670532860923,1076.5993133477925,899.2567567670364,314.6385910538823,933.1320253119795,176.76155088909638,940.3732138252092,259.0126338568121,843.5987066653933,363.0176165734963,867.7433120723999,532.3297723370432,959.5721994570404,655.6681888626862,921.0369853395468,372.70600828196297,916.2007275109277,527.4797169913377,950.0691752465406,655.7063266987968,13,2,trajectory,person0,6.4590082365274,-1.6276075866469053,-19.922991113223805,2.4595002977392832,-1.964356680894535,8.530449413959495,-1.3714500776886844,28.54443875902094,16.58071548342419,-9.773235305483553,-20.6767943744582,-102.2327356031555,-90.75379210120954,-95.77372736662812,-92.38139968785644,-2.199414040535639,89.5829569930381,-7.129810594465362,76.19643320165791,-81.88659359300244,-91.78849308465064,-53.342154833981525,-75.20777760122644,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.35668435966622,6.4590082365273815
1,0.0336538461538461,900.4674842888036,650.8122693640249,874.6122777448207,646.2144679727022,848.7785059221437,884.045364586301,805.1321286934461,1072.1022498090827,911.3371572755856,1102.0985719392402,903.6092965113446,1113.1980512287519,786.6481370045362,1078.808942991537,936.9119387783744,648.3704227571001,924.8797449900004,883.0309430322391,921.4420536965872,1064.620711817179,993.6888703242369,1110.2110595654221,966.2316810968457,1096.0638966885763,904.1859289337309,1077.2191720699504,902.295298193316,315.5182944689098,936.3624534398311,177.50204646093502,943.8813423597328,259.9042494234544,846.8836905287401,362.81599452994016,869.9228762537858,532.0036508442658,962.6795819631317,656.2856604696225,923.9174967704816,373.49490359360635,919.873048454362,527.7917214054252,953.6005374239152,656.7016252527989,13,2,trajectory,person0,6.9090711461359025,-1.8239579904738932,-19.118917047535845,2.529970524914706,-2.6118329865357324,8.071844133294498,-1.2647939275951967,28.97827154022266,16.141698294172112,-10.5834471706537,-20.220554436186426,-103.11341769568372,-91.10161960364051,-96.20434654954782,-92.9255775941144,-2.254017802236648,89.68625539242133,-7.89683345751802,76.13476393925724,-82.2419004742842,-91.49987794966724,-53.26362893406154,-75.35817965549514,90.2880880951646,26.139758617959043,0.0939958819974863,3.031552928994284,-4.785758182306572,0.005665138527945113,85.59233966206331,23.441460688832183,0.08874429946792121,-4.733942461274113,14.69534418492763,0.015439020433309242,77.92673611613526,34.437510743522445,0.08519693860652508,3.5323049584032935,18.418659172694092,0.01875431107876343,20.093718554902228,-2.726107337655854,0.020277800338795213,42.662153316984046,70.60352519492025,0.08249192139592575,104.93190469913107,29.574585604632222,0.1090200015477584,95.98986437044682,22.003296991775933,0.0984794351139621,113.14946895591677,-0.8097563683384036,0.1131523664373929,92.33365160956774,18.347727748963173,0.09413895226263728,104.24153359727096,26.49371969451413,0.10755563448728502,12.331658899251526,4.338518869292032,0.013072588006461933,109.120393747765,9.270988304314862,0.1095135222509349,41.74534545664173,14.467485416020587,0.04418124038047287,97.61094908230679,-5.991055008524587,0.09779463237245618,108.71150462859949,-0.19431042847197164,0.10871167828323054,47.383030365359524,5.232537857872502,0.04767107109179163,-16.0329002405543,44.25979335596616,0.047074230721663335,131.32623419376466,6.9598752045627075,0.13151053056838685,64.76419281832321,-9.690467213958309,0.0654851572971597,13.373297885509803,-5.834411999430507,23.89248652329942,2.093972464641136,-19.239295939052756,185.89060194196915,6.909071146135901
2,0.0673076923076923,903.935154962492,650.6080928319353,878.8648270182663,646.2971907852884,852.4163232939039,885.0390415683685,804.8550514387706,1072.4818582758428,911.7783856006448,1103.4992281739756,905.091283519405,1113.7029580927008,786.8716449520141,1078.6590338193841,940.4984126936184,648.2322222433713,926.3746083696171,884.9309723267079,921.7285469595961,1064.7885050352577,993.448629640479,1110.2621956543267,967.485866900446,1096.2526945521352,904.3821676793056,1077.669809726055,905.1701707740671,316.2571309142178,939.3604805565362,178.28489665175178,947.1620550694245,260.67791124171083,850.0984501553258,362.57436786200833,871.9709848766661,531.5280120231347,965.1443133934242,657.0360849472786,926.6248666328091,373.9750688718625,923.5519287733234,528.0233046851152,957.3118535912872,657.5119023510101,13,2,trajectory,person0,7.910557084526483,-1.9028860176107996,-18.60171855078935,3.0473604448780436,-3.190891609414092,7.603756482936828,-1.087644857275321,29.224089262932463,15.717815451472475,-11.230931646166484,-20.104671177114177,-104.27829209152686,-91.50293041736306,-96.36773500700042,-93.40581643497386,-2.2258996206999537,89.78507517444024,-8.479917280215156,76.08250323722027,-82.61116834262295,-91.14485002623177,-53.38707907969048,-75.42703457475929,85.42478525660194,21.953997232010096,0.08820074790272281,-7.138580317375532,1.519472356016188,0.007298501571440452,80.4475616234473,14.267768268181745,0.08170299494212488,-8.233152710358217,11.279794440875012,0.013964904803845733,108.09514476087332,29.526401752860618,0.1120552039012267,5.83109415421719,13.390376067109477,0.014604924863003032,6.641379010769797,-4.454443972535258,0.007996873530896264,44.41879756575613,56.458013321360426,0.07183687663994402,110.27910897334165,24.076805203991178,0.11287681083723573,89.08423432494988,23.261834241412874,0.09207124272832178,106.56951062439376,-4.106529550799053,0.10664860139577245,73.2377339286936,22.298327336068844,0.07655704456806436,97.48403480226625,22.98880831390407,0.1001579869457393,8.512942672264183,4.9858556229130375,0.009865543534635585,109.31530090628003,6.881331739362487,0.10953167459113233,44.03618538236786,15.002946814481103,0.04652175873877102,95.52428604711731,-7.179763847118449,0.09579372752801657,103.03935716102872,-6.066959810662241,0.10321781399304207,37.267235306982414,5.609993660034506,0.037687117909063095,13.1107845160453,41.61949954641989,0.04363571258866547,126.36146412523865,2.4580492882773046,0.12638536949416881,60.858084794157264,-14.133267827895759,0.06247764195540569,29.758439312177217,-2.3452899492109287,15.3681839033244,15.373871907482007,-17.206313365528366,186.15281018144066,7.910557084526445
3,0.1009615384615384,907.1275376739012,650.0311374939013,882.8932819909281,646.1625024386035,858.3036778513446,885.6111810143743,804.7304092449237,1072.6791381829962,914.0827630836665,1104.886517968766,906.9628892097332,1114.2978010062845,786.7331875886896,1078.4167564283819,943.7071688245784,647.8981258528657,928.0224734232644,885.9420031838242,921.8661271085981,1065.0064582355517,992.6087675478003,1110.6353852327882,968.2144383893242,1096.4653060605217,904.7111532217567,1077.8314769346905,907.7722706280588,316.8301282219353,941.9482949035488,179.1262223448819,950.0023943700102,261.3200794483715,853.1739463945429,362.2860536038113,873.6355188667551,530.8003569379606,966.2454918392663,658.0824324689273,929.0712998981145,373.99304349391485,927.3215376184398,528.186808635929,961.5209575497524,657.9230888243264,13,2,trajectory,person0,9.98882342361293,-1.7794269626044006,-18.574199434102656,4.265359120143912,-3.65032053489236,7.061266792648513,-0.769352080177443,29.151872443615236,15.37491484934128,-11.685301530673984,-20.560693503687904,-105.95066065187407,-91.98647566025672,-95.9618372282612,-93.76590262286112,-2.042990678681742,89.88441791203122,-8.773583440361982,76.0625466415527,-83.05431529532027,-90.66126651979668,-53.902442851705025,-75.2863516704554,77.31953851861171,17.02620571503379,0.07917198189878619,-24.95590218245022,11.089061760000437,0.02730868624553601,72.69401702621322,0.5341030552708921,0.07269597910119256,-3.7036537600186157,5.862031526845624,0.006934007845094499,174.93853542109258,17.000714967031612,0.17576266806312174,9.775570404264215,4.803825628020581,0.010892130984942926,-4.114161653071395,-7.199099618358991,0.008291764674824035,48.96513302266046,30.042059754312696,0.05744658045705182,125.07051762296581,12.218112349972872,0.1256658929378738,76.89505488266046,24.999392024437682,0.0808567812060243,95.34589646280996,-9.927435603592695,0.09586132666492966,32.72073096216266,31.091469214703444,0.04513674437337148,84.39865350312117,19.08156956934617,0.08652883340465019,4.088095856059538,6.476323665877119,0.007658674555922272,112.0112342548892,4.8584031098916,0.11211654953699686,55.61342622689465,17.675332289347352,0.05835469602553936,91.38617396530833,-8.56705224356894,0.09178685731716518,94.85937199615935,-17.143815758725655,0.09639611441481898,21.64898138380856,6.317599106340931,0.02255195010248403,68.47293092407027,41.22232533091524,0.07992385360466746,119.70266204480798,-4.002168015781451,0.11976954808898653,49.46043856264239,-21.621751102317322,0.05397995094050644,61.75419978999738,3.6684976344758624,0.8177108958331928,36.191960636471585,-13.651602357068567,185.84625514029244,9.988823423612871
4,0.1346153846153846,910.0983329458984,648.9586097971036,886.7936907201447,645.8496919572206,867.6326918763924,885.5684096602424,805.368702243098,1072.665021893086,918.6856239723048,1106.518109454657,909.5189726010254,1115.0554306107615,786.7327486974041,1078.0028042814868,946.4834551074656,647.3120992194007,929.9284677107555,885.7743567578633,921.9178951812507,1065.237050016165,990.9517806494158,1111.3341413543144,968.3893503818168,1096.6492433821659,904.9847873405607,1077.5976492973725,910.0460304435138,317.30789789733,944.0664297891911,180.0136964599245,952.2418205815388,261.8942610067752,856.0046537112534,361.9709100373646,874.6067264871908,529.8186315036544,965.3191152409144,659.5944825909312,931.2525969490756,373.5554914341033,931.3270199945553,528.3299281725781,966.5927084030634,657.6785324652966,13,2,trajectory,person0,13.52287462798654,-1.414190435132057,-19.130902474570185,6.142267744906436,-3.975323321807936,6.35190527144385,-0.2485076946879852,28.69276619183856,15.196896896075412,-12.10339445137977,-21.687737629982248,-108.24566219804214,-92.55683798354598,-94.72278757005564,-93.97102841867805,-1.6505234625746656,90.00429490312987,-8.755610792488453,76.08422776855303,-83.64379982542627,-89.99561028662364,-54.95103363358769,-74.79871339054822,67.56314880209365,14.196584640299672,0.0690385551087437,-49.23618212342685,20.763039039633988,0.0534350579699566,64.81568379998836,-13.001546920114675,0.06610683087832918,18.966420517176036,-0.4194554716211274,0.01897105822370036,277.2049881728523,-1.2709202370617974,0.27720790159402053,8.130842387318523,-6.948021223161645,0.010695120235178296,-0.013041341055952647,-12.30029236488302,0.01230029927839872,56.63525882830877,-4.9814937999809885,0.0568539165144212,150.70345392695572,-7.26681752545893,0.15087855269209863,62.93886517337366,26.370659418408216,0.06824010864201338,82.49536383436163,-17.41336282296221,0.08431316776736492,-27.526618922454002,44.929489339545846,0.05269130631911081,66.54295028542164,17.06139487828191,0.06869538141593479,1.5382513016809616,6.851870052517675,0.007022416983041646,119.02004774742944,4.2526948032886915,0.11909599984420259,75.95219219839689,22.512422533027692,0.0792183354284082,84.11244598225242,-9.364265974415769,0.08463210411160137,88.27505951077298,-31.869394419130558,0.09385171512696303,5.1973849197813955,5.465566128860532,0.0075422293198575295,136.77072354811136,48.48157558076382,0.14510924846703335,115.89785938243584,-9.294940018237273,0.11626998632223838,28.8587407215205,-29.171270047955336,0.04103400921482913,105.01180721567283,10.852742530606758,-16.542033202463678,55.77099913580061,-9.657225668348522,184.72708247318553,13.522874627986496
5,0.1682692307692307,913.0437707018681,647.3789752823194,890.7723468937538,645.4427366962987,881.430937050665,884.7499301599829,807.8754673476748,1072.3051712398665,925.1959527976809,1108.5655268527105,912.7986264821586,1115.858510811192,787.8107616526249,1077.2052192931114,948.8626261374682,646.4836933445283,932.1632277257215,884.2961141989693,921.93334433484,1065.3096169001747,988.3550131249216,1112.2161023526041,968.0587115836928,1096.6003461671805,904.7676690821868,1076.8521706921604,911.9740576160266,317.81716402353,945.8185451854107,180.917827249499,953.8625067814785,262.4834668182386,858.454666675657,361.6639001648632,874.525195856521,528.6619337232215,961.6401388752645,661.6567864257229,933.1779700213924,372.7929847884176,935.6445589595213,528.4347888272705,972.7428856553098,656.4562944281038,13,2,trajectory,person0,18.679412810560443,-0.8025332902093848,-20.197731292446974,8.318230696391915,-4.1989014121854,5.351015668142434,0.4754613840385298,27.81247739883563,15.271348641325991,-12.79506159345267,-23.410688455189938,-111.11329229214788,-93.2130095894548,-92.43387948158748,-94.01554287966422,-1.0540213802068892,90.18335853252115,-8.478894591338545,76.11501814046504,-84.46562579933641,-89.1233184636518,-56.65314840050075,-73.85196982232578,57.28995026894965,15.132479178514407,0.05925479160293196,-77.16109215639999,26.206841092038147,0.08149007708176371,57.21108557741275,-22.65734032894725,0.061534245617605364,74.48673453599689,-10.692705124234152,0.07525029943269258,410.0049994640987,-24.320533721996128,0.4107256845463628,-6.451513963113303,-22.151364269160304,0.02307173533571495,32.03238495513595,-23.699668226006963,0.03984655518281128,66.40429758756218,-43.924921749991725,0.07961739438615416,182.74812406674795,-36.317930248014434,0.18632194961253262,52.062857487666896,26.86560060450007,0.05858584833918194,70.69536774864956,-24.61548885335222,0.07485824812675158,-109.31815486502745,61.27988537666681,0.12532231778446945,48.15753279820543,17.50782982634041,0.05124131214594652,0.45906056379330185,2.156273124849613,0.0022045975574192535,128.29258638756156,3.1158594537169098,0.12833041846010343,97.45257246795694,23.86295452708157,0.10033167236413415,72.80038522799325,-9.122579068612264,0.0733697317577712,87.52157903452753,-46.937711296446885,0.09931352142807971,-9.824695715684754,-1.4529458167109943,0.009931550606631994,193.44977081117457,60.83754554216382,0.20279058354492405,118.22292630152931,-12.092384895962862,0.11883974956120086,-2.4226244541897146,-34.37044833286082,0.03445572271550683,153.2228488536248,18.174955163416584,-31.700056302624663,64.65718484414008,-6.643463256930372,182.61723801410864,18.679412810560393
6,0.2019230769230769,916.2710245045799,645.4743524857365,895.0252350444587,645.0629854386556,900.3948195013575,882.8738713408602,813.8668182965873,1071.31015070797,932.3688455084498,1110.8325237756892,916.5861745372116,1116.3258373018898,791.3809399283498,1075.7611589032235,950.9128140468423,645.5892647585716,934.7197299302425,881.5593605509824,921.8591296575952,1065.0162380157908,985.0831823841753,1112.984537979295,967.3237555765154,1095.994806789902,903.528970808244,1075.591194822391,913.5803266989152,318.5225482320629,947.4171177001103,181.8258457103325,955.0056889210751,263.14956349891247,860.4242499306804,361.4186643676974,872.9719722614814,527.4489939196699,954.3676408321547,664.1816584346649,934.8373036344644,371.9521506626582,940.1072405748928,528.4263126620903,979.829437769985,653.9944579023953,13,2,trajectory,person0,25.37241779255312,0.0448631183077043,-21.374088479913866,10.225535917175543,-4.393259777421723,3.882430454908291,1.276120009921523,26.52708700629345,15.710725404909956,-14.07608728151452,-25.339213656123068,-114.3016232008138,-93.96526348617655,-88.92920540826071,-93.92040036786888,-0.3753738033826548,90.47285940955284,-8.075243947504978,76.09807902720506,-85.64471013553887,-88.09956848617618,-59.11762312924539,-72.3888430812662,47.72913846297648,20.95998791069152,0.05212860780448981,-97.22011343931935,22.83351576453385,0.09986550905754868,49.30591307414004,-24.98478545113688,0.055274881891452236,178.02871391054455,-29.56632437635264,0.18046714524746665,563.498221392004,-55.74574776821977,0.5662489151479144,-36.807034425727075,-37.468997273150094,0.052523171456719815,106.08529733582282,-42.909223013814206,0.1144346614032618,75.96463693433404,-81.32067982589867,0.11128197981664197,210.57183426463533,-73.15171390676757,0.2229162861548492,47.500440436789134,26.981119979052323,0.05462849693166534,60.91986930711476,-26.577306554141156,0.06646490577792717,-216.09708470954502,75.02476826570579,0.2287502259524286,33.96884071944604,19.792587082881898,0.03931448388643248,-2.2052361238448035,-8.717543993116944,0.008992143216933288,132.6053965710403,-0.251863193925418,0.13260563575818082,112.54428506443159,13.886272866449069,0.11339772782020599,58.52475957783774,-7.287006544356487,0.05897667291413788,95.89554156629745,-56.594505955605435,0.11135031655389463,-21.83869278470087,-17.993170067706515,0.028296336717496765,213.13738340570504,67.362194282796,0.22352899011900818,126.37153362094222,-11.284037369966764,0.12687432367928406,-46.15292968117725,-36.04163987696291,0.0585584556078486,198.8778623220678,25.179778995936328,-34.95461357044472,56.67421227471346,-5.775219995593596,179.40206481781354,25.37241779255308
7,0.235576923076923,920.0755963158132,643.6152404399314,899.6577475612182,644.9025869217119,924.6336769732309,879.3414679317573,825.3160172666067,1069.318509609035,939.3027120131496,1112.616165890029,921.0748753548474,1115.8819796777289,799.421468605626,1073.514087115266,952.7036729281112,644.9948958068627,937.46207881445,877.8244030244557,921.5909729211686,1064.298566097782,982.2141843901472,1113.2630909480138,966.4076551011887,1094.578417015476,900.9655731214692,1074.0487312019563,914.9317838746466,319.5728039008266,949.0371129525996,182.7776272465107,955.8805334397788,263.9053102854388,861.8809368026305,361.3507274583141,869.54639430572,526.299847467299,942.7280464422696,666.9510732475848,936.2581244971602,371.3948185190452,944.3798052497204,528.3815821495003,987.4988748122848,650.3818039095914,13,2,trajectory,person0,33.19680110416558,1.0669613900599568,-21.88561764809462,11.283653561713942,-4.652627273003602,1.759134119221616,1.947975616896511,24.897892404910895,16.66053027545816,-16.04425333581869,-26.69033190360172,-117.32790689783324,-94.80497021111532,-84.13110579366769,-93.73800882105542,0.1423394954941338,90.9146184519482,-7.7185648840982175,76.0019882426667,-87.32624742883019,-87.05423276505756,-62.42835502391926,-70.39370248959938,40.15758465030377,31.20759701469319,0.05085809391215719,-85.25022610826271,8.277002499066775,0.08565109352413122,42.218677062960786,-16.56072655307133,0.04535057173743428,340.2047693948593,-59.180192654072435,0.3453137418661217,720.240336307096,-104.96284415620006,0.7278484325030297,-76.16953126416642,-45.833204721479994,0.08889589500108497,238.91856641049404,-66.77013312787913,0.24807323929348032,81.48693827359581,-110.98159507393463,0.1376845508921012,227.89184354262397,-107.3474329290292,0.25190903856294683,48.13700178825171,28.28150850358079,0.05583023073927118,53.21409247199185,-17.661248850776836,0.05606834533483903,-345.8622332994453,82.29118301247459,0.35551726150001844,25.99537998433458,22.45647594249552,0.03435190085404042,-7.968085882388936,-21.32510842083493,0.022765118971564604,126.95620748059227,-1.3291352312429767,0.12696316480900324,133.3785385811801,-13.188912260783805,0.1340290340212672,43.28440990937472,-2.0186967359603702,0.043331458292037134,113.05013381950015,-55.24218650392077,0.12582540254789912,-27.221271266852145,-42.08701044008487,0.05012298930797487,206.03489042536734,52.99965139751868,0.2127424243559606,137.65180049799852,-4.766127360613288,0.13773428821596448,-101.78860211405238,-34.146066013308705,0.10736327744866075,232.49596125934215,30.37092007492413,-15.199723854513865,31.441210009141056,-7.706919868718698,175.04572424561587,33.19680110416556
8,0.2692307692307692,924.4852221107573,642.1159076622956,904.5930128309568,645.046780216197,953.4331533272829,873.1139566270465,844.232525639088,1065.9501512022475,947.4381519176048,1112.732246623286,928.0910654719107,1113.8468332916689,814.5355397582,1070.4192988303573,954.3180581179707,644.9673014044823,940.1243661256266,873.5920686606528,921.1992692015572,1063.312250641197,981.3928393440254,1112.6423606958065,965.7373629815108,1092.3718185763137,897.615698357847,1072.6613763273406,916.1091521265646,321.02383198007976,950.7118161037088,183.8163192331987,956.6809954671318,264.7581004924108,862.8225569206552,361.63424044244357,864.025251012834,525.2512019992126,926.3583380440949,669.7025919268501,937.5422756518556,371.51381277632225,948.2779889139674,528.6629022343275,995.5889043945034,646.1998686132886,13,2,trajectory,person0,41.408654436102765,2.088474109800358,-20.95353159547084,11.102754056387958,-5.050610233673584,-1.1059039459725677,2.37484320996001,22.985988416871248,18.219334678818917,-18.391177280033233,-26.591398594756917,-119.49393133210882,-95.63824064682784,-78.08527689600608,-93.54976653702752,0.2445125759912391,91.50084369664609,-7.554194711561482,75.8478148541,-89.60506024932648,-86.09176745279217,-66.6190718324552,-67.87243277397323,34.984656628422094,43.116262926380124,0.055524213890386045,-24.4056813704747,-18.444556065585726,0.030591484625850884,38.15763431094831,3.5358293590884795,0.038321105744284725,562.090534496585,-100.08836408739673,0.5709320884276412,855.7558688061147,-185.04605019711977,0.8755342070357177,-99.53913583334338,-41.22425913144505,0.10773801141373139,449.1038285336269,-91.95942332299855,0.458422059178504,79.1079658178179,-125.76079252443148,0.1485727000232753,240.38945044306658,-124.26322023299844,0.27060753091330303,49.76260791867268,30.863990461585907,0.05855683610032573,47.9703027843985,-0.819947956446955,0.04797730988580072,-486.4141924029026,81.75941218388523,0.49323763851882024,23.785157384205338,25.34005186431042,0.03475416435878382,-11.63919623988462,-29.307659281383014,0.03153426361379286,115.83174316619603,8.359225377718444,0.11613298142145105,208.48107776416725,-60.472921185781225,0.21707448947872815,27.97956922130794,8.424385814133275,0.02922031091818382,131.02888076405247,-44.55160253546394,0.13839585572826318,-19.917251556141487,-65.56749647796764,0.06852586011090207,241.73878573238252,3.4492560739280895,0.24176339237947148,146.64788230080507,4.284600750414914,0.14671046038678096,-164.05682927432647,-31.159751051708977,0.166989740155346,244.0093561489901,30.353520815143277,27.696271277963714,-5.375299586829223,-11.825779402765168,169.58612059265215,41.408654436102736
9,0.3028846153846153,929.0623333423864,640.8872863226306,909.4350151570513,645.1925674094849,985.2723442612856,862.8698490175332,872.2664864139929,1060.6963760663868,961.4809495710832,1109.7708957996897,941.8619020679259,1109.479439370664,839.6633384186341,1066.3136433949546,955.7759157679044,645.2669659800622,942.4746915256594,869.5806673391199,921.0708830770247,1062.3123426793989,983.7451756401084,1110.6541064328558,965.9588186671964,1089.5970283112858,895.2355221624589,1071.9355870815007,917.172981000715,322.8083998334586,952.3970679810806,184.9143873009964,957.5512426233423,265.7913421547342,863.2329048185071,362.3970872898739,856.4496946783675,524.1888681589385,905.4851447897996,672.0973572847614,938.8333713137043,372.5830307229201,951.8949434651528,529.679438343539,1004.1647676931158,642.3240831439654,13,2,trajectory,person0,49.073335029456345,2.895068319712419,-18.33042872161263,9.58700274909422,-5.545939524439,-4.6212011239063715,2.620031246491005,20.826568605725736,20.3187523954001,-20.422821425797395,-24.626077014591413,-120.00982416222315,-96.29606281716568,-70.93648913276682,-93.40099449745334,-0.1594502364895908,92.14494502698568,-7.663375196926179,75.67431513434796,-92.47625609692066,-85.2321587097567,-71.64968749119491,-64.91340631435659,31.61091511761052,53.027159071828095,0.06173434662974687,69.89799279789504,-59.07955524196659,0.09152116282457938,38.36398538065066,31.77104755605096,0.04981159340048889,833.0091201686056,-156.11217546557785,0.8475111831785288,946.0788163246558,-304.3963403969681,0.9938421699371227,-70.72523552010387,-21.56630901924221,0.07394027741419158,746.6545887671871,-121.99661865196451,0.756555516726704,69.83824045812007,-119.19592498268825,0.13814864589551665,254.8256523016253,-115.1661968027471,0.27964149541324856,50.07605578476171,32.62830830027515,0.05976803380985835,43.31919874088626,8.904318817229512,0.044224878441339655,-620.2320281276351,71.15874206364951,0.6243006769877801,25.858772641684524,30.702037966182168,0.040140892588621184,-3.8149019861045597,-29.711550864859763,0.02995546247279006,107.47522094950867,30.205644388001783,0.11163916907179187,409.1905731387379,-129.7739907955689,0.42927638396797135,12.193194679027359,22.667449180787045,0.02573882765092894,136.00559088269597,-36.50760552147611,0.14082019035728857,6.580397517513362,-82.45091073225163,0.08271308428577805,417.2717017033583,-87.99442447257852,0.4264489322072184,143.87664054680982,4.331962314841937,0.14394184100716903,-225.1022453670081,-31.566491253859,0.2273047827023195,227.7505090596497,23.967370808815577,77.9436282517869,-45.03946741672832,-14.718356068458107,163.08143415975252,49.07333502945633
