Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Nose_vel_X,Nose_vel_Y,Nose_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,982.6599819445736,1059.485190308709,768.3819539036832,1047.653272225478,560.0410156384715,1047.6318359380455,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-1041.6959292291217,-0.0,-1029.7753910529027,-0.0,0.0,-0.0,1000.5048145930515,654.6709349661421,1006.4701206502477,136.86578466277112,1000.5120258890587,362.998275014128,667.2282129662117,779.6067641814361,321.9988919316588,1041.5372388490366,547.8811359612351,1059.5375290719846,1381.3980741793337,767.685837397004,1738.440075384433,1035.5167719472904,1863.6305690835998,1047.7134419193692,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52506232598374,-50.2964966054287,55.66738415140603,138.323830309034,31.40329455490211,0.0,0.0,61.69924423399365,0.0,-179.9999999925237,178.9488175684916,0.6910060348427802,87.47498696278817,0.95708728812674,89.33984281795503,-142.81127137121948,-36.85872187663598,-4.487441062185533,-5.455427321733851,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.47498695531186,241.69924422651735
1,0.0336700336700336,975.412231221518,1057.707618035241,752.7778767258467,1031.4933901227103,560.0410156352935,1047.6318359379782,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-1025.2859438994876,-0.0,-1029.7753911452746,-0.0,0.0,-0.0,995.6175722231761,650.5242791118715,1007.4919424845455,136.5673139681815,1004.0174011481387,362.0565061054329,659.7614822103335,779.9148146335855,240.2003835288919,1033.465348771935,488.95454790582784,881.3758159831978,1369.9910462706341,758.9453136766001,1757.3664765226576,990.069638875685,1816.7860912409867,853.3533063717869,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.5250625746077,-54.97730999562608,61.44313938729157,26.14774311144788,55.193810747890346,0.0,0.0,61.69924423399365,0.0,-180.00000000042735,178.9488175712988,0.6917497146147501,87.14593376777351,1.704937446682089,88.67211667791416,-149.67603234727332,-31.444542688510545,23.923660628267857,23.74926805937982,-338.7887288883764,-259.59355449599644,0.42680981286477904,0.0,-0.0,0.0,104.10964519467329,-27.97053658824538,0.1078015266106892,-2.7434516658431167e-06,-0.0,2.7434516658431166e-09,487.3765642901309,-0.0,0.4873765642901309,30.348108478640707,-8.864579629311233,0.03161626891705825,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-9.438699821728866e-08,-1.9982016041808534e-09,9.440814711729811e-11,0.0,-0.0,0.0,-145.1510983852987,-123.15567887183866,0.190357985387643,0.0,-0.0,0.0,562.1141138052794,-1349.7798522266837,1.4621483941160633,-463.4410921817455,-479.9484984522033,0.6671792915619711,-221.76190344958377,9.149098428834888,0.22195055265451136,-1750.1196652456001,-5291.402878736979,5.573317079422752,0.0,-0.0,0.0,-2429.4156995621825,-239.7351352899222,2.4412155939965,0.0,-0.0,0.0,-1391.2809919256067,-5772.496025763208,5.937791943639111,-215.25819647475214,-52.793896522002285,0.2216377374445491,0.0,0.0,0.0,0.0,-7.384131680510124e-06,267.14593376820085,241.699244234421
2,0.0673400673400673,971.8048848174644,1056.140745292247,742.5365659449309,1017.3036091014737,560.0410156208666,1047.631835937503,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-1011.310271368318,-0.0,-1029.7753910289741,-0.0,0.0,-0.0,991.653315721416,646.7901384800789,1007.4745824248835,136.81429335816313,1006.0063627660292,361.227369538328,655.3952603047338,780.6213006952532,178.4239631913494,1012.3877927586796,461.8142297923709,699.6429063616745,1360.1488717236746,752.3446050279864,1778.26262429994,936.3701010785128,1772.622798818478,660.4149140648807,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52506400263849,-60.6355121231439,68.16329670264624,-63.501633397117025,77.04339789312128,0.0,0.0,61.69924423399365,0.0,-180.0000000192944,178.94881867565334,0.6925887706914367,87.19601429696147,2.314496752606817,88.22334860349225,-148.62907508037557,-24.69199335446632,45.02788592090901,52.351404538654975,-292.3125840447023,-196.0410468638276,0.351964115850404,0.0,-0.0,0.0,59.07216005134863,-24.62535604301465,0.06399943947705626,3.454125585555798e-06,-0.0,3.454125585555798e-09,415.0774741757401,-0.0,0.41507747417574015,-0.5155937719619748,7.335287882453836,0.007353385972200838,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-4.2847905223908324e-07,-1.4112710999825128e-08,4.287114027168715e-10,0.0,-0.0,0.0,-117.73841810227586,-110.90397676423893,0.16174679953355853,0.0,-0.0,0.0,620.6155889852812,-1594.8762725760123,1.7113719742117732,-304.1669301932001,-421.43649633072613,0.5197367043635394,-129.67679059630962,20.982636031533293,0.13136339305221578,-806.0674479696695,-5397.467415759238,5.45732528211935,0.0,-0.0,0.0,-1834.7596840250105,-626.0034135936863,1.9386137758600872,0.0,-0.0,0.0,-1311.649784948511,-5730.270251515108,5.87847108640967,-107.13818820039123,-46.536120466923315,0.11680839815259196,0.0,0.0,0.0,0.0,-4.24125143197784e-05,267.19601431625586,241.69924425328804
3,0.101010101010101,971.9440087296443,1055.4255815119109,739.8903173529521,1006.8536971028597,560.0410155886194,1047.6318359363504,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-1001.3040654011389,-0.0,-1029.7753904831884,-0.0,0.0,-0.0,989.0981636583492,644.2219100049463,1005.7491769613703,138.3204761861662,1005.6846319806446,361.0291216688731,655.0125595297478,782.1832982402286,147.9044606754318,969.0220793935366,474.1760129401313,519.5197585588718,1352.408341657367,749.5715899624231,1797.5027742348273,868.9790573638678,1727.0840588265014,476.2249229484251,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52506735433916,-67.9209125182768,76.57557596653602,-119.26172441944398,93.55914689642798,0.0,0.0,61.69924423399365,0.0,-180.00000005238778,178.94882172663108,0.6931104376743494,87.57021682906301,2.687374019774485,88.12332680414092,-132.28303341021658,-15.892598869535648,56.8350305564359,77.66654802689234,-229.89374296933534,-82.35854744722896,0.24420086689868298,0.0,-0.0,0.0,-9.555404325924581,-5.887961722811631,0.011223807067176142,1.6209840070224843e-05,-0.0,1.6209840070224844e-08,297.18431722521757,-0.0,0.29718431722521754,-51.24454226634156,44.733629991691366,0.06802279591666617,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-9.5774198571874e-07,-3.423321626172535e-08,9.583536008718792e-10,0.0,-0.0,0.0,-75.88801627308328,-76.27638571144163,0.10759683095270219,0.0,-0.0,0.0,571.4324530661529,-2001.5139983249549,2.081488249764564,-78.5935831817675,-310.36238635883893,0.32015896392839394,-11.366213017085181,46.39132708576709,0.04776343818370264,367.1449594884828,-5349.657489743236,5.362241199241573,0.0,-0.0,0.0,-906.4292247227517,-1287.9616869447443,1.5749473789524018,0.0,-0.0,0.0,-1352.500577761699,-5470.442736158727,5.635157632439177,4.131980191744852,-21.240364275978624,0.021638538187253795,0.0,0.0,0.0,0.0,-9.954550989590407e-05,267.5702168814508,241.69924428638143
4,0.1346801346801346,973.7276791867772,1056.1079553183097,743.3959301285224,1001.1172342284316,560.0410155342809,1047.6318359343097,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-995.8200614570591,-0.0,-1029.7753892537305,-0.0,0.0,-0.0,987.7609019057602,643.7545240953474,1002.3669132363997,141.817476373684,1003.2952854877146,362.2344093273782,657.4944157588143,785.2214189494474,149.09940547870931,902.2496981948108,512.8910864837032,354.15890291947113,1346.1287515026852,751.2084210189767,1808.1638160706664,788.5519832127308,1674.5190145274098,311.8974524843474,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52507317528979,-76.9853134597475,86.73213441770534,-142.81260254969655,102.30054054493914,0.0,0.0,61.69924423399365,0.0,-180.0000000983131,178.94882749902524,0.6925222595095404,87.99454315775385,2.8265517751455307,88.34610392911883,-95.2839201614221,-5.2460835707738935,61.60558147374237,97.05445697416528,-186.50382759404727,48.61388237964039,0.19273553711563318,0.0,-0.0,0.0,-70.96359084001752,35.79704345760269,0.07948118988298372,3.651489870470933e-05,-0.0,3.651489870470933e-08,162.87491713917294,-0.0,0.16287491713917293,-100.45323263162479,103.86090556927908,0.14449200549447028,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-1.6138544500776707e-06,-6.060552060205295e-08,1.6149920170585819e-09,0.0,-0.0,0.0,-39.71667405189578,-13.881361515085207,0.042072632378507294,0.0,-0.0,0.0,316.63294252442034,-2388.6841022887747,2.409578419727983,104.11669943443712,-170.37294737051442,0.19966779484142402,73.71113000327497,90.23218506379938,0.11651256545002965,1149.8376842440912,-4911.21741249021,5.044024501611274,0.0,-0.0,0.0,35.48986065734192,-1983.139721602159,1.9834572558050667,0.0,-0.0,0.0,-1561.1818156830268,-4880.525872783117,5.124141045729007,52.97501257684401,20.266502050044252,0.056719335881701125,0.0,0.0,0.0,0.0,-0.0001728822338151307,267.99454325606695,241.69924433230676
5,0.1683501683501683,975.580699382882,1057.9661886130964,750.1582670639184,999.8279574998742,560.0410154619443,1047.631835931452,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-994.5541384369795,-0.0,-1029.7753871717118,-0.0,0.0,-0.0,987.0282298848731,646.2029861326342,998.1629343503398,148.2252263826834,999.8424000688384,365.9751106092438,661.2378189123164,790.2667946530105,175.36567193682782,820.0503922325767,560.6727337952385,217.1276397462704,1340.107910845363,756.7242058787925,1804.9381050570776,702.4571980128637,1615.136142285975,178.39789119529289,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.5250811731571,-87.41768429573978,97.81651013635518,-143.2235160703185,103.65729450501787,0.0,0.0,61.69924423399365,0.0,-180.00000014530514,178.94883609094023,0.6896299665464908,88.3238741665563,2.817618671382681,88.73093297587396,-38.50985414764897,6.310210282421402,62.3647101259191,109.96750478743932,-178.81896752246655,163.81881033653065,0.24251355790115559,0.0,-0.0,0.0,-102.55069694062385,111.09882807140816,0.15119389882481366,6.183595115949452e-05,-0.0,6.183595115949451e-08,37.59791369635933,-0.0,0.03759791369635933,-124.8581729159802,190.310175267282,0.2276126669458016,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-2.148396460732724e-06,-8.487410774193894e-08,2.1500723166102777e-09,0.0,-0.0,0.0,-21.760359020343998,72.71932250742026,0.07590529026775714,0.0,-0.0,0.0,-95.80361710358444,-2557.0151204360473,2.5588092268062312,200.84140698125987,-38.291518838154346,0.20445906967690325,111.17907365901159,149.84765839582434,0.18658806807078418,1419.1149251525944,-4069.8285162440566,4.310149802782283,0.0,-0.0,0.0,780.1081138061185,-2441.3193870783507,2.5629297725358677,0.0,-0.0,0.0,-1763.6713055706145,-3964.9369702849144,4.339500161588345,55.03469982431526,55.18952885516604,0.07794037644255826,0.0,0.0,0.0,0.0,-0.00023753665923180705,268.32387431186146,241.6992443792988
6,0.202020202020202,977.008045013783,1060.4048694215444,757.9336485071802,1001.7974826666427,560.0410153932896,1047.6318359284828,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-996.49388410805,-0.0,-1029.7753843852686,-0.0,0.0,-0.0,986.2828274125708,651.9611464025983,994.1523750411376,158.6520747648922,996.4352913989289,373.6590744991873,665.0923584883952,797.287522642909,217.2308159442328,735.0599378903285,605.6257369087607,116.1538480221446,1333.2685595766513,765.0899378964523,1786.447797680628,621.1193102172388,1554.8223216143156,82.9684948039225,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52508921686572,-98.33499180857685,108.60948839696772,-130.8457940424287,99.7876831728305,0.0,0.0,61.69924423399365,0.0,-180.0000001641656,178.94884589709693,0.683046522315355,88.56816110393099,2.741059441849426,89.09586069833094,26.88425938159692,17.57966783601849,61.38297958343396,117.367351008849,-203.1287326807378,248.4622409244953,0.32092797822206864,0.0,-0.0,0.0,-101.19112749631073,228.2137275313209,0.24964204316924382,8.27573659600844e-05,-0.0,8.27573659600844e-08,-57.61044643078963,-0.0,0.05761044643078963,-119.1136114833033,309.6773969516015,0.3317953324314782,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-2.0390427346583797e-06,-8.818465957460826e-08,2.040948751915984e-09,0.0,-0.0,0.0,-22.13845342738038,171.01736001793097,0.17244433463485806,0.0,-0.0,0.0,-549.1621290805572,-2415.7352675300617,2.4773687506717343,230.9288288648766,58.49489745302488,0.23822211700206042,114.47982540954155,208.51562129998538,0.23787474593137886,1335.1041924716067,-2998.9216142065347,3.2826870172025826,0.0,-0.0,0.0,1243.3947770199277,-2524.216493964773,2.813840699102251,0.0,-0.0,0.0,-1791.3204739482821,-2834.2530728236993,3.352882270703354,42.3921652377587,72.42882001090561,0.0839227599743812,0.0,0.0,0.0,0.0,-0.00023889814596316219,268.5681612680966,241.69924439815927
7,0.2356902356902356,978.0737411796791,1063.1736492556183,765.5650734266035,1005.6541300030303,560.0410153784294,1047.6318359271838,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-1000.3877720332192,-0.0,-1029.7753817136893,-0.0,0.0,-0.0,985.1951692633716,660.517527151929,990.7402535807029,173.63362170352988,993.6995665615792,386.0849333141348,668.4615193656084,805.5771561293446,265.5446781536009,658.3493255820795,642.3460597947343,50.8885630236734,1325.1912965884144,775.0510726901662,1755.0174570617073,552.7926256141201,1500.6806256651769,24.5366763977353,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52509211398342,-108.79478990070103,118.14854493984328,-113.90430865917396,92.96360309124506,0.0,0.0,61.69924423399365,0.0,-180.00000010255033,178.94885223508334,0.6718245322502442,88.79039507586619,2.6411089364085334,89.36079574170944,84.09256749332428,27.637551758975135,60.047814190271026,120.60115485022013,-239.89471075063508,295.8457033733021,0.3808860097858344,0.0,-0.0,0.0,-81.25102766928745,369.04800680394186,0.3778864390571295,7.934590824376658e-05,-0.0,7.934590824376658e-08,-115.64847137752889,-0.0,0.11564847137752889,-101.34000737491353,444.95194407754,0.4563463921552682,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-4.4134865762046706e-07,-3.8579139882699644e-08,4.4303158760688513e-10,0.0,-0.0,0.0,-32.30344703121631,254.12450825512346,0.25616943296577543,0.0,-0.0,0.0,-933.48111638194,-2029.3025327126277,2.2337089702813926,226.65332010687123,114.54242589071453,0.2539521506985079,100.06407805323144,246.20211454713882,0.2657598557422201,1090.5935897134182,-1938.3789644545989,2.2241194634650547,0.0,-0.0,0.0,1434.9217076182351,-2278.305185554998,2.6925220195052866,0.0,-0.0,0.0,-1608.0083696894244,-1735.4250066637635,2.36588056983973,31.651176127115274,82.23276107199395,0.08811369895625376,0.0,0.0,0.0,0.0,-8.604439557018413e-05,268.79039517841653,241.69924433654398
8,0.2693602693602693,979.0963636902336,1066.2464416935832,772.6447308133913,1010.3244901497892,560.0410155035977,1047.631835930781,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-1005.1856895199949,-0.0,-1029.7753810665993,-0.0,0.0,-0.0,983.8805042134913,670.1422861214293,987.6945294526664,192.3909417738859,991.6934102068868,402.4529555156726,671.1805581570964,813.8300616656668,313.3311928544867,595.8277336411206,669.3742119624893,14.2161061622609,1316.3840956281695,784.8120669504099,1715.108189615317,500.5283448901204,1457.808361968557,-6.258051716923,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52508064997842,-118.21030581547184,126.0525600336066,-97.44852435656892,84.77157635665866,0.0,0.0,61.69924423399365,0.0,-179.9999998862587,178.9488460288045,0.6567008708066476,89.0484155027893,2.5586434280465062,89.56982495068418,122.09881528540846,36.07652387074923,59.10353095132,120.84810022740764,-261.57386851927976,289.90152952923705,0.39046611314624036,0.0,-0.0,0.0,-59.582843734363244,486.1302593856728,0.4897680515895816,1.921857113451606e-05,-0.0,1.921857113451606e-08,-142.4981493572353,-0.0,0.1424981493572353,-90.45800660268058,557.0924060895732,0.5643886957418623,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,3.717495811184075e-06,1.0683454121362943e-07,3.719030616352529e-09,0.0,-0.0,0.0,-39.045551981442,285.85534139415597,0.2885096728588228,0.0,-0.0,0.0,-1185.3052431577917,-1552.249137502789,1.9530555302744221,210.2658243875986,138.70969635873652,0.25189699634836726,80.75545210719164,245.11129442876535,0.25807167551202087,802.7361193823259,-1089.17196878395,1.353026553673542,0.0,-0.0,0.0,1419.2594866163065,-1856.8912806464757,2.3371655308281634,0.0,-0.0,0.0,-1273.3062317896092,-914.6034250053505,1.5677398333096508,30.371888563465795,91.26193540755345,0.09618311946097424,0.0,0.0,0.0,0.0,0.000340480948459287,269.048415389048,241.69924412025236
9,0.303030303030303,980.4243949601398,1069.2556985908284,779.1358347119492,1015.1558670567191,560.0410158861666,1047.6318359438862,814.39306640625,1041.20849609375,685.7673339843747,249.04003906249991,0.0,-0.0,-1010.1877735842584,-0.0,-1029.775385746737,-0.0,0.0,-0.0,982.7662812745103,678.3197429174662,984.821549754854,212.80487089589488,990.2930418054876,420.1450654930851,673.5954843826567,820.1153304455963,356.2374967806176,548.1245684332864,686.1106336068301,-3.8015521975681996,1307.78859055522,791.7737682099147,1671.462368985136,462.2868038190876,1428.4662575767202,-21.1310973271475,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,16,1,trajectory,person0,-179.10681967181205,0.0,0.0,0.0,-88.52504188982834,-126.39249729553316,132.42637827736957,-83.73080794138373,76.08767773880588,0.0,0.0,61.69924423399365,0.0,-179.9999994366436,178.94881349103775,0.642010859624759,89.36923870719956,2.5534552515380846,89.79641602225955,140.40055119213108,42.915826890110814,58.9549567905508,119.00350462891625,-255.28650066659625,206.76252740729558,0.32851474877461545,0.0,-0.0,0.0,-41.590941521557184,525.4556663291509,0.5270991023460972,-0.0001390000870404861,-0.0,1.3900008704048612e-07,-148.56189670862594,-0.0,0.14856189670862593,-85.32749702502875,606.2936949236666,0.6122685899609324,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.1362298601991222e-05,3.8922725043022394e-07,1.1368963337670201e-08,0.0,-0.0,0.0,-33.092421287735746,242.87046684229838,0.24511460994987821,0.0,-0.0,0.0,-1296.2808727163774,-1135.7737698096748,1.7234634191528446,192.78578578716935,143.49189413581854,0.24032536879044064,71.72330889914019,186.67248276390998,0.19997712084306984,497.07172283692,-535.124453286924,0.7303687275271944,0.0,-0.0,0.0,1274.317226606088,-1416.7840066726765,1.9055606302578028,0.0,-0.0,0.0,-871.46050043755,-441.7294546236675,0.9770201200103239,39.44252871621459,89.37492984818519,0.09769130543143252,0.0,0.0,0.0,0.0,0.0011511764572631473,269.3692381438432,241.69924367063726
