Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,993.2551721546072,628.1967767135664,1023.811665032929,633.9183440402769,1016.1885954354354,758.0282954356022,1002.804781158856,876.3871598165167,979.88202513985,908.8854635742688,1000.898247389792,906.9706555516116,998.9841660805232,895.4784356790886,966.5247656884184,632.0090729577585,983.711265063874,765.6926195680421,1010.4495034220862,905.0845439771772,1023.8614507940053,970.0319253697693,1004.7442548991344,970.0239893392296,1016.1730250727647,928.0106834523149,987.5280779141642,450.5965036973095,995.159548498782,366.550841502435,993.2552913014492,412.39497106352206,1041.001710740377,463.9613302521039,1060.0862549216051,515.5276587190658,1065.8274570062424,601.4422518979309,932.1418210599259,475.43803728221974,893.950760715715,544.1885111280275,939.8067377441807,567.1028466170619,19,2,trajectory,person0,2.9362345635103955,-3.5309460617145394,-90.70453640386228,-138.61974972586802,5.478687371312595,18.466935976688223,-30.899212705987324,-16.55954887930123,92.49977120490892,-145.06805869901208,-79.84804983539424,-96.44830897325208,-79.14351356670971,-93.51207440974164,-82.67445962842422,-1.9091524329963647,91.8468530002632,6.0205649216258355,84.81174211178698,-69.6862110230486,-119.05081020607145,-85.50637712313693,-26.551135556529232,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.35892741000484,2.936234563510439
1,0.0336538461538461,990.6392976240884,633.3017891677601,1019.3948730396152,638.9267059413478,1012.3132367137375,762.3895383198453,1002.182753229422,883.4735972704752,981.1352623961104,917.9740275132319,1003.6812009477741,917.5209785359738,998.6286391175429,906.6403062019582,964.5209235737669,637.9911697912598,975.1308892663964,767.6609046533289,1002.1218484116397,889.602013241553,1015.4286105296281,954.889724272471,996.5595733838816,953.3638457390969,1009.0441550301415,907.5993444970323,986.4201503764284,458.49736707416014,992.9220642257412,377.19751679118457,992.9409611397832,422.8641395813752,1037.7523330231768,476.5566288343921,1058.3568184698524,535.4298195452313,1063.9291283656155,619.481563757534,932.6536447412675,483.04648654961017,894.9039417826972,552.6787097096808,930.2452756769252,591.4298790666984,19,2,trajectory,person0,1.5511291181371625,-8.347413255199744,-98.5279122168284,-105.49397711749997,3.1346744034869305,18.139387734167737,-29.73933978024332,-15.177056270621716,74.60628237370105,-110.32974010582448,-85.6720235106777,-94.835762988507,-77.14411126920363,-93.2846338703698,-85.49152452440336,-1.9749340108819808,91.37380107210971,3.362849686937857,85.45732141026366,-70.48681119372256,-118.36346158335186,-85.29786289437912,-43.75728884858952,-254.95973798219234,58.48618539137905,0.26158192191660135,-59.54273712107125,177.7537344811839,0.18746126977558916,28.323094561755873,252.28018642627114,0.2538651022665941,-51.3889688520842,591.3784931203497,0.5936070655281792,-115.15351630188286,129.5912171317955,0.173361517859034,-247.45032031041137,-460.0523418585491,0.5223789986889409,-77.72884319255917,151.69179863890213,0.17044698541880607,-66.48524697035273,316.35835143713075,0.323269074593794,-10.564229757130628,331.66700982240985,0.3318352126506468,-131.24181922989587,148.8198964889642,0.19842322622555728,-9.340096232359143,311.0838645304933,0.31122404818531624,-56.4074796071991,536.0252666853489,0.5389850557118778,-243.20196502465373,-495.04426697537525,0.5515578138844915,82.6934771514644,313.4953115353346,0.324218323846812,-96.55293788251502,374.26030073084985,0.3865142203294608,-284.11201571273864,722.8603927892007,0.7766896323086288,-32.92127540700695,234.76851176927497,0.23706552784575027,-18.483115617467437,210.56842720333978,0.21137806910324655,-211.82928126652138,-606.5083575283943,0.6424360140540702,37.23904990030803,270.06018561490635,0.27261557309118517,-250.57582499863673,-449.9396897482915,0.515008707192933,15.208475102725647,226.07963537388835,0.22659059831718645,-41.15741894823328,-143.11788232070344,-232.46602415670796,984.3086717915095,-69.65067104396272,184.65843494247952,1.5511291181371973
2,0.0673076923076923,987.93974763337,637.2722312785597,1015.1395738654378,642.664202530005,1008.5849703794283,765.6287315973923,1001.2085769982879,889.3304532573771,982.5572311757992,923.162777617066,1005.6299306060143,924.0153007667667,998.1892448906424,915.0143157222967,962.2967660305274,642.65123150576,967.1789296568246,768.4940077381907,993.7368271781048,874.8233149337517,1006.1693520823562,939.4952912223367,987.9023709367364,936.6532989593652,1001.4992192913053,888.7164393537671,985.043700130395,465.1651349808446,990.5349676617708,386.5635454072521,992.4819088730869,432.0406642253001,1034.5160767712705,487.3252241275014,1056.677046166002,552.9667709535621,1061.9011200308134,634.6390794458962,932.8308261876382,489.3042691608854,895.2662567874409,559.3811930132073,919.6388998509743,612.6862255177606,19,2,trajectory,person0,0.4164916772590894,-12.279836437098188,-105.7786512996568,-65.33912636979578,1.091997314116253,17.909448977112383,-28.98672357064283,-14.041485433096954,57.85559119315351,-68.81476224118894,-91.45203361313972,-93.4756358716368,-75.67338191777878,-93.05914419437772,-87.95321835487697,0.0,90.95478433100678,0.9315860937112582,86.0353646806425,-71.13576669188083,-118.02994163720912,-85.95497850341931,-60.17442011385023,-236.28679982727402,24.755063093034238,0.2375800179336519,-66.08925271340422,138.4704052308654,0.1534335114928166,10.765931569527288,199.15950387621623,0.19945027768037912,-49.91323417155505,521.097984704682,0.5234829897988524,-110.78277107661685,96.25031453282378,0.14675471173042998,-249.15491665360494,-439.1384640032385,0.5048967845607539,-80.21519972420434,117.97885129232944,0.14266564975161883,-70.93086932940616,278.30485030600533,0.28720163287779776,-13.056285599326886,248.82771146148676,0.24917001542082082,-126.443175461269,111.05704149152761,0.16829005640732356,-13.64041021040407,272.67387513376735,0.2730148402031901,-60.26081909126232,450.39475188276214,0.4544081852707813,-257.24258700088507,-496.54196145488123,0.5592205897965209,57.90510984485553,192.9741462864184,0.2014746209355332,-96.16304291378935,319.9811172809617,0.33411861103328544,-315.16088168539494,631.6171516887051,0.7058800235536266,-40.900235882134936,198.12796065576757,0.20230550681785125,-28.94695086798644,174.03229218222725,0.1764232543820506,-224.19237623970355,-561.0920385427393,0.6042238800974781,42.2527865964674,154.1800030853534,0.15986485331856468,-275.1322510046513,-457.43458206113024,0.5338016039769151,5.264820120729032,185.94554044931954,0.18602005898260857,-33.714941100376976,-116.84914597641074,-215.45053274690076,1193.1727079317798,-60.69669065558575,184.0139285253845,0.4164916772590743
3,0.1009615384615384,984.9243402714541,639.2615642879317,1011.0116491028675,644.234245960037,1005.1566831491127,766.9689745600382,999.8584201815892,893.0723553508047,984.3839420839978,922.9502864796359,1006.5868506189923,924.8444272312344,997.749598103566,919.1063830174294,959.552856525532,645.0014793887835,960.2524703103504,767.2859090078296,985.2979040984576,861.6191311163102,995.6453560361131,924.3057346490284,978.5121855436067,920.5804271544772,993.299597673274,872.7441320924397,983.1924070729108,469.7060703288453,987.7926812967361,393.65611681101683,991.5194135935712,438.8190344474464,1031.244389469068,494.9783874471724,1055.1174132362626,566.0915179264807,1059.5281255340626,644.263413018102,932.340966196882,493.2426514209216,894.4680864691053,562.7675028250336,907.5724885025708,627.8859423893318,19,2,trajectory,person0,-0.2848077264907844,-14.613872188848696,-111.4577028963208,-16.78794142019412,-0.3341565942628842,18.0607714658884,-29.032369112363913,-13.809221934341414,43.62694533325471,-19.24822072874404,-96.60173117887312,-92.46027930878252,-75.14402724661525,-92.74508703527336,-89.75789943546395,1.9701230562993932,90.57625715879892,-1.1130509772284989,86.56213477932299,-71.36297137531267,-118.4556126923097,-88.21222673641996,-74.82859466621177,-205.81479200951887,-35.897790845015486,0.2089219471416873,-81.5333110055768,69.83593709555272,0.10735333676018695,-23.717060887687115,100.6217772656961,0.10337911315762781,-46.34337848368435,389.99248148101225,0.3927363547483218,-101.86910627223276,39.82436231862107,0.1093768469411523,-250.75657150951787,-392.35289057540484,0.4656389684058708,-89.60067589693178,59.1116094213391,0.10734273841097941,-81.48508056103476,210.75069314043827,0.22595502431504702,-13.063790244556499,121.5928567696568,0.12229262215260595,-122.65833580208884,46.65271906380736,0.1312308787510947,-28.599859734182388,201.4144294580629,0.20343481602403238,-70.51183647488672,285.98019757411976,0.2945447206921111,-279.0226516815668,-477.59390505953104,0.5531270905510101,28.43419467134574,24.636900658467194,0.037622869383702885,-97.21585126544615,227.4082814987951,0.2473164940546841,-358.54479435256434,451.6487298981159,0.5766636322639949,-55.00985085095966,134.9306503405927,0.14571329414977932,-40.11894541047573,111.1879479189923,0.11820443960903192,-243.64589950721407,-474.6057014794427,0.5334921707236886,54.27940984361673,-6.314022369350029,0.0546454134530243,-312.71302537408457,-451.34682389259143,0.549093244974424,-14.55583972532819,117.02621572679115,0.11792797648328789,-20.838610854282006,-69.35420519487235,-168.74896172944477,1442.663781359595,-42.37714470612301,183.32134419407228,0.28480772649083974
4,0.1346153846153846,981.3332175413452,638.9339847624497,1006.8570420919777,643.3795791811481,1002.1311349893859,766.1199793480461,998.4139374497012,894.3029578247315,986.7244238451602,918.5762976803207,1006.989920583949,921.1502796975152,997.4942780967376,919.0417516449604,956.0489840053477,644.7002738653578,954.4060058344578,763.5897793063363,976.9000264227648,850.9960998899319,984.0109803468649,910.2516982812951,968.4128733108472,906.2595499474237,984.5346615255468,860.8248429341248,980.7625513764929,471.7875171470801,984.472759022886,397.9610283103955,989.6069838728956,442.5465065411816,1027.861862451177,498.9866194389828,1053.8268712046467,573.5665127363208,1056.5728526364423,646.5622384423862,930.9979784459822,494.4949602500317,892.1968924163491,561.8943978743077,894.4174354243963,634.9696780916717,19,2,trajectory,person0,-0.516094536913946,-15.037868221966455,-113.52265006176442,31.080929351818167,-0.9529820753355152,18.980277542775863,-30.184270612776224,-15.459915855661912,33.08391293764317,29.373619223312748,-99.2531022920343,-91.70731012855926,-75.7304503205105,-92.22340466547335,-90.76831854247696,1.9177055278751367,90.18466353285854,-2.672867697126941,87.13730902359089,-70.83505892436558,-120.0030638411149,-92.8283132357401,-86.91878085573506,-173.7235158550957,-109.82785398723095,0.20552862932568838,-104.1150691711889,-8.950106981792755,0.1044990528354539,-67.48690899618141,-25.943689964426703,0.07230185291421767,-38.34753465372735,222.1141314923894,0.22540013492151523,-89.90200246045262,-25.227286299194066,0.09337443986670407,-249.53693664915966,-315.6557850123835,0.40237700899036316,-106.70764683752034,-9.73379161432267,0.10715068171874607,-98.64911899440068,127.91737026725173,0.16153792834644315,-7.586651631471686,-1.9204750676513898,0.007825950898311503,-123.45117975215283,-25.395812858413034,0.1260362689583355,-56.826483128647,110.75917078527418,0.12448631690997985,-87.81382324356846,68.30795546444043,0.111253064373008,-300.0938492019962,-425.5346370095904,0.5207072552056043,11.976936101568954,-109.76895528765652,0.1104204262957022,-100.50937424590025,119.10175061379573,0.15584402879344858,-390.89300575146837,210.48814658381346,0.44396238781872777,-72.2014264078478,61.84870545611966,0.09507001810205838,-42.9217726046725,36.566473510964755,0.056386040369539175,-260.44381696103693,-354.1731635613552,0.4396243982996082,69.54574376025454,-129.9699528939361,0.1474069168337054,-345.70716333765654,-417.60565206978816,0.5421327544279188,-39.905921741022695,37.21146235069986,0.05456349989029461,-6.872522366859648,-12.598739269784843,-61.35843005889623,1422.3893029397912,-18.38795715187243,182.40806819833188,0.5160945369140961
5,0.1682692307692307,977.1156995627308,636.5225845440694,1002.5914351629144,640.4589586863993,999.4852146094076,763.2262315111099,997.1627219232391,893.0336115383122,989.3692021875446,912.5064912676902,1007.2707119987665,915.2805405997408,997.4516747304498,915.8376404640088,951.784055373613,642.0929324935115,949.3831500041364,757.6201813749072,968.6247601043622,843.8080602527857,971.8295819998276,897.8989744219316,957.8455447323124,894.3517895983398,975.5228901369421,853.67433775627,977.7252878054304,471.7209567525934,980.4421136845892,399.5813997299756,986.4965458455613,443.321646215215,1024.3033621924988,499.5786319624183,1052.9314228968665,575.3725104831909,1052.8377657588794,641.1963962198565,928.8255010297672,493.315341723559,888.616777252454,556.7542165643613,881.0284782543238,633.7617095469096,19,2,trajectory,person0,-0.4064412237175327,-13.760020171294798,-108.68696630152456,62.48217390898321,-0.8643751384503076,20.87813081366886,-32.53125768589725,-20.037095836508897,26.49994820871393,61.41865785854809,-96.01614442973892,-91.06351605002072,-77.32917534992892,-91.46995727373856,-91.08919552122371,1.8674379241530523,89.77517961722657,-3.712286790861167,87.8429081982643,-69.34668956910454,-122.76685872438073,-100.10914370128584,-96.26606200997688,-149.25057324383496,-177.38233853388846,0.23181938581008352,-126.72930791440504,-77.47528647771762,0.14853530724803615,-106.38056487002977,-152.7368160669797,0.18613263970713198,-26.607606859758196,53.663933049856894,0.05989810058076111,-78.62163414792828,-85.98565001181835,0.11651134435773024,-245.89362774682013,-213.58746350377004,0.32570428417886377,-125.32053422168407,-71.65303506044233,0.14435855960413732,-119.7677471951045,48.14817932466599,0.12908354054824595,-1.2659285982662918,-95.20787509113168,0.09521629090961505,-126.74946303502743,-86.78415184396233,0.153612875081953,-92.4244442407923,23.032721742707395,0.09525116358394951,-110.98543864758547,-159.44216889802482,0.1942667568440448,-314.0006206193209,-353.8305932299195,0.4730670972016078,8.343516326006208,-174.4151046195804,0.17461455547617302,-105.73829340072416,17.591229267797516,0.10719159499909423,-397.84329876787234,-35.89392247293187,0.39945921449504124,-90.25011754013936,-1.977794579033802,0.09027178622031264,-37.17897564344274,-37.71771822502686,0.052961330213640134,-267.7783498328244,-212.4721538562594,0.3418327965592366,78.58769931656556,-180.35996197530818,0.19673775023519388,-361.96155088339634,-367.0523661068045,0.5155032529310724,-64.55361465324457,-35.05152192947435,0.07345596200698765,3.258269877836287,37.97034207710075,143.68888887569898,933.0655525557631,2.632891838874745,181.2451368909651,0.40644122371783453
6,0.2019230769230769,972.5087295779058,632.6808934299085,998.2827568605748,636.1794184713976,997.0897618243464,758.7653947664807,996.1937792921266,889.6190950983323,991.8862867916815,906.7837474010928,1007.5111684850315,909.243093527442,997.4171200176828,910.6288406238452,947.0132125496427,637.9390792412294,944.797888782334,750.2887808418474,960.4477173200823,840.3358863215519,959.7277750211588,887.1295790320561,947.1808826444667,884.7845687563736,966.5479384810812,851.2443667530443,974.1159673435792,470.30950605933816,975.7511698666206,399.2146861060437,982.2622659652505,441.9839788431982,1020.5272411698041,497.6351391669408,1052.3396446929291,572.6463557650219,1048.2154153088031,629.4060967638154,925.9797747239255,490.45528535649566,884.2908500721982,548.3965474718398,868.3577275809397,626.0221587341567,19,2,trajectory,person0,-0.1721795882920582,-11.369307295018176,-92.78646369124164,66.06121335863959,-0.4247497937554891,23.61344368375349,-35.85282780145737,-28.277549340905527,23.194771274328428,65.65330535445314,-82.42011149369013,-90.4079080029086,-79.63364473616502,-90.58008759120116,-91.00295203118318,1.8210159012723417,89.42179776257227,-4.282750676847209,88.66221706671521,-66.96475855367422,-126.4525060169938,-109.11225652220446,-103.2562817983794,-136.24776201927327,-217.84733012520869,0.2569453480760883,-141.7621867694007,-123.42878235352582,0.1879659062460969,-128.54183621331225,-248.34216732064024,0.2796369713156736,-17.58426663127971,-81.00574019702339,0.08289231796630848,-71.17916847039157,-132.55057755469815,0.15045308117223932,-242.97498559002727,-103.17316824237832,0.2639726240875066,-136.89282240622885,-114.15310739221225,0.1782430272230621,-139.38804487678226,-10.896633396832666,0.1398133172267822,-1.0267686079346647,-154.77576667914818,0.15477917238728328,-128.02929812666247,-127.16348067433466,0.1804495829754608,-125.81860215780245,-39.7478304827863,0.13194775737780345,-137.34984194512106,-350.34032669379053,0.37630217058935705,-316.8928163245598,-284.28313358985423,0.42572051522304877,7.1449927347322575,-179.39842729116432,0.17954065454855217,-112.2047389600726,-57.74950020847446,0.12619393099284382,-376.50230572341206,-229.97522415036838,0.4411831705063758,-107.2483794378656,-41.94024917101195,0.11515728110968476,-28.791438181630888,-101.4599170736922,0.1054659266548546,-266.684277774153,-72.20485266727539,0.27628616462035255,74.79337109435379,-170.0472463217521,0.18576898110628792,-359.59655022330116,-320.0048915848693,0.4813655674959969,-84.55872451643832,-84.98453204988151,0.11988556451710207,6.960917166928375,71.03832546650523,472.47207756269205,106.34860078978936,13.06315309950316,180.00188535377345,0.17217958829256474
7,0.235576923076923,967.88495265249,628.3686624168159,994.0747389336644,631.458476608343,994.7694132949299,753.5250540022766,995.3880884242047,884.6929146417647,993.8128896262516,902.3578696444332,1007.5659021410961,904.1469097229672,997.112787785256,904.3659184461444,942.1043734007371,633.2299686137907,940.3499622672545,743.005928722231,952.2562235517064,840.0413540572587,948.235919273582,877.5523185838292,936.848290596204,877.1112945480994,957.6764962749086,852.5039094436911,970.0108853129212,468.51753628707837,970.5885505718372,397.96316577987403,977.1874899975792,439.7614477695105,1016.4846393039952,494.4553009406692,1051.6856865721745,567.1625993476292,1042.685622951697,613.490798921181,922.637397118595,487.0005342356336,879.8234306081879,538.6469262244434,857.1566518856567,614.6644969776709,19,2,trajectory,person0,-0.0164335915067547,-8.523919997082974,-62.27613656886611,42.25714822807201,-0.0428101027832143,26.784493334561027,-39.72389080099434,-40.44634838056728,22.079536168089557,42.5720930020828,-54.561319754461906,-89.68505522345492,-82.28518142587198,-89.70148881496226,-90.80910142295495,1.780416033071792,89.23370867982823,-4.489722392114122,89.4962309934687,-63.981797985610726,-130.52352978407407,-116.8499067968096,-108.44202613014149,-132.16695930522044,-216.40474869717116,0.253572712235906,-145.86264899605263,-139.9278586438939,0.20212797430541674,-132.74617835916354,-289.70303135120525,0.31866815693294526,-19.431898445284023,-162.94590497395265,0.1641004772234628,-68.94749915980255,-155.71298270777595,0.17029471695899173,-243.4043862603166,-8.751815853284043,0.24356167500551312,-137.39222864092758,-128.134864389032,0.18787008267128788,-153.40354475927677,-37.18803254904284,0.15784675261018233,-9.043014906395253,-186.09825899453682,0.18631784165611998,-125.03824697105185,-140.27941535934045,0.18791720937463952,-150.79334303937793,-66.04092333243449,0.1646208852472614,-164.31383003972937,-472.91170732399615,0.5006441027980076,-307.0255922912335,-228.00586218871737,0.382428277607976,1.6263714944899357,-151.4294616186816,0.1514381950842054,-120.12302686974886,-94.4866215806421,0.1528308321055469,-332.8319635169796,-337.4848064784386,0.47399695203910036,-121.97958033955099,-53.24710180429178,0.13309497312208898,-23.940528646819708,-146.37793356657932,0.1483227843155296,-263.60856841198756,37.42641137921821,0.26625216169816157,57.24762708436653,-131.51179619788522,0.14343166786307965,-341.472285070855,-284.5814533187437,0.44451088293147506,-99.31636312982121,-102.65546187704474,0.1428351631725322,4.627881047334742,84.54865113864618,906.5925773505888,-707.3207924511523,11.349065103176187,178.9351974947905,0.016433591507336587
8,0.2692307692307692,963.5246608857389,624.7827297697344,990.0528374249805,627.4140273656582,992.3566545637972,748.5600796177208,994.4929033118692,878.9835324263315,994.7768966293664,899.2930497959982,1007.2852625659168,900.341495342795,996.3139175869333,897.7546918179843,937.3778837093012,629.148366671071,935.9303037556281,737.2513032446781,943.9871284752968,841.7596707018939,937.8789275674576,869.0358459189077,927.3233236409359,870.9134709997692,948.8494367332412,855.7378308755106,965.4984391439835,467.2301133242085,965.1744002268447,397.0656271907413,971.6187239583084,437.9072252414009,1012.111629069624,491.4339333737916,1050.4782663038036,560.8474660459341,1036.287012589446,596.0866569853283,918.9339426219664,484.1764287782548,875.5580127951353,529.5967684694112,847.8352808503585,602.853579885282,19,2,trajectory,person0,-0.0439585629267041,-5.713525254282056,-18.13815964045546,2.570762479304669,0.0145830601771484,29.921982956692837,-43.67932977442127,-56.34377792303552,22.198221520135693,3.668341194491469,-13.125067034034137,-88.90242128089169,-84.98690994917311,-88.94637984381885,-90.70043520345516,1.751236632412626,89.28498173636766,-4.418788737880445,90.22777215304832,-60.793035306939494,-134.43465735487095,-117.93109637548854,-112.23450790210296,-131.32699577404134,-170.99458561871765,0.21560595569221186,-140.44426511695406,-121.28188629795565,0.1855637021301082,-126.74384358785062,-268.9189732923833,0.297290121067033,-35.8776308315873,-187.64967525037116,0.19104869802136162,-71.69340229651675,-147.53066742680022,0.16402817369051978,-245.7102536990277,51.05855172630556,0.25095916894432924,-129.56295535489025,-106.55342722756802,0.1677503867483885,-160.87761025120824,-26.669718077086422,0.1630732330655492,-23.737857321592006,-196.44787695104435,0.19787686633053628,-119.50793054375224,-120.17792035406137,0.16948415266176783,-165.47190516690375,-55.096897978112885,0.17440361110474567,-190.13013647831107,-517.1516460939048,0.5509948219855577,-283.02758952796773,-184.16389972181472,0.3376698956003606,-8.339004519614063,-113.07517015368569,0.11338224332611838,-129.9408755356044,-89.77777913007698,0.15793885133331922,-276.9778821917199,-350.9529650309839,0.44708470213981744,-134.08411473414685,-38.254853753847705,0.13943451387575506,-26.599786195113435,-169.65021440144199,0.17172286939158973,-262.28976923811655,96.09366540263463,0.2793383532161274,28.644779521126335,-91.06893263921079,0.09546765884769066,-307.7506106962661,-253.06090204338128,0.3984347606910504,-110.04550504268046,-83.91627644782768,0.13839058722675776,-0.8178848650499232,83.50887235751281,1311.528457301342,-1179.252605106227,1.7053968422507737,178.2313615801865,0.04395856292715905
9,0.3028846153846153,959.4789803223356,623.0907870641217,986.1738083312715,625.1571187535559,989.7629216502323,744.9250052348287,993.2226977008177,873.070922584376,994.5818853128916,897.2743845140432,1006.5724547891648,897.7251914347785,994.857598245238,891.2349849401626,933.0026717484981,626.8521489727988,931.5659594608981,734.0720852684236,935.7666089427696,844.2674347142589,929.2695606306952,861.9311030791133,919.1213252598665,866.0179908260079,940.1004534475712,859.348791369623,960.6846371977358,467.2495758326753,959.7056724509396,397.6111901798542,965.8971030172852,437.5113616228285,1007.3876258642791,489.80153207272997,1048.2930306073345,555.547814489072,1029.1345135542638,579.6834007809733,914.9434604356436,483.1568494121737,871.5557606754742,523.135831356059,840.4995837015246,593.3205702323467,19,2,trajectory,person0,-0.1947726851978612,-3.220578803968536,30.08620350872181,-37.56677803072376,-0.2983659872903909,32.603528633897355,-47.28308807461016,-75.22868627892662,22.91538629924076,-35.69682509214084,32.56946432355165,-88.13004705669829,-87.51675052407595,-88.32481974189602,-90.73732932804448,1.743189655645557,89.56103665924589,-4.090875858329005,90.77403074867684,-57.835434706856745,-137.7528776048549,-105.17200444622802,-114.83691935151565,-129.68337332911972,-94.46819129441731,0.16044318771595903,-130.00629826386526,-68.23046874866165,0.146823140049296,-118.92406298421572,-191.98213136818214,0.22583195416358523,-64.93271783794606,-157.47536054675572,0.17033715691285045,-77.07092086021117,-108.01363880593757,0.13269089271815335,-244.2668661093776,74.51641636741627,0.2553801053080266,-120.21450816969723,-50.27486896677361,0.13030383886942265,-162.49933962689215,16.21101453364055,0.16330594714028618,-43.273489010372074,-193.7284329409869,0.19850264628186007,-115.26257878449184,-67.06242733104199,0.13335228242359587,-170.01387939040524,-11.762804666151688,0.17042031204932498,-212.53139990256122,-487.41104150083555,0.531732187592092,-243.71652332320508,-145.46569659176103,0.2838274345895348,-21.180573937773104,-77.74160183820749,0.08057526524128765,-140.37038095881803,-48.505638660116965,0.1485147832114687,-217.97500099392096,-283.2665725443653,0.35742558970970734,-143.0386864027923,0.5783145372990323,0.14303985547930484,-37.74325244267685,-175.68897816096433,0.1796974405833189,-259.96978905990835,107.29711182505314,0.2812418202007859,-5.794621975251613,-59.983196949521464,0.060262439048889734,-255.82118897808314,-211.11235866817515,0.3316819390811028,-118.57432782216367,-30.29607259212425,0.12238350882772236,-4.481333918914391,74.07612309503044,1432.9525050041273,-1192.658346583704,-9.29905741046404,177.8858564011419,0.1947726851977336
