Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,928.4535651944302,438.23310368472454,930.0533693721341,447.8212824048561,1029.2803214080811,358.2798636154536,1096.5550070431916,457.5225865490055,1163.763709823231,428.7063003272517,1157.3590587729552,444.69655265022413,1102.9681775175845,476.74183483899105,930.0619485314372,430.2448927323192,1027.724403981004,351.9126139187187,1101.4580917025257,436.7858783194386,1162.2685279630507,419.0737480372788,1157.466778414585,414.2811610357644,1106.2746601890472,462.3733089997514,798.9651985025145,345.21598092601243,754.3007551130095,287.58124485209294,800.6865848273696,295.61823059543156,803.7666465052599,356.4387899424712,874.2358065927049,318.1230165090645,871.1804131344387,249.2802581625998,806.9428208600901,350.0115478442596,867.803447431511,313.2272629207198,866.3363504190647,257.288042455967,1,2,trajectory,person0,97.95469115830736,87.7871386181806,-3.329688464869484,4.18180237289289,74.32170698093621,64.20462891082789,66.766050468986,64.0581368239091,60.5344823833655,38.34817540447622,37.70848887844006,-55.153185529380394,-49.33523141565396,42.12060828968553,38.82513109302544,89.74600594860368,144.50342411208922,63.48635373870604,127.95084819221005,28.25170838006278,30.813200851340643,92.7661219238561,91.8039569668923,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.3828158224037,97.27379381906593
1,0.0336538461538461,937.7079152524241,421.87123963864184,939.6420689865361,427.24922874485736,989.8511048338036,326.5366039806804,1069.6475899261818,370.93732479448386,1110.4093947642239,328.9646149545656,1110.7849794439526,341.4405392948156,1080.594701183152,386.70605683702144,936.147609442606,415.2272744191679,986.779372933394,324.4792591007138,1070.443671456048,359.21407919367823,1110.3742440587985,325.61671758991014,1109.188973910617,323.4136451735807,1082.3577247676278,377.5254259003229,797.4124064251421,354.12420229871935,744.1263558364864,303.2198686867788,792.8848980837986,306.126758095936,806.0646787067641,361.22255580591127,880.4234027979845,318.233310969052,885.6258948291418,248.655722171981,806.7343303871255,359.9743981111816,872.6595817848898,317.9152245278765,876.9326487299691,257.9162850309023,1,2,trajectory,person0,91.730038017197,84.91134675930223,-5.4214302773304945,-0.2578308472492787,89.45208567495754,55.29766771145624,57.917681416819654,56.54540850063036,54.47085537140272,65.44480674079391,57.675967870966865,-23.464475874671734,-21.07880761674739,72.54427297005059,70.21977078908606,41.55565311678486,116.5491400933624,41.88599004026443,137.49343195199427,28.34234450490563,30.962459792577288,90.93562496943098,91.4811866739339,-1585.3853617533537,-2963.752936788393,3.361142397397593,429.2371703568915,-18.557640864101245,0.4296381436167325,-6.195145482378867,296.0389793599687,0.29610379451813823,180.83106707473036,-446.23780130506776,0.48148525432557826,274.9864017232448,-486.181103083601,0.5585602797624306,-710.6746525221736,-2521.194240668736,2.6194424713894207,-231.8215489518264,312.25338858641715,0.388900256161042,-1383.9155000617939,-3068.1786825607155,3.3658494528768355,144.29656364325717,139.29943061265743,0.20056377950233967,-921.5713444667746,-2304.990602594027,2.4823930834960595,-1542.0015788692112,-2777.0089047218175,3.176404779957902,-799.5346800482937,-2572.8192064200757,2.694189001076939,284.921359970803,-611.2838801828195,0.6744243200975003,-302.3250070738293,464.69053680209595,0.5543804694391848,183.86000152830974,3.2773210967715327,0.18388920848043638,-1216.6523511289797,-815.1625431635757,1.464490667530723,-1171.6110067785385,-943.2282862904053,1.5041116817786357,-664.8118682231394,-2675.3488320585316,2.75671293270215,68.28438541612348,142.14618565650585,0.15769684647560817,-1434.540476689331,-2700.0633284763207,3.0574905326170154,-46.14010744192151,264.7014350747202,0.2686926855077532,314.86143552401256,18.66777936950676,0.3154143458481724,-184.96112190727933,-85.45210094952893,-62.154613855984415,-131.92052996993897,449.58839547949174,44.00486712331181,96.00874884472232
2,0.0673076923076923,945.5561199471324,403.403443212247,947.7918048284072,405.0256197656556,951.023670748937,299.5821077245708,1035.4700668292683,293.4772943500472,1050.9368162430578,243.1577532638888,1057.1407022697058,251.96068964353609,1048.9428468132294,305.08583246390407,941.219195894551,398.1020290269724,947.0304038485881,300.9790332826532,1033.000575144701,289.16035350150185,1051.8686307080998,244.03151260324609,1054.1326667654841,243.6251248912914,1049.7156967521507,299.78970187165334,797.7748885522093,364.6010749043313,736.8380673603799,322.2343724732164,786.0894323751137,319.0960814859908,809.9861913343192,367.5591103143725,885.2258737303753,317.8547220760079,894.0718239185965,249.0023943791873,808.5271464904707,370.7332846046102,876.0169351543436,321.9862469470342,882.20497586641,259.94041002691523,1,2,trajectory,person0,85.87333261806805,81.75809613052317,-7.664151431780446,-5.024420741674213,102.57687790259835,47.16741730781181,49.642017873147935,50.5245977467586,50.33477211408448,82.76944472275973,66.86513004683157,8.50585325517369,7.834687387610435,97.53263561549048,96.0308061928424,6.685808972786322,78.01418928178308,29.41042185165182,139.3826804229401,30.686132145498597,33.16084219073542,92.35221936589112,94.63710975917746,-1767.185190343217,-2549.6896045229632,3.1022347713190337,250.96475008665476,10.301117014130039,0.25117607130814806,53.27224992797311,319.69262723330644,0.32410076908227514,150.69856885779564,-508.8644345109514,0.5307099691601225,233.20379664276265,-548.7573795271585,0.5962538656932237,-969.9345467456039,-2309.861513994749,2.505241153822265,-201.92240962949518,385.3741807330562,0.43507001584372135,-1594.001378891899,-2658.8298182094445,3.1000349027243135,99.76135726376849,120.96752331211397,0.15679754494052542,-1112.5948618228742,-2081.596420567523,2.3602777346478074,-1738.4525109921874,-2424.246091032299,2.983150388911096,-1015.5606863082842,-2301.669476063257,2.515759504526667,242.1635793013145,-660.3586668105661,0.7033610509346194,-216.5662861471615,565.0023982255734,0.6050856685596046,142.70199341961313,-11.249498536167412,0.1431447174828556,-1181.1122242342324,-698.2924243080855,1.372092706810148,-1153.7294699503186,-800.9336030386847,1.4044879231621654,-940.512244134844,-2425.286667086911,2.6012648267558416,116.5249466473491,188.28619110856144,0.22142663108428776,-1635.9588408839456,-2370.8588883880207,2.880509190701329,10.77089748999476,311.31278599532675,0.3114990577143245,156.66343491138917,60.145428452954626,0.1678121104152634,-174.02781757411725,-93.69659011229199,-66.64085716079846,-141.63581400576925,389.9938261927549,19.518446333707402,89.02678236031679
3,0.1009615384615384,950.5507702292286,381.98349591733563,952.90908452382,380.63929272735857,913.5505127436222,280.5818540841827,990.0545237361672,233.0146301401573,982.5502119076832,182.0801584364571,992.9713946140239,187.0854958940324,1003.0554058537116,239.55725619326452,943.9196035889647,378.0143395798394,909.683662123262,284.2076778257977,985.4221409177965,233.5078649234891,983.5774051846902,184.5329711525443,988.9148338744341,184.88033604466568,1003.5524666048248,235.9556229809734,801.8984276801933,377.45139500587186,735.1068648167333,346.7885342304683,781.6865032540306,336.27766942037266,816.9829997033852,376.2873924878153,887.3602014634916,317.0211962824585,892.3577200390656,251.5085071394207,814.0824234209296,382.6018344367254,876.7314228154303,325.0119542802335,878.573338449278,264.5693668222174,1,2,trajectory,person0,80.68611966826242,78.0922150892144,-9.507610336625318,-9.499862311643138,112.29100090603382,40.51320070402267,42.71412946584269,47.06895812923453,49.165431370759606,82.15228448098073,57.12102035691977,39.63731453733568,37.2424995739344,111.01824908449136,110.0161468651242,-9.487509214471082,25.474991638322685,27.40353969707699,126.3239434425507,37.10964242810866,39.310628241751594,98.40159001915376,102.69906673363228,-2032.0591002511374,-1814.877103443688,2.7245262134025454,-50.933372420345634,74.46735058979203,0.09021970255976587,165.07108593363216,352.66548072571,0.3893859328568569,80.24068577686465,-596.8913435719536,0.6022606111020988,148.41246552514525,-636.4784339059406,0.6535526426773984,-1371.7074100919765,-1896.7840584659216,2.340805626990778,-130.82989388360872,510.5386129073489,0.5270352326011575,-1906.7451417688424,-1927.7200428423987,2.7114168988252954,21.23049050085948,89.90673218649337,0.09237940365341685,-1413.7591884565986,-1653.6739463180954,2.1756269357766103,-2029.2249869813177,-1767.956660249428,2.691361142676627,-1349.4904233378618,-1796.6048793795892,2.246978748295397,152.05631094940793,-724.6222891379699,0.7404043379229316,-51.441447011215445,729.6093779297719,0.7314205813577277,63.42002406974105,-24.767623579753483,0.0680847606355115,-1109.7317541239756,-498.3488478608497,1.216493378640144,-1113.4881235864993,-564.5789653143903,1.2484411117243979,-1363.5125313685314,-1947.134837756151,2.3770781433521897,207.90516296653357,259.35467029658633,0.3323994611800565,-1937.9013201912098,-1745.5594400140244,2.6081486317732945,122.52801980295732,381.8380830172065,0.4010155075294333,-107.91151182335156,137.54614477469346,0.17482515930604003,-154.1343276513675,-108.92903665603208,-54.77706460110485,-132.98454950764832,288.6482263877971,85.54325744616867,71.38093454715568
4,0.1346153846153846,951.4086504460884,358.3417196283354,953.4449744675132,355.0619772594491,878.5249521944793,270.7668715207794,934.2789047501772,194.551911383352,907.2591722886249,151.1542670153853,919.9110617393355,152.4256008506682,944.1316551957411,195.3647939830015,942.8901446833264,355.6848550874152,875.9064893141001,275.41535885406745,928.2185676810388,197.0554721478476,907.3881610880525,153.55396390775311,915.1350810096052,153.8196903963987,944.6783527384354,191.35379812045412,811.1506420425176,392.4637624998854,741.0306522447271,377.1052287066625,781.2922958692411,358.3377697659969,827.841618107501,387.2665372834827,885.9703947760597,316.5776074183453,879.4650393061258,257.51308757332345,824.5413405056113,395.2831654874214,874.3903202313228,327.0307108980979,865.5387984720901,272.66077081774057,1,2,trajectory,person0,76.09711103126926,73.67653492417435,-10.209161752460505,-12.349589813536404,117.99938925774264,35.70700539164182,37.84299398762739,46.42370526032659,50.7709002709904,58.799276702029346,25.85196430963913,68.0456579155669,66.49413917582794,106.24031571706487,105.34973253292144,-10.154167346626586,-32.52919204794158,29.47048897919157,92.96613129232269,48.49868640404356,50.634567755338985,106.913096676171,113.39620744575866,-2237.2194629663018,-918.9407736547033,2.418595268117494,-383.0967989216394,178.42181860739504,0.4226079775621577,310.7792505162562,376.8166940778223,0.48844095189406983,-30.589636053253038,-663.5046820606026,0.6642094465981434,25.491297872403358,-702.4984954445765,0.7029608398546204,-1749.402240601282,-1325.311367283999,2.1947342480749166,-11.713590862318597,655.5001245556899,0.6556047753817957,-2170.9356054193045,-1029.8940241456771,2.402840632220177,-69.5641910706218,59.98591093082722,0.09185579017955871,-1699.7633190350805,-1083.1568139047738,2.0155455897214267,-2263.908967442946,-920.5190724166508,2.443898356223392,-1657.332678440844,-1142.8922144879266,2.013195028049945,15.923586898313577,-760.0116596178804,0.7601784549530676,176.02111214610179,900.8389215783411,0.9178748250995771,-41.29711299797422,-13.180926247935663,0.043349606211832765,-1003.6645634722383,-261.2574780171276,1.03711042121357,-1040.7595134602464,-291.64519616969744,1.0808502603537966,-1750.87716240826,-1313.1474485335273,2.1885901990626095,322.6560897222953,326.2374453569741,0.45884400724857083,-2192.3126565549105,-922.944899262789,2.378668129682249,274.9229410519172,446.08177696497245,0.5239957778998448,-387.31204503643806,240.43029015268942,0.45586987688726954,-136.35911378493927,-131.20878204690436,-20.846099213388374,-84.67761719911404,169.62068245077606,138.76950776500644,38.19465780149797
5,0.1682692307692307,947.2245237160978,334.5379203835781,948.3154991692841,330.5105516297805,847.1797896605923,270.43076430069107,872.8445763550163,179.9643986126272,831.0779579049176,150.8263874217832,843.7542259819036,148.65137967497998,878.0170090962345,174.796780660061,937.3420140174422,333.14075192930494,846.4852248551674,274.84689525989717,865.5663611234482,182.0456385381954,829.4604191862351,152.8936754378209,838.6886591430664,152.63989327987852,878.2823819695702,169.33139029318102,826.014105504334,408.4747027436298,755.9106505957338,411.4433082254339,786.4833204990504,384.7026161973896,842.4965938465895,399.4874397986764,881.2881251229791,318.1152169384887,858.21240063436,268.7816535243397,840.1989456778385,407.90736258988505,869.7597923079772,329.1107083914741,846.3827255999481,284.9924273557201,1,2,trajectory,person0,71.63540397232691,68.40883100414672,-9.56830353580114,-12.583287973083884,119.89839244536746,32.5995874596964,35.19340571062164,48.1190670291135,53.8592061852525,14.88983579584776,-20.572068281968185,90.55700039883511,93.82975528441658,77.81303042063419,76.73395125275884,-2.115388254619199,-80.52116629250638,28.291374446511472,40.352708629664534,64.58751453416869,67.18089763558484,111.80970528292208,120.14328003043374,-2263.670370258732,-9.742707924177152,2.2636913361907363,-631.5069776753295,334.8373882587699,0.7147846804657912,465.25455368903926,375.11899961606514,0.5976420865378748,-164.8587397862743,-669.8819224124212,0.6898696935355833,-124.32833711972027,-707.3128918442178,0.718156711574838,-1972.9088457034259,-654.3801182961164,2.078601128806598,154.24758900004653,783.4125796756703,0.7984532476647681,-2262.945976792271,-112.14828636330697,2.265723224936036,-137.59282972226674,61.80563980317949,0.15083674586274082,-1861.6655662826963,-446.0064844010953,1.914345962675111,-2315.5671879397214,-19.62000024941437,2.315650307423998,-1825.4771865990683,-433.4575223301096,1.8762335628748907,-152.41869457595243,-729.5280758530115,0.7452802640041092,442.1485224299151,1020.3315057006372,1.1120124538026932,-139.13029826297017,45.68896859854753,0.1464401643892211,-874.2318582082868,-16.89148965534407,0.8743950276214353,-931.3991152926432,-9.987185968338398,0.9314526589427315,-1964.5494840996307,-611.1638244530903,2.057419717946791,435.4621362472044,363.1353890228992,0.5670049231407001,-2271.550821177158,-35.0568286051715,2.2718213209718927,441.65720000826076,475.75365295697696,0.6491553131732378,-569.2090224865077,366.4263656999635,0.6769543505733079,-132.5764383228587,-156.5260593379641,19.042644152163994,-6.944173883696551,56.42752328942357,158.33419671314056,12.743969978200923
6,0.2019230769230769,937.7748573791807,313.4760530754463,937.4667001256264,309.8624980049133,820.4259372219759,279.3664527868319,811.8199544127622,188.4118686772486,761.4993841319063,177.88039226697398,772.0515579334079,172.7425023588971,811.9040891918711,177.62261547983422,927.525819334481,313.1781624742722,821.6980575146487,282.2097254054415,803.4262956150686,188.48288588717648,757.8187822628736,180.0133600225426,767.5407674031928,179.2309795536462,811.2399189472499,170.8369010626867,845.8071748401675,423.6798442293454,779.9122103206803,446.58979698638353,798.3206392989651,413.5161662597592,860.2122780928908,411.38745599085144,874.9802705178217,323.3359108917206,834.5225356202529,287.449707982485,860.3644859061963,419.2059907042683,864.8273060221717,333.2890733239253,827.1754844020891,302.6862778283951,1,2,trajectory,person0,66.7296269919318,62.43752208483683,-7.846881056246982,-10.388290714142968,118.8243504265533,30.653883416074297,34.246670286387136,51.69058762770417,57.0922022761183,-37.41618117637167,-67.69976625897888,102.27487576749668,115.72352154449815,26.788837265807057,25.36483977643434,8.647379195691286,-108.22750608387292,20.88374612393236,-20.020075884549488,84.04865377941654,87.64049558867282,104.7828499433017,113.77636838563632,-2067.4776206837664,803.8904296856683,2.2182658846424195,-703.927417562038,554.7079038991735,0.8962224432827904,599.2046239283457,335.73066397024326,0.6868487898125835,-291.6812134365623,-593.1740866638282,0.6610094003577348,-280.79008543981956,-625.8383428702015,0.6859422012734171,-1992.1189012346579,44.735177151026356,1.9926211262382807,351.7374729117532,856.1740589961233,0.9256096742948636,-2130.59356486958,715.8505026078217,2.2476367323808213,-146.56530677822212,124.15712942140743,0.19208430945071614,-1846.4476608204193,191.27820694115243,1.8563287199738683,-2128.78006857988,805.8420562317292,2.2761999033421345,-1813.3030519984052,251.01053906303565,1.8305939607426456,-322.36431444011265,-613.5421648531964,0.6930748439217734,713.1892032555504,1044.352808896787,1.2646389323007954,-187.43339398181544,155.12919175317566,0.24330298665149178,-736.5329724039855,218.78123861045847,0.768339801003551,-794.9716153188858,265.5176007310419,0.8381404807433462,-1964.4981914439386,83.96766321611844,1.9662918686330575,526.4089033186671,353.6004811389141,0.6341448050365416,-2114.108783127666,790.1351349919531,2.2569380758998,588.1369174076221,451.80991843269186,0.7416449527987742,-570.7294527363807,525.7601283309126,0.775986997805573,-145.77165884602616,-177.4331793166365,51.15083939246636,65.22277569424426,-31.914391416192387,135.01634334967997,75.48603850168962
7,0.235576923076923,923.7093412012935,298.16379508002,922.0092715045404,295.8288061139724,798.6890733159865,296.6153900058194,756.6837331783086,216.96601786832008,704.8849049731136,226.70749963206,711.6171376750953,219.232101218823,751.7944700308439,201.8319724934523,914.548362507197,298.6641273719007,801.557010279872,297.02050516007887,747.6647109671298,214.6239286699124,699.9150230096071,229.2760008805102,709.2213747988201,228.1424456061969,749.7816677968915,194.4513403206744,868.7445547647459,436.21202874641676,811.7974844180649,478.74745060696563,816.8061451964527,441.9118012250396,879.8213418155495,421.31414222498597,869.6942695438185,333.0853099451388,815.617670065871,314.961447273355,883.3371516884459,427.8769270915455,862.1496094231773,341.3955593020615,814.3157699715265,327.02866428231533,1,2,trajectory,person0,60.89974024812586,56.02592842906659,-5.357283301565971,-7.03110102898205,115.85494611378964,29.212072063699623,34.16563648718195,57.38333141374933,60.458009234134295,-81.1780976390006,-101.2473163089018,97.00245887387102,126.70655119211982,-35.073847490182864,-36.8134446667076,18.417515967032855,-115.62188386595274,9.38266251208326,-71.11727390194575,104.71545593618632,109.66745777644404,79.06674382149912,87.093467952188,-1682.25880928984,1450.8626188482724,2.2214853229775207,-561.7445764730622,817.4916817858539,0.9918919391677522,682.6163546725626,257.65068122195237,0.7296224785466754,-385.61586001072584,-431.2741858990408,0.5785300466827044,-417.9467664286525,-454.99280900695356,0.6178170892879257,-1826.188034182082,701.6861950944931,1.9563553492594346,549.2836038110595,843.7560103969053,1.00679525351313,-1795.7656305327234,1381.4052232663723,2.265624547596138,-79.56584179869469,240.8784404931898,0.253679219242661,-1656.9156581101843,776.7624141155827,1.8299533726500719,-1720.5688463827764,1463.8041854938974,2.258999745155455,-1638.333430966628,848.4661473918402,1.8450016895094798,-459.3064504551281,-417.001130473673,0.6203646977754378,947.4481446080019,955.5417075830126,1.3456291991673652,-157.069743227528,289.69642901585587,0.3295374413053855,-598.4768321190809,440.0917412806551,0.7428696112553869,-645.8953846351112,512.5398487927712,0.8245471147808686,-1786.1143979276685,719.3637512617962,1.925535990085348,582.6693220447165,294.96439095714186,0.6530754403472597,-1732.9190945299379,1453.3692769900808,2.2617008740072437,681.5678606160467,372.3849113644076,0.7766629068241978,-382.11722879386275,723.3166260593454,0.8180467701024043,-173.23092038737673,-190.5159257714589,73.97661899623589,99.75649350192462,-88.2337281506917,80.54803637576987,132.0763063640539
8,0.2692307692307692,906.3882243896434,290.8805818998324,903.666265296864,290.1534871865027,781.9986922942372,320.7396777187008,711.6463362312724,261.61473557798695,665.0952118565906,290.67238867667027,667.0542202434582,281.6102906979333,702.0122760605688,244.3633078654746,899.5494037428215,291.83590624409,785.8701824460193,318.8530575801347,702.8904753841557,257.4170682085962,660.8103081249133,293.7303806552603,668.8790169677529,292.2146415440591,698.6920208448834,237.14626676130678,892.3420546975116,444.7144368707942,848.8002693587583,504.6120436312846,840.5868322810857,466.7037314143966,899.8107483628056,428.0844715868704,867.9410138690191,346.69110439156606,807.8342319761116,350.2766809566132,906.6078204661646,432.980000891453,863.6597433788548,353.665332071649,812.0005847298543,357.7908287158052,1,2,trajectory,person0,54.0878382611931,49.48122768687099,-2.360977618912962,-3.9701529674731777,111.90416433275604,27.67289212986265,34.29271479463636,65.81285420960134,64.87750177145743,-105.8665622680905,-115.20702494539988,69.44570476043314,120.13483169078806,-90.0748821060864,-91.92898680528846,25.23372857634398,-108.46374376280978,-1.1938236617019309,-102.03065470272098,123.66250145067325,130.2802869598094,34.90834859569686,40.590754640949584,-1182.3223097481102,1900.67098875413,2.2384003778635555,-231.27930323856611,1049.3669437310978,1.0745515802892207,691.4713008236387,151.63419291153642,0.7079021742604469,-445.6833461414428,-202.89571351208815,0.48969410409909214,-514.684613831886,-216.41547735414528,0.5583331537296529,-1518.0923665739526,1268.6492428073595,1.9784022176306288,706.6261305148073,736.6744970551775,1.0207888140736203,-1324.155260825785,1853.5233445221306,2.2779236035172707,44.87255182585074,364.5875337248854,0.36733855726694153,-1330.4344287512276,1271.5675748637452,1.8403640581829106,-1161.9686708594736,1915.215856163999,2.2401390509878913,-1338.2540807119276,1326.7047548015257,1.8844281602000919,-545.049327313811,-168.63804813052778,0.5705414625445833,1099.5113239520306,768.5479070083354,1.3414883662803938,-52.09674005118018,404.2864635509814,0.4076292616269338,-466.1228842059068,648.7387004816575,0.7988319251776702,-495.9427503605512,716.8359777541898,0.8716725478285945,-1479.2423351167445,1263.7882510543743,1.9455895326364998,593.9709374041804,201.1755010388512,0.6271148672285115,-1198.7443469802768,1903.8595364393288,2.2498153577367512,701.182855145037,252.64298426721405,0.745309247124165,-68.79407575254461,914.0757431665547,0.9166608364625033,-202.41080189743013,-194.47110776809745,89.03308314168922,90.95388525626343,-117.39465863642666,18.38886165672338,159.52058686651955
9,0.3028846153846153,887.3306191233582,292.8418524925915,883.9948531328264,293.4313035103403,770.0514547414901,350.520954773763,679.3486715485648,318.345930659825,643.2882275706656,363.3558718273439,640.3916350485007,353.6857404575165,665.4394173404074,301.6960608763168,883.1645957748112,293.9694539239203,774.3296293002701,347.2675550347058,672.0736501377575,313.1522690589431,642.2694465523806,366.61098393270146,648.4864791129822,364.39377713501233,661.5157434339793,295.1800233054755,913.9287403944542,448.59306672000696,886.8821568472812,522.0067371064299,867.2565403842673,485.18684447953046,918.3597406434734,431.38113291900856,870.9994382452741,362.29179910158757,814.6469983611554,389.0480553033403,927.3013760611628,434.21463172929646,869.6982673445453,368.580120163697,820.9270581919616,391.6089647462141,1,2,trajectory,person0,46.76900315537852,43.07274187762403,0.710977213040225,-2.1174859560756416,107.47260516337828,25.62198866512808,34.34698650720356,76.83724363614857,70.33286441757126,-111.43913766703773,-112.03296140584948,20.41590252066756,90.7568863799373,-126.1486271441447,-127.86784907790005,27.61648850681218,-93.06014113067371,-6.973431071553791,-112.6727405906093,137.06790408932844,145.7910466916149,-16.70766055571894,-14.489079729296142,-647.9789616389149,2159.7377850485923,2.2548490048988303,202.4364868698733,1152.0636948741794,1.1697141908446536,614.8942233942331,36.68617346734906,0.6159876470249006,-486.862865335162,63.396845343529534,0.4909731251727283,-566.2831279124754,58.277754756269886,0.5692739917278576,-1104.66652878115,1724.4316230267304,2.04791419798389,792.4713264945401,549.2125025068367,0.9641810909916447,-792.2596743644517,2141.6705071419046,2.2835121967674117,179.4304264090892,443.1822747351412,0.478127395743814,-915.6999501786936,1656.1316824103108,1.892426629552773,-550.9284581552571,2165.595068815399,2.234574717498366,-959.7020362861693,1685.7269395746212,1.939768881402998,-584.5219614456886,97.39797076546067,0.5925810392862267,1131.5760853732547,516.8708918328875,1.2440337438400875,90.87889575157494,463.5634999549258,0.4723876503291403,-342.91929347369114,844.316495792971,0.9112979682324643,-355.00363013877075,884.9293753504205,0.9534818177447278,-1086.7363733990792,1703.6018037507422,2.02070657221957,551.1700563398429,97.95793672639195,0.559807277885307,-605.9496962560478,2144.7514575597575,2.228706766063562,641.4329464234371,115.25071551946563,0.6517046510384905,265.2437828740456,1004.8817563321519,1.039298613759551,-217.47395742991932,-190.42357833190988,91.28094357803774,55.05067691009832,-131.6806153186538,33.088486013470984,146.56452966481226
