Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1016.5690396174534,729.4246430043211,1048.0741795032013,739.9418990704319,1158.3349881912557,1062.98533050844,1112.6138888879345,1194.722604237801,1731.0784594642294,1191.510429558,1666.6347656249998,1126.013671875001,914.3913428694028,1057.0682231388887,969.2991733617336,734.6693871095205,1000.7972470821502,1062.9160540468483,984.346461671233,1073.4001565867193,1388.9501953063912,1201.1352539068075,1310.50781248115,1201.1352539068075,1177.3377685419798,1102.968383780277,1045.4356353942321,230.5454791278431,1108.4605727702078,20.4869567677762,1163.5943043532354,167.5268356382065,1063.8295283266941,264.68019009513574,1200.3357136891445,506.3242494724284,1436.68450191523,684.9703788706648,985.0288207741116,283.0182949111545,1069.0254899057704,535.1690143654306,1195.4433557698571,709.9544456678631,2001,3,baseline,person0,61.42525971862002,67.04408788965826,-2.694206523564944,30.223141432646013,8.792288789350918,22.153459700648753,32.764675088138404,21.731236984857514,23.452427487261964,48.02105045865851,-3.6140520242976257,-24.82054133625791,-133.51153768160813,-150.25511482970128,-71.15812543727013,-84.51929634856796,-3.833591023396617,86.6884148620811,13.137609732077111,73.29896349885942,-60.54691004978048,-71.5803481530614,-37.09448256251854,-36.13572817382958,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.84654029935123,62.353412244338
1,0.033457711442786,1013.7116228418132,730.4812551049199,1042.0560596515631,739.3982850253301,1193.216450653949,1061.2952424623884,1146.275506584096,1183.276587505303,1729.505296139955,1192.433506140351,1666.6347656249998,1126.013671875001,962.052523065258,1063.1573345630495,968.0543377197705,737.1596674552319,1013.8939323711871,1061.113309578595,984.3463064151921,1073.400095743078,1388.9501953049116,1201.1352539084755,1310.5078124808101,1201.1352539084755,1177.3377685459575,1102.9683837777634,1038.359893983887,233.2146126340939,1106.0955571573531,27.4363017484964,1157.2577834501235,169.9611324156837,1049.7125682722672,267.3038477088083,1197.816319995357,490.9373096587834,1442.8110134553679,624.3850320726807,982.3740457994352,285.1887286426716,1088.7763444970299,531.0230721220022,1225.609060455063,663.599444577237,2001,3,baseline,person0,62.31064659353954,67.04412284249781,-2.6942065232856383,25.561927535303663,10.910423136066042,27.30621296424008,36.55917177359265,26.08826671115322,28.43006374302269,45.182251680947346,-4.683637738315451,-24.820541336790978,-128.20019675436723,-150.2551376333166,-65.5234738160539,-81.91926364422794,-1.3124748207389203,87.170313219706,17.948537335583556,71.74253482812532,-56.27051500670134,-66.74142006914077,-27.840451263678656,-29.75147017808242,901.6069355726938,-1385.4803299949199,1.6530126469799364,-85.4038322533328,31.580525237228713,0.0910557199620905,-47.01945400434117,27.589352126777452,0.05451606557375242,1424.5200326196152,181.99425966637435,1.4360986156549629,0.0,-0.0,0.0,-0.0046403664272695695,-0.0018185237008938712,4.983977230088766e-06,-211.4831261679279,79.77633230578643,0.22602959065114236,-4.421949795177885e-08,4.986058653935383e-08,6.664414519787741e-11,-179.87242976643722,-16.247795251367595,0.18060476693767596,-70.68671199758491,207.7053295352807,0.2194039998960572,-421.934419470603,78.41712718932125,0.42915952764749493,1042.5537479555971,-50.514155725852525,1.043776794772215,-189.38895189970768,72.75742041232972,0.20288375323501456,1.1888096455203581e-07,-7.513266341168968e-08,1.4063285833743354e-10,590.3229401997266,-123.91589456195118,0.6031884636257051,-1.0160596032443858e-08,4.986058653935383e-08,5.088532010101642e-11,-75.30083753923195,-459.89217881675035,0.46601612876694265,1006.0944471269173,-342.10399453265825,1.0626670125748792,183.11209212902847,-1810.8036738133576,1.8200384565661853,-37.20624000514235,74.4306839387354,0.08321196432549935,-79.34717768177704,64.87095613902412,0.10249007540466876,391.4399617987229,-53.88128447865035,0.39513091059806354,26.462864216925443,0.0010446871004845483,8.348027993783505e-09,-139.3165789391545,63.307807240110144,154.00794140994176,152.6937870357599,62.67672293831333
2,0.0669154228855721,1010.8447897165258,730.7838905608014,1036.0356723913164,737.728460307703,1228.6748918731703,1056.3018674495156,1180.0076556989545,1171.8359968960822,1727.9455264162732,1193.3541601823852,1666.6347656249998,1126.013671875001,1009.8403702790348,1069.297251944144,966.663933964614,738.6690990752079,1025.8911447668575,1059.3530278121034,984.3460147167356,1073.3999815173356,1388.9501953062863,1201.1352539110617,1310.5078124925299,1201.1352539110617,1177.3377685612984,1102.9683837790592,1032.2692195426507,235.6828734778074,1104.6565821292086,34.2401701180176,1151.5272260248557,171.8921437159403,1036.0269402069327,269.4237845305308,1195.4930730623541,475.2166724348277,1446.6834031709977,565.0957882934075,980.9890077115449,287.8172493997236,1109.458322794607,526.3962042640076,1254.0273651231016,617.7331463350063,2001,3,baseline,person0,63.19812566273936,67.044188190061,-2.6942065244589215,20.898155568418147,12.940431244810666,32.715752610282316,40.48817594846057,30.58203537977537,33.14434151679347,43.805789868004624,-5.748543612045241,-24.820541337231333,-122.8772992753497,-150.25518050096102,-59.75024924415324,-79.52557060962489,1.367523552342909,87.53399814556442,20.913647666502197,70.18442969847231,-51.97782590597499,-61.8839664746602,-18.83348438918152,-22.50908915990227,849.3798123830126,-1370.873746719461,1.6126812751217936,-85.6852725922348,9.045312510361397,0.08616138124250147,-46.61913969665291,27.516946089049483,0.05413433760676946,1428.3059167240347,183.51277228252144,1.440046780260871,0.0,-0.0,0.0,-0.00871842226863814,-0.0034140333422263474,9.363039598128304e-06,-182.04097586446818,73.77255458533986,0.1964212480963677,4.10870346419724e-08,7.729618679939468e-08,8.753767708477052e-11,-179.94019915384092,-49.90851572387346,0.186733326466606,-43.008770357931304,203.35725535669303,0.20785554511224502,-409.04256373713713,63.36168047081406,0.4139209121326627,1059.7987635782074,-149.24436841448744,1.0702557174737897,-171.27762713439608,57.714984587595204,0.18074026945519245,4.5852095354771005e-07,3.873105058480874e-08,4.6015384288485986e-10,618.1528085967282,-138.29002817203175,0.6334327325516456,3.50285054989169e-07,7.729618679939468e-08,3.5871202968745285e-10,-69.4383098191167,-469.8658858015015,0.4749690826891423,1008.2025237303374,-341.94181597820295,1.0646109779495478,115.73982644484789,-1772.065130057084,1.7758407959582734,-41.55704903887592,45.114610500400154,0.061337724162397425,-41.3966774224481,78.56247913270653,0.08880173438112103,358.57839279252823,-52.61213904309031,0.3624175781503459,26.52539671511727,0.001953139063479803,-3.506764801713986e-08,-139.39303573888296,60.67384830597311,161.68289499694998,147.28424738971768,63.12705003119646
3,0.1003731343283582,1007.9619437576184,729.889990902749,1030.2118800438332,734.3357382139891,1264.1035302840867,1044.6933060735753,1213.8632195990815,1160.3707387618895,1726.4157298282532,1194.2826867242188,1666.6347656249998,1126.013671875001,1058.0061652137772,1075.5200550099512,965.1417006369196,738.5986908892926,1036.332551775618,1057.8273401772963,984.3455831544356,1073.3998126367994,1388.950195313678,1201.135253914181,1310.5078125258035,1201.135253914181,1177.337768594141,1102.9683837887367,1027.9460119915739,237.89011564396682,1104.8040769987006,40.734083506550704,1146.8681918605862,173.1884079427314,1023.3189738297694,270.71992743538084,1193.4136087153752,459.28554765770804,1446.7572204003693,509.03121666785114,981.8466429577139,291.4187259582596,1130.9248498366535,521.2589452887939,1279.145826218648,573.338368842571,2001,3,baseline,person0,64.10833815567398,67.04428445458917,-2.694206528384162,16.209247932869044,14.86182115164608,38.542694747583376,44.56098336774849,35.161189698420536,37.37114911091685,44.96146566664784,-6.814259403971615,-24.82054133715929,-117.53656095330156,-150.2552439533958,-53.7734449014063,-77.4543184973436,4.260334094347806,87.68386035101031,19.72515672498803,68.65829203627958,-47.7551562812412,-57.15494995056914,-10.384007170324324,-13.915337087063886,750.7525175025753,-1326.892234346394,1.5245564417578052,-86.16387178295777,-26.717298329893918,0.09021101280153404,-45.723288355693796,27.75224310908245,0.05348650386446602,1439.6021980495445,185.99009906725323,1.451567017254156,0.0,-0.0,0.0,-0.012898739372364368,-0.005047581826117919,1.38511934391062e-05,-129.2140844262372,65.97110414840782,0.14508089535383642,2.209249388138619e-07,9.32306029155917e-08,2.397911047347532e-10,-174.06427685414798,-101.40329231769371,0.2014472639914107,4.408396842814318,194.09317339704856,0.194143230430681,-379.8217459940226,38.739735892171815,0.381792254854578,1058.9080030623322,-346.962206180525,1.1143019929386797,-139.25143003987287,38.74336202007612,0.14454068240038265,9.816091434113222e-07,2.8924847647160794e-07,1.0233382586270564e-09,641.6017747883018,-153.54484074616295,0.6597187700310363,9.944973716902288e-07,9.32306029155917e-08,9.988578315349875e-10,-62.15201988739634,-476.1570379481115,0.48019620819369513,1011.8912035576983,-342.6790907022595,1.0683411285923494,2.2062844763889484,-1675.68459431031,1.6756860467581924,-45.49723403220466,-2.1043933634198657,0.04554587551040387,25.633410331597116,107.64264509527625,0.11065265820727323,312.07774107967845,-45.60047800688032,0.3153916930926539,27.204864101094163,0.0028772000240387813,-1.1731945813839625e-07,-140.14430256436714,57.427415802813044,174.1584192710055,141.4573052524166,63.76311605189526
4,0.1338308457711443,1005.0552574884697,727.7280565464213,1024.879593537058,729.2305169461542,1297.635941357125,1023.9322616178364,1247.6617904275677,1148.8947793223235,1724.9432606103737,1195.2347947482945,1666.6347656249998,1126.013671875001,1106.7038268538995,1081.822912597644,963.486929663774,736.9200159836225,1045.0948129278536,1056.9083895273734,984.3450948597218,1073.399621742631,1388.9501953308134,1201.1352539165534,1310.5078125895416,1201.1352539165534,1177.3377686479125,1102.9683838123929,1025.8702922607918,239.9082489979931,1106.9194110836231,46.7109736351453,1143.5835151665667,174.14607822725662,1012.2237768267393,271.073653799071,1191.3663615399278,443.5827670570431,1442.5035231110903,458.5073982240625,985.5323985146556,296.3351853547917,1151.5043443758896,516.2641156928935,1299.792215183431,532.1777560824313,2001,3,baseline,person0,65.08067087565112,67.04439269282227,-2.6942065364102707,11.47729636172502,16.694358388751823,44.822337096867656,48.64737029128256,39.469263846086214,40.93500632683241,48.91286562220898,-7.888854639625736,-24.82054133589306,-112.21039612403314,-150.2553157972343,-47.61907623555366,-75.7470549436695,7.400127933851733,87.5585866675787,11.901956363882691,67.2133455421861,-43.79404304113877,-52.97214948633509,-2.8590367143063338,-4.198237831374093,617.0890976834764,-1230.2279798941347,1.376321124227268,-86.87642231953716,-64.61692276905157,0.10827215460673233,-44.00986063848258,28.457057671253636,0.05240870123103332,1455.4988832215033,188.3828067102194,1.4676392884231,0.0,-0.0,0.0,-0.014594384757012439,-0.005705535735069691,1.567000971473452e-05,-62.04009901667864,60.31892998651052,0.08652945857173064,5.121511145785258e-07,7.090516525841275e-08,5.170360786486269e-10,-159.37391641067532,-152.58728250331689,0.22064207217533097,63.22411168318494,178.6401361855039,0.18949824947609206,-331.6185275255118,10.572341873862854,0.33178701332464244,1002.2326580937863,-620.5159755544262,1.1787749475060953,-98.1739799996921,28.623305158299726,0.10226154676693039,1.607152775174914e-06,7.070474069918361e-07,1.7558063898067766e-09,615.0897252619271,-149.2878436841628,0.6329472571981493,1.905035435472916e-06,7.090516525841275e-08,1.9063545191983065e-09,-61.1890977345669,-469.33217854775467,0.47330413002841193,1010.1877675131201,-342.99893640933726,1.066830631361454,-127.13652864610972,-1510.0799267214136,1.51542241041999,-49.45858224568978,-50.17303435534048,0.07045200305297102,110.16161590264157,146.94547787404557,0.18365335577089997,261.89063072109883,-27.466034295089056,0.26332695551233254,29.061543006008367,0.0032350758144785133,-2.3988815494135016e-07,-141.43082019330083,54.771744930595425,187.68893861801334,135.17766290313236,64.59131988847948
5,0.1672885572139303,1002.0847656027854,724.4708917685034,1020.0468428580132,722.758391190742,1327.147373718424,993.1534729935968,1280.8623082117895,1137.4910575935614,1723.560177657229,1196.2311586601024,1666.6347656249998,1126.013671875001,1155.858551184718,1088.1339464011367,961.5420606244104,734.0700533906618,1051.7687054069584,1056.959094624116,984.3447882983179,1073.3995022959616,1388.9501953603528,1201.1352539155655,1310.5078126854187,1201.1352539155655,1177.337768717237,1102.9683838544495,1026.162388241671,241.7615282535391,1111.1380294505,52.025780434860195,1141.8209128451783,175.2110502698504,1003.3151293232885,270.5541233928497,1188.810403359445,428.6008134703268,1434.338130620294,415.5571343335186,992.2603747187502,302.49964586803543,1168.718272894328,512.4207860476429,1315.5295359606414,496.7077241964148,2001,3,baseline,person0,66.17514495697391,67.0444591888388,-2.694206549124478,6.696853402559187,18.421159047639883,51.52101703387164,52.521816990502934,42.96236245087095,43.73260449968122,54.971330543213554,-8.983810963247393,-24.820541332561604,-106.99012179248017,-150.25536100944265,-41.343921883627715,-74.44377986985945,10.945728983456467,87.13506108250068,-3.3486804313378022,65.86211583408796,-40.34312192699641,-49.902576466628375,3.38948257268484,5.620720687064122,470.3645317798229,-1060.145190942653,1.1598062849611077,-88.7834749475911,-97.35169076007185,0.13175681051700588,-41.338241424845684,29.7797987023661,0.05094788135783738,1469.1597904081054,188.62718133859042,1.481219329907536,0.0,-0.0,0.0,-0.009162653113708922,-0.0035700788934281804,9.833599309889598e-06,8.730303666420129,55.39169224754641,0.05607546497493179,8.82890093128763e-07,-2.9526121324848287e-08,8.833836699789088e-10,-144.44355189412954,-193.44197425098298,0.24142024994997843,126.08807312152453,158.85147460857937,0.2028102393096045,-266.2658956421723,-15.52797199263739,0.2667182878925484,882.051733029163,-919.93108007021,1.2744757556810928,-52.68149689205376,31.830391161539275,0.0615509050809496,2.072005021090331e-06,1.2570070882567351e-06,2.423483366427593e-09,514.498086573398,-114.87126523351203,0.5271657127166329,2.8656199098896136e-06,-2.9526121324848287e-08,2.86577201811244e-09,-76.39369431628964,-447.7877577591046,0.45425749584373093,992.3128735507149,-340.839861335487,1.0492171605962568,-244.0511361561489,-1283.7179244608687,1.3067106285024346,-58.12917128804346,-85.18103809444118,0.10312521420817188,201.08895420416613,184.24632909471936,0.27273334465702,199.4724740966634,1.5154980587767146,0.19947823103439186,32.71216213321644,0.0019874645832617024,-3.8000828258584297e-07,-142.88015387246608,51.61143976750939,200.21333343313052,128.4789829661284,65.64619990885245
6,0.2007462686567164,999.0003853936844,720.4273189271098,1015.2719695640371,715.4190834229992,1351.1929871589407,953.9333992741413,1312.477554569595,1126.3322034782138,1722.2866491216487,1197.2923729782165,1666.6347656249998,1126.013671875001,1204.9618169403634,1094.270064688821,959.1847731361636,730.6468019024436,1055.66621878578,1058.1106475706965,984.3451223595399,1073.399634003189,1388.9501954006328,1201.1352539070829,1310.5078127964819,1201.1352539070829,1177.3377687789266,1102.9683839135914,1028.5272005777435,243.3607940510397,1117.2613036500143,56.7119805069014,1141.5084576933389,176.641259746577,996.93143996412,269.43572739943636,1185.106781378673,414.9330073403647,1423.4859724043379,381.5248887961983,1001.779157300075,309.4630933841163,1180.6836436324365,510.5799139636279,1326.8753842647748,469.3011322205978,2001,3,baseline,person0,67.46152925929748,67.0443811014892,-2.6942065648850333,1.8892164882398044,19.9469053153881,58.51296640213665,55.91752934234775,45.19060621223663,45.7627402789144,61.88277056825336,-10.112987585664415,-24.820541326404737,-102.03839727131088,-150.2553121550633,-35.048399399759035,-73.61446048650755,15.081609446231944,86.43863419810437,-22.77728774549436,64.56995077970019,-37.64383645954791,-48.370759589659016,8.118903819366508,14.200265585904798,339.1101128819025,-819.1412620281342,0.8865596854221497,-92.18742335008051,-120.85622916284416,0.15200246429380307,-38.063826862696516,31.718078504228767,0.04954686084338498,1467.621772027466,183.39922317094036,1.4790364906886997,0.0,-0.0,0.0,0.00998458076549728,0.003936528282031214,1.0732572290833632e-05,70.68063636440219,47.79961714462699,0.08532617274933743,1.2039012166358193e-06,-2.5353043085004504e-07,1.2303072050444212e-09,-142.7136850690246,-219.36072287231332,0.2616989160180924,183.01533295202586,140.06337761788552,0.23046119379468483,-190.7987451587889,-33.42715162469458,0.19370476406095125,718.6867362890483,-1172.2282256669978,1.3750016865328574,-9.338808255720917,42.746781386177595,0.04375500723934097,1.8438063962858952e-06,1.7676649735032512e-06,2.5542633939229974e-09,357.6266941799015,-55.0208608010417,0.3618344200229332,3.319508534220693e-06,-2.5353043085004504e-07,3.329176262700884e-09,-110.69561607957299,-408.50989325239834,0.4232420729373701,944.9315268280935,-333.5211415888263,1.0020638414194907,-324.35446861072836,-1017.1719484016915,1.0676350471593938,-70.45573013198657,-102.31576938763689,0.12422772063358249,284.50190317416747,208.12683282264112,0.3525026403454405,116.49073444508011,34.41816241824017,0.12146893066048838,38.44806613636238,-0.002333911861856888,-4.7105896977395015e-07,-143.69293974396945,45.60223045611768,208.9787097429391,121.4870335978634,66.98999787155185
7,0.2342039800995025,995.7890925258276,715.9846616543742,1010.0719518126049,707.8412748911544,1369.295217594129,910.124101282639,1341.133464747688,1115.6806065783833,1721.0996410263306,1198.4261089146937,1666.6347656249998,1126.0136718750005,1252.8240279539095,1099.9031610629504,956.51986831518,727.1960771418671,1056.3194776802434,1060.1604216311175,984.3467899569296,1073.4002880352075,1388.9501954406026,1201.1352538859896,1310.507812871739,1201.1352538859896,1177.3377687817974,1102.9683839754646,1032.3209878321607,244.7349215419202,1124.6918437195907,60.950489692961995,1142.3247093435189,178.4486189281547,992.9989690278468,268.1239934207917,1179.9339694406422,403.3807213423894,1411.7953512492215,357.1504895335221,1013.3951591968828,316.7558609166906,1187.1518665791061,511.21653896641715,1335.1713977317495,451.2898616861054,2001,3,baseline,person0,68.98605282361322,67.04400380562758,-2.6942065777236457,-2.877094267573231,21.146688848058016,65.52090866086941,58.593137590899495,46.02973481741777,47.08873535857619,68.41788120105132,-11.287786106366925,-24.820541317427743,-97.57669741210108,-150.25506735995623,-28.937900754266884,-73.31212056707824,19.80321140656228,85.54119058486377,-40.26173227993539,63.31605236979994,-35.86567182423676,-48.42907459771848,11.223063534339438,20.547623819879423,247.9551980463821,-538.3294241536021,0.5926890830340722,-95.98064928464241,-132.7842545457009,0.16384121365626847,-35.47786277456089,33.88563914229079,0.049060322941580026,1430.5285373565494,168.36466486245314,1.4404022204112692,0.0,-1.3273149617823426e-11,1.3273149617823426e-14,0.04984194428457541,0.019548020182483892,5.353825270889513e-05,113.3905186822076,41.07057630735785,0.1205993447960584,1.1946365582025796e-06,-6.304480605473771e-07,1.3507854245741826e-09,-155.42060491269456,-226.4891471971442,0.2746869094615132,222.08751732116934,126.68257939006395,0.2556781986615217,-117.53556255627096,-39.20572932454797,0.12390196801217002,541.048076947636,-1309.393144430029,1.4167721864326297,24.396517722850703,54.01921122633735,0.05927280370049167,8.580427570441953e-08,1.8492882070780578e-06,1.8512777335038461e-09,193.3253252461809,19.027751012735067,0.19425945714467616,2.249321026834829e-06,-6.304480605473771e-07,2.3360029620720173e-09,-154.60746461624203,-345.2802209060277,0.37831455042593565,856.4814789288756,-318.3599965599937,0.9137360730308688,-349.4148479075624,-728.5136433900244,0.807974544489907,-79.64994334835684,-103.13690362466248,0.13031244900115788,347.1845920086818,217.96970617805692,0.4099364996430341,19.524912682097586,61.26462247503838,0.06430067015399228,45.56568571412107,-0.011276798242947661,-3.83726556354031e-07,-142.4577638540401,35.85970112515284,209.4567128632393,114.47909133913066,68.6387966578342
8,0.2676616915422886,992.5178272536398,711.564568414907,1004.4762544624697,700.7236562989491,1381.8182962539845,866.5614414336617,1365.4421377122965,1105.8373839291803,1719.886094052817,1199.6039732697527,1666.634765624999,1126.0136718749998,1297.3962895729844,1104.5699497518297,953.8438997828782,724.158092939122,1053.8811454911374,1062.6172234888904,984.3505980092428,1073.4017798865486,1388.9501954536952,1201.1352538481344,1310.5078128110652,1201.1352538481344,1177.337768640305,1102.96838400351,1036.7504080251288,246.1487400926815,1132.5056584622362,64.90145814625,1143.7874373262484,180.5528494773076,991.0006029242592,266.9990059294762,1173.454253179953,394.89499139749176,1401.2897219764175,342.7745972468747,1026.124119022343,324.1338378617388,1189.464457254,514.3488375767637,1342.0954050372409,442.7482212674317,2001,3,baseline,person0,70.7063470262776,67.04314829909481,-2.6942065750921853,-7.465226429946221,21.94823765118649,72.14136250461164,60.36683069708892,45.728805720030955,47.80572440448855,73.66379260152682,-12.506496817289491,-24.82054130748674,-93.82023678630676,-150.25450791043798,-23.3149064894983,-73.50803134292342,24.832651922015614,84.54373100589012,-51.39686340632469,62.15520911558718,-35.089438297020976,-49.72746327407893,12.716286107467583,24.290939708421785,206.94802504145514,-255.29661325701375,0.3286393856631612,-97.77313304234148,-132.1098499825928,0.16435509729648967,-36.271069394232526,35.20457031477653,0.050546535450506164,1332.1969643768105,139.48320096130172,1.3394791208694519,-1.9909724426735138e-11,-1.9909724426735138e-11,2.815660230739973e-14,0.11381687954870369,0.044589162760876704,0.00012223941878919452,132.38861840693096,42.25688159152757,0.13896902649704487,3.913189970326702e-07,-1.1314364562973134e-06,1.1971963130904126e-09,-167.24686503749837,-212.73477130606426,0.270605980694283,233.54301312590758,118.08842514660029,0.2617006211943947,-59.72811699942154,-33.624161450470986,0.06854219279789586,374.29573392281424,-1302.0215062668312,1.354753593541706,43.71870996708261,62.8922439226369,0.07659477754266505,-4.228991382608767e-06,8.382392178144028e-07,4.3112658350490645e-09,69.11981050612478,93.61963132782763,0.11637088800194387,-1.8134440665351256e-06,-1.1314364562973134e-06,2.1374582655785527e-09,-193.66884288453673,-253.62553441255275,0.31911366691241594,726.5491845184092,-294.1989223033132,0.7838537640458176,-313.997246666709,-429.67350923659785,0.5321781613839174,-79.98062081675225,-90.8007174352114,0.12100276853436952,380.44920816616707,220.51648564382012,0.4397375585903081,-72.87803271528533,73.43006296094347,0.10345618299018343,51.41697170788692,-0.02556978633268485,7.865034006970431e-08,-137.132277269438,23.95707203402571,197.87527473489766,107.85863749538842,70.50533029680847
9,0.3011194029850746,989.3486407387943,707.5226273523051,998.9928387031946,694.6603883436734,1389.6663914860594,827.7407634418224,1384.549579477653,1097.0873013089576,1718.3887798458813,1200.7287573448177,1666.6347656249989,1126.0136718749984,1335.8868374470972,1107.7824363604445,951.4616638667276,721.761752800131,1049.076931935143,1064.9377576864886,984.357102180179,1073.404326206577,1388.9501953931217,1201.1352537944172,1310.5078124607628,1201.1352537944172,1177.3377682415814,1102.9683839312797,1041.0460291561162,247.8713218247033,1139.6759502748005,68.56957992886039,1145.367809623307,182.8837873804189,990.2554321768912,266.3284868078692,1166.0735264482564,390.3926929206317,1393.5388974189973,338.3477754078876,1038.625370783869,331.3177496490687,1189.6490444014723,519.4887080068544,1348.9941460992432,443.0598592962601,2001,3,baseline,person0,72.42715247670824,67.04169352898755,-2.6942065367049297,-11.662199744661402,22.34966355372881,77.9298154035729,61.0864303488345,44.7867734569127,48.08751644700365,76.95924259767388,-13.736755119633695,-24.820541301708225,-90.88217163967455,-150.25355189479694,-18.510456130178156,-74.09060798002224,29.66911142305546,83.55972846624898,-55.83725915242021,61.19159916237131,-35.35384118491655,-51.653498076838325,12.733675262087116,25.48037253953083,206.19285553345122,9.314385694350317,0.20640312849833892,-94.72215457010489,-120.80745778185337,0.1535145870010962,-44.75243949354843,33.618081648782926,0.05597281710230376,1150.4238100664168,96.01632837644033,1.154423699549963,-6.636574808911724e-12,-3.981944885347034e-11,4.03687085771693e-14,0.19439975586180705,0.07610562464020128,0.00020876621178008044,128.38956837598252,51.485342473811635,0.13832795002246207,-1.8104443347215005e-06,-1.6055268143467331e-06,2.4197985537460646e-09,-163.89093942220123,-181.221837771065,0.24433909738274354,214.309093579987,109.6345692646382,0.24072417072018001,-22.27201787672443,-20.040794564015417,0.029961245419010914,234.56760470588412,-1160.2908961129644,1.1837638805015476,47.234919213202886,69.66818119336423,0.08417121279789921,-1.1917237655189503e-05,-2.1588512390397483e-06,1.2111201096611767e-08,5.517028496937411,153.62289315215605,0.1537219272058309,-1.0470006423184933e-05,-1.6055268143467331e-06,1.0592391177308367e-08,-220.59867257561433,-134.5668392340334,0.25840280293286544,571.0923114998752,-261.5266329613033,0.6281262675627782,-231.66033249687365,-132.31095756675296,0.2667821192373903,-71.2014006165462,-71.62295434010065,0.10099250981217392,373.6433611995119,214.71617386666207,0.43094361195916064,-143.59062078139632,69.35723029252125,0.1594637631884956,51.432252124395575,-0.04348086119836405,1.1473365613217503e-06,-125.4411355030115,11.998008388253785,173.00803460092433,102.07018459642714,72.3717155094964
