Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Head_vel_X,Head_vel_Y,Head_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,920.3325382744391,892.5432424759422,946.4339841518924,887.380226413574,1094.82834805046,1056.6150092946775,0.0,-0.0,0.0,-847.3633023743807,0.0,-940.6699321040148,0.0,-0.0,0.0,-0.0,-230.64736336646212,-0.0,-100.4412788281128,-0.0,-181.2510666153813,-0.0,-168.16835627646458,-0.0,-379.2612334969423,-0.0,-738.7965407189466,-0.0,-327.0977137549492,-0.0,-564.3083622008799,-0.0,-816.9026677584363,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.932569681888,54.10709705544343,-17.78994879895183,-25.90818789296611,68.41617754852179,80.34173205929528,0.0,0.0,0.0,0.0,-48.75475348165753,-106.79838010511936,-3.020701111919059,77.14163678247697,-66.93076189409767,30.171384690006143,-120.64831201647488,-128.76655111048913,-52.232134467953045,-48.42457643281366,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.8963902641345,48.75475348165753
1,0.0336021505376344,931.3741525681037,893.2693795863875,960.084193143656,891.8195534920178,1119.2211929701714,1055.8959127835124,0.0,-0.0,0.0,-855.2510686698085,0.0,-940.6699729084175,0.0,-0.0,0.0,-0.0,-230.1938037223597,-0.0,-91.5854000340498,-0.0,-180.3580124969102,-0.0,-175.8839156575246,-0.0,-392.63745377863427,-0.0,-734.2694545106443,-0.0,-323.9260977017895,-0.0,-579.5349350561166,-0.0,-823.1556486560928,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.9325575865117255,56.175013432613774,-12.797186320706697,-20.23093457236496,64.16390455463531,73.48707590527913,0.0,0.0,0.0,0.0,-46.05701330042187,-106.79836961524188,-2.3286879455580207,77.77637258407556,-61.17257305379109,34.16469831490389,-115.02081373663115,-122.45456198828938,-50.85690918199579,-48.96742185104144,-229.61504718034564,-0.0,0.22961504718034564,0.0,-234.73992495193008,0.23473992495193008,0.0,-0.0,0.0,26.577290565699894,-0.0,0.026577290565699893,13.497935008487506,-0.0,0.013497935008487505,0.0,-0.0,0.0,263.55095291131477,-0.0,0.26355095291131475,0.0,-0.0012143390257080002,1.2143390257080003e-06,0.0,-0.0,0.0,406.2302195948852,132.11437385448917,0.4271734999869168,-186.08871151425654,-0.0,0.18608871151425654,0.0,-0.0,0.0,0.0,-0.0,0.0,94.38729374203396,-0.0,0.09438729374203396,328.59844137945436,21.609840406849877,0.32930824599365294,134.72608555907746,-0.0,0.13472608555907747,725.9310648106144,-21.400312172276237,0.7262464349090765,0.0,-0.0,0.0,-453.1428081718462,-0.0,0.4531428081718462,-398.0763155831539,-0.0,0.39807631558315393,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.00035995839793741887,61.54119138458938,123.83338588449743,46.05701330042187
2,0.0672043010752688,941.650927466845,893.231361321193,972.9963381398759,894.8225452226219,1141.0457470737092,1055.3883253246,0.0,-0.0,0.0,-861.4987451899733,0.0,-940.6700383987408,0.0,-0.0,0.0,-0.0,-230.6760759351681,-0.0,-84.5713923380834,-0.0,-179.9345249335102,-0.0,-183.6471733987715,-0.0,-405.3353575690171,-0.0,-730.357623367433,-0.0,-320.95863302200473,-0.0,-593.0526846538295,-0.0,-827.1138491280751,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.932533025773102,57.59881675309534,-7.934980585972009,-14.702680184432417,59.85249269185878,67.20739011445379,0.0,0.0,0.0,0.0,-44.05523068282629,-106.79834561962768,-1.5077117166763812,78.35921336069984,-51.640687522992415,37.72783350989186,-109.5757672252722,-116.34346682373256,-49.72327453341336,-49.13648659745022,-231.03455037950843,-0.0,0.23103455037950843,0.0,-185.9308532401039,0.1859308532401039,0.0,-0.0,0.0,12.60298988678381,-0.0,0.01260298988678381,-14.352421053177626,-0.0,0.014352421053177626,0.0,-0.0,0.0,208.73686903196005,-0.0,0.20873686903196007,0.0,-0.0019489920173754178,1.9489920173754178e-06,0.0,-0.0,0.0,384.2654350875027,89.36903390277932,0.39452091050247745,-117.79604604619522,-0.0,0.11779604604619522,0.0,-0.0,0.0,0.0,-0.0,0.0,88.31174887039447,-0.0,0.08831174887039446,305.8368209865426,-1.1314235721835433,0.30583891379360834,116.41609482196692,-0.0,0.11641609482196692,649.4987301212847,-15.105802777234207,0.6496743689778026,0.0,-0.0,0.0,-402.2882280279328,-0.0,0.4022882280279328,-377.889616801793,-0.0,0.377889616801793,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0007309275814304786,42.37238681753147,122.41444404352613,44.05523068282629
3,0.1008064516129032,950.5266149698521,891.8079554464259,984.6974973261332,895.3966688843353,1159.1476688190594,1055.234435126984,0.0,-0.0,0.0,-865.0552201386245,0.0,-940.6701208833043,0.0,-0.0,0.0,-0.0,-232.6537716772144,-0.0,-80.7126825170777,-0.0,-180.7416494018207,-0.0,-191.56120648272528,-0.0,-417.145968948477,-0.0,-727.6362450097506,-0.0,-318.1721680617808,-0.0,-603.5621880555551,-0.0,-828.0786833607569,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.932494321782679,58.03988409205775,-3.275064130815083,-9.501015092661,55.39945022722807,61.937018858837185,0.0,0.0,0.0,0.0,-43.14023232365998,-106.79830459110028,-0.4178145016560551,78.83787231605179,-35.490521068828556,40.52969885363343,-104.43719181476332,-110.66314277660922,-49.03774158753521,-48.72741443156719,-235.52162457846438,-0.0,0.23552162457846437,0.0,-105.8406944718594,0.1058406944718594,0.0,-0.0,0.0,-24.0200241769203,-0.0,0.0240200241769203,-58.856225283298336,-0.0,0.058856225283298334,0.0,-0.0,0.0,114.83520427312993,-0.0,0.11483520427312993,0.0,-0.002454740613444528,2.454740613444528e-06,0.0,-0.0,0.0,348.226497383019,17.085920172590438,0.34864541033518553,-28.713466764610022,-0.0,0.02871346676461002,0.0,-0.0,0.0,0.0,-0.0,0.0,82.92519721626459,-0.0,0.0829251972162646,264.1404600894897,-42.36055883307163,0.2675156062754796,80.98821992462764,-0.0,0.08098821992462764,538.7131911416218,-4.579772281049586,0.5387326578407288,0.0,-0.0,0.0,-312.7628212353547,-0.0,0.3127628212353547,-351.483794652726,-0.0,0.351483794652726,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0011518307549965813,13.126164007521178,121.97810463971177,43.14023232365998
4,0.1344086021505376,957.7997126585882,889.3238256096533,995.1073125362948,894.1151779280808,1174.4370101019601,1055.4524438581063,0.0,-0.0,0.0,-865.9834571917817,0.0,-940.6701906212248,0.0,-0.0,0.0,-0.0,-236.1390370924847,-0.0,-80.2338575950131,-0.0,-183.60933112242182,-0.0,-199.7029336539471,-0.0,-428.32621156306897,-0.0,-726.5331133776597,-0.0,-315.4373481624193,-0.0,-610.8468350811779,-0.0,-827.0334851896599,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.932446654409558,57.76413761489576,1.139597408536156,-4.783097657695154,50.74686204853775,57.86291176123979,0.0,0.0,0.0,0.0,-43.076416512862906,-106.7982491184646,0.8968017887269975,79.17961901489227,-12.76810290503335,42.51511567251179,-99.6807835765716,-105.6034786428029,-48.93392152803383,-47.74314716211339,-242.29780061556093,-0.0,0.24229780061556094,0.0,-27.624334701959917,0.027624334701959918,0.0,-0.0,0.0,-85.34220800508929,-0.0,0.08534220800508929,-103.72149875844434,-0.0,0.10372149875844434,0.0,-0.0,0.0,14.249829680642327,-0.0,0.014249829680642326,0.0,-0.002075400512246973,2.075400512246973e-06,0.0,-0.0,0.0,309.7961006544093,-38.137170858134425,0.3121346949343175,31.105097571848233,-0.0,0.031105097571848234,0.0,-0.0,0.0,0.0,-0.0,0.0,81.38824020499749,-0.0,0.08138824020499749,216.44738721678897,-73.92770394235252,0.22872423755072985,32.829197371027284,-0.0,0.03282919737102728,455.01079657912544,6.487939838200279,0.45505704957391263,0.0,-0.0,0.0,-216.79109548253507,-0.0,0.21679109548253506,-332.72402021025795,-0.0,0.33272402021025793,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0014185810240712733,-8.206215160340767,122.25603552775517,43.076416512862906
5,0.168010752688172,963.7766328670706,887.0691299758399,1004.6886897594292,892.7906927865541,1188.898583908645,1055.8667080450832,0.0,-0.0,0.0,-865.3582218723989,0.0,-940.6701838977032,0.0,-0.0,0.0,-0.0,-241.14988056244042,-0.0,-82.639358592891,-0.0,-189.18658141860658,-0.0,-208.1860198552379,-0.0,-439.3699774691985,-0.0,-727.3499787322215,-0.0,-313.2876241251154,-0.0,-616.1579160719995,-0.0,-825.6778490890019,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.93240843050797,57.44606622580601,5.25906333300596,-0.6509964923249043,45.858859355691706,54.976323119094815,0.0,0.0,0.0,0.0,-43.174279277535135,-106.79819491418404,2.172909475931358,79.39411027104389,11.819308231659091,43.852764634282856,-95.34682639595016,-101.25688622128104,-49.48796704025847,-46.28458124691376,-252.4566453504148,-0.0,0.2524566453504148,0.0,18.607003104833773,0.018607003104833774,0.0,-0.0,0.0,-165.97896881445897,-0.0,0.16597896881445898,-149.12270166588166,-0.0,0.14912270166588165,0.0,-0.0,0.0,-71.58770969684619,-0.0,0.07158770969684619,0.0,0.00020009200365933566,2.0009200365933566e-07,0.0,-0.0,0.0,285.14178616047815,-39.41667781183522,0.2878532832963867,40.3437303555797,-0.0,0.0403437303555797,0.0,-0.0,0.0,0.0,-0.0,0.0,63.97578735016411,-0.0,0.06397578735016411,177.8731454044361,-67.09974206228405,0.19010847230171704,-24.30991295175989,-0.0,0.024309912951759893,430.3764364869424,12.328502204431828,0.4305529805375917,0.0,-0.0,0.0,-158.0577702868496,-0.0,0.1580577702868496,-328.66247336641356,-0.0,0.3286624733664136,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0011375433112564793,-9.465804539311026,122.56838954857902,43.174279277535135
6,0.2016129032258065,968.8986746120423,886.1609393729411,1014.3503175175907,892.588213044955,1203.904387390526,1056.1601888693551,0.0,-0.0,0.0,-864.5456841165469,0.0,-940.6699963432582,0.0,-0.0,0.0,-0.0,-248.2427409937529,-0.0,-87.5346406690193,-0.0,-197.7696421271704,-0.0,-217.23268617560478,-0.0,-450.747373312761,-0.0,-730.2707409429102,-0.0,-313.27507414567754,-0.0,-621.1869661653741,-0.0,-825.3655947972068,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.932418067580339,57.62227189962908,9.032234662586625,2.7807611156532164,40.707969036045355,53.20070182204514,0.0,0.0,0.0,0.0,-42.84504290915198,-106.79817921220967,3.1738382195108503,79.52985286293324,31.32035826508722,44.67855191774866,-91.43791247448014,-97.68938602141355,-50.72994343843482,-44.49355913332933,-269.2287896941177,-0.0,0.26922878969411773,0.0,24.18112361415529,0.024181123614155288,0.0,-0.0,0.0,-255.43188668685875,-0.0,0.25543188668685873,-211.08352643585926,-0.0,0.21108352643585926,0.0,-0.0,0.0,-145.68359458557782,-0.0,0.14568359458557784,0.0,0.005581620282448782,5.581620282448782e-06,0.0,-0.0,0.0,287.5300420828884,-6.0257971099906475,0.28759317678101876,9.292687723827108,-0.0,0.009292687723827107,0.0,-0.0,0.0,0.0,-0.0,0.0,0.3734873880716796,-0.0,0.0003734873880716796,152.43196233035957,-27.02775234226874,0.1548095686208032,-86.92188339009249,-0.0,0.08692188339009249,446.5727116207764,8.733989330329644,0.44665811235659364,0.0,-0.0,0.0,-149.66453077882835,-0.0,0.14966453077882835,-338.59130030441946,-0.0,0.3385913003044195,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0002867992736884155,5.243880852974542,122.37489577208521,42.84504290915198
7,0.2352150537634409,973.5238425171244,886.9307085051787,1025.018109763091,893.3322247382907,1219.1888487791377,1056.1169704614451,0.0,-0.0,0.0,-864.7276115949467,0.0,-940.6694933230352,0.0,-0.0,0.0,-0.0,-258.2097963882155,-0.0,-94.7910221705082,-0.0,-209.2639066690068,-0.0,-227.1514307968084,-0.0,-462.7533169353232,-0.0,-735.3103060795484,-0.0,-317.3777791336635,-0.0,-626.9893916560633,-0.0,-826.5936903196732,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.932537347369064,58.33887934958341,12.436733120981668,5.342166108431878,35.265207374358965,52.489315578875576,0.0,0.0,0.0,0.0,-41.98333377720549,-106.7982670443066,3.860007172329216,79.65729212006612,41.892537209366495,45.02614240361556,-87.90597475895221,-95.000541771502,-52.64076738459329,-42.51499025203926,-295.18183992701984,-0.0,0.29518183992701985,0.0,-5.414161757179414,0.0054141617571794145,0.0,-0.0,0.0,-342.0693127650509,-0.0,0.34206931276505087,-296.61956853920714,-0.0,0.2966195685392071,0.0,-0.0,0.0,-215.9499134843096,-0.0,0.2159499134843096,0.0,0.01496988183738779,1.496988183738779e-05,0.0,-0.0,0.0,317.4734972260888,22.141787993674065,0.3182446860774273,-36.548122748603014,-0.0,0.036548122748603015,0.0,-0.0,0.0,0.0,-0.0,0.0,-122.09650044246287,-0.0,0.12209650044246287,137.64499685524183,22.908329375390547,0.13953829837736634,-149.97745846635522,-0.0,0.1499774584663552,454.86557092508826,-1.2861798194014542,0.45486738932521237,0.0,-0.0,0.0,-172.68018260291092,-0.0,0.17268018260291093,-357.2968822074507,-0.0,0.3572968822074507,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0035497665124643164,21.326237710640903,121.6406258972716,41.98333377720549
8,0.2688172043010753,978.0661229603664,889.4563747090442,1037.2439697021948,894.7980211600976,1233.1492943252822,1055.7928088184647,0.0,-0.0,0.0,-866.73608158983,0.0,-940.6685548870788,0.0,-0.0,0.0,-0.0,-271.17041670727383,-0.0,-104.15332551144641,-0.0,-223.3303298430023,-0.0,-238.19440937580492,-0.0,-475.4619207860747,-0.0,-742.3027280233985,-0.0,-326.916341726196,-0.0,-634.4559705987306,-0.0,-829.2354865585968,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.9328442681781794,59.219213453919714,15.479331911658896,6.8687924503600115,29.51624097858715,52.90433974908675,0.0,0.0,0.0,0.0,-40.92623426999605,-106.79854827468264,4.314638592350302,79.84782454244359,44.46390841546591,44.986259774803806,-84.6728435458975,-93.2833830071964,-55.15660256731039,-40.37765593925164,-328.63904251093584,-0.0,0.32863904251093584,0.0,-59.77206704772535,0.05977206704772535,0.0,-0.0,0.0,-418.6167536581063,-0.0,0.4186167536581063,-385.70806069517545,-0.0,0.38570806069517544,0.0,-0.0,0.0,-278.6221474263212,-0.0,0.2786221474263212,0.0,0.027927854062106405,2.7927854062106405e-05,0.0,-0.0,0.0,363.8415917877308,43.62210151297295,0.36644725630714964,-78.61985607036566,-0.0,0.07861985607036566,0.0,-0.0,0.0,0.0,-0.0,0.0,-283.8676227537671,-0.0,0.2838676227537671,135.17826599088218,75.1638262270378,0.1546698560463222,-208.0944770489784,-0.0,0.2080944770489784,415.46285945325724,-9.647050495094476,0.4155748466501935,0.0,-0.0,0.0,-222.2053893337799,-0.0,0.2222053893337799,-378.20805059836493,-0.0,0.37820805059836493,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.009133963279271882,26.198742945048476,120.77405881243965,40.92623426999605
9,0.3024193548387097,983.051959559968,893.9960793287688,1051.1786292969466,897.7244895099637,1244.2282378404177,1055.456260804079,0.0,-0.0,0.0,-870.9050751934484,0.0,-940.6671750625324,0.0,-0.0,0.0,-0.0,-286.1222878189151,-0.0,-115.11600549135099,-0.0,-239.6159591407664,-0.0,-250.37522042726528,-0.0,-488.8196107501306,-0.0,-750.9593290008497,-0.0,-341.8072303487615,-0.0,-645.0129858713217,-0.0,-833.0715996841832,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,1,baseline,person0,0.0,0.0,0.0,0.0,-6.93340513013459,59.81399712246569,18.165958417410117,7.219536410651916,23.498997892228832,54.62768862200749,0.0,0.0,0.0,0.0,-40.115708176518375,-106.79911418513622,4.597606329998023,80.14877083934576,42.14696471268632,44.77453832358378,-81.68527074324412,-92.63169275000232,-58.1862728510153,-37.9910445419782,-362.50093689146115,-0.0,0.3625009368914612,0.0,-124.06924964368497,0.12406924964368497,0.0,-0.0,0.0,-484.6603279014597,-0.0,0.4846603279014597,-444.9676842824442,-0.0,0.4449676842824442,0.0,-0.0,0.0,-326.24935620196095,-0.0,0.32624935620196094,0.0,0.04106357850083956,4.106357850083956e-05,0.0,-0.0,0.0,414.6954695398079,87.0916980920151,0.4237420162473771,-114.1627266174515,-0.0,0.1141627266174515,0.0,-0.0,0.0,0.0,-0.0,0.0,-443.1528454075494,-0.0,0.4431528454075494,148.37849720414408,135.10160948300205,0.20067043458730482,-257.6204450889493,-0.0,0.25762044508894927,329.7093590104327,-10.015668908120299,0.3298614482517584,0.0,-0.0,0.0,-314.17677451231197,-0.0,0.31417677451231196,-397.52485333030387,-0.0,0.39752485333030385,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.01669125182277243,17.700761975928355,120.26447901586414,40.115708176518375
