Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Head_vel_X,Head_vel_Y,Head_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,973.4954476983072,591.728250708141,991.8540934014968,594.3323734233018,1010.2962778300164,1006.5654285552754,1009.6229865200164,1060.2192690093152,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2411745225324,1071.8979654154907,952.504214993102,602.2052360688302,1002.3534036733082,988.251959656846,1007.6151429148712,1048.6381466277207,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0983753843534,1078.2246215376388,1018.0906262931306,113.8978275929792,1125.763753813329,8.8779116424282,1138.8728268540763,11.5112601817459,1028.5927205261544,124.3957115526065,1078.4356968584834,397.43843836384764,1259.527607296632,552.3622248724341,960.3299456413367,142.78390192107528,989.252735127827,397.43988417602833,1060.1147724045027,554.9814135327857,2002,1,trajectory,person0,0.2918636484370814,2.383811729161933,0.0,2.7294904476335673,12.688858445124444,7.893118855155934,15.672244909750894,11.810866356221768,39.10477139661178,17.737442108448818,-3.7640348649057183,0.0,-90.25282401871348,-85.02565858041007,-87.43758643950237,-82.64184684953385,11.341094839558387,84.66929470534173,15.061140772992283,44.283847013927286,-79.6584603849074,-83.51983893843654,-40.553688988295576,-65.78217256236802,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.1068811448441,2.8152375792111144
1,0.0335616438356164,981.5471648487304,595.8330006254221,996.4073221843406,597.2863256620634,1009.8833568875772,1006.8715557737851,1005.8173323581965,1064.710512442223,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2411403446695,1071.8979546984256,974.9816906133833,606.8292763546816,1009.5613860155703,988.7657954430555,1019.4127098441521,1051.926403828891,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0983557534222,1078.224627699002,1016.1354062537775,119.5867419092234,1115.9651742747722,13.7022455698756,1131.4249712174717,14.040025916997099,1016.9330377164733,130.2138515119528,1068.993467356156,397.240018355423,1253.9372409815292,549.2982131150923,971.4112694722432,150.4670648354676,1005.4273883344335,402.7957544001027,1093.0737761905393,556.7677591576156,2002,1,trajectory,person0,3.842814816148766,-3.1204347851835217,0.0,2.7294904476335673,9.263738166228656,5.98845640078592,15.20086710843949,11.8131465813686,39.49260004505759,22.656492597859756,-3.7640348649057183,0.0,-93.55033419044244,-81.75269754187627,-88.14841408916945,-84.8731323237267,6.515310307408275,85.86312951004464,0.6985492719815253,46.809064501325494,-78.93600338151587,-82.32372390858679,-39.44340333645827,-60.220137167881965,0.0,-0.0,0.0,0.0,-0.0,0.0,481.93864656419737,159.58307198262384,0.5076727449012224,0.0,-0.0,0.0,214.76845346332192,15.310209140118292,0.2153134717265532,-166.57009836836576,-91.29504419834862,0.18994836868377016,351.51934115816636,97.97664313690505,0.3649181686469554,0.0,-0.0,0.0,982.0437862778317,53.22580841329678,0.9834851218234817,135.66763312146878,88.01571976718257,0.1617172643934984,-347.410957186417,173.35682327848212,0.38826146003742035,-113.3929607399395,133.820722694799,0.1754022501792031,-281.33989945709993,-5.91210637346848,0.2814020114148126,-291.95767604679764,143.74545987904517,0.3254259390990291,239.9083069309769,122.30479345368366,0.26928508728898454,-58.25757668276625,169.50642656564375,0.17923831590372177,-12.303358693088663,9.121341612736348,0.015315727470382727,-0.0010183608154478378,-0.0003193248008871921,1.067252115903843e-06,-221.91569856005088,75.34689741768888,0.23435812812417472,-0.0005849216239253215,0.00018358347486193533,6.130548086246598e-07,669.737028685935,137.77752688455192,0.6837618989878628,330.17822026782466,228.9268950002608,0.40177752599378747,105.80385111957277,-164.00407981519132,0.0,0.0,-102.0546042283236,-56.75116700775966,174.0115435992141,5.401920101272992
2,0.0671232876712328,988.941680574948,599.4297650151814,1000.4409494255635,599.7950536056064,1010.8551962246022,1006.9146633935469,1004.0321259973331,1068.843650223902,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.241103691643,1071.8979251549424,994.9800318912312,610.7427348532069,1016.4889054070128,989.196292008769,1030.6567169245866,1055.0109199928024,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0983297146709,1078.2246306475392,1014.0453035207737,125.22442708297471,1106.2488562164172,18.087873801888698,1123.7878234965985,16.4883001165993,1005.5523771459672,135.7764416952017,1058.951511090407,397.404128568028,1247.5935052535947,548.4277301916119,983.3491892572137,158.2142993865017,1020.083262887602,407.6984697333779,1122.7096119515104,559.0599569866947,2002,1,trajectory,person0,6.731032674729569,-8.086536168133827,0.0,2.7294904476335673,6.220170988626546,4.418549444352778,14.578803435237072,11.342829837384274,39.760226332195,27.118942233465923,-3.7640348649057183,0.0,-96.10981006998058,-78.70068938354332,-88.58884709087496,-86.78722554660118,-1.6884733873752822,86.99260346477227,-13.950248645755398,49.42050171018592,-78.42859309999068,-81.66456669784348,-38.66836676779567,-55.44117691005669,0.0,-0.0,0.0,0.0,-0.0,0.0,436.68524178828386,146.08090584860943,0.46047109730062563,0.0,-0.0,0.0,206.41180227563174,12.827040529425336,0.20680997337512042,-189.01743189356068,-25.936838128193465,0.19078865042691864,335.02551709049754,91.90599182266861,0.3474029482239086,0.0,-0.0,0.0,883.0269430819927,68.29813939705349,0.885664280669503,120.18562800378494,74.74985301169143,0.14153489217833762,-339.0972333252884,165.74248301108972,0.37743543066801033,-53.19186299715544,123.1506359439086,0.13414713348594992,-299.2093091427322,4.889814498026068,0.2992492622605713,-289.5066196979196,130.67382079059453,0.31763143781579345,220.326386944444,107.16889814384898,0.245007937653782,-62.27653041195024,167.98000721789631,0.17915258598489464,28.95684555217496,1.284431119432753,0.028985318139242187,-0.0010921105822855497,-0.0008802752141724695,1.4027080867473709e-06,-227.55583005050804,72.94857819222894,0.23896265576496137,-0.000775848510425666,8.785437348134858e-05,7.808068276273747e-07,595.8689441970994,116.6050899560605,0.6071709361145565,355.7012833889139,230.835968255302,0.42403849736183535,86.05710354138729,-147.96955141035625,0.0,0.0,-90.68587916936909,-46.776819518212044,175.58145055564722,7.520962979105619
3,0.1006849315068493,995.3475772613727,602.4266234108742,1003.8655847069824,601.7679965338908,1014.3547024526675,1006.3272346597265,1005.8776276703398,1072.2820292299862,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2410850002623,1071.8978693156232,1010.951099179294,613.644486905277,1022.6130864429517,989.3410526844261,1040.3317981986384,1057.8490394841585,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0983051729688,1078.2246238858343,1011.8614636522215,130.5207933127929,1096.7071840175781,21.5032024270644,1115.8668622178413,18.771335523537502,994.9250558739135,141.0141016381043,1047.9422316256516,398.0828946452411,1239.551798530667,551.3093607248511,996.312318067483,165.9807481251161,1031.7100285003598,411.7393386425044,1145.5993489093166,562.3226616192196,2002,1,trajectory,person0,8.576861190751025,-12.004312754282346,0.0,2.7294904476335673,3.7498241339310647,3.4109337378764844,13.653754982474476,10.057591126455302,39.77784166791409,30.61788375192666,-3.7640348649057183,0.0,-97.45590828868214,-76.23103203871392,-88.57423518307067,-88.23534478701607,-12.360681987571963,88.01483107905285,-26.827056437756376,52.20033680712707,-78.33141393847269,-81.92757779449185,-38.55357227055861,-52.22725764031406,0.0,-0.0,0.0,0.0,-0.0,0.0,346.4301590740064,120.40140014948237,0.3667565299677664,0.0,-0.0,0.0,182.47559821369003,4.313277274682803,0.18252656876272105,-239.6100370504983,85.86082813325272,0.2545290782269663,288.27793183909415,84.5643766812206,0.300425198325488,0.0,-0.0,0.0,682.0207338448386,97.21528088747554,0.6889144302685805,102.04015328309346,58.78564643459377,0.11776223974080265,-316.65079708568044,156.06088809464842,0.353019444348165,54.98841719571236,102.44966018128186,0.11627406803303068,-328.0315922151531,20.224458627166452,0.3286544602131096,-284.30288592459175,101.76285291339825,0.30196656963664925,190.86957473837037,89.29414811655923,0.2107240836939821,-65.06951445074205,157.8100958272355,0.1706987640724343,104.2710018974582,-17.502978599544754,0.1057298259553843,-0.0005569268590970368,-0.0016637837956336556,1.7545210300810945e-06,-236.0123156527647,68.02513661489319,0.2456200976126651,-0.000731242549505269,-0.00020147120942081543,7.584894952683602e-07,475.87261715452496,86.46036726575885,0.4836632535816908,386.2483278161894,231.4084726199388,0.45026398028389464,54.99815578349632,-116.73375134238417,0.0,0.0,-73.6062532215387,-30.0228353358242,176.58906626212354,8.881673105611469
4,0.1342465753424657,1000.7162752708048,605.028709213867,1006.9007774054945,603.3705122670777,1021.0537320478763,1004.5051698748513,1012.005367679287,1074.806655161201,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2411220377703,1071.8977862738657,1022.1378091961999,615.5722601801756,1027.2845176972032,988.7240622517393,1046.95250553362,1060.576051281849,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.098300299112,1078.2245980210262,1009.779815276777,134.9757943136708,1087.481776247485,23.513054089790398,1107.753626699332,20.7929404446608,985.6824626051276,145.98894476656272,1035.9998251791537,399.1863068720428,1228.8292629067807,558.4348038529588,1009.472837841806,173.4607938604273,1039.2481124725448,414.6031156853558,1158.7237838989897,566.8483106933845,2002,1,trajectory,person0,9.523229168535336,-14.2572909601519,0.0,2.7294904476335673,1.8998980651842157,3.0760028273405005,12.320357036080102,7.919940346668456,39.43400212994823,32.63085949724207,-3.7640348649057183,0.0,-97.61516411295608,-74.93926042708355,-88.0204466208174,-89.19655138297367,-20.88124929878801,88.90355055184212,-34.68930819617955,55.160184764988195,-78.7760924120778,-83.17650910148943,-39.34209028212957,-51.21262783595725,0.0,-0.0,0.0,0.0,-0.0,0.0,224.60413468143173,85.32886699108266,0.2402665870610739,0.0,-0.0,0.0,139.18958431035136,-18.38379656577373,0.14039837732915636,-319.4877961402847,212.3091217762672,0.3835982469615652,197.27005528720548,81.25382091077904,0.21334867734677443,0.0,-0.0,0.0,391.05459356985153,134.84587037307563,0.41365094452781576,90.4363538740358,47.748427968426846,0.10226752405082405,-275.3915545393338,148.23001974590406,0.31275013519655265,182.5816410829175,75.22354815456441,0.19747059998261357,-355.83496758953004,32.87718063531643,0.3573505745986273,-274.879496823188,59.88537607306045,0.2813272045877912,159.96528762797288,77.53153617080973,0.177763979329069,-62.02462506426312,132.7408461486068,0.14651684664437234,199.60373895928103,-54.290093590160055,0.20685518332532338,0.001103566570008628,-0.002474305426669828,2.7092520220327174e-06,-241.74130320456604,60.23557520081674,0.24913286052790223,-0.00014522103823321644,-0.0007706657099330353,7.842287844832799e-07,333.3182984629096,57.439775129634235,0.3382313052589192,392.1297728675863,222.87483211335416,0.45104207071928515,28.19790301153256,-67.1295547055011,0.0,0.0,-55.12024613000822,-9.979574069031369,176.9239971726595,9.594717492138685
5,0.1678082191780822,1005.0229415456222,607.3772561405788,1009.7377592036936,604.7891274894774,1031.3413582151397,1000.7777050502438,1021.9373752716283,1076.4004978351443,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2412698679407,1071.897691613888,1027.9352904250738,616.7173252919021,1029.8012801893287,986.7423427832084,1048.7499489051575,1063.4658809675914,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0983462557634,1078.2245427856142,1007.96441629642,138.1351248883802,1078.772367578957,24.020345058126402,1099.712696299688,22.4803998659892,978.284549985466,150.73358951122808,1023.5220645133256,400.4995356963471,1214.4413780004345,569.2724098150835,1021.195811383256,180.0913373695939,1042.5315312813468,416.21947858949136,1160.6668192435009,572.5580223169097,2002,1,trajectory,person0,10.384569773564136,-14.12507240254864,0.0,2.7294904476335673,0.6871369636254607,3.4918451989261863,10.58553815255685,5.275717281043812,38.59321026888391,32.781736364230134,-3.7640348649057183,0.0,-97.24927307476136,-75.55081998279306,-86.87118415272766,-89.67589238802836,-23.396181602481292,89.63697064834618,-36.436716028267575,58.18602575886744,-79.777491199097,-85.08731207061003,-41.184280930213085,-52.594392234813306,0.0,-0.0,0.0,0.0,-0.0,0.0,97.83247879287599,48.16101714363155,0.10904438306977439,0.0,-0.0,0.0,74.9892497653756,-59.047151511327975,0.09544607735248006,-428.7002441482782,322.9164225449424,0.5367112028661384,53.55647596826109,86.10512941191844,0.10140211747878912,0.0,-0.0,0.0,57.89452250992318,170.1261014356513,0.17970716770998735,84.53047806878708,42.26894336129776,0.09450960424961206,-220.4276005042026,141.371047494111,0.2618665693318308,295.93328744526946,47.49000620320685,0.2997195544293784,-371.78633820630824,39.12885884661759,0.37383973688131916,-259.5048297153166,15.115200281031877,0.2599446593510072,128.32107675986697,69.97711251018565,0.1461611953155654,-54.09147982287822,94.13515589950462,0.10856940529289494,306.5292694735659,-111.06323763116227,0.32602950142144194,0.004404735687302256,-0.0028204809728576584,5.230373733610836e-06,-239.58690578530525,50.279403166111365,0.24480584920813697,0.0013693206327555355,-0.001645789827594713,2.140949124081246e-06,172.74127743175305,34.118266594296955,0.17607840595641874,349.296762663609,197.56313313027022,0.40129717165652495,25.664434353919322,3.9395733489951255,0.0,0.0,-36.13533078113835,12.390405357451026,176.50815480107383,10.378088922033697
6,0.2013698630136986,1008.1049042435736,609.3919944047102,1012.3925820110449,606.1304569789617,1045.6413155375553,994.8723712753797,1034.5106362210224,1077.2108995832957,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2415894633464,1071.89763068207,1027.8239101492857,617.3508870914743,1029.3396408570925,983.1174252880271,1044.1614988012861,1066.7637311254741,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0984853090359,1078.2244525044925,1006.4065532143285,139.83190152688871,1070.8403648614649,23.3142347310575,1092.1254914622245,23.8577093451606,972.7857377794608,155.2117503480967,1011.1340707534142,401.8203726360382,1195.609896807428,582.6237487144464,1029.615188434227,185.28599169786318,1042.1567479019166,416.8939365493418,1152.4565558228696,578.9350107303187,2002,1,trajectory,person0,12.398386096439769,-11.239454162477749,0.0,2.7294904476335673,0.0928660835300654,4.765347850229976,8.589786626131012,2.706197576420929,37.07029505534477,31.04965146325722,-3.7640348649057183,0.0,-97.4177664216107,-78.47244376831117,-85.03941618185203,-89.71189794855191,-19.342500952094937,90.19523596791802,-33.89309504160455,61.04619388926787,-81.21497740595099,-87.09856645566106,-44.14468235060622,-55.966371290566606,0.0,-0.0,0.0,0.0,-0.0,0.0,-11.167014978943945,20.096094313911042,0.02299032905840119,0.0,-0.0,0.0,-13.754967858469588,-108.00774577478789,0.10888008214608741,-561.1012763630474,397.81540394019794,0.687816645588302,-136.71708472759462,98.2624740920135,0.16836589640154537,0.0,-0.0,0.0,-244.6323386555402,190.0082261954504,0.30975491463093907,79.10288364761017,39.96614397238573,0.08862594916495291,-163.842159607503,133.4309147311873,0.2113008809041076,374.6318568594961,24.1466643326741,0.3754092294715047,-369.11165080552354,39.35554963161224,0.3712038120051908,-236.34130545997428,-21.039205663685685,0.23727591711230142,91.82990895937034,60.03097684963115,0.10971075772688474,-46.417961221504974,50.55701820862086,0.06863409658550158,426.0803610352348,-175.9548430877885,0.46098219148462155,0.009522638618685055,-0.0018155194695458608,9.694160985168964e-06,-226.06773597340742,41.038200807964216,0.22976238850973205,0.004143219958003731,-0.002690008925360657,4.939880528810432e-06,-3.318677605116736,18.877555660725747,0.019167047993118344,250.8630713146483,154.77949631169744,0.2947693556459373,60.003506763233176,85.97964552047965,0.0,0.0,-17.706846631413832,37.94518103884766,175.23465214977006,12.37835023975866
7,0.234931506849315,1009.9800581228191,610.7905829351633,1014.8910400685068,607.3856839382028,1064.2296082324574,987.1378488073562,1048.3866657742738,1077.36736143297,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2421162567216,1071.8976912828484,1022.4383494610724,617.7340744252982,1025.469257816688,978.1888585869204,1033.0864109910963,1070.4417824342574,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0987589962709,1078.2243363369457,1004.9765207001531,140.2698270781132,1063.9989183647306,21.8986458030133,1085.4073904785928,25.152786912302698,968.7972787872,159.42721127766248,999.448441966454,403.0508481205224,1171.9910513927928,596.9866184154384,1033.7042500420464,188.8649131899778,1039.244191450907,417.1839294117824,1137.1268285887409,585.2021255097577,2002,1,trajectory,person0,16.571236828198074,-6.170875540402008,0.0,2.7294904476335673,-0.0609234448623824,6.9328854498649,6.534121354980044,0.6968970948559143,34.678087523542324,27.859576815824333,-3.7640348649057183,0.0,-99.026131059398,-83.2947702739406,-82.47183696228984,-89.46564585701708,-10.3944256262751,90.59527758784527,-29.657600687755192,63.47764228000585,-82.87060105717468,-88.7078253172988,-48.19251353363236,-60.499295864966584,0.0,-0.0,0.0,0.0,-0.0,0.0,-86.78229425456946,8.640603656392809,0.08721139046955706,0.0,-0.0,0.0,-115.32161712225808,-146.8511710942014,0.18671995562186464,-703.7451899054619,427.95489313160203,0.8236520399236291,-329.9924123036196,109.59091654742072,0.34771419465944414,0.0,-0.0,0.0,-456.7633012617989,186.73444036695756,0.4934596889298433,74.44385232437361,37.40064001004352,0.08331083376160638,-118.83979854491223,125.60352973808293,0.1729136906114169,413.449043831573,4.661924500500379,0.413475326210997,-348.1840414073868,36.66314708871247,0.35010900166266706,-203.8471813312687,-42.17877214172519,0.2081651319411748,55.87193191221047,41.67222968288683,0.0697011298498522,-42.60913205502203,13.048393975260288,0.044562301554294914,553.8552517256566,-230.45720006763696,0.5998884570710669,0.015696292402251382,0.0018056558460677814,1.5799809752380348e-05,-200.17198849188307,38.58802546994833,0.20385745187866924,0.008154762511834312,-0.0034613187448213137,8.858943451544865e-06,-160.4677266283925,11.41741851801886,0.16087339349594174,121.83734586563648,106.63725262219064,0.16191307079538586,124.33391976259462,151.02295486184886,0.0,0.0,-4.582300233734166,64.58377337687742,173.0671145501351,16.554294097108155
8,0.2684931506849315,1011.3373185842678,611.2167109522607,1017.5439074853309,608.4222486255893,1086.4430224950934,978.3199646754812,1062.1753108482158,1076.8556438949477,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2428006512405,1071.8980066821264,1014.6227466735096,618.0068385037677,1019.1315014990885,972.7530639981434,1018.040965082953,1074.1414067154055,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0991799391684,1078.224233391317,1003.5881618837033,139.9585184349915,1058.5242469969166,20.2595472873283,1079.846747479487,26.7713861201042,965.5922243515415,163.4630439776775,988.7882024995188,404.16612474151617,1143.8460761546633,610.790701338861,1034.1587272961171,191.3277110712793,1035.4822663791674,417.5751565650781,1118.7457418445633,590.5704358585175,2002,1,trajectory,person0,23.03284960760824,-0.4118030370804982,0.0,2.7294904476335673,-0.166229466632735,9.754207823282922,4.557374140634326,-0.6025317836134675,31.340524809097648,23.96234463566945,-3.7640348649057183,0.0,-102.33513563167412,-88.82201457941106,-79.31338040170428,-89.23381769161989,0.9744470857664644,90.93241177501282,-25.45331488140534,65.3181776355198,-84.51021408435284,-89.67012000860063,-53.169689275255195,-65.27516022453307,0.0,-0.0,0.0,0.0,-0.0,0.0,-112.09001234162737,11.656972322688278,0.11269452458073594,0.0,-0.0,0.0,-188.83926987133083,-161.96449182886428,0.24878256863960455,-838.6053846463064,411.305327922387,0.934040183255047,-448.2928780793699,110.23370307094693,0.46164702298338123,0.0,-0.0,0.0,-547.6813601326373,159.9537369222316,0.5705611888238825,79.04462099108956,30.885396807844188,0.08486436144579765,-95.4975403277818,120.25134167391624,0.15355834520804545,410.8453430194939,-15.247093990050988,0.4111281670670924,-317.63162493316963,33.23069115614202,0.319365195336625,-163.12286116343017,-48.838445569389684,0.17027701430251221,40.44082191255252,12.696875611473658,0.042387152856213674,-41.367425959525455,-9.275726917503839,0.04239461098258747,661.869078029561,-262.73695576607105,0.7121105141597922,0.020392163214269173,0.009397611141243586,2.2453405437024882e-05,-165.68446487131368,48.227649865105796,0.17256085335673563,0.012542380209072551,-0.003067359548671462,1.2912009754866236e-05,-232.87306264983218,8.127256215619852,0.23301483987400243,13.541567162112024,73.38132462653408,0.07462032461166843,192.52968689671061,171.59685418059965,0.0,0.0,-3.1376896282594773,84.06389112633269,170.2457921767171,23.02175522996984
9,0.3020547945205479,1013.4203526133816,610.4109674543793,1020.9845991829849,608.9583976782512,1110.445550339613,969.111624096574,1074.6129214768214,1075.610392657133,1536.66650390625,1090.5761718750002,1534.264892578125,1065.52294921875,1259.2434194865768,1071.8987331677995,1008.4948009540144,618.0595146113193,1012.5000207320694,967.6645148189657,1003.2410617579075,1077.3701914326416,1517.8310546875,1002.3808593750001,1520.8022460937505,963.75537109375,962.0996824621494,1078.224229764152,1002.2716864010397,139.5220478903378,1054.5146631907094,18.7874017483588,1075.4959516361853,29.0952001660409,962.4304432719506,167.3819628368991,979.037444026787,405.03865359558637,1112.1268428597132,622.6467745301063,1032.9442142404987,193.5361517554306,1032.780243534537,418.1644602701968,1101.5165662768334,594.4029817369847,2002,1,trajectory,person0,30.941131117469677,4.404977529788047,0.0,2.7294904476335673,-0.6813012284995454,12.692659486816549,2.649284611807826,-1.340425992496758,27.205546588378873,20.12386890497407,-3.7640348649057183,0.0,-106.88538768987618,-93.72888138372863,-75.94994324326498,-89.32390395858103,12.354759589518189,91.3573972699185,-22.000251040638112,66.56846064274433,-85.99331811827365,-89.98302872257825,-58.78777152989478,-69.54622100168571,0.0,-0.0,0.0,0.0,-0.0,0.0,-80.50925210531385,17.5588450912927,0.08240177616712516,0.0,-0.0,0.0,-197.59105958873383,-151.6179959510117,0.24905871501635826,-945.1036859311671,353.262588963635,1.0089675088534655,-440.9767113176811,96.20460586050402,0.4513488519020874,0.0,-0.0,0.0,-513.3591087527678,114.19422413391945,0.5259067363753614,102.51856895050503,15.97505340584322,0.10375576760343974,-94.20817094291492,116.76778641762348,0.1500329810984279,370.590030974783,-37.103404228765044,0.37244279247054,-290.5328034732327,25.9977985090301,0.29169366709157774,-119.46923177678933,-43.86392830398921,0.12726720531069155,62.06591188788085,-24.007867487895652,0.06654739002989184,-39.22559601405714,-13.005040718252456,0.041325276366183196,715.1773602652762,-274.37096418784705,0.7660013594148365,0.018438767170076233,0.021646307806347218,2.8435027279737393e-05,-129.63595778001243,69.24017361362432,0.14696830675892678,0.014973133719745943,-0.00010807471262590625,1.4973523751372024e-05,-182.58777041761098,1.5695330005156485,0.18259451618247993,-36.18753186128546,65.80251834409998,0.07509666359191441,235.6345102938309,143.52040056383854,0.0,0.0,-15.347036169909071,87.5538658930429,167.30734051318348,30.9354444466112
