Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1023.3546243248226,682.9199638734029,1044.1883197152506,690.724729466809,1135.3350431136823,1055.5035379322342,925.3381347657169,1089.182373046898,0.0,-0.0,1002.5280823034255,693.3416923205773,1083.3315091322481,1042.489759255947,898.4153669352154,1088.365744723889,0.0,-0.0,-1061.43896484375,-0.0,-143.5325343477735,-0.0,-135.7106782478485,-0.0,20.595702941221703,-0.0,-112.3197440182663,-0.0,-448.4110977198087,-0.0,-682.9509786242915,-0.0,-117.5343735839883,-0.0,-424.9704057473519,-0.0,-388.4904355893561,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547198435818,54.97281970326931,0.0,0.0,18.82363743219391,19.8214266935977,1.7940829850867916,9.185479477190697,45.97821437264888,98.94725269030154,0.0,0.0,-106.6992442339918,-154.28997953460274,-75.9713790207388,-76.96916828214259,3.5671401265213856,84.20719428566352,4.5825766033494,4.088321877445863,-93.99872272924972,-86.6073262371458,-48.020508356600814,12.339926453157156,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.1785733064023,30.72786521325301
1,0.0335585585585585,1025.0614667161608,681.2388607225895,1045.9029947713768,690.3638681459114,1130.0307982280494,1054.84908455781,925.3381347657096,1089.1823730468936,0.0,-0.0,1014.2400419354698,692.5078374020109,1083.9089434968257,1042.5906063160276,898.4154969856656,1088.3658131699913,0.0,-0.0,-1061.43896484375,-0.0,-136.62039266087288,-0.0,-123.4571745214638,-0.0,21.0681180999836,-0.0,-113.435490881095,-0.0,-448.2572649024797,-0.0,-669.6348972910671,-0.0,-116.9093437230723,-0.0,-426.3591952898464,-0.0,-386.74325580772813,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.51754719845663,54.972742122304105,0.0,0.0,17.20680471982926,18.960068076443772,3.546720842374554,10.05679445017598,46.44147066907012,99.98761152190264,0.0,0.0,-106.6992442340105,-154.28992976788712,-77.00954263803065,-78.76280599464516,2.401916136793018,84.03038928552559,6.661460217153839,6.160883424770834,-92.42288987209989,-85.91281626429844,-45.98141920302974,14.074795257606446,205.97254422710557,-0.0,0.20597254422710556,0.0,-0.0,0.0,0.0,-0.0,0.0,-41.38406421929912,-0.0,0.04138406421929912,396.8013497954115,-0.0,0.3968013497954115,365.1379633902557,-0.0,0.3651379633902557,349.00067628373677,-24.847757304933715,0.34988409950952404,50.861612198266684,-50.094617379942385,0.07138889469553157,0.0,-0.0,0.0,-158.05937780006664,-19.501832096934667,0.15925793030703755,0.0,-0.0,0.0,14.077337616797575,-0.0,0.014077337616797575,4.584011469401161,-0.0,0.004584011469401161,17.20676898472455,3.005107025217921,0.0174672140631153,0.0,-0.0,0.0,0.0,-0.0,0.0,18.6250508890407,-0.0,0.0186250508890407,0.0038753288511997608,0.002039601975812888,4.379286462961871e-06,-33.24775886549952,-0.0,0.03324775886549952,-2.1504051336028239e-10,-1.2571599242601122e-10,2.490922181400107e-13,52.063612284753084,-0.0,0.052063612284753084,51.0950150953014,-10.753182985134199,0.05221428455797185,6.201636072686938e-10,-0.0023118086275569103,0.0,0.0,-48.179444583215094,-25.667330605123833,161.03993192355625,29.68970159597984
2,0.0671171171171171,1026.9282554639458,679.9983605892921,1047.213787459487,690.4037420519192,1125.0353842442992,1054.2646229307215,925.3381347656372,1089.1823730468705,0.0,-0.0,1026.4594201423206,692.065472253635,1085.4132728261795,1042.6072915607301,898.4157520829249,1088.3659198158614,0.0,-0.0,-1061.43896484375,-0.0,-130.65959599717368,-0.0,-107.2010922915093,-0.0,21.4231091070327,-0.0,-114.7831346326718,-0.0,-448.3235164942131,-0.0,-656.5935579209515,-0.0,-117.8014416792391,-0.0,-427.5963697973872,-0.0,-385.40570847355036,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547198499727,54.97269669496891,0.0,0.0,15.646363422216613,18.191938784887903,5.264238959989892,10.869425561472118,47.022986791654056,100.9527515503319,0.0,0.0,-106.69924423404476,-154.28988532596165,-77.93513797320733,-80.48071333587862,0.9622404474900442,83.87292324190477,9.54203539283196,10.469361815418765,-90.86283779810536,-85.25765119662312,-43.83985100645128,15.695100353711531,177.62373950888863,-0.0,0.17762373950888863,0.0,-0.0,0.0,0.0,-0.0,0.0,-36.86613968779277,-0.0,0.036866139687792766,388.61440807592555,-0.0,0.38861440807592557,484.40943020803974,-0.0,0.4844094302080397,364.1210687142085,-13.181887642876523,0.36435959551438574,55.62779892728476,-36.96523887141426,0.06678982630846661,0.0,-0.0,0.0,-148.85663146208788,-17.416171974985343,0.149872011317998,0.0,-0.0,0.0,10.578255512067123,-0.0,0.010578255512067123,-1.9742085053443161,-0.0,0.001974208505344316,44.826994780748805,0.4971978958344433,0.04482975202720737,0.0,-0.0,0.0,0.0,-0.0,0.0,-26.583321646849786,-0.0,0.026583321646849786,0.007601555915196302,0.0031779037745834995,8.239097325093807e-06,-40.157974879201134,-0.0,0.040157974879201135,-2.157021764783134e-09,-6.947462739332179e-10,2.2661454672840918e-12,39.85711519294724,-0.0,0.03985711519294724,39.05986265241745,1.1881888770074167,0.03907793064164427,1.2842616455746844e-09,-0.0013536736125179338,0.0,0.0,-46.499056116779535,-22.889221842335946,161.8080612151121,28.764106260837423
3,0.1006756756756756,1028.9554679972803,679.4030596709292,1047.8948609062058,691.0786856907927,1120.2031277771657,1053.851145171399,925.338134765454,1089.1823730468175,0.0,-0.0,1038.9279072365612,692.2930286849868,1088.174516028684,1042.6245387053257,898.4161433622809,1088.36604929222,0.0,-0.0,-1061.43896484375,-0.0,-126.11374819054669,-0.0,-85.4185669813656,-0.0,21.2540646301487,-0.0,-116.5919360306636,-0.0,-448.8242104211383,-0.0,-644.1705268506205,-0.0,-121.117385811147,-0.0,-428.7224375919954,-0.0,-384.8539412013803,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547198568643,54.97275885172149,0.0,0.0,14.218600158777726,17.50899295666665,6.8616099553628676,11.512820882407828,47.83997717709136,101.8215078602058,0.0,0.0,-106.69924423409437,-154.28988283193385,-78.73566261013708,-82.02605540802598,-0.793657892646481,83.75534443319627,12.935668440680557,17.888759109391025,-89.38304561144086,-84.73183468439589,-41.5430684343495,17.089673175812102,135.46016282834861,-0.0,0.1354601628283486,0.0,-0.0,0.0,0.0,-0.0,0.0,-33.555308778929586,-0.0,0.033555308778929586,370.1896506863754,-0.0,0.3701896506863754,649.0900159532763,-0.0,0.6490900159532763,371.54417918408416,6.780876209407855,0.371606051306679,60.408212402719066,-17.739168305579256,0.06295895661354062,0.0,-0.0,0.0,-143.9947564702864,-12.321082224108062,0.1445209291352305,0.0,-0.0,0.0,-5.037298505805143,-0.0,0.005037298505805143,-14.920006949985842,-0.0,0.014920006949985841,82.2813410679156,0.5139417584195582,0.08228294613141719,0.0,-0.0,0.0,0.0,-0.0,0.0,-98.81068419913497,-0.0,0.09881068419913497,0.011659599602408937,0.0038582216968489377,1.2281373601944145e-05,-53.89985373881628,-0.0,0.053899853738816283,-5.4587207237610135e-09,-1.5747582209152983e-09,5.681328664525428e-12,16.441924083458055,-0.0,0.016441924083458057,20.29507451966953,20.11241447381584,0.028572701407558514,2.053590586172434e-09,0.0018521877949097172,0.0,0.0,-42.545428789722614,-20.350868975183694,162.49100704333335,27.963581623957282
4,0.1342342342342342,1031.036369726636,679.4058513007642,1047.9574224366647,692.3770354234794,1115.025661109546,1053.7293123364964,925.3381347651218,1089.1823730467274,0.0,-0.0,1050.8384374138004,693.2429684299037,1092.152663037846,1042.8340310884262,898.4166087854203,1088.3661494446512,0.0,-0.0,-1061.43896484375,-0.0,-123.0706287381325,-0.0,-60.8726096098002,-0.0,19.9635033224028,-0.0,-119.0408638732127,-0.0,-449.8919144645649,-0.0,-632.7919788679927,-0.0,-126.8644820705348,-0.0,-429.8060978015514,-0.0,-385.2355624092445,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547198655055,54.97304100007562,0.0,0.0,13.013512358353315,16.7982374379716,8.210069937497346,11.835664908217872,48.966550758341064,102.6254023472565,0.0,0.0,-106.69924423414864,-154.28998358566275,-79.49517089766654,-83.2798959772848,-2.5935434506870267,83.70659166436187,15.056023893892087,27.171584398479677,-88.0833383981408,-84.45774342742025,-39.11678763979972,18.167658919835663,90.68087495784546,-0.0,0.09068087495784546,0.0,-0.0,0.0,0.0,-0.0,0.0,-32.29161966730538,-0.0,0.032291619667305385,339.065456663537,-0.0,0.33906545666353705,731.436582078861,-0.0,0.731436582078861,354.91781199290256,28.306929311619815,0.35604485042882217,62.00807837811642,0.08318682192778472,0.06200813417765424,0.0,-0.0,0.0,-154.28155707538383,-3.6304549460919513,0.15432426593611426,0.0,-0.0,0.0,-38.45699467377043,-0.0,0.03845699467377043,-31.816147334322768,-0.0,0.03181614733432277,118.54344107838408,6.242591818562787,0.1187076972033301,0.0,-0.0,0.0,0.0,-0.0,0.0,-171.2557543065892,-0.0,0.1712557543065892,0.013868984823939414,0.002984408018074268,1.4186452384758065e-05,-72.97476255649629,-0.0,0.07297476255649629,-9.898480245753278e-09,-2.6863522592084432e-09,1.025652960977163e-11,-11.371799751121847,-0.0,0.011371799751121847,1.8642496324703202,38.68907928274521,0.038733968069882926,2.5749811231813583e-09,0.00840764223048364,0.0,0.0,-35.90999888513004,-21.179560422859144,163.20176256202842,27.204073336482097
5,0.1677927927927928,1033.1019234843807,679.846190120676,1047.4481354643715,694.0969566573056,1109.167332033449,1053.9613985587014,925.3381347646464,1089.1823730466058,0.0,-0.0,1061.5297806559117,694.727274854175,1097.326063612581,1043.3444388584535,898.4169496034267,1088.3661130976925,0.0,-0.0,-1061.43896484375,-0.0,-121.5868931611979,-0.0,-39.042698805986404,-0.0,17.2211690877309,-0.0,-122.3075056603522,-0.0,-451.4868534105937,-0.0,-622.9040264262038,-0.0,-134.4668903201029,-0.0,-430.7474517235993,-0.0,-386.3568834833811,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547198727375,54.973671650044565,0.0,0.0,12.091281818134872,15.958311564334274,9.19253988858944,11.684478339981592,50.37955165450952,103.43826530361515,0.0,0.0,-106.69924423417882,-154.29026859806592,-80.27837284084114,-84.14540258704054,-4.004007839853228,83.76331559482458,13.290282327706668,35.840146172894684,-87.04414451658599,-84.55220606519381,-36.66459286207645,18.886059238414436,44.2133286012725,-0.0,0.0442133286012725,0.0,-0.0,0.0,0.0,-0.0,0.0,-28.05108331471639,-0.0,0.02805108331471639,294.64771034592604,-0.0,0.294647710345926,650.5020400599539,-0.0,0.6505020400599538,318.58767781861474,44.23033908566583,0.32164332940928597,61.55072942540743,13.12150577455595,0.06293382402644401,0.0,-0.0,0.0,-174.5703429387279,6.915857896576766,0.17470728011216563,0.0,-0.0,0.0,-81.71787920767258,-0.0,0.08171787920767258,-47.52703973401253,-0.0,0.04752703973401253,154.16039296525847,15.209466435713114,0.15490885910257682,0.0,-0.0,0.0,0.0,-0.0,0.0,-226.54156126229725,-0.0,0.22654156126229724,0.010155919116064139,-0.0010830905836630227,1.021350959780508e-05,-97.34154050268049,-0.0,0.09734154050268048,-1.4166207357057326e-08,-3.6259138868133654e-09,1.462288215085286e-11,-33.41386288031189,-0.0,0.03341386288031189,-15.176068167667728,51.25134414891305,0.05345103667937621,2.1550103089043173e-09,0.01879252256460226,0.0,0.0,-27.481232205166993,-25.028663617112258,164.04168843566572,26.420871393337677
6,0.2013513513513513,1035.1248671777155,680.520560790313,1046.282891067957,695.8948246985483,1102.7745627040676,1054.4632094268811,925.3381347641347,1089.1823730464869,0.0,-0.0,1070.6815688757517,696.3975232010271,1103.5650318081096,1044.0872042356348,898.4167657988979,1088.365769842489,0.0,-0.0,-1061.43896484375,-0.0,-121.7849739819418,-0.0,-23.932875648541,-0.0,13.325788290338998,-0.0,-126.54825670188691,-0.0,-453.41681865120484,-0.0,-614.8629543710833,-0.0,-143.2386879549847,-0.0,-431.44234916032707,-0.0,-387.8593606462426,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547198718287,54.97473432098946,0.0,0.0,11.453790354773748,14.99488230446899,9.74393846180675,10.963172456388198,51.96706512136912,104.35667733548136,0.0,0.0,-106.69924423413084,-154.29081367805574,-81.0544995853544,-84.59559153504965,-4.713598048622311,83.9506181101766,6.215233212961569,42.14709740178734,-86.30544342801664,-85.08620943343519,-34.33837830664751,19.27046790202848,-5.902542577871716,-0.0,0.005902542577871716,0.0,-0.0,0.0,0.0,-0.0,0.0,-20.707010866251043,-0.0,0.020707010866251045,239.61315385728253,-0.0,0.23961315385728252,450.2524484500518,-0.0,0.4502524484500518,272.71100467174864,49.77115879210424,0.27721554847551994,60.281006700720916,20.09534075965104,0.0635422889822113,0.0,-0.0,0.0,-190.49594511713335,14.953290300122847,0.19108193529705952,0.0,-0.0,0.0,-116.07711906322197,-0.0,0.11607711906322198,-57.51037361284155,-0.0,0.057510373612841545,185.91287777279905,22.13341123950041,0.1872257621559078,0.0,-0.0,0.0,0.0,-0.0,0.0,-261.3877952944652,-0.0,0.2613877952944652,-0.005477128238021074,-0.010228544315251997,1.1602674370368316e-05,-126.36868875445728,-0.0,0.12636868875445728,-1.525133487062926e-08,-3.5398976814692644e-09,1.56567586342558e-11,-44.771802705403296,-0.0,0.0447718027054033,-34.72271892670806,53.57405438333997,0.06384235672915152,-2.708054809479889e-10,0.03166616775398055,0.0,0.0,-18.996389914922133,-28.70889875034813,165.005117695531,25.644744648776438
7,0.2349099099099099,1037.0119355883228,681.2046439276206,1044.3411788560372,697.3550431238268,1096.2642911615842,1055.0468836737507,925.3381347638692,1089.1823730464528,0.0,-0.0,1078.0388209108087,697.885558534583,1110.368085663973,1044.9225304265547,898.4154312522259,1088.3649074741074,0.0,-0.0,-1061.43896484375,-0.0,-123.7340793613651,-0.0,-15.9780622775803,-0.0,9.044268077733701,-0.0,-131.8020286504799,-0.0,-455.46829458186363,-0.0,-608.9374686530509,-0.0,-152.6638883960995,-0.0,-432.07575569844647,-0.0,-389.4686576245001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547198517917,54.9761489526294,0.0,0.0,11.05991984461741,13.987959831337458,9.850959514077584,9.72976265650886,53.57968360671368,105.4265418989718,0.0,0.0,-106.69924423392494,-154.29163248156593,-81.74393396582057,-84.67197395254064,-4.707963315667266,84.26810620284198,-4.416289426472881,45.96066943312552,-85.88093428308044,-86.00213114064915,-32.30125067636675,19.424410758290353,-58.08072405798296,-0.0,0.058080724057982966,0.0,-0.0,0.0,0.0,-0.0,0.0,-18.87466462583938,-0.0,0.01887466462583938,176.5715207252578,-0.0,0.1765715207252578,237.04276085278835,-0.0,0.23704276085278836,219.2362351386075,44.34145557710204,0.2236754154583085,56.232105658360666,20.38475925936773,0.059812942720078706,0.0,-0.0,0.0,-193.99735334648506,17.392709101351212,0.1947754590171082,0.0,-0.0,0.0,-127.58355532864094,-0.0,0.12758355532864094,-61.131229074664745,-0.0,0.06113122907466474,202.7218732888163,24.891599246199213,0.20424433804333544,0.0,-0.0,0.0,0.0,-0.0,0.0,-280.85832186946095,-0.0,0.28085832186946097,-0.03976769948958665,-0.025697420230030594,4.734793901716163e-05,-156.55535202518718,-0.0,0.15655535202518717,-7.910182576068209e-09,-1.0189612017687193e-09,7.975542007753643e-12,-47.95488982190166,-0.0,0.04795488982190166,-57.860417590094926,43.512549048568744,0.07239592425271099,-5.970742111018598e-09,0.04215412403576748,0.0,0.0,-11.736812517410332,-30.004938125530163,166.01204016866257,24.95531026810437
8,0.2684684684684685,1038.5484074182768,681.7487411576456,1041.6020895603663,698.2223807490418,1089.9870526433315,1055.5781711529896,925.338134764374,1089.1823730466463,0.0,-0.0,1083.2390986371256,698.996513313733,1116.8823297376066,1045.8353612540557,898.4121813706766,1088.3633512421416,0.0,-0.0,-1061.43896484375,-0.0,-127.2639290331003,-0.0,-13.250134950571999,-0.0,5.0931291263377,-0.0,-137.9579632024756,-0.0,-457.5174499008387,-0.0,-605.3948903513949,-0.0,-162.4791691790013,-0.0,-433.06762854819317,-0.0,-391.06505195046185,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.517547197985156,54.97749154781408,0.0,0.0,10.855805827137043,13.020712302967206,9.547114828055268,8.222619462253286,55.06266718565747,106.58959072131243,0.0,0.0,-106.69924423347106,-154.2925791747462,-82.28984631389469,-84.45475278972488,-4.227275542825769,84.68944138313812,-14.71211887451698,48.12523777107624,-85.7634437888066,-87.08793915460859,-30.700776603149137,19.5016515666573,-105.18478216445807,-0.0,0.10518478216445808,0.0,-0.0,0.0,0.0,-0.0,0.0,-29.556479549499603,-0.0,0.029556479549499602,105.56407825069027,-0.0,0.10556407825069027,81.28857269742844,-0.0,0.08128857269742844,154.96129600568537,33.10496120420188,0.15845801247047545,45.78479815433986,16.21336712288989,0.04857078355858849,0.0,-0.0,0.0,-187.05328202041852,15.8316537437637,0.1877220593720212,0.0,-0.0,0.0,-117.73863720938404,-0.0,0.11773863720938403,-61.06207796140538,-0.0,0.06106207796140538,194.11572944250602,27.201133383252525,0.1960122906205876,0.0,-0.0,0.0,0.0,-0.0,0.0,-292.48219245693855,-0.0,0.2924821924569386,-0.09684210790920982,-0.04637362368364344,0.00010737274718405604,-183.43858665007298,-0.0,0.18343858665007298,1.5042910988449246e-08,5.7697023892358656e-09,1.611144427625162e-11,-47.57040810248455,-0.0,0.04757040810248455,-81.62118438106577,25.84549701983158,0.08561546271538838,-1.5875574322704977e-08,0.04000753436231437,0.0,0.0,-6.08232374236795,-28.822678026603416,166.97928769703282,24.409397919576378
9,0.302027027027027,1039.490546256443,682.1959650253553,1038.1171018008686,698.623461718499,1083.9946197426261,1056.0908059307928,925.338134766415,1089.1823730472652,0.0,-0.0,1086.0776399382803,699.8624251313022,1122.3968912215169,1046.9946188811182,898.4064158780399,1088.3611313514784,0.0,-0.0,-1061.43896484375,-0.0,-131.9640443191578,-0.0,-13.3564991008506,-0.0,1.7564879615226,-0.0,-144.8006746887702,-0.0,-459.5436676128765,-0.0,-604.5078391790855,-0.0,-172.63112810937182,-0.0,-434.7693153558696,-0.0,-392.6866082556909,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,2002,2,trajectory,person0,18.51754719699541,54.97778207110541,0.0,0.0,10.803277995736426,12.139646286232942,8.894593806069242,6.708470704614127,56.28023939179507,107.75327479294027,0.0,0.0,-106.69924423271311,-154.2932168862715,-82.68830889161111,-84.02467718210765,-3.617254455960548,85.17204482215595,-21.884669932451697,49.593900877863064,-85.93336137177478,-88.11948447322992,-29.653121979979726,19.633790319659735,-140.05712664493564,-0.0,0.14005712664493564,0.0,-0.0,0.0,0.0,-0.0,0.0,-50.707982725390984,-0.0,0.05070798272539098,26.4329342621045,-0.0,0.0264329342621045,-3.169508907630764,-0.0,0.0031695089076307636,84.58472065185788,25.803009865818137,0.08843285750154374,28.074472761458885,13.326670957261491,0.031076939676181338,0.0,-0.0,0.0,-178.5664569069228,15.275828278158208,0.17921866661114208,0.0,-0.0,0.0,-99.42742799851727,-0.0,0.09942742799851727,-60.378568063408814,-0.0,0.06037856806340881,164.32653012456834,34.54432123595591,0.16791819029644636,0.0,-0.0,0.0,0.0,-0.0,0.0,-302.5147493345315,-0.0,0.3025147493345315,-0.1718039416623355,-0.06614976204044026,0.0001840988467881373,-203.90361744394656,-0.0,0.20390361744394656,6.082007380946819e-08,1.8440551099541756e-08,6.355419186052142e-11,-48.320201310180664,-0.0,0.048320201310180666,-103.84795739711564,11.95167452610492,0.1045334433544169,-2.949313062229057e-08,0.00865720411737714,0.0,0.0,-1.565258868582154,-26.25458465973249,167.86035371376707,24.010935341101998
