Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,Head_vel_X,Head_vel_Y,Head_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,951.1261085444588,1070.4828591549729,699.1363265973264,1003.6952272288486,479.92256044193573,1003.8509215655431,92.7519718014354,335.71088682778213,0.0,-1449.3984375,0.0,-962.6210937499168,0.0,-1248.5980259371968,0.0,-577.2464711477869,0.0,-1961.7100849424337,0.0,-1306.2109374887673,0.0,-1247.934570294472,0.0,-1287.2519531419673,0.0,-986.9934389691149,0.0,-1007.4714687837385,0.0,-1017.6926169639693,0.0,-525.9917349795513,0.0,-259.671816231448,0.0,-157.2007529031583,0.0,-1412.1246753928783,0.0,-1596.5855468977031,0.0,-1668.2525272659693,0.0,-0.0,2005,1,baseline,person0,0.0,-166.04528272005612,177.16841449790616,0.0,163.8635810699122,-89.36928752235075,-59.06908358657936,54.52038331725139,-92.9773727448256,121.19647694423166,0.0,82.98349826149341,89.99804101031951,90.05128515475104,172.3371357643753,66.16761496489954,1.3639361856643737,83.85025930491167,3.635860763832877,87.7331485181675,-155.21883108364636,-41.629358117679075,111.803803932665,79.56711876963539,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.48687645946362,82.33909475405578
1,0.0336134453781512,948.2271634436083,1065.951485303639,699.1392040528262,1003.6967763306346,399.6244510171257,991.4699923593811,82.8592202308102,332.3966979238216,0.0,-1449.3984375,0.0,-962.6210937498608,0.0,-1245.1466150015024,0.0,-1082.618154120836,0.0,-1961.2299159468241,0.0,-1306.2109375024615,0.0,-1247.9345702962391,0.0,-1287.2519531529665,0.0,-985.9731313819036,0.0,-1007.8450251943034,0.0,-1015.522942362155,0.0,-534.2432994310701,0.0,-233.37013969214502,0.0,-126.1526105690995,0.0,-1401.8417615226422,0.0,-1656.147010289765,0.0,-1687.4227145706484,0.0,-0.0,2005,1,baseline,person0,0.0,-166.04528272663103,177.16841458188597,0.0,156.89482993149304,-89.3685761246225,-61.04345467782313,62.87512201915808,-91.4578250651308,118.66959434561235,0.0,82.9834982602882,89.99925854964583,86.47762404224632,172.3424187864263,58.91462707459773,1.3639475684727684,83.4506720362163,2.6843501028504586,87.55705475939833,-157.59280276570965,-33.67420717152005,110.94939991908596,84.99538762545012,0.0,14.28502761938391,0.014285027619383911,0.0,923.6822344382514,0.9236822344382514,0.0,1.664668403122963e-09,1.664668403122963e-12,0.0,-3.272262460995996e-07,3.2722624609959956e-10,0.0,305.91668763952316,0.3059166876395232,0.0,-15034.807568448237,15.034807568448237,0.0,-5.2575777065300244e-08,5.257577706530024e-11,0.0,-570.3130723142016,0.5703130723142016,0.0,-0.0,0.0,0.0,102.67947533690361,0.10267947533690361,-86.24361675030032,-134.80837207718534,0.16003517929590833,0.0,30.35415071953557,0.03035415071953557,-2388.8687553881027,-368.33264388332236,2.4170980259434205,0.0,-1771.9535359138422,1.771953535913842,0.0,-0.0,0.0,0.0856043011212006,0.04608577813225443,9.722137273513766e-05,0.0,64.54781940397481,0.06454781940397482,0.0,-245.48404243268345,0.24548404243268346,-294.3093592261004,-98.59711989282546,0.3103858743229756,0.0,-4.074011683563591e-07,4.074011683563591e-10,0.0,-11.113303214306168,0.011113303214306168,0.0,782.4748770442662,0.7824748770442662,0.0,-1.9560350494884952e-07,2.4983994464378203e-06,0.0,-207.32034636797013,0.02116408241510119,88.89174675020999,82.34316023678046
2,0.0672268907563025,944.438823653281,1060.608469307439,699.1432734993812,1003.6989338616152,335.02672399125163,978.6044791795875,74.0385523967462,329.4442644691448,0.0,-1449.3984375,0.0,-962.6210937498164,0.0,-1241.6619051428418,0.0,-1476.0658045679431,0.0,-1974.8864976483808,0.0,-1306.210937534026,0.0,-1247.934570311149,0.0,-1287.2519531613316,0.0,-984.620077257628,0.0,-1008.3863728795093,0.0,-1013.6524815818309,0.0,-540.9751117069476,0.0,-208.6804448543887,0.0,-102.3726438810519,0.0,-1391.232377033241,0.0,-1706.5867507302955,0.0,-1708.0036973412136,0.0,-0.0,2005,1,baseline,person0,0.0,-166.04528273277495,177.16841465362364,0.0,149.88594424076106,-89.3675607789266,-62.99622016435099,70.72006413003088,-91.18120571343546,115.41017665765445,0.0,82.9834982540932,90.00269264069519,81.78464987540332,172.34918825893632,51.615942871795674,1.363962046222487,82.92638591218268,1.892895165720148,87.3326344221195,-160.06987349493917,-26.353551562611344,108.7489788255284,89.05662648265971,0.0,-406.28330562131464,0.40628330562131465,0.0,707.4540089694148,0.7074540089694148,0.0,1.3211653993039344e-09,1.3211653993039345e-12,0.0,-2.488613204398856e-07,2.488613204398856e-10,0.0,315.62918855968815,0.31562918855968813,0.0,-11705.067600801423,11.705067600801423,0.0,-4.435614653353064e-07,4.4356146533530643e-10,0.0,-612.2842374243136,0.6122842374243136,0.0,-0.0,0.0,0.0,103.67011829515818,0.10367011829515818,-112.703108762238,-158.9547258869503,0.19485531967710903,0.0,40.25336019719769,0.04025336019719769,-1921.782379019751,-382.74901709885467,1.9595265556763841,0.0,-1500.5822781057889,1.500582278105789,0.0,-0.0,0.0,0.12106603500991446,0.06418654667106329,0.00013702882035024027,0.0,55.64620821464359,0.05564620821464359,0.0,-200.2714152073551,0.20027141520735509,-262.4148680634037,-87.83489527663386,0.2767246498037188,0.0,-9.390447308632575e-07,9.390447308632576e-10,0.0,-16.105093634874365,0.016105093634874366,0.0,734.5184214232495,0.7345184214232495,0.0,-1.8278164759522016e-07,2.1341957889831035e-06,0.0,-208.5143492992759,0.03020653445316053,89.42280234675364,82.34649561824114
3,0.1008403361344537,940.2047283304004,1054.6351321277016,699.1475705819914,1003.7011550595538,297.6057171692197,965.8400118603372,67.1612097494776,327.1535662544185,0.0,-1449.3984375,0.0,-962.6210937498284,0.0,-1238.1341132419607,0.0,-1710.3539267517851,0.0,-2008.7676391500452,0.0,-1306.2109375882494,0.0,-1247.93457034815,0.0,-1287.251953157848,0.0,-982.81680027275,0.0,-1009.0607352145311,0.0,-1012.1944850103175,0.0,-545.4663011710527,0.0,-188.30545127839048,0.0,-88.9178195746418,0.0,-1380.586109223608,0.0,-1741.9701437570714,0.0,-1729.5343178454973,0.0,-0.0,2005,1,baseline,person0,0.0,-166.04528273385898,177.16841464881497,0.0,142.8106402499663,-89.36647279233064,-65.02040030398993,77.60758642593271,-92.175525876284,111.10787185276769,0.0,82.98349823985986,90.00925162641502,75.63196980709345,172.35513385859426,44.24327418900578,1.36397455823135,82.3787415116764,1.360026022528702,87.05385486242281,-162.64171869910473,-20.01367353377363,105.18284888765356,91.09420106767752,0.0,-1007.9639596745122,1.0079639596745122,0.0,400.28102311570115,0.40028102311570113,0.0,-3.5671465781206347e-10,3.5671465781206345e-13,0.0,1.0363881974839748e-07,1.0363881974839748e-10,0.0,316.72646733657785,0.31672646733657783,0.0,-6970.071634969313,6.970071634969313,0.0,-1.1007817990460488e-06,1.1007817990460487e-09,0.0,-640.5359600024437,0.6405359600024437,0.0,-0.0,0.0,0.0,104.95180905120779,0.1049518090512078,-125.96433585569989,-177.70678109718347,0.2178226663033254,0.0,53.64749030012158,0.05364749030012158,-1113.2749529554517,-379.74290274770027,1.1762592371859244,0.0,-1052.65594254658,1.05265594254658,0.0,-0.0,0.0,0.12783820765294188,0.066080638676025,0.0001439071163763212,0.0,43.37539800252235,0.04337539800252235,0.0,-133.6128865571268,0.1336128865571268,-204.60094375624107,-68.14827188810837,0.2156518795357,0.0,-1.6131429525501094e-06,1.6131429525501093e-09,0.0,-20.062279466899408,0.020062279466899407,0.0,606.1560588859477,0.6061560588859477,0.0,-3.224996447670498e-08,-1.4305790330126937e-07,0.0,-210.49029372614467,0.03236760122987909,89.97639234691786,82.34588223217924
4,0.134453781512605,937.0531601496468,1049.2419852164235,699.1496103877723,1003.7020786387187,288.388226774653,954.8004745312584,62.61349072184449,325.667087843109,0.0,-1449.3984375,0.0,-962.6210937499696,0.0,-1234.5825661137546,0.0,-1807.1435286562712,0.0,-2056.565273011632,0.0,-1306.2109376619208,0.0,-1247.9345704144828,0.0,-1287.2519531279381,0.0,-980.712769575646,0.0,-1009.6254102208646,0.0,-1011.057300590275,0.0,-547.9389057327978,0.0,-175.1238719846113,0.0,-84.48550532732719,0.0,-1370.858290999109,0.0,-1761.4421883618825,0.0,-1750.159684657235,0.0,-0.0,2005,1,baseline,person0,0.0,-166.045282721977,177.168414461718,0.0,135.678857686835,-89.36591998010472,-67.21377197273355,83.21566598152317,-93.4759225929863,105.9881881545915,0.0,82.98349821545719,90.01909340455634,68.89997815290297,172.35519740479904,36.80786847836993,1.363974130017067,82.08955508883957,1.0917388789956688,86.76160358644903,-165.124287691574,-14.694779116014669,101.3999079139454,91.29341328777303,0.0,-1421.9796073822074,1.4219796073822073,0.0,131.86134885760933,0.13186134885760933,0.0,-4.201305969786512e-09,4.201305969786512e-12,0.0,8.898181080851929e-07,8.898181080851929e-10,0.0,289.4025921788474,0.2894025921788474,0.0,-2879.490656658456,2.8794906566584557,0.0,-1.973404939459297e-06,1.973404939459297e-09,0.0,-613.6046626491911,0.6136046626491911,0.0,-0.0,0.0,0.0,105.658527064133,0.10565852706413299,-93.75915337741866,-160.44612061052726,0.1858325495197711,0.0,62.594913238842864,0.06259491323884286,-274.22033923835914,-328.42623554009407,0.4278558012263456,0.0,-579.2933269931298,0.5792933269931297,0.0,-0.0,0.0,0.06068422198329806,0.02747648015649636,6.661480135456784e-05,0.0,33.831236496264744,0.033831236496264745,0.0,-73.5599857119178,0.07355998571191781,-135.29464107208483,-44.22273273645756,0.14233864546743594,0.0,-2.191720915867276e-06,2.191720915867276e-09,0.0,-16.799081438421712,0.016799081438421713,0.0,392.15198398993044,0.39215198398993045,0.0,3.5348890037312183e-07,-5.566135357071281e-06,0.0,-212.17053125315618,0.01644616372109906,90.26564231595947,82.3361040002427
5,0.1680672268907563,935.9284824460468,1045.632291014999,699.1448487192549,1003.6992550911217,297.3052146936717,946.9877433262433,60.1941381234781,324.9331646497346,0.0,-1449.3984375,0.0,-962.621093750332,0.0,-1231.0767666559038,0.0,-1818.4275764744855,0.0,-2101.0424898468805,0.0,-1306.2109377345503,0.0,-1247.9345705085127,0.0,-1287.2519530535615,0.0,-978.5440305654947,0.0,-1009.8527873396017,0.0,-1010.1179460474106,0.0,-548.99686724383,0.0,-169.8139529819836,0.0,-86.035692441544,0.0,-1363.0288277097463,0.0,-1768.5172294209679,0.0,-1768.0866141715353,0.0,-0.0,2005,1,baseline,person0,0.0,-166.0452826864517,177.1684139553258,0.0,128.56612975478242,-89.36702494918012,-69.45320845718285,87.41703386798162,-94.3050447951261,100.68385017129609,0.0,82.98349818237007,90.03045473364918,63.27505513192116,172.34097030972012,29.3931039186652,1.3639426343796963,82.2245716694355,1.0209075439981845,86.50119818253805,-167.228687720221,-10.358391414249276,98.46636834556377,90.32546386377354,0.0,-1323.1972008486428,1.3231972008486428,0.0,-46.1180666479501,0.0461180666479501,0.0,-1.0780709658320113e-08,1.0780709658320114e-11,0.0,2.2127010224082243e-06,2.2127010224082243e-09,0.0,232.92653285853467,0.23292653285853468,0.0,-335.7004225918767,0.3357004225918767,0.0,-2.7973893756971774e-06,2.7973893756971774e-09,0.0,-533.3261530504337,0.5333261530504337,0.0,-0.0,0.0,0.0,104.29753387105761,0.10429753387105761,-33.45916168210087,-107.38840249237342,0.11248015153942921,0.0,64.51998555199947,0.06451998555199946,265.28039059080726,-232.42875334920006,0.35269932097393464,0.0,-210.48247150779076,0.21048247150779076,0.0,-0.0,0.0,-0.14165963839182774,-0.08400054101265203,0.00016469227073460864,0.0,27.94579765021658,0.02794579765021658,0.0,-31.47435495320831,0.03147435495320831,-71.9757398014003,-21.834215002888303,0.07521462666763182,0.0,-2.160732981426604e-06,2.160732981426604e-09,0.0,-6.76446928242885,0.00676446928242885,0.0,157.97009032817397,0.15797009032817397,0.0,1.0568773589625373e-06,-1.5065167453087716e-05,0.0,-211.60365597856367,-0.032872829993127774,90.11639864028461,82.31051557607094
6,0.2016806722689075,935.943161944174,1043.9268720544762,699.1267230625463,1003.6891998029745,312.6804577976009,942.9322706938748,59.3516571447627,324.7781156383352,0.0,-1449.3984375,0.0,-962.6210937509926,0.0,-1227.7572249368266,0.0,-1791.3993383632528,0.0,-2122.022369714632,0.0,-1306.210937757183,0.0,-1247.9345706081765,0.0,-1287.251952920081,0.0,-976.39428064882,0.0,-1009.6536371418861,0.0,-1009.4029198744805,0.0,-548.942214998848,0.0,-169.8328053301291,0.0,-90.4560442705876,0.0,-1357.4450961453229,0.0,-1768.3735208342323,0.0,-1782.1867527909512,0.0,-0.0,2005,1,baseline,person0,0.0,-166.04528261687173,177.1684130064452,0.0,121.64712976092024,-89.3714236005986,-71.2917053585599,90.32686941900492,-94.6701035578012,95.98759779175523,0.0,82.98349814987196,90.03807098200973,60.17231685253241,172.3014238579548,22.19178844908681,1.363856465417874,82.61279835328476,1.0503706176223282,86.28718571396404,-168.6788764994443,-7.060323335876346,96.6510128777354,88.9272783020192,0.0,-624.1514260656115,0.6241514260656116,0.0,-131.50546691404685,0.13150546691404685,0.0,-1.9652335314646075e-08,1.9652335314646075e-11,0.0,3.971046658168835e-06,3.971046658168835e-09,0.0,166.11601404160226,0.16611601404160226,0.0,804.0900838091761,0.8040900838091761,0.0,-2.9649990240798763e-06,2.9649990240798762e-09,0.0,-419.47912392762487,0.4194791239276249,0.0,-0.0,0.0,0.0,98.75636614255411,0.09875636614255412,0.4367150692865534,-50.73621407555295,0.05073809356659038,0.0,63.955060021076136,0.06395506002107613,457.41348234189365,-120.65031081296286,0.47305770401442826,0.0,4.275330455381536,0.004275330455381536,0.0,-0.0,0.0,-0.5392382870828555,-0.29914482238030426,0.0006166567562372084,0.0,21.272028644669508,0.021272028644669507,0.0,1.6259042882118842,0.0016259042882118841,-25.063809116783176,-4.612708089132145,0.025484732750376028,0.0,-6.733253399282553e-07,6.733253399282553e-10,0.0,5.924718382040845,0.005924718382040845,0.0,-0.560857357328575,0.000560857357328575,0.0,2.070004484266976e-06,-2.822919776690472e-05,0.0,-205.84024981740026,-0.1308598796998909,89.68862550467004,82.26335287594507
7,0.2352941176470588,935.1409055223781,1043.1948159328706,699.0880710714447,1003.6681983079645,328.7844200634592,942.4216389505235,59.5431376916448,325.0120797040137,0.0,-1449.3984375,0.0,-962.6210937519444,0.0,-1224.8419594709137,0.0,-1755.123796820207,0.0,-2102.025717247261,0.0,-1306.2109376439075,0.0,-1247.9345706563452,0.0,-1287.2519527306706,0.0,-974.1980336634915,0.0,-1008.9337844231599,0.0,-1008.9717067617916,0.0,-547.7665794423068,0.0,-171.2337191566459,0.0,-95.1071676949671,0.0,-1353.8223128493253,0.0,-1765.519868938168,0.0,-1792.010954520732,0.0,-0.0,2005,1,baseline,person0,0.0,-166.04528251027503,177.1684116058696,0.0,115.21711480675914,-89.38092599533611,-72.1644481872691,92.23046980866194,-95.03962391347984,92.53828903054716,0.0,82.98349814004258,90.03163664230155,60.23085319607156,172.2263908920546,15.530168696883852,1.3636941748496556,82.88526242233485,1.0901686370035473,86.12159438271524,-169.27897791679638,-4.88425053346125,95.68113427517882,87.6540367755244,0.0,594.9004109042912,0.5949004109042912,0.0,-138.37092187529038,0.13837092187529038,0.0,-2.8315877420581598e-08,2.8315877420581598e-11,0.0,5.634961997014184e-06,5.634961997014184e-09,0.0,107.77780305592954,0.10777780305592954,0.0,1079.1973609056117,1.0791973609056118,0.0,-1.4330152620090067e-06,1.4330152620090067e-09,0.0,-292.27000146097606,0.29227000146097604,0.0,-0.0,0.0,0.0,86.729147610906,0.086729147610906,-23.86712854842733,-21.778669617771403,0.03231021936581666,0.0,65.33834781351948,0.06533834781351948,479.09287740928437,-15.191294364698118,0.47933366312912185,0.0,84.89614390791755,0.08489614390791755,0.0,-0.0,0.0,-1.1498967352739635,-0.6247944765457866,0.0013086751467479786,0.0,12.828590102494756,0.012828590102494757,0.0,34.97515780710429,0.034975157807104286,5.696546269742559,6.96043095393518,0.008994344804810235,0.0,3.3699494306205203e-06,3.3699494306205204e-09,0.0,21.415618382104746,0.021415618382104748,0.0,-41.67718633887487,0.04167718633887487,0.0,3.1712518619997337e-06,-4.166712405861969e-05,0.0,-191.29294488629247,-0.2826962434409131,89.34112846971976,82.19475424975306
8,0.2689075630252101,932.3612718406158,1042.333413819436,699.0249588751136,1003.634407229544,344.1034030349649,944.7445249005204,60.4307128216644,325.4731031187309,0.0,-1449.3984375,0.0,-962.6210937529788,0.0,-1222.5933144391404,0.0,-1723.199633088874,0.0,-2028.6128197360727,0.0,-1306.2109372754376,0.0,-1247.934570548283,0.0,-1287.2519525295754,0.0,-971.962904705738,0.0,-1007.577249621138,0.0,-1008.7103934873327,0.0,-545.6151760421329,0.0,-171.3061860024184,0.0,-98.4476582678923,0.0,-1351.6448994253667,0.0,-1763.0314975795086,0.0,-1797.8218673640586,0.0,-0.0,2005,1,baseline,person0,0.0,-166.0452823836816,177.1684100265395,0.0,109.66856947385888,-89.39658097468633,-71.83161890766667,93.43341928495016,-95.7811560522674,90.57568387569071,0.0,82.98349819155236,89.99537085926497,63.5231612863239,172.1144369521487,9.842527223240133,1.363453560487077,82.80221429375344,1.0907582678519685,86.01834466140029,-169.02890301571398,-3.764340239095332,95.18922736573914,86.81132955270724,0.0,2184.03370095785,2.1840337009578503,0.0,-99.3795945445245,0.0993795945445245,0.0,-3.0773245063286916e-08,3.0773245063286916e-11,0.0,5.982580431052039e-06,5.982580431052039e-09,0.0,64.77804936276523,0.06477804936276522,0.0,949.7438710071561,0.9497438710071562,0.0,3.2148446127422386e-06,3.2148446127422387e-09,0.0,-172.87465708896553,0.17287465708896554,0.0,-0.0,0.0,0.0,66.89718969525728,0.06689718969525728,-82.69410203243054,-25.626712874677867,0.08657391595458307,0.0,66.49508649316878,0.06649508649316878,455.739743402294,69.10585701240642,0.4609493824595147,0.0,74.02904792011785,0.07402904792011784,0.0,-0.0,0.0,-1.8775878408484037,-1.0052845830098016,0.0021297730378937005,0.0,7.774069915151833,0.007774069915151833,0.0,64.00425115517154,0.06400425115517154,26.40536011808311,13.715446587836984,0.02975494106983684,0.0,1.096198015693161e-05,1.096198015693161e-08,0.0,40.356910360151915,0.04035691036015191,0.0,-2.1558886617318986,0.0021558886617318988,0.0,3.7661542506839375e-06,-4.698507056843934e-05,0.0,-165.06922365378267,-0.46573563566894166,89.31222265839527,82.11906609288374
9,0.3025210084033613,928.1246840402408,1040.810726485157,698.9438448025625,1003.5917207456115,357.8684294712935,948.4878481757848,61.877582246996205,326.0001580658744,0.0,-1449.3984375,0.0,-962.621093753538,0.0,-1221.2095683213454,0.0,-1700.57185495031,0.0,-1898.345449729415,0.0,-1306.2109365296112,0.0,-1247.9345701323905,0.0,-1287.251952431618,0.0,-969.8467041033044,0.0,-1005.5971139594004,0.0,-1008.3604010040093,0.0,-542.9375394984781,0.0,-169.515986673411,0.0,-100.1169773852316,0.0,-1350.422248299899,0.0,-1762.8334536612363,0.0,-1800.6291293731858,0.0,-0.0,2005,1,baseline,person0,0.0,-166.04528229139248,177.16840904648535,0.0,105.3730363307704,-89.41690778898682,-70.62661304007435,94.16670609714508,-96.86856056135548,89.91190790236566,0.0,82.98349835798594,89.91054380584882,69.72443546178104,171.98621989863224,5.541069930186491,1.3631804826759444,82.416525124927,1.054669970263466,85.99369027796564,-168.20920257743143,-3.416738036275192,94.92090038915887,86.49513504052743,0.0,3875.4542576980666,3.8754542576980664,0.0,-49.66224374084441,0.04966224374084441,0.0,-1.663677529073482e-08,1.663677529073482e-11,0.0,2.9142266377846235e-06,2.9142266377846235e-09,0.0,36.373870982667704,0.03637387098266771,0.0,673.1763996222786,0.6731763996222786,0.0,1.2372806446059318e-05,1.2372806446059318e-08,0.0,-83.51604477153681,0.08351604477153682,0.0,-0.0,0.0,0.0,41.166447004401704,0.0411664470044017,-126.0384870611547,-45.29994819480239,0.13393201830449894,0.0,62.95696792239843,0.06295696792239842,409.50953648077586,111.36386743911555,0.4243818698291632,0.0,5.891806568600113,0.005891806568600113,0.0,-0.0,0.0,-2.413143658397621,-1.269922896990794,0.0027268968591360665,0.0,10.412276378872876,0.010412276378872877,0.0,79.6596871737311,0.0796596871737311,43.044365403621086,15.679884677519174,0.04581131057392653,0.0,2.2188332116090954e-05,2.2188332116090954e-08,0.0,58.9090359366904,0.058909035936690404,0.0,53.25843003797007,0.053258430037970074,0.0,2.7456015416760246e-06,-2.9156611063285716e-05,0.0,-127.79211100688222,-0.604722725439551,89.56969477370524,82.07567609278343
