Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,813.2373639795771,1095.2136169702953,731.8697649087617,1045.3024808341008,1645.2395152917832,895.85447212425,1543.7197265624998,1064.5751953125,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1216.842111085027,0.0,-959.8282446927808,0.0,-678.5605468750031,0.0,-0.0,-639.2470703125,-0.0,1008.025840491903,923.703730881026,983.4973806438471,555.0986637955781,983.4587593402416,727.1455634754261,731.5905762941605,1021.9934351226481,319.56171837911876,917.890558835405,227.7107278570182,470.1062829200456,1321.2981188198473,997.601397466998,1708.1103387049689,905.8500170821036,1776.0699958135722,463.216796564838,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.92161967831628,77.42957560703405,0.0,0.0,85.25580965238741,-293.4255774250404,205.6924971621192,-63.799412614654706,68.76284326224469,0.0,0.0,-71.565051177078,-140.19442890773092,162.64597536375942,23.610510214429834,-0.6820618873674615,102.26198553859062,2.3698446889371967,93.80884982627192,165.38474260427915,13.348675577390557,101.56530695584298,81.4236202932726,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3839898251688,234.21102654083742
1,0.0336507936507936,827.3358758638136,1091.9472217492312,731.8676725885085,1045.3143864759497,1644.9207710972753,895.8743868769168,1543.7197265624998,1064.5751953125,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1216.88828400799,0.0,-1016.8851171947646,0.0,-678.5605468749997,0.0,-0.0,-639.2470703125,-0.0,1003.5773266690082,923.4238804046312,979.9687374535035,555.7452605572494,983.1143922937556,727.603614167234,723.1569614600188,1023.8930298121294,334.6933186226243,871.6877203202748,290.1479439253527,419.7520959880674,1315.1936454276808,994.7365730213268,1692.8243752465175,870.7561365375934,1706.7309497317149,431.6458406057396,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.92161967831629,77.4295756070387,0.0,0.0,85.25421304117619,-279.7979266760018,195.3372992874385,-62.47058269242842,72.37190654342497,0.0,0.0,-71.56505117707802,-140.19442890773615,162.6459753638275,23.60297123739399,-0.6820626115719906,102.67954780234248,2.8221514953933657,93.66800979561286,157.864199799931,18.05429733817421,95.3622369306166,93.0380066236121,-181.4065206162679,-85.13393399872172,0.20038990104343862,0.0,-0.0,0.0,-10.233549022932852,13.61188376599045,0.017029647831461586,449.66547893436274,-1373.0088804024558,1.444767257591781,-104.86062310926835,19.214903766648234,0.10660657956067052,0.0,-0.0,0.0,418.96521165419847,-97.06740515426317,0.4300627044046359,0.0,-0.0,0.0,1855.4455718420186,-1496.3744229785993,2.3836557393660462,-132.19640134073845,-8.316311326826108,0.1324577274511619,0.0,-1695.5580035966902,1.6955580035966902,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-1.3721198805057426,0.0013721198805057425,-250.62157290138208,56.45021954590694,0.25690036996926235,0.0,-0.0,0.0,0.0,1.0227667769306293e-10,1.0227667769306293e-13,0.0,-0.0,0.0,-9.472115214147976,0.5918063292467647,0.009490584879839076,-2060.5471241306673,-938.1935025581149,2.2640807183060914,-0.06217744148560578,0.35379973418694716,0.00035922177848851314,-454.2526876803912,-1042.8841859925196,1.1375205183459942,2.1115185072116217e-13,1.3809331037164007e-10,0.0,0.0,-0.047446465239283274,59.966427561485006,234.2110265409055
2,0.0673015873015872,841.3594664917604,1088.7052576859826,731.8686700756119,1045.326036628887,1644.4793524944662,895.9019661785993,1543.7197265624998,1064.5751953125,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1216.9569847365449,0.0,-1073.8077199758877,0.0,-678.5605468749917,0.0,-0.0,-639.2470703125,-0.0,998.537572793896,923.0333246716064,975.5518706311864,554.9477969675241,981.359698523936,727.8274765633887,715.1662896961554,1026.287066175404,353.58158395521076,827.9314692724286,357.5518590358372,371.5339404691421,1308.6417853212452,992.6746959929236,1677.2518949165922,835.0011127232542,1635.8414593159769,405.3044868472287,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.92161967831631,77.42957560704907,0.0,0.0,85.25434448726386,-266.21040647207514,185.02070162775112,-61.192325669128515,77.42183182156352,0.0,0.0,-71.56505117707803,-140.1944289077479,162.64597536393438,23.601968460040975,-0.6820629159157472,103.0871217686177,3.2494985381261343,93.5643015839441,150.36848988480375,22.881425430967884,89.13778283188577,104.70256144253844,-194.7015031629517,-61.27276074971825,0.20411522859356943,0.0,-0.0,0.0,-52.1442016503003,6.652514602709951,0.05256684997492669,561.3022245061084,-1300.3036867992084,1.4162802918699107,-131.25594802168828,-23.698210449381317,0.133378143147876,0.0,-0.0,0.0,416.73877809464557,-96.34138489842596,0.42772990497738744,0.0,-0.0,0.0,2003.0408735662877,-1432.8980177793856,2.4627970826954644,-149.76627081701494,-11.606137349322562,0.15021530647243242,0.0,-1691.5679128352663,1.6915679128352663,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-2.041578254226272,0.002041578254226272,-237.45864203933624,71.1435334369412,0.247887089274651,0.0,-0.0,0.0,0.0,2.3754583206130747e-10,2.3754583206130747e-13,0.0,-0.0,0.0,-13.117628291028675,0.8195735877350308,0.013143206338154656,-2106.6216491469345,-782.7855126349943,2.247355764325217,0.029642305433343816,0.3462073750219971,0.00034747404621212415,-462.7671041440076,-1062.5313680676306,1.1589332598581774,6.334555521634865e-13,3.0828170205289676e-10,0.0,0.0,0.003906180907425795,59.55885359531668,234.21102654101242
3,0.1009523809523809,855.3363343861868,1085.4810486255753,731.8765005408496,1045.3294529330308,1644.029284803793,895.9300858648688,1543.7197265624995,1064.5751953125002,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1217.035353304968,0.0,-1130.8810283176742,0.0,-678.560546874978,0.0,-0.0,-639.2470703125,-0.0,992.3074135661027,922.9543257642651,969.5761025482884,551.6431721488176,977.2976818314592,727.5005563559492,707.5547103835821,1029.478852619544,378.0124660963665,789.2225807363263,433.64718160984273,327.5493926893449,1301.543238573554,991.4896789990668,1661.8539569841355,799.2670582413637,1564.3672046890783,390.2337745524136,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.921619678316354,77.42957560706654,0.0,0.0,85.25857618485087,-252.62943476556129,174.7230029644346,-60.30179058181726,84.02765455015891,0.0,0.0,-71.56505117707808,-140.19442890776776,162.64597536406544,23.6174548876673,-0.6820620042294776,103.48411045739014,3.672123819806458,93.49762803608306,143.17525891242772,27.68704935303588,82.84321409588003,115.59345748629656,-210.94737976629386,-35.215127647630005,0.21386655242347707,0.0,-0.0,0.0,-120.71087340851011,-9.715081636174348,0.12110118814546324,726.0120636286836,-1150.3113102709601,1.3602608672867393,-177.5817873691388,-98.20347338608997,0.20292662070391482,0.0,-0.0,0.0,415.3503195041775,-95.81375981399106,0.4262583306891673,-6.598495335036296e-12,6.598495335036296e-12,9.33168159406393e-15,2261.323265170915,-1307.0879764751035,2.6119077104386803,-185.14152422215733,-2.3476090389129842,0.18515640755724133,0.0,-1696.0464271379913,1.6960464271379914,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-2.3288772691781303,0.0023288772691781303,-226.19315881703906,94.8502575381218,0.245275185150635,0.0,-0.0,0.0,0.0,4.0910671077225036e-10,4.0910671077225036e-13,0.0,-0.0,0.0,-13.374653071890108,0.8356321863099818,0.01340073229134202,-2123.999076176697,-447.8560729119574,2.1707019919011414,0.23269778772315752,0.10152224578272273,0.00025387994564364324,-457.580231011684,-1061.9082228108946,1.15629958984949,1.266911104326969e-12,5.19011249072615e-10,0.0,0.0,0.1257532773495952,59.16186490667529,234.2110265411435
4,0.1346031746031745,869.3036045013441,1082.261154151548,731.8957654420169,1045.310689963251,1643.8524444214152,895.9411346386189,1543.719726562499,1064.5751953125005,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1217.0859175887813,0.0,-1188.4468077209085,0.0,-678.5605468749593,0.0,-0.0,-639.2470703125,-0.0,984.3302430447468,923.7822239660106,961.806339527578,545.6232270371237,970.6642214649172,726.5622438976403,699.8509018937166,1033.3674564575413,407.07207421095,757.865128139396,519.596816301241,289.617528812817,1294.3056602566244,990.6201569381323,1648.0251819879356,765.4072164091895,1496.085832096152,392.3049202409179,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.92161967831643,77.42957560708975,0.0,0.0,85.26997464301722,-239.02892016337677,164.42937021854166,-60.43057647113813,91.34292425656363,0.0,0.0,-71.56505117707815,-140.19442890779428,162.6459753641694,23.66276348693184,-0.6820587426544414,103.8741283306106,4.126105185597377,93.41364823514633,136.86307815301765,32.102089944740335,76.44171042378082,123.12696202116436,-215.07897828611627,-25.839570678716992,0.216625599395501,0.0,-0.0,0.0,-197.12641655289934,-27.88381361955661,0.19908875198000855,863.5638260465855,-931.8488271729316,1.270466338932199,-230.89390108714957,-178.89459530033795,0.29208777753770204,0.0,-0.0,0.0,415.0651024787352,-95.6855433319391,0.42595159642664954,-1.3196990670072636e-11,6.598495335036318e-12,1.4754684118356455e-14,2554.1636724330656,-1127.220483123237,2.791841342760965,-237.0574258704834,24.602635240548707,0.23833067956333112,0.0,-1710.6811803791343,1.7106811803791342,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-1.5026178680378437,0.0015026178680378438,-228.93393153845673,115.55756688387481,0.25644550351639234,0.0,-0.0,0.0,0.0,5.542736081430507e-10,5.542736081430507e-13,0.0,-0.0,0.0,-5.255162306511976,0.32833620106527434,0.0052654093410402815,-2029.11626101621,61.54819734706201,2.0300495021838945,0.5724947045007343,-0.5575788189301896,0.0007991522545804198,-410.94944564178815,-1006.2122808617844,1.0868958556505621,2.322670357932784e-12,6.896219444553157e-10,0.0,0.0,0.33872776626430673,58.7718470335588,234.21102654124755
5,0.1682539682539682,883.327768437535,1079.017097617747,731.9301377439784,1045.2504624522949,1644.453078194872,895.9036077652553,1543.719726562499,1064.575195312501,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1217.036076265505,0.0,-1246.8906877052264,0.0,-678.5605468749408,0.0,-0.0,-639.2470703125,-0.0,974.3041182684586,925.4441263876594,952.3704375614848,537.3444210167476,961.6353111168688,725.3225958723136,691.3633582506186,1037.3269122084303,436.9663496269634,735.7626869780952,613.8015621025186,260.76462378287977,1287.559319235985,989.21222624079,1637.9606990666728,735.7227913896257,1436.9332815883497,416.35068357821297,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.921619678316546,77.42957560711172,0.0,0.0,85.29128395455267,-225.38709532597943,154.1229955218681,-62.53399038315674,96.95470747393443,0.0,0.0,-71.56505117707823,-140.19442890781963,162.64597536413976,23.750700205437425,-0.6820519204172765,104.2695930589325,4.621019394358839,93.25281851519476,132.30340806323872,35.67663524105552,69.86820520262225,122.71213314097564,-200.4808888208882,-41.83944996818917,0.20480021083010128,0.0,-0.0,0.0,-268.31195845615224,-36.83859697904877,0.2708290776079274,888.3676184947368,-656.8178269631824,1.104810700258939,-280.4065206905059,-246.02112230363278,0.3730337913182854,0.0,-0.0,0.0,416.755815084917,-96.40356680635686,0.42776051372243473,0.0,1.3196990670072592e-11,1.3196990670072593e-14,2799.480653528527,-857.4212343802079,2.9278427387150745,-297.94616080478943,49.38672290748678,0.30201152815390064,0.0,-1736.7756787792548,1.7367756787792548,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.4811336634008172,0.0014811336634008173,-252.22417429961007,117.66307184245812,0.2783192996838767,0.0,-0.0,0.0,0.0,5.509743604755307e-10,5.509743604755307e-13,0.0,-0.0,0.0,17.8490225131084,-1.1151853876939386,0.017883826299826797,-1757.8352273545001,714.5674954007487,1.8975224351800815,1.0214410488547228,-1.7897798067120168,0.0020607410251653503,-299.0860490752628,-882.131498222882,0.9314550149676564,3.378429611538584e-12,6.528815224298313e-10,0.0,0.0,0.6332484088363896,58.37638230520726,234.211026541218
6,0.2019047619047618,897.5242277478254,1075.697659167854,731.9786403900301,1045.1291550223082,1646.5445261897144,895.7729366182082,1543.719726562499,1064.575195312501,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1216.775583222273,0.0,-1306.538513322637,0.0,-678.5605468749349,0.0,-0.0,-639.2470703125,-0.0,962.5010585291548,927.1213800725978,941.7083232322608,527.3449545411565,950.7475300617921,724.0334091100794,681.340563812756,1040.3950512492847,461.8473350113232,724.4457454667548,712.2807726818959,245.97124933527078,1281.6367820211774,986.5336211610506,1633.937881135528,712.4014566789855,1393.485797486195,465.0167113653995,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.92161967831667,77.42957560711633,0.0,0.0,85.3226735361361,-211.68641572933257,143.77771034681078,-67.63863699586776,96.54420870542758,0.0,0.0,-71.5650511770783,-140.19442890782557,162.6459753638058,23.884423901516275,-0.682040931823608,104.6967704053155,5.123225000469869,93.00134188048206,130.41243196599913,38.011539444973536,63.02501364451327,108.43559317181956,-175.9999266664499,-79.60005661489686,0.193163514152364,0.0,-0.0,0.0,-323.5519841838871,-38.31073868903579,0.3258122145780141,739.3877732144666,-336.30533736530606,0.8122780060542325,-316.84585034957945,-297.1539565859601,0.43438665587059505,0.0,-0.0,0.0,421.875913466176,-98.64368978455357,0.43325496407684894,0.0,-0.0,0.0,2926.504842689049,-439.6144293393249,2.9593396967509147,-350.75130357365254,49.84291610901943,0.3542750248674994,0.0,-1772.5533084419235,1.7725533084419236,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,7.7410668507606815,0.007741066850760681,-297.84719320063044,91.17582998765616,0.31148993959906907,0.0,-0.0,0.0,0.0,1.7486012637846244e-10,1.7486012637846243e-13,0.0,-0.0,0.0,62.15152060144875,-3.8831520113027307,0.0622727097741474,-1291.1280652998857,1446.2074295248851,1.9386922422648731,1.4413522175746394,-3.604890608099462,0.003882361718267766,-119.54600455760463,-693.0396635709138,0.7032746422900318,3.589581462259757e-12,1.3724870296875542e-10,0.0,0.0,0.9328036036584082,57.9492049584903,234.21102654088412
7,0.2355555555555555,912.0624902291794,1072.227435621293,732.0296704172742,1044.9391738868337,1650.8803875695608,895.5020372310173,1543.719726562499,1064.5751953125005,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1216.17505951469,0.0,-1367.4031030844394,0.0,-678.5605468749635,0.0,-0.0,-639.2470703125,-0.0,949.6441765146376,927.530607184173,930.41989185285,515.7968189168924,938.9943847884891,722.4632702036332,669.081030703511,1041.3468652140295,475.3564650832091,724.8941308104402,809.2920089380034,251.22210059331428,1275.769711473279,981.7630138598455,1637.2788300490115,697.4792296776669,1371.3827130920356,537.7224599846145,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.92161967831672,77.42957560707588,0.0,0.0,85.35796498913551,-197.9203716967152,133.35367230278482,-76.23883144423162,84.4569326373892,0.0,0.0,-71.56505117707829,-140.19442890778058,162.64597536295292,24.041658900458785,-0.682027032867851,105.19863732452616,5.591596473577683,92.68715826766164,131.61593865905766,38.73122385902188,55.83338094298218,75.40320835000924,-174.35162477245464,-141.76804715845162,0.22471463738687736,0.0,-0.0,0.0,-349.26799632928237,-46.65978825759914,0.35237092544663157,401.4505634569869,13.324658798198465,0.4016716338404054,-335.45810231267984,-343.1757284569029,0.4798976130479817,0.0,-0.0,0.0,432.0332718515582,-103.12456765724086,0.44417049028639355,0.0,-1.3196990670072604e-11,1.3196990670072604e-14,2882.8810774220574,156.0394477626134,2.88710090156479,-382.06772024272715,12.160994353414114,0.3822612099535324,0.0,-1808.7118655629918,1.8087118655629917,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,17.84575168760835,0.01784575168760835,-364.3163140954909,28.285037631569022,0.3654126709214442,0.0,-0.0,0.0,0.0,-8.51205898219683e-10,8.51205898219683e-13,0.0,-0.0,0.0,128.84871081618763,-8.050311977843878,0.12909995275728867,-656.8369419019068,2160.5953599106333,2.2582309619510594,1.5164583567839642,-5.645665818343465,0.005845783820863692,99.28291582521612,-443.44353824672896,0.45442190636844865,1.6892148057692933e-12,-1.2022986380062946e-09,0.0,0.0,1.0487554429071906,57.447338038426764,234.2110265400312
8,0.2692063492063491,927.136208275569,1068.520827566776,732.0534679998847,1044.7070107746922,1657.8192100868382,895.0685079726823,1543.7197265625002,1064.5751953124998,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1215.1433439210184,0.0,-1428.7462773174336,0.0,-678.5605468750568,0.0,-0.0,-639.2470703125,-0.0,936.5303111455628,924.9565182504072,918.9313023610287,502.25770132539316,927.8077360720832,719.8274552010914,654.1861609049434,1038.6569045786057,472.2678872198602,737.1081013012389,898.2587075333947,281.9022112989282,1268.0477151679497,973.4465145300409,1647.5648399759896,693.1517806968023,1374.2235195449618,629.8712929792621,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.92161967831657,77.4295756069527,0.0,0.0,85.37964092532975,-184.1097072270541,122.80112013798512,-87.47076899415048,55.9733664697622,0.0,0.0,-71.56505117707806,-140.19442890764165,162.64597536140045,24.15307523760824,-0.6820151684715163,105.83067846413712,6.030254574485596,92.36916161168423,135.08767891335452,37.39853357790204,48.2716876670818,24.682725024162803,-229.47441850742496,-247.14125366872526,0.3372496227044146,0.0,-0.0,0.0,-332.4334288365923,-78.32846469817741,0.34153672275470953,-91.78321009008616,362.96233062279344,0.37438724751995883,-341.4061971626177,-402.34170201153563,0.5276713339177896,0.0,-0.0,0.0,447.9453947747848,-110.14920162007915,0.46128941383634486,3.299247667518156e-11,-1.9795486005108936e-11,3.847550887695786e-14,2643.821703542294,911.7202709687151,2.7966099214256794,-389.70448974137327,-76.49415227700474,0.39714096320722403,0.0,-1822.9339512635077,1.8229339512635077,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,30.659472830808667,0.03065947283080867,-442.63056476875386,-79.93750944892194,0.4497908650521956,0.0,-0.0,0.0,0.0,-2.7746672883827693e-09,2.7746672883827693e-12,0.0,-0.0,0.0,206.20085782475633,-12.883180790145767,0.20660292862139432,84.4201917614919,2738.385131444715,2.7396860945908634,0.7071923134221588,-6.899186823068699,0.0069353370349081195,305.6691629243508,-128.59871971437167,0.3316191608985356,-4.645340715865564e-12,-3.6605284841020646e-09,0.0,0.0,0.6441433869043689,56.81529689726332,234.2110265384785
9,0.3028571428571428,942.8708062669916,1064.523518673837,731.9957408631128,1044.5244127046765,1666.5281818654526,894.5243819242304,1543.719726562502,1064.5751953124984,1157.537109375,193.541015625,1147.4882812499998,213.638671875,0.0,-1213.741442613419,0.0,-1488.4925174822213,0.0,-678.560546875246,0.0,-0.0,-639.2470703125,-0.0,924.1226225532376,917.4643681000766,907.6989206617344,485.4471719434894,918.8766739814076,714.7933507217638,637.0918254964013,1030.670830763155,449.6978070258111,759.6472152773661,973.2432440592864,341.042928274872,1257.1465834297464,959.8938761479092,1662.3743315567745,701.7932850684095,1402.597667920415,732.6748290329236,0.0,-0.0,0.0,-0.0,20,1,baseline,person0,59.921619678316034,77.42957560670962,0.0,0.0,85.35416553811322,-170.32776348336287,112.0788925938935,-98.325351963129,12.15802999495032,0.0,0.0,-71.56505117707748,-140.19442890736596,162.64597535916798,24.080671695436607,-0.6820159877078603,106.64240714414868,6.4604959832585,92.1221341496062,137.96776836348772,33.63619714365215,40.35007953081261,-32.421903098113,-323.9487261824555,-402.7434990916462,0.5168608161350775,0.0,-0.0,0.0,-265.40420363800155,-149.59838782907514,0.3046622210740612,-670.7146472759863,669.7944247622655,0.947883278422594,-333.7924750261947,-499.5581844622332,0.6008126130894019,0.0,-0.0,0.0,467.58475163189803,-118.78795295053995,0.48243764128107114,5.278796268029037e-11,-3.959097201021778e-11,6.598495335036296e-14,2228.3140571373424,1757.4835705115345,2.8379802743947775,-368.7190477907959,-222.6440846560492,0.4307251149353625,0.0,-1775.4778916894425,1.7754778916894425,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,41.660274706964096,0.041660274706964096,-507.9920428010145,-237.3220048931097,0.5606939000520988,0.0,-0.0,0.0,0.0,-5.621918025450925e-09,5.6219180254509245e-12,0.0,-0.0,0.0,258.80435002485495,-16.169783515312194,0.25930899230593546,843.1940319120499,3055.010741217299,3.1692375746234567,-1.715476234258666,-5.4262634014147055,0.005690974715445412,440.0933818818122,256.7994223637971,0.5095371704817524,-1.5836388804087112e-11,-7.223504813170935e-09,0.0,0.0,-0.7570516012459664,56.0035682150193,234.21102653624547
