Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,941.2058322111826,565.2256528947127,941.2054124313288,565.223633296193,949.6391975604216,677.022978693104,926.4403064576724,797.2521743051665,960.1860555711393,814.125735108084,947.5298889372993,820.457818301998,917.9985921805176,816.2406635484949,947.5307534768452,565.2205236252756,951.7485284980461,677.0187141530565,934.8724101131178,788.8155964728959,977.0599157491677,805.6910689683193,972.8399789235345,801.4718191563451,922.2173661739697,803.5791598548362,943.3114818863744,409.1273550904988,966.5158160608228,333.18489736779463,966.514378979363,373.2616257830208,934.8760642489148,415.45238243372916,939.0883875459975,331.0787876016881,951.7545736532493,261.4682790273089,943.3123543375548,415.4519540869066,949.6413246279288,337.40922215591013,955.9689410037153,274.12874085519064,2,3,pure,person0,15.235444850815638,10.744767347017932,6.378831886345924,13.790171330842252,2.933414826215927,5.086962952709267,177.914783188518,176.13656292306834,-7.454519451786999,-1.0739439073237813,2.862435427453335,-2.2026626860033764,-100.92131292043892,-98.58418354313451,-85.68586806962331,-87.83941619611663,10.75291958774878,89.22716897766746,-6.228585546021259,73.0094315564032,87.14189016227076,85.36373190078464,79.68737071083999,84.28978799342035,5,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.91303704729077,15.235444850815611
1,0.0334733893557422,942.1256782684037,564.5203663649639,941.8790069030485,564.3929043756971,949.36001112389,677.4235580828947,925.978400248705,797.1605167881867,960.5587893319151,814.5238704873419,948.08226764322,821.0105311913856,917.155723982154,816.3972571008028,948.1024991087008,564.1713644448344,952.3182071741417,677.0913001230209,935.4262938841782,788.5820091728392,976.9474171338572,805.4581430742777,973.3528086123414,801.2429698244997,922.1174522447296,803.5505891953629,943.670142609045,407.9365618943767,966.656152761689,332.0510644462005,967.140455367795,372.6328263688339,934.6343983329538,414.8632427528058,939.1187045355418,330.4143497105273,952.0094734353994,261.95630980731937,943.6452654810604,414.8608588259754,949.0679914657286,337.3457114810658,955.7462307752904,273.66328803678493,2,3,pure,person0,14.844789449753993,10.754268087171129,6.623040312443471,13.542076526711073,2.7049074331869907,4.361772765083821,177.52653628478856,176.57128525774985,-7.6303159477824,-1.988127220427641,2.8014590462192603,-2.403481340876946,-101.0494103058459,-98.61575427515986,-86.20462085609194,-87.86148618798876,11.943028252316958,89.43360637882427,-6.691127859424394,73.15193554260259,86.96009812578623,86.0048916366029,79.32978217848735,84.01676441616534,5,-3.3608372942095284,-6.958539261328541,0.007727644917411797,-2.984876379806622,-0.8535335089500926,0.00310451388362625,-13.799206410154506,-2.7382203817400894,0.01406826031920884,18.703704658597392,-18.785053628847795,0.026508617613801095,7.6149976759518605,14.579664306589079,0.01644855011536214,-25.1802465954666,4.678150474805188,0.025611128645052474,20.123282544264434,-24.8175920181639,0.03195089003355509,17.018852499257314,2.1684678893130584,0.01715644466019865,16.502024938381744,16.512008494673207,0.023344447982231946,-6.653351593945746,-13.90515951220408,0.015414945620809046,4.192485540522147,-33.87266552377469,0.03413113541464746,-8.340548773370104,11.967099761946836,0.01458685128988959,11.135226158746173,11.894086225529662,0.01629302147383227,16.54698797226351,-6.978298420105044,0.017958269955490526,17.080601721543324,-31.343081792261383,0.03569503791014062,-7.2196428450266605,-17.600239840138133,0.01902345092879129,-17.128028360290752,-1.8973481940943926,0.017232796803785436,27.47991986844523,-21.070066202533283,0.03462793216112256,0.9057042064685277,-19.84973448907088,0.019870386493378148,10.71480150572591,-35.57432393435867,0.037152920405989484,15.32051873673987,-6.836754097808665,0.01677675478025178,9.945546295524263,-17.658661770078787,0.020266776424149414,-11.670625789038299,0.2838296430703922,7.2955990055920115,-7.411702516722286,-6.826538854504651,-21.66467757173931,175.6382272349162,14.84478944975396
2,0.0669467787114845,942.8950447788388,563.8592360038065,942.4264657284153,563.5986111227045,949.156177102928,677.7289496716992,925.6581454743734,797.1863435287592,960.8660247079216,814.9493664669528,948.4532804889468,821.6229492609941,916.4398234804561,816.664104674174,948.5767072981686,563.1888443845427,952.7928502515642,677.1363762820773,935.8861829246384,788.4629476698907,976.9658203551936,805.2807876680024,973.806060173524,801.0852973623961,922.1387012015019,803.7101031085542,943.976032865052,406.99284747866807,966.8979352681664,331.149177115285,967.7429688771065,372.131739793646,934.3917196928955,414.28994764360937,939.1446589653228,329.8797515455046,952.2494163751016,262.2514310449303,943.9809351189162,414.2999837876531,948.6253169873776,337.19523938396316,955.6224100163631,273.17304381772163,2,3,pure,person0,14.511299164674549,10.755428809700508,6.994677335551389,13.359372169190086,2.5156755133519786,3.779620345482701,177.17264905074143,176.9545760224094,-7.745795031828314,-2.7925853972891597,2.745221299407801,-2.4002499580716092,-101.12783746013324,-98.63591193728992,-86.6165382954587,-87.88048312758944,13.124145482314788,89.60384135905859,-7.153874167490406,73.18963256255319,86.77651729450031,86.55841738142934,79.03072226314787,83.76583198421085,5,0.5497866123090038,-5.29840000337033,0.005326847840401387,0.6348014701030583,4.765394728809574,0.004807489971680761,-9.567443885890198,0.7715603668938968,0.009598504462124253,17.999775968549702,-14.96969935916934,0.023411190354655064,7.168169830433864,8.816592621515118,0.01136287657997292,-21.387153063276084,7.9719316898357855,0.022824592242127954,16.35504607999489,-23.72909550781325,0.028819394613656946,14.17971369371344,1.346626676414969,0.01424351374630982,11.08381472171354,18.295669527217612,0.02139117743917882,-3.699080413140472,-14.645789640635707,0.015105705878926403,7.223125925724366,-26.943412312704293,0.02789482058001551,-6.08943476848891,9.123413991899927,0.010968951575573527,9.178496170233322,12.711469851138718,0.015678847461576897,13.738944556008766,-3.5569001299256624,0.01419190389085792,14.166721643513558,-29.352272930891857,0.03259220655823049,-7.249897447764541,-17.126891546704268,0.01859815654992916,-13.224668516427414,-4.495275202145107,0.013967797124543557,22.984422110907296,-19.750923760101138,0.030304828809113768,0.7753750152159705,-15.970840578502868,0.01598965150333724,9.138311413766331,-28.192974594809776,0.029637013209811842,13.540653334073975,-4.710382340669136,0.014336561460435913,10.027954871508198,-16.75584842519358,0.01952737400044018,-9.96284784714322,0.03467597849274632,11.102461694521066,-5.458197124267124,-5.653204634401616,-17.391499062560666,176.22037965451727,14.51129916467454
3,0.1004201680672269,943.4419535272272,563.2522331555615,942.816924135759,562.870377539362,949.0444252974064,677.9447356803771,925.5739151186148,797.3790872822146,961.1101159441769,815.3930996373283,948.6273661107632,822.2794210079308,915.8925762041256,817.0281343796946,948.8959170487258,562.3444102662864,953.1155515760532,677.1688678301349,936.2024389677168,788.5326394724761,977.1443167599489,805.2438984299018,974.1780492078084,801.0986779527076,922.3152117984365,804.1586589078283,944.2268638678102,406.39503376023777,967.2278069895268,330.57814578427843,968.3161414979792,371.7814783697193,934.162136907485,413.7413333097912,939.1585115346288,329.5119698772898,952.42739004254,262.23739364523254,944.3025745098747,413.7934225570761,948.4132740078328,336.91257778923637,955.6283627794594,272.61693492394465,2,3,pure,person0,14.220747410835736,10.741415931293938,7.502419603845299,13.20074469955796,2.392660098332738,3.391500990654725,176.8922061320007,177.22900025936622,-7.75875842973989,-3.34409258937774,2.6966227804752587,-2.078060863792423,-101.11695045959944,-98.63645987237962,-86.89620304876368,-87.8950439410857,14.26760283205154,89.71229596058157,-7.619097437899099,73.12959650873111,86.60468442354997,86.94129621977095,78.8459259939564,83.59720363061295,5,5.3324867362014094,-1.1020466947185703,0.00544517416701285,5.273161766162629,13.400369903002181,0.014400560702604814,-2.5163378247567096,5.758118827079413,0.006283938929928243,17.123232272098086,-10.463876848688528,0.02006733171472334,5.316870232257887,-0.4193599742354452,0.005333382777811919,-16.34872616317851,10.875197060320067,0.019635446474663924,11.664740704743053,-21.755597427048947,0.024685465260284405,9.640533292264658,0.9706680047306796,0.00968927647116497,5.200716902796895,19.611750096767448,0.020289608132270456,0.17783568413000894,-16.61346234965417,0.016614414126713183,9.854745148592581,-17.05926235726857,0.019701127737209088,-3.3385267423603757,6.4464941504607145,0.007259686469908986,7.292098020344787,13.25629638694984,0.01512957657824487,9.44798388108657,2.0820061525553495,0.009674665319097605,9.536224347190394,-25.22702763326009,0.02696928805158221,-6.8586656394640295,-16.38956629063566,0.017766799867987067,-6.334673112761012,-8.444367306900586,0.010556297772391074,16.338612817961952,-18.133892621210325,0.02440877568443073,0.4138382629482871,-10.987284983487319,0.0109950758713274,7.49344501963628,-17.859372174027012,0.019367728124711017,11.112977844311274,0.3997381373402423,0.011120164888462649,9.608808583447209,-15.133251825606278,0.017926084715033132,-8.680081683720145,-0.4186274134849722,15.168534709700866,-4.738912691101997,-3.6750211850936143,-11.59486273419138,176.60849900934525,14.220747410835756
4,0.1338935574229691,943.7840181098484,562.6917359607527,943.0931344759114,562.2419363469501,948.996841239782,678.106037906909,925.7303492629094,797.6564680866007,961.3783090047444,815.7967013289208,948.7399898491916,822.8727566089227,915.496760218523,817.3962187492501,949.0587577762975,561.6866912937471,953.2841517211446,677.2150640060383,936.3911584911015,788.7619526816461,977.4063078722032,805.3836365009554,974.5021401408109,801.3289877749518,922.5927270182926,804.8179281313542,944.4436730300306,406.0668520844593,967.5451722164215,330.2741795034621,968.8602239237936,371.5163535230957,933.9736638490525,413.2310671639386,939.165747523082,329.2844831517113,952.5231446550973,261.939610186277,944.5658169597904,413.36571680877796,948.4525443620328,336.5637202790021,955.7203469654283,272.0274215705802,2,3,pure,person0,13.932510175897727,10.707282052885471,8.021615583993842,13.013250532116276,2.3368645010062936,3.1621754159393296,176.70254900634623,177.3447891818325,-7.672692678898075,-3.53165846935274,2.6535995278679625,-1.4942353712637644,-101.0123755842749,-98.61245837619568,-87.07986540837716,-87.90517632331023,15.314970676975204,89.7579591756835,-8.088664423407433,73.05369283074725,86.46094789941853,87.10274835712005,78.78825521977278,83.57108988820455,5,7.826847453957948,4.174601787958032,0.008870560363108432,8.290622049257086,19.695323246753222,0.02136914064153553,4.673388243782217,8.286606457392507,0.009513590502897474,16.254177909266613,-7.920466129257659,0.018081263318994293,2.860618969287939,-8.896125091809767,0.009344740902592073,-11.824795553147808,10.99632802772797,0.016147601059201946,8.251639450576494,-18.774351940676848,0.020507702075432704,5.03684115461179,1.3800865939375686,0.0052224905766843875,3.3645752819214683,17.72559075766754,0.01804208786521188,2.747979446940228,-17.611403108880634,0.01782450309277362,9.481120167483027,-9.080833661206748,0.01312833499011809,-1.4215488344693674,4.818819654554014,0.00502412419749923,8.012127416119316,12.057389447574575,0.014476699417429842,5.637897058435862,6.850612190262688,0.008872247213806403,4.864781568462336,-19.649010309333136,0.02024227521414356,-5.630534046892407,-15.24393423174685,0.01625055212954434,1.1731812928346517,-10.421935661392311,0.0104877594020867,10.219000501738098,-16.744560547843733,0.01961653076348946,0.21617137052663601,-6.796046948244302,0.006799484111620239,6.47706032742248,-9.804255920746002,0.011750563588379634,9.682047119822238,6.880385484615921,0.011877783498926538,7.864230512123016,-12.77748553493044,0.015003674821295056,-8.610936642081132,-1.0197317650060762,15.510708360923058,-5.601290190517286,-1.666864288329771,-6.850981604468319,176.83782458406066,13.932510175897747
5,0.1673669467787114,943.9683075150951,562.1993903373924,943.290283707677,561.7460916757428,949.001110510417,678.1800200386177,926.0475652640996,797.8419466913484,961.784176045101,816.0674935832661,948.9571770013537,823.255824092986,915.241388945492,817.6736138278472,949.1250978787724,561.2092202073686,953.3560017970678,677.2481047546287,936.5378175337929,789.0029094190537,977.6766459963128,805.5927840859349,974.86049220779,801.6635746518923,922.9321557228498,805.4457384047845,944.6394730997544,405.8717739599424,967.7908735442264,330.1168865418852,969.3656485652394,371.2739525021952,933.8509050626668,412.80660178071923,939.1966092923276,329.1741588766045,952.5749558096164,261.4993209536755,944.7534894567514,413.06243468266854,948.6653225765438,336.3003301468408,955.8443284529368,271.53358577937917,2,3,pure,person0,13.666803750180645,10.647165852246143,8.406233373851274,12.83164377564693,2.3346441799451267,3.0551392344901056,176.5895290721921,177.32869729201602,-7.51869398601367,-3.4126410564795338,2.6107155985577313,-0.8668382389952487,-100.85812320128234,-98.55898035789282,-87.19131945110169,-87.9118145056467,16.17548925768961,89.75354131440821,-8.563285394382698,73.00927506676004,86.34384620102496,87.0822386057563,78.8251522125867,83.6695975499551,5,8.076210067541806,6.248174714452888,0.010211016419406643,10.140255023172221,18.755503566079614,0.021321202732308385,9.476662127605861,5.541076309199462,0.010977734363026407,15.09929681976374,-7.241603720626019,0.016746032034422723,1.5478311433716023,-13.153410547173813,0.013244168160775305,-7.629083219419564,8.287032891978262,0.011264005722723989,5.889730187474838,-14.813100219328787,0.015941043246573635,2.146483439715565,0.9870750834101744,0.002362563941412458,6.4883525792333545,11.44394073729033,0.01315532207097406,3.703882095438103,-14.753085979812056,0.015210926615582432,7.340198663292274,-4.699044960916737,0.008715477035786089,0.12754222733895942,2.2101774912147043,0.00221385445827559,12.125065557097088,8.089776970819013,0.014576066211481607,4.381362195888638,7.1984565066553,0.008426987051714874,1.9818758647301276,-14.264198982186826,0.01440122232821296,-3.6673545388893043,-12.680681322955708,0.013200347273017847,6.356637872840413,-7.868642441973923,0.010115452482517153,5.505549596077153,-14.708567994948265,0.015705191779054523,0.9219792151197419,-3.2958800178355796,0.003422407159453807,5.849424677102841,-5.827856941634945,0.008257099102303562,10.705580578374615,9.995607955462333,0.014646557067084865,5.606617691639901,-9.060394897161634,0.010654807254602126,-7.93784050050197,-1.7959400525723963,11.490255312058833,-5.425406866908503,-0.06633093044657526,-3.1976499395291196,176.9448607655099,13.666803750180648
6,0.2008403361344538,944.0251455139946,561.8283932502085,943.4256656745508,561.3815797222554,949.0651850790448,678.1103712739139,926.4049891838072,797.7965117201499,962.3593096854132,816.1345217915404,949.3666059192136,823.3386749989619,915.1173978741159,817.7800164339967,949.1772344461285,560.8723420736713,953.4084401186473,677.2057760233503,936.7513969781697,789.0798487786075,977.9538219821609,805.7012231023142,975.3153291461856,801.8961615661005,923.3747934477816,805.7992610173201,944.8213964133276,405.7245074850626,967.9847909635272,330.03362391548455,969.8063112758974,371.0418703778137,933.817820952656,412.5374574962704,939.2971397547735,329.1506549115269,952.6313794735488,261.0667634984058,944.8954403712072,412.9240588583712,948.9400716600777,336.2160301171208,955.9894649481569,271.2373933007562,2,3,pure,person0,13.485659440160168,10.551649103530709,8.572805200129894,12.70924337038564,2.375319958168564,3.057253858002359,176.533549206169,177.27411067493634,-7.316590439369831,-3.178137212159197,2.565798088472804,-0.464327543817908,-100.72075357452944,-98.46867713773378,-87.23509413436928,-87.91702803420311,16.74329741180023,89.70765200762837,-9.041099776542843,72.98556342083349,86.24228411506088,86.98176268167455,78.925693670789,83.80362547033432,5,8.280487610691814,3.2395588993632694,0.008891637471988182,13.223570527251365,10.561303152737985,0.016923473100200922,10.677852664068352,-1.3573460014972294,0.010763778411103236,13.164568008779092,-6.933332084032235,0.014878741366299795,1.6856274496970576,-12.922427743203876,0.013031902343000328,-3.7041684084731283,3.178722208816774,0.004881100130007102,4.04446545388653,-10.88960396610926,0.011616418352761925,1.5665674312846927,-1.264548708484626,0.002013260279470108,12.231474784604139,2.4751274839637474,0.012479392271592378,4.335876886491,-8.848595386477971,0.009853804782336927,5.793181480365445,-2.487427416319962,0.006304621068383838,1.9141942259512774,-2.0807204183521444,0.0028272843850615263,17.181816702212057,2.0024326655974387,0.01729810861824682,6.380574196027526,2.2985231264181705,0.0067819566228111096,1.5575526816855905,-10.064058052714762,0.010183871309312526,-0.9883704831676746,-8.040544732068632,0.008101063868430722,8.207985173354773,-2.5184192979108664,0.008585654102402545,1.6980054901338753,-11.083343943485835,0.011212659613763762,3.003294986879238,-0.7021686638248086,0.003084286240067786,5.434863844824307,-4.39950891481856,0.006992383263476512,13.588015649138743,6.948412416095628,0.015261540039766344,4.2407093272566625,-4.133905378589409,0.005922228404698023,-5.411591521113803,-2.853512911415063,4.976246190917753,-3.6566480902326735,1.2151676004825924,0.06317327145393446,176.94274614199765,13.485659440160163
7,0.234313725490196,943.9830133495528,561.601589793121,943.5124647874205,561.1030069495768,949.1729437015256,677.9182784311611,926.6928659405979,797.5281903829618,963.0054210090432,816.0134436721836,949.9351084208564,823.1583966132575,915.0980318951481,817.6676510995553,949.2580506757652,560.6397593661956,953.4763344006541,677.0760122533769,937.0862637462034,788.9389680269117,978.2421805440642,805.6535258057606,975.8200522726,801.9087539955344,923.9596275401396,805.814768165675,944.9823614453809,405.5847095428075,968.1607179213617,329.9868834200105,970.1487099956886,370.8307760683431,933.897913429221,412.4427744431524,939.500206472186,329.1517917286476,952.7181175561342,260.70409323816006,945.0132147250512,412.9178972100379,949.2234221862872,336.24487426917733,956.17061119628,271.0836912408695,2,3,pure,person0,13.416740679228209,10.409714795368142,8.505747696991518,12.61636325490978,2.4414744060476035,3.1388587530984404,176.51906008334754,177.2249229011856,-7.077564511581727,-2.9469961909554763,2.5237181520937297,-0.4596851544834598,-100.6445277368446,-98.33488620003531,-87.22778705761637,-87.92517140466725,16.948946500192292,89.6333541892852,-9.515597149073084,72.95401658834884,86.15353326201613,86.85827708962415,79.07596874273497,83.91128089929302,5,8.614561221715038,-1.4249317882515213,0.008731614721450218,17.47161263362364,0.463267946668028,0.017477753437149957,8.600167545966704,-8.015959613064586,0.0117566360127794,10.228982674931906,-6.306332090461773,0.012016734622984943,2.5912548521332837,-10.834584343742556,0.011140144505812105,-0.5785484930159309,-3.3568555979554815,0.0034063467034780907,2.593078099959584,-8.322215886720278,0.008716841819011596,2.0283061653920216,-3.8766247598755017,0.004375185188017426,16.983714902632936,-5.385722485058406,0.017817198954380564,5.411649420917671,-4.591768651008077,0.0070972028855950785,5.255725853295951,-1.396347856422781,0.005438054944659897,3.2192324875018064,-5.738673210271621,0.006579956536549179,19.30223786911435,-3.6171454904048277,0.019638231291402696,10.003969555481572,-4.208738774511316,0.01085324324518147,2.4143425924916966,-6.948286742161871,0.0073557962726833286,2.3927208480100255,-2.8286066914748167,0.0037048790630137877,8.464948774628,0.861703956834544,0.008508695050729011,-1.2586763770485636,-6.77563465943342,0.006891552166258015,6.066511976254403,0.0339618169118001,0.006066607038785853,4.808746145857307,-4.176390408792669,0.006369166063304748,15.078339425101921,0.37619224333777024,0.015083031539532445,3.5184472236231854,-0.1840760213373336,0.003523259122893615,-2.058911937465232,-4.240213222931917,-2.003307834343108,-2.7747448723750474,1.9763295307796844,2.43790356061097,176.86114124690158,13.416740679228226
8,0.2677871148459383,943.8880973561212,561.4794627130622,943.5435894335498,560.8633456108001,949.2827416030965,677.7013770956323,926.8619083525164,797.1786860424348,963.571347587252,815.7944170612485,950.5406172907752,822.8386243266381,915.1740842069248,817.35406737742,949.3664678562294,560.4690513206217,953.5478644124884,676.9171722882655,937.5091061778722,788.6891081972489,978.485610451309,805.519906499276,976.2423052690388,801.7360477999144,924.6289890839769,805.622433420525,945.10157475665,405.426248598682,968.3361565954677,329.9378292377505,970.3768388744444,370.65675905996545,934.0812466686036,412.4531297009458,939.7908580801958,329.1316097590051,952.8340270510308,260.3838532327335,945.1018707174952,412.950918979055,949.5312727038342,336.2199349959984,956.3861051767542,270.890586645189,2,3,pure,person0,13.43882537249346,10.221427154807689,8.274462720235098,12.47002255216508,2.501630267207337,3.254783053107261,176.5248395538876,177.14474969677337,-6.818387328810402,-2.69179995519865,2.4934443825676005,-0.8164149342350143,-100.6289369090661,-98.1646914772802,-87.19011153657262,-87.94326432247259,16.83750839276346,89.55510541032012,-9.973385072565522,72.89094872639485,86.08041996669111,86.6998551069056,79.26203262843737,84.0080551514517,5,7.272341162041197,-3.991806896655895,0.008295870555722786,19.996826037647853,-5.745899917870692,0.020805970716266463,5.050053644758785,-10.441259378088477,0.011598402442382402,6.815230938561926,-5.19866711220284,0.008571669177554106,3.462735537914961,-9.567002672576344,0.010174383398644958,2.2720230380171382,-9.368149690569274,0.009639725997672018,0.9298325245292136,-7.159757150063037,0.007219883030323355,2.1369216924572436,-4.745260882405896,0.005204222820151527,18.089260800085718,-9.553029817834515,0.020456826122200705,6.437769960608714,-5.7688987998276176,0.008644366687523641,5.241138632293633,-1.4654680390637682,0.00544216232176496,3.2801548837481223,-6.479813956800698,0.007262740872158787,16.90676053728572,-6.543305448019043,0.018128800237500478,12.632196494205704,-7.46443173135063,0.014672768291642073,3.2389065628208367,-5.09981357906791,0.006041408301375543,5.476984640969036,0.3093579106468115,0.005485714454315908,9.196873202031819,-0.7450477426674817,0.009227002375262777,-2.83556566151271,-3.6484826427630668,0.004620807095659089,8.683064774852966,-0.6029257876474567,0.00870397227647829,3.561435324108675,-4.733937828687287,0.005924017972093397,12.614587424989404,-5.159507266637284,0.013628951945662722,2.648551406067879,0.9865080785859933,0.0028263090311746817,0.6597686607275811,-5.624994784944087,-6.909517715652048,-4.371851956473465,1.7971248898765624,3.4631778328994915,176.74521694689275,13.438825372493483
9,0.3012605042016806,943.8034082679204,561.3997015781009,943.5191721309524,560.6633358287582,949.3536555975636,677.5489405948294,926.944203655617,796.9111494068287,963.9547899676596,815.5759005906963,951.0401368923068,822.4836424882109,915.3804059980216,816.930196767258,949.4848649593172,560.3062179469982,953.5946833502096,676.8121611505201,937.9090141751449,788.4941267653745,978.6062447209451,805.3967989812181,976.4643241560051,801.5053310221631,925.2445703735289,805.4073044325041,945.1600380915024,405.2550011769958,968.5191450627232,329.8575218794018,970.4955791632104,370.5488027545409,934.3081299706304,412.4466384549405,940.1144964877628,329.08710955056296,952.953886456512,260.0629059920559,945.151706281234,412.938666527792,949.8925708926799,335.9977788239345,956.6266968115572,270.4917340180331,2,3,pure,person0,13.4890550171097,10.014714516000105,8.006536722898971,12.225106680043249,2.518298080259332,3.3527330268476603,176.51312042912616,176.97780731672347,-6.547949816562237,-2.3516457294056368,2.482647099841845,-1.3268890965575382,-100.63357171080597,-97.99366615628465,-87.14451669369623,-87.97895164028459,16.613182097092793,89.50275027945611,-10.393148789560348,72.78518185300973,86.01447519362092,86.48055759771043,79.46652536956324,84.12891186608556,5,3.6038857121428767,-3.6777727152021047,0.005149175115576536,18.390169068623702,-6.426866001963177,0.019480834812187955,2.4585291386558707,-7.9925170637130325,0.008362098692275999,3.547304024223275,-3.225138162055271,0.004794255104248823,3.5807370507773952,-9.588130955807944,0.010234936885615494,6.163755600130598,-12.662912788937513,0.0140833676156798,-0.7294541445412863,-5.975187630872818,0.006019549034032698,1.3986912775282143,-3.137152818001083,0.0034348311593622245,14.922886840735014,-10.604896763058374,0.0183072768869788,7.187549257296309,-11.915513631351631,0.013915470866089559,5.466684753989658,-2.3991403289105286,0.005969967882435205,2.1185184957961356,-4.553960735282608,0.005022616747824388,11.455140569497534,-6.5280652708919575,0.013184683600601644,11.9470422616175,-5.824968299506632,0.013291428609864772,3.537051531577205,-4.864561873105216,0.006014540361016923,6.778019985235889,-0.19392257940427265,0.0067807935293046585,10.793594428279857,-6.636799449942216,0.012670784806828157,-2.530042216542928,-2.382822190891689,0.0034754791340037305,9.668528159114416,-1.3294204530401361,0.009759497707594886,1.7465615516567756,-5.115927158323283,0.005405847569345206,6.632698129452548,-6.8925430675534365,0.009565554579559005,1.488811402072204,-0.3660355732968357,0.001533147557105625,1.5005843621755723,-6.175431971071763,-8.004149041757088,-7.316733585564338,0.49794219745290663,2.926204236428665,176.64726697315234,13.489055017109735
