Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1016.6983015682276,561.8538465006959,1014.6768983594792,561.8538219117044,1006.6232297194429,674.7527315846015,988.4877463124956,789.6524636477909,1016.7255723871147,813.8422132321713,1008.6696161396671,815.8611693697766,980.4316800647924,805.7835712334262,1020.7328032492716,561.8519187163695,1008.6394763885676,674.7475654143643,990.5083476501884,785.6202055980004,1022.759689526908,809.8111397070434,1018.7295838747112,805.7807379849116,976.404287153954,797.7243814580008,1012.7055094111266,404.6164562422067,1059.04596549227,325.99308770547356,1044.9635016062502,372.3505145631068,1000.6061844985388,410.6604445214894,1020.7543567268668,330.12335557051756,1026.836804520379,263.67241392678096,1014.7374692495991,414.6972426465698,1028.817595934315,342.2132307186767,1030.8617940976724,277.7728433745451,3,2,baseline,person0,4.888152528800189,3.1726859834928827,-5.324971213323485,-3.5535298266211575,-7.568657486481578,-5.53505244838949,164.4418839364343,167.48922013141694,8.846410037755232,9.209406088853198,-12.521419114800322,-14.614086774920947,-98.96888102662662,-99.2870195194114,-94.08072849782114,-96.11433353591325,-11.258212498736702,91.45432395110797,-15.96625561629884,59.48741932223967,75.89613996403106,78.9434744130799,84.74257880576488,88.1529110518452,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.5350524489291,4.8881525288054775
1,0.0335429769392033,1016.1925759189764,562.4097137291772,1013.3982796600671,561.7816666453035,1006.4928703086915,674.27239600733,988.3572898471856,789.6030910350429,1017.3907584580273,812.5905047855954,1009.422897169818,815.4384677806615,980.5174686028441,806.2036353701467,1020.483452233474,562.1541618110685,1009.1492107608128,674.2798008729008,990.7296077172172,785.8298487527223,1024.4179060481788,808.7645868893306,1020.3627120989811,804.5207405555943,977.1822590934212,798.1741326483864,1012.3240925881361,403.9740182795886,1058.586716400998,325.6246579440294,1045.1494700971477,372.17871736019947,1000.1975791746454,410.0363939415577,1021.3110290409899,330.2679750031736,1028.0995233084066,263.7284592714575,1014.7525894665581,413.59215944888064,1028.7751870169952,342.5429138013249,1031.6219622613992,279.0398064002013,3,2,baseline,person0,5.428669572931436,3.608249381750665,-3.2954764466109254,-0.9307717012270632,-7.166944979993517,-4.908563774918276,163.7677739340134,167.35108355655552,8.957883852209894,8.514474073356977,-9.865557933969024,-12.671582037895048,-98.93611592942956,-99.37407694332404,-93.50744635640372,-95.765827561479,-11.593382974183957,91.4011174192178,-13.805877578317164,59.44520194483778,75.16879022995326,78.75209860826196,84.1267042915102,87.26660413526778,-1.2643158475989393,9.828676901449214,0.009909661154427589,-38.11881997622143,-2.1511288795774166,0.03817946819739806,5.544185634884147,-5.121704111674817,0.007547837263852638,22.66251338110572,37.7713352023758,0.04404841967334389,-3.8892333720531362,-1.4719210175517343,0.004158447751770165,-7.43377715846248,9.010622260715792,0.011681282308333511,-15.076945918298733,16.571791749096448,0.02240398580607312,2.557570790667662,12.523162075982224,0.012781657041659185,15.196455972563912,-13.945230392382935,0.02062526908485594,-11.370989035405264,-19.1526817605519,0.02227385485865175,37.644803868067434,1.6708518381685797,0.037681865719870825,49.43558004038729,-31.200355878060194,0.05845800869724476,-13.691363533541107,-10.983812263054899,0.017552708259343183,-3.8863399330245136,-14.320004397405164,0.014837997304782212,6.596315748296941,6.249986550147819,0.0090870079414656,0.45077146808811325,-32.945292831109484,0.03294837650998902,16.59579336479319,4.311466836058039,0.017146693666282783,-12.181546218572555,-18.604507914213862,0.02223775579965896,22.45719071137469,-12.601791125492742,0.025751321407213288,23.193288445364722,13.408207363367245,0.02679008498696755,48.6876351860454,-37.563673361524216,0.06149402716053593,19.83085973908172,-37.3165580635459,0.04225859088636445,16.114164378162815,12.98523381056016,60.504312732618274,78.19097661331156,11.976054099675315,18.6771935778606,184.90856377562153,5.428669573025843
2,0.0670859538784067,1015.5155419310129,562.5730789500033,1012.3008853676477,561.5207505232721,1006.4531175613563,673.7319486646559,988.319718255319,789.4490065687521,1017.9535822570139,811.5516702963082,1010.0875155846671,815.039095917548,980.5941422919599,806.4707402682618,1020.0232953598003,562.1470945723149,1009.4930003597058,673.74716430305,990.9058465777524,785.8348477211593,1025.695523778481,807.851059995757,1021.5901912704945,803.520703331834,977.7307111250376,798.5296854107996,1011.9577657290255,403.17471426914483,1057.7094914117029,325.05137139025805,1045.1111952134775,371.5670890844245,999.8893175726167,409.2929568798831,1022.2282395066649,330.3372418094649,1029.7174891987625,263.54182525163577,1014.6994117734132,412.5287278316805,1028.8178872145659,342.9895403048509,1032.6313774099588,280.8619785486404,3,2,baseline,person0,5.929087822908038,4.030998057541916,-1.6201674550987728,1.126538278564284,-6.665556284478864,-4.260066665973318,162.9544819298851,167.07802705713735,9.305383506623482,7.740814683610274,-7.77817744122819,-11.034101678498711,-98.90599497583996,-99.4133948289794,-92.97690715268337,-95.38239677118892,-11.963967936447483,91.28315951393004,-12.431179050609256,59.66228031144259,74.23752599265387,78.36107190430062,83.5429233672374,86.10189967166657,1.2729996400761538,13.315052636368982,0.01337576744687611,-32.7160673427565,-7.778561888060652,0.033628069933050994,-1.1410699694194129,-18.23416797154184,0.018269836405658182,30.093189116432054,54.32350717534075,0.0621018797060656,-1.1201030825254197,-4.593643151295604,0.004728233107295784,-13.718426796398171,-0.21069205534334612,0.013720044639516309,-20.1840757661646,4.8703256458799355,0.02076335681991688,2.2858343567612223,7.963064775056417,0.008284650826576477,10.249227416995119,-15.879227738673896,0.018899643812039287,-10.921119487232748,-23.82925081135615,0.02621266955281229,48.235608106235176,-5.564026715934981,0.04855545574571347,38.08897858462815,-27.23452051466297,0.046824025855151115,-26.152269993363447,-17.09110538430724,0.031241752656713646,-1.1851287799322359,-16.112086403471906,0.01615561383847633,5.254121029705461,0.14903174652733367,0.005256234227682986,-1.5853599768836915,-31.70355508777877,0.03174316889442716,27.344337007934254,2.065016662558432,0.02742220013456482,-9.19004901047673,-22.16371740117468,0.023993485987953013,19.813936492688924,-11.90627366907306,0.023116042741333827,16.35072619256582,10.599916729445907,0.01948600733078599,36.594222800744554,-29.81360973335382,0.047201572725103794,16.779184507286015,-30.970253211874915,0.035223537822558305,14.918719077427424,12.603194897026663,49.945149309455985,61.33355377252946,14.947650485030584,19.33332006042153,184.2600666666134,5.929087823156593
3,0.10062893081761,1014.5629276664731,562.0977231697434,1011.4060009056378,560.8947537948862,1006.4888664881101,673.0529126503285,988.38329528348,789.1246862568637,1018.4312603475605,810.8009996198575,1010.6720424803699,814.6405216966511,980.6460679080228,806.4858739969089,1019.1877799344143,561.611115787117,1009.5370918842333,673.0692881662396,990.9865278331135,785.5240182701281,1026.4081765308174,807.154104889252,1022.2150954670728,802.8982422778647,977.9299561373696,798.7376357101749,1011.5813736823958,402.0770137768667,1056.2018442774065,324.1372011961184,1044.7327968918303,370.2596635159249,999.7210097872802,408.3285386032338,1023.9174340500308,330.4880050413174,1032.152420196463,263.14032890795943,1014.4906170678103,411.4286127676931,1029.1865458185116,343.7595280723525,1034.2414653588344,283.72002195151657,3,2,baseline,person0,6.360814144002009,4.423996770684885,-0.5158090353702321,2.3501084477916456,-6.015706256685175,-3.578799472630158,161.7054243441354,166.34770170316264,10.206681772831605,7.0544272743338645,-6.516278507643889,-9.879185455643016,-98.86670785543456,-99.36679726617244,-92.50589371097296,-94.94280049502798,-12.29797689824591,91.0729057617258,-12.070884261929828,60.245245381045,72.778255408601,77.4205379536088,82.98490239828463,84.47492525917491,10.990634630132643,22.955260318641184,0.025450697944646893,-26.678743023667323,-18.6625274650021,0.03255833627052887,-11.280999964107492,-38.97762476089467,0.040577286653881904,48.0007469758547,85.20541894824548,0.09779588502787862,1.8953901520517806,-9.668799298171079,0.009852826178148503,-24.908803619322207,-15.97886753371405,0.029593457138461197,-28.399812761591097,-14.171544198998973,0.03173928212605972,1.5480324288761362,0.4511742852929553,0.0016124399637077217,1.314478574974467,-20.209182328658965,0.020251886438478976,-11.2211878901497,-32.725195926040506,0.03459557061335715,72.59138036894731,-11.96960974585169,0.07357159819751898,21.245960179037105,-20.777974112681125,0.029717251423314328,-44.94673019120843,-27.25369891278974,0.052563986333898645,1.0657648788522396,-20.243761177135475,0.02027179620492206,2.405309925455884,-9.266603008868406,0.009573685140084021,-6.2246921607854535,-32.79718034512393,0.03338265763966564,50.35911232409636,4.494628849603718,0.0505592907640786,-5.017675850347626,-28.75171987260675,0.029186271885460323,17.426208078138675,-11.882493960487098,0.021091856027945905,5.939991930145608,6.199518300124922,0.008585891408804256,18.629956360488674,-18.557120171461207,0.026295284426143116,14.240778074422403,-22.37936954168434,0.026526136945439656,12.870840947614038,11.716274135574759,32.923685388157175,36.47768567009078,19.373653953599383,20.310278201542996,183.57879947269876,6.3608141444615995
4,0.1341719077568134,1013.3099151178326,560.9380015957266,1010.5839187815695,559.7782886941638,1006.4994025569622,672.1581735261872,988.46928264474,788.6091242185909,1018.9394366627824,810.2719121331254,1011.2493394778614,814.176896141665,980.6121305101394,806.1969431027758,1017.9049785494896,560.4593128549952,1009.225432915025,672.1650703880096,990.9283788329154,784.9037800685522,1026.5455975550672,806.6527605778845,1022.2314565596116,802.6166096621289,977.770975800228,798.7618286127422,1011.16469308998,400.624658797379,1054.1359855207315,322.9139590257689,1044.0034258361618,368.2554461508774,999.6439672264772,407.1066889864886,1026.7244487289847,331.09706454216183,1035.896303348505,262.8550761933169,1014.0291770351073,410.1580528077421,1030.2218142422837,345.0246499003008,1036.8054434015912,287.6971373129833,3,2,baseline,person0,6.723523810910757,4.7802994607895615,-0.0126207557723842,2.7821937577275495,-5.212314204297145,-2.851684547170896,159.6477860105779,164.7558689227213,11.94558546705932,6.861151947996155,-6.023917019747559,-9.223147965654816,-98.8039003364072,-99.22130564341224,-92.08037652482604,-94.44100618195228,-12.411296279725487,90.7713080209842,-12.407948028843911,61.11294886649322,70.41916688411264,75.52726225521981,82.36462244755664,82.38827184117521,30.863939883702578,37.71644449570868,0.04873513076357424,-24.50832332378655,-33.28461581528939,0.04133429039084465,-21.74437459711394,-59.75073019547753,0.06358433443476753,76.43859539968926,118.56775171372647,0.141071508863857,2.56349820756303,-15.37019326600945,0.015582501856077575,-38.24351628806601,-34.33812491387792,0.05139721160410022,-37.35543660634544,-34.57419942537524,0.050899940176352965,-1.0117586743981695,-8.613752281345327,0.008672968579419724,-9.291333019521288,-26.956992513485773,0.02851330066217825,-12.42229016139394,-43.29833282597706,0.04504507651634025,111.61451647025179,-8.50409655528028,0.11193801831866436,4.0968642854453625,-14.946327282643635,0.015497644860211992,-61.58841418337597,-36.46790720354353,0.07157542188090356,0.31410655265146037,-26.674410138465365,0.026676259467201965,-1.7335670684083029,-18.49085138448037,0.018571936886162665,-13.75668097495777,-37.878568806039496,0.04029928344574669,83.68412511631769,18.15758636892332,0.08563136539392807,-2.29683134393904,-36.42639169921645,0.03649873212109218,17.210666737716476,-13.821836858024152,0.02207374512144632,-4.73960130103298,0.7212509077869484,0.004794165554581633,0.48776507131222047,-8.396172356622687,0.008410328471998412,15.150006397553797,-15.773420698200196,0.02187060800179847,10.813281944717048,10.622273948745665,15.001300585510823,12.881543302464118,23.951125561818127,21.677113715254233,182.85168454581023,6.72352381158116
5,0.1677148846960167,1011.7313779400691,559.2137034808813,1009.6079070743269,558.1620242348146,1006.3438998465779,671.0338456266126,988.4625812485745,787.9313937882844,1019.5882250676148,809.8260765936843,1011.864655944724,813.5665691144945,980.3755385080788,805.5796622568628,1016.1411083696903,558.7610960271842,1008.5517628597077,671.0146877397355,990.7163340084708,784.0571406523266,1026.1760153999594,806.2141815519425,1021.7246229661301,802.5348999882746,977.3164057215488,798.5341648865918,1010.6928500309291,398.9403232244295,1051.8280955450068,321.6862875498547,1042.9914591181334,365.8883521846244,999.557654011526,405.7205127816877,1030.874292556611,332.64398978758305,1041.4873258934708,263.3268702574247,1013.202864278841,408.6674711612519,1032.2956012423872,346.7937699471254,1040.7617419863648,292.2085741632662,3,2,baseline,person0,7.042777032919453,5.102727485439088,-0.0308304674747405,2.6212847367980885,-4.242916728651196,-2.0320366121777993,156.46529576651747,161.97248419916923,14.594884028534688,7.618073203627567,-6.087824718591667,-8.982315939916184,-98.70221173247684,-98.97304230146987,-91.65943469881456,-93.87031481528795,-11.965017707229569,90.37260190942968,-12.861938773119126,62.02130840168716,66.83828034477817,72.34549071138603,81.43288895250033,79.96326656086163,61.824774940586344,52.741891395958845,0.08126505955499738,-29.097349022169958,-48.18488419434987,0.05628888686890941,-30.169257781221418,-70.56898886891794,0.07674741888201357,117.94715155856443,134.49721109905857,0.17888831810435163,-0.19978537318524092,-20.20483845351257,0.020205826167912038,-52.585379735266336,-50.62808917911932,0.07299606548185332,-47.06013961207327,-51.40563754882267,0.06969358874465251,-7.053399061431929,-18.40268521878312,0.019708101420010695,-20.08378852414933,-34.2957827016702,0.03974366959155801,-14.066821197955058,-50.21425426855712,0.05214735650406974,166.68235962179966,14.06536053621381,0.16727475415048332,-11.018167999149497,-13.075137210896516,0.017098515699944625,-68.80396990129364,-36.59995587569328,0.0779329394048551,-4.63592455333304,-33.519025506065034,0.03383809786823772,-6.321586328754365,-25.240437596227157,0.026020033508067034,-24.634449046186486,-44.43796533598873,0.05080933814774302,123.71721911110558,46.117708879120066,0.13203330404426217,-2.5732127207334896,-41.32537810562735,0.041405413888514736,18.34412216833907,-18.195374497519193,0.025837539960915798,-13.551870470624188,-6.787224835857354,0.015156504023852425,-15.109976505666364,-2.4359696517827114,0.01530507556813085,19.342004319062678,-13.291472019588065,0.023468625002886975,9.517736681134254,9.61238548486402,-0.5428770301264981,-4.797100186459565,28.90016224269488,24.43575406198173,182.03203660824425,7.042777033662276
6,0.20125786163522,1009.769200064444,557.1424105725279,1008.2429567351026,556.2004557697592,1005.8911569347164,669.7781199814976,988.2676894799316,787.1837712194801,1020.4069740151185,809.3237057819848,1012.5290049303696,812.760996569984,979.8285478062578,804.6602810506272,1013.824579205659,556.7225913498727,1007.496876666809,669.7106390436202,990.3453282655014,783.1087028354767,1025.4740290764844,805.6411779748678,1020.8584259443282,802.4446174349548,976.6651648981772,797.9573323904689,1010.1421201816892,397.3059967410901,1049.7144262541885,320.9401504396107,1041.8713761845547,363.7929236107816,999.4230253058246,404.3710957896791,1036.4553611901304,335.5124535473314,1049.4435948586245,265.3788764306394,1011.874048733852,407.0312796823051,1035.7373190182698,348.8879308775113,1046.716616623398,296.0189370023184,3,2,baseline,person0,7.350405569048766,5.398732250846297,-0.4371141288735035,2.118594403300142,-3.0752475265887655,-1.056464904846534,152.02499017965494,157.82052492102477,17.91408297124696,9.64268009903532,-6.439761248969271,-9.015258232317215,-98.5446117090298,-98.61172101256956,-91.19420613954829,-93.2129887612905,-10.475338183336127,89.862258757703,-12.953110255607012,62.63747526972512,61.88813200191952,67.68369729336591,79.80176706549304,77.3258989350546,102.60621119349827,62.43217273712948,0.12010749671924538,-40.6925819881259,-58.479259864462776,0.07124401773591742,-33.392472457321105,-62.46996435768907,0.07083469251478326,177.5297001165543,113.59644213924473,0.2107627720689033,-5.810210852664868,-22.28849783247612,0.023033360279835796,-69.06152570268159,-60.772920692348634,0.09199370751231112,-58.497427917074496,-61.75041983028899,0.08505917600194746,-16.307160298037388,-27.409052210898306,0.03189325351991603,-31.448794625786807,-38.87695175293846,0.050004440412979544,-16.418633630467042,-48.723358284557236,0.05141533985900351,237.19626852364078,61.17543403896381,0.24495816690078884,-20.927967268603805,-17.08266914153899,0.027014762612228165,-63.01376573251566,-22.244212599148113,0.06682469353426519,-13.497398059870429,-37.43632079499107,0.03979519907039133,-11.060608712276553,-28.27530241483573,0.03036165001669875,-39.615313434987385,-48.77895846610096,0.06283915855252913,166.3856086367965,85.5160758374982,0.18707530566080055,-4.0136182887216885,-40.22949407425581,0.04042921375983145,19.805904134562848,-24.016131483223358,0.031129542399575452,-19.415117046763918,-17.196818790665404,0.025936024106607506,-25.823498712466073,-2.6915486208458255,0.025963388063407943,24.408952997456417,-14.976929823793474,0.02863748266483755,9.17117573335515,8.824642068702449,-12.11233165545064,-14.986455567407553,34.811138086486274,29.084231524813394,181.0564648972513,7.350405569481509
7,0.2348008385744234,1007.3479637855485,554.9922302434611,1006.3314735542763,554.1576570518326,1005.0695289462268,668.5779349450148,987.87265817583,786.5020274731897,1021.3321056164503,808.645205291737,1013.2504283987715,811.7565035962857,978.970350990738,803.5316356810201,1010.8500829519825,554.5929754388644,1006.0167454898527,668.4395128771988,989.7913926222024,782.2058286652941,1024.757412743589,804.7284967126775,1019.9070467686217,802.0775175078963,975.9036588047077,796.9724224713271,1009.5084796959624,395.9734439733324,1048.1916924073637,320.98725239291247,1040.9993308695045,362.6160156227735,999.3617020210029,403.27701584941525,1043.4084835612578,339.9111450923864,1060.130687414983,269.7819519501938,1009.8825363633956,405.4221833493893,1040.735129422493,351.20508119990416,1055.3860294154622,298.1808913010553,3,2,baseline,person0,7.66003586963804,5.683563490280788,-1.0128539863577155,1.537087700118873,-1.658117307804558,0.1418021756545487,146.44005529200606,152.2522071910198,21.39240219308187,12.91189331259556,-6.789200150011321,-9.100495528659756,-98.30494264149094,-98.12838974559278,-90.64490677245416,-92.44482625591324,-7.434930414572511,89.21329104039022,-12.72192571002722,62.70079281964402,55.654864390340435,61.46704774317074,77.0466935989032,74.37833661705369,148.99722267590397,69.08004398633761,0.1642322283910416,-56.98609232838202,-60.90093677818558,0.08340466904987656,-25.99785095493227,-35.086569392490496,0.04366870282031427,258.4568688634112,64.45326253109343,0.2663722510202228,-11.776870753527957,-20.324485436281776,0.023489984950930305,-88.67716956273433,-63.48917434693312,0.10906198082243512,-72.18310656457395,-64.10225106030313,0.09653755468371246,-25.584992562683876,-33.64774008140849,0.04227011068140954,-44.126410713010635,-37.89544883643591,0.05816532613961888,-18.890406980729686,-39.726729388775695,0.04398932261159082,318.6089468364363,131.26668892671466,0.3445904882988008,-21.364124424441858,-27.209310129046493,0.03459439795865315,-45.39650280846685,1.4042269828088576,0.04541821573618218,-24.494784406846605,-35.780516400142865,0.04336173217249038,-16.514206365850665,-26.91693619857002,0.03157911439878883,-59.37196254423016,-47.97118442505334,0.07632997099105927,207.28996068923647,131.1359916869523,0.2452871299482825,-1.8282004287492921,-32.61725821911558,0.03266845344579602,21.50743715173076,-29.94644677837757,0.03686949318184139,-22.702400411562063,-29.36262696441145,0.03711553376550142,-28.362991675751022,-10.944166575428886,0.030401218377385082,27.58048586470712,-20.22779586551124,0.034203025101737755,9.230853336317734,8.491531325640734,-17.164244501248042,-17.336168588591555,42.24819464750412,35.723337337438466,179.85819781284437,7.660035869036776
8,0.2683438155136268,1004.3907326204395,553.0652442856594,1003.7946578433861,552.2985587718424,1003.8495265205361,667.6315239042219,987.3737726980613,785.981652127643,1022.234174125668,807.6902026953167,1013.9886331672678,810.5483140909295,977.9431328498814,802.3210407419145,1007.1870875794808,552.6004572695845,1004.0972396406084,667.4130885822146,989.0548932502063,781.4534240424166,1024.3089149696975,803.370112552951,1019.1713515569722,801.1876011962424,975.1094490745912,795.6476034954903,1008.88332543336,395.0296140225907,1047.4536365094032,321.7503210548588,1040.8601616872718,362.6981748801057,999.5899156554227,402.6289103623256,1051.499868216109,346.02966189838605,1073.5570737454386,277.1514381435026,1007.1971146345289,404.0798013132077,1047.2209480928102,354.1642671442556,1067.2555733941497,299.5859783712307,3,2,baseline,person0,7.938852573703006,5.958801302670582,-1.515501619753839,1.0814557330157284,0.0734211113873887,1.6457339280076573,139.97028151663483,145.31277279500182,24.516318517967505,16.912028900173155,-6.871987386174189,-9.003913127441624,-97.92763601450126,-97.5198975600891,-89.9887834435114,-91.56109626013162,-2.536908745134268,88.3654826150356,-12.6274358756885,62.195968152982424,48.3378281887725,53.68033255096122,72.85364524923328,70.59184690778514,193.358469108837,88.2207309659762,0.21253327962529592,-75.62881838091585,-55.42436747220783,0.09376341866307927,-4.14898124531472,2.4493728592156634,0.004818036195114727,353.8607798646225,41.889158279603855,0.3563315213502343,-14.873023305978235,-15.513689989114878,0.021491426182050712,-109.20304954270348,-59.40194792165762,0.12431370578626266,-88.16245410980993,-57.4482688669637,0.10522795213475976,-30.623940824287377,-36.09086162208508,0.047332610790383714,-57.22526813059487,-30.600274294217314,0.06489305124202292,-18.637411453832406,-28.137930406487346,0.033750499748296595,400.27414247671277,219.70280713801986,0.4566056423214607,-13.370839884138634,-40.496827761847904,0.04264706810532287,-22.003291457950663,22.748984484274317,0.03164903047566036,-36.371322315905694,-28.21487915364011,0.04603208112460282,-21.95688752763212,-22.431062819535796,0.03138881152759767,-80.05913529184039,-40.01976445366357,0.0895044506748347,241.22440502274978,182.40828227886513,0.3024268424305385,6.803618976144399,-19.32164483386036,0.020484510984116633,22.007729660795526,-36.01914962843415,0.04221041701734522,-23.677377579096866,-39.49616571713473,0.046049596256411286,-21.93291349730105,-26.53063004118233,0.0344227689888855,26.892917431049398,-28.471014905781367,0.039164112369852906,8.312222989936773,8.205527281870735,-14.985182570621916,-13.583528019262486,51.62148912215986,44.83596536702701,178.354266058547,7.938852570989866
9,0.3018867924528301,1000.8744589774572,551.6722605727847,1000.5965696371444,550.856696638769,1002.1717884614427,667.0814084411479,986.899889022903,785.5881743668414,1022.9909119342011,806.4208338509305,1014.6555792319367,809.1361124787704,976.967510585496,801.1742598193516,1002.9761001096244,550.9732709600071,1001.8017776243851,666.7969437990281,988.2275755641864,780.8484216516287,1024.1577957418158,801.683994421267,1018.8163911137896,799.7297239743029,974.3992648799517,794.2217821708552,1008.4790777757655,394.4895125682963,1047.4235233546801,322.9736857458583,1041.8635055041327,363.99637604925675,1000.249869336607,402.5670952312911,1060.2673378821628,354.22834516524983,1089.142690570327,288.12377769457333,1004.1744226793643,403.24000293442816,1054.7861677786298,358.8155586939314,1082.0410022171834,303.1489725143801,3,2,baseline,person0,8.093129552068234,6.1771208477812705,-1.8337343943670008,0.8422153353172213,2.1625212939619467,3.5268399846880873,132.7969251795517,137.14839290271593,27.085059613073476,20.877424948416333,-6.508428231484319,-8.624472016350591,-97.33089604430046,-96.77920603073966,-89.23776649828794,-90.60208518901403,4.179376887191312,87.23539350765701,-12.93242889920008,61.38123447562698,40.03435627399015,44.38578402816326,67.11941547128535,65.2632485251104,225.53811188348976,138.6666293247101,0.26475625393981933,-95.3430046485801,-42.98551484225082,0.10458509942469114,29.912187540170635,38.70262235531663,0.04891453710929496,440.7905967866888,106.22176289264225,0.45340866018150333,-14.127657065657617,-11.73055574389663,0.0183629145896149,-125.5400639450933,-48.510491854278584,0.13458668387059003,-104.82890798141133,-41.528326940075914,0.11275505260083488,-29.08573875699011,-34.188406253907345,0.04488682792559625,-68.43346135866128,-18.36881634874757,0.07085585401067016,-12.051633292036133,-16.10177460615166,0.02011240936519104,464.64620159198097,327.1128728662951,0.5682419592468482,-4.505241981226222,-50.267396800827974,0.0504688853298871,-0.8977484251830599,36.47155985042216,0.036482607228073,-50.01756588671981,-16.400317242891557,0.05263769849546846,-24.664408514469994,-18.036633775366628,0.030555739318749203,-90.11400391334412,-25.036489167364177,0.09352731949073353,261.380189419229,244.42324489337537,0.3578579691232807,19.674869120307616,-1.842863593967141,0.019760987352032886,19.88332955294109,-42.10126056249164,0.04656031502322202,-21.172366302687674,-42.50729824068367,0.0474883090726298,-10.582258212385087,-43.46296467907028,0.04473268925034244,22.560245916894154,-37.84305867326092,0.044057482742192705,4.599382417513371,6.5086514386124,-9.487314593154897,-7.13235435638675,62.28129919300405,56.08047431478536,176.47316000594495,8.09312954601252
