Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,997.2952677859847,564.2096190044668,1003.5532836828245,561.0839588108239,1023.8813499103303,675.2890637345362,984.7760777611796,787.9348826820735,1017.6113047139097,809.8572693697804,1008.2147422838343,812.9834886468461,970.7049514936884,803.5909052213646,991.0355999794097,561.0825306746425,995.7276418386289,669.0337232380942,976.9555614793503,783.2483195312683,1009.7707229718856,806.7237428264992,995.6914900449456,803.6047195892997,964.4474383751373,795.7777449569332,991.0359859591003,404.6159799645779,994.1513798630724,326.36953548315614,1014.5060982973187,370.1846974705208,987.9083313753669,426.512391850508,1027.0413899597215,490.6871948106417,1095.9073039234625,528.2672925608676,981.6714202429392,424.9700564813262,1019.2069327005343,492.24520001091173,1080.2357896756941,526.6992484204909,3,4,trajectory,person0,29.235018031991356,11.821775983516552,-4.236541733699632,11.538231832889297,0.2422094592521716,7.844885814009556,29.15899178302714,26.90547097316322,30.02079517607297,31.459508897526103,-7.60590512153657,-13.57010780885419,-109.14413450822362,-99.33356881450624,-79.90911647623236,-87.51179283098975,-16.09494787567908,92.24599770975878,-13.987203966897503,87.72317743329934,-58.59501049479926,-60.84853131707865,-28.57421533114175,-29.38902241955262,4,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.15511418599112,29.23501803199126
1,0.0335456475583864,996.9052965894476,564.6276628378829,1003.4536565025965,562.2181441906881,1021.445575146078,674.2348789364684,984.1184721664924,788.3691065334527,1017.9482565172771,809.7139937788809,1008.5851464105431,812.9993141662533,970.5000872218949,804.0160900311074,990.3492682629668,562.1675747798712,994.5410999116012,669.5430339475495,975.8084907377572,783.5965417967955,1010.1215170047773,806.4044506007389,998.4366166074026,803.3113890618525,964.1646129879018,796.2609171874918,992.3700051053768,404.54432892040086,996.1040997442068,328.3838936129178,1015.4809749286064,370.3812314641188,988.0855672158532,425.650437683817,1018.2292409267919,488.77948523178276,1078.9387734819568,528.0629583083347,984.3007033114104,425.0869053217129,1009.9805150768817,492.3346491061203,1059.765884566743,532.0559002883853,3,4,trajectory,person0,27.201398732667585,11.550008561406786,-3.181118934210437,11.23756927222207,0.5178917021302941,7.448230048459895,23.2844714184053,18.732275820771164,31.534149681928717,31.108658936323636,-6.885397631674973,-12.504791673848665,-108.12296341996355,-99.323675981332,-80.92156468729593,-87.77366741992508,-10.31558572295647,91.6302052642454,-15.786084092770723,87.13159907741174,-65.08532332571474,-69.63751891498478,-33.55117363542194,-38.52885997866107,4,-275.04067726204636,2.6664888508381237,0.2750536026151208,-2.969898853633516,33.81020974152158,0.03394039749275919,29.06119578079495,5.858703226876507,0.02964586824011581,-610.2104624250709,159.68247023912934,0.6307577187436467,-19.603306018839778,12.944267974656801,0.023491353308568785,-20.45963534459335,32.34530212422248,0.038272904879835874,-11.625090732215476,12.46193959107302,0.017042378733727145,-6.107029874352297,12.674812999296392,0.014069353164000264,-35.37096503987361,15.182616718567978,0.03849177858030076,39.76727961368256,-2.135926696668837,0.039824599316582644,-505.83404037652434,-6.091229933103013,0.5058707142005131,10.45721452481051,-9.518141666656065,0.014140309629015987,58.21082683634601,60.0482708302379,0.08363190294781447,-72.61075404827986,-31.42538227151292,0.07911937976482442,-34.19432400571981,10.380549814134236,0.03573524322922496,78.3792610917684,3.483278722920203,0.07845662368438466,-262.6912781335342,-56.86906402801021,0.26877648344089133,5.283422839814464,-25.694962817180862,0.026232530779179128,11.041793903786024,0.47176073675754376,0.011051867299530529,-8.43106059417077,14.403425353993832,0.01668956094900796,81.83257031121691,-8.744220153650188,0.08229842616864408,10.044575910507623,-4.271063500866328,0.010914920460103342,-60.62244873300611,-8.101421254031646,31.462287250595622,-8.962788992042032,8.218122556683275,-11.824358580625974,172.55176995154133,27.201398732667627
2,0.0670912951167728,996.8367381636825,565.1661351488159,1003.4530392849206,563.3925135020484,1018.9230850102575,673.4115907159014,983.4822420837882,788.8255549734315,1018.1668219857405,809.6036178957867,1008.5782662139742,812.9064350373125,970.4208708617577,804.270959750907,990.2212002912248,563.3722304837049,993.4937261155558,670.1431577216941,974.9684252581565,783.9429818496061,1010.7398230789657,806.0052998883806,1001.4994294446049,802.8692726598028,963.9841630479993,796.7168100483503,993.8089683747467,404.1959478875994,998.2126981019472,330.31030799774567,1016.8402637336371,370.6214606550423,988.3746711727172,424.604893748958,1009.3138655384306,486.3836185871283,1060.2934854969158,526.8725026940444,987.4444945485604,424.9976524708783,1002.2541841043851,491.85902303817244,1041.8066458817038,536.2469166143753,3,4,trajectory,person0,25.02119987359669,10.974470927800676,-2.1023566907168547,10.652130296678324,0.4896903619565388,6.850109814047989,16.734711866251452,10.991105957323374,31.50323447249421,30.39504661033447,-6.430209542948459,-11.341513416194172,-107.08233611903611,-99.23915906519952,-82.06113624543904,-88.26468813739841,-4.145156617936415,91.08875394051466,-17.065274295386832,86.47647945051277,-72.17653424647095,-77.9201401021641,-40.673299720741845,-47.52509349182928,4,-230.3229043067038,-14.178473291357584,0.23075889875181146,-0.018399337046142928,35.00809782598984,0.035008102661093735,40.52057133983827,7.161262590188939,0.04114851617728836,-535.3671785223625,124.93472718615945,0.5497514910357909,-18.966099300865487,13.606785774052451,0.02334218374084238,-3.81772244876226,35.91093901934511,0.03611330150992714,-2.043735350337308,16.051927749963504,0.01618150915929249,-2.3614497230737115,7.597698609215919,0.00795622202751321,-31.222345439076996,17.889765672286583,0.03598442121983311,42.89567720716528,-10.385282686677407,0.04413494329376124,-555.8183949971136,-35.487632552578546,0.5569501416476651,18.431782338149254,-11.898733260807504,0.021938788785453897,62.85758395542783,57.42665666164123,0.08514045311159486,-75.19575025135828,-24.54232606880069,0.07909947297379409,-25.042458284302473,10.327421827455012,0.027088380507576008,93.71681472770027,-2.6606387812089176,0.09375457514932363,-265.76846885558035,-71.42108795140847,0.27519783945736637,8.618225549553115,-31.167797045480498,0.03233736823384416,-0.20509953063030534,-2.768738590578449,0.002776324764940714,-5.379235550255243,13.590223890150883,0.014616099359595146,91.3028383748291,-13.179545909200352,0.09224916653104723,6.515464281410103,-3.290319046667362,0.007299142020209834,-64.99200396344254,-17.156849710663174,32.15803903072643,-17.45200996715849,-0.8406855203695415,-17.83003989924102,173.14989018595372,25.02119987359707
3,0.1006369426751592,997.3520987731306,565.9111946341451,1003.64536815053,564.5942538605773,1016.3694164087575,672.9028436032391,982.8836560087551,789.2201169663495,1018.2246649496977,809.4310370753662,1008.1178553353951,812.6039852627385,970.5339404090337,804.2436181054223,991.0600909031419,564.6935916159606,992.8025428221754,670.788004623957,974.7191070020798,784.1698118434981,1011.880462471487,805.4341076555016,1004.8619387733102,802.1714188018926,964.0782232004888,797.0206354381146,995.3914681343397,403.5126917981259,1000.6726157054715,331.9790666419461,1018.8646898603106,370.89042081091986,988.8998490216292,423.3202382960305,1000.2484115844863,483.15873204426157,1038.927234738864,523.8297728825959,991.11377538685,424.5477396959168,996.35253232399,490.3737387501032,1026.1174717503748,538.3483215722079,3,4,trajectory,person0,22.69616544155459,9.963176651110745,-1.0524603817111688,9.792262894116854,-0.0127370068658221,5.933314011198273,8.947254239324641,3.636907191364547,28.755013532390564,28.063639537915467,-6.270707562821375,-10.106033317735584,-106.06296859495627,-99.05357156142487,-83.36680315340082,-89.09039491031324,2.635569820139464,90.69988283540263,-17.354098355598197,85.63464628789795,-80.35286305241246,-85.66320997323547,-51.59784939288484,-57.59957043531926,4,-175.92898661810517,-44.276512638012555,0.18141504321267715,5.733347829241685,35.8240322067803,0.03627991952697115,60.34839909260963,8.017736292299816,0.06087867745191044,-467.69626682633253,62.64314779361469,0.47187282393541236,-17.84392666712439,11.761942953437908,0.021371687367675033,25.007435329934083,39.389942613444404,0.04665768319228119,15.362965003165435,22.21031756899112,0.027005904913628084,3.3706175168942174,-0.8150579128660869,0.0034677632339189133,-20.60426146722465,19.2229677826491,0.02817903619683476,47.17451814989304,-20.367950515317784,0.05138373838938757,-636.93063968623,-90.70416083495171,0.6433567319643768,34.00260467579295,-17.027312764935388,0.038027707066469164,73.33045514303346,49.74590641888558,0.08861157292882778,-76.12518425990417,-15.165815826830203,0.07762116752727762,-7.432208772918106,6.761830830578221,0.01004788950106434,109.38172625534028,-13.411956772585913,0.11020091933857862,-270.242329892897,-96.1342760563438,0.2868322086147556,15.655618154276626,-38.29574166638298,0.04137223960061694,-13.724906570299979,-9.016066064827523,0.016421403948773623,2.8039450520562803,9.057073327782575,0.009481175302660606,100.23682872279723,-20.803111840238156,0.10237280544480962,1.7243060774606147,-5.144656102408192,0.005425930137848575,-69.30957072733094,-30.146810400060605,31.297541869726466,-25.63275611433243,-14.9774234629957,-27.32979893305167,174.06668598880344,22.69616544155545
4,0.1341825902335456,998.5719899435779,566.8671277719931,1004.1123734756424,565.7668800426043,1013.9520658851952,672.6449781069412,982.3130624324664,789.4219008680778,1018.083111722923,809.0516999995671,1007.3562801798428,812.0631432934684,970.7408271739606,803.9543757245073,993.0082583339188,565.9897021168108,992.73071815124,671.3314369424894,975.1601779565,784.0932244475525,1013.5852774640341,804.6501599113067,1008.1118796304524,801.2418105068405,964.5399448403656,797.0112829751056,997.0474866006448,402.66469264943163,1003.6707176850921,333.14061052151163,1021.584955389394,371.1517016131185,989.7329131110623,421.8964560752188,991.1749982923525,478.98722685073704,1014.9348678955694,518.3728937577507,994.7412287940161,423.71591516890237,991.3191368001404,487.61224464970235,1010.1692236371422,537.4249031902953,3,4,trajectory,person0,20.35669479313081,8.664547849376047,-0.1092557637590711,8.949171602043462,-0.964986820688386,4.672006296608286,-0.2773095250590117,-3.869864264535023,22.736185162636637,22.648913674403513,-6.204324593107771,-8.960352059262986,-105.15350005264986,-98.8510868215516,-84.79680525951761,-90.1865389721741,10.006952603603043,90.53118844387484,-16.491354174198218,84.43486844955038,-89.74612130424823,-93.3386758206624,-67.00993591854974,-70.68976214625768,4,-150.04615770463136,-82.32048868916402,0.17114471157457917,13.921487856197167,34.9561349199176,0.03762630984656518,81.09145975938624,7.788813787060005,0.08146465777328014,-475.41929502104443,-27.527218853216393,0.47621555398380233,-17.009466736202533,6.015203652790397,0.01804174696736775,58.075117714930464,38.6372180949652,0.06975352263306088,36.365110207641074,28.496487843444477,0.046200336144074323,6.167320650671141,-8.62235198803875,0.010600980983561404,-2.1411025323136093,16.199786204351263,0.016340666850547112,49.366120103147,-25.278961964240516,0.055462056687683815,-715.2154926070683,-162.67025745582734,0.7334812973252396,50.82075072719686,-23.369581488344352,0.05593644646754249,89.37379951906931,34.625770080718965,0.09584685698632796,-72.06152510112905,-7.687003085846237,0.07247036233069669,13.14838098303413,-2.2830799677428986,0.013345125575060072,108.13484523894162,-24.796794444543597,0.11094154212726089,-270.4795987718383,-124.35309785759898,0.297695996443614,24.8337459571536,-42.44312822799398,0.04917452665804097,-22.70265178893273,-16.122567564952792,0.02784506389175644,13.76398053050759,-0.2787981061555008,0.013766803856675953,96.88114833632925,-27.711740947438145,0.10076654945617493,-4.219719608286229,-11.308086246924924,0.012069749298989102,-69.73991616503807,-38.71228896310397,28.117049054141667,-25.13265813712456,-28.386687488001765,-37.5997426311319,175.32799370339245,20.35669479313225
5,0.167728237791932,1000.4131345153171,567.8588684786384,1004.891115473414,566.7565715859056,1011.8526752484935,672.5021939110666,981.7385307644037,789.3581579995023,1017.73293985347,808.4133152621332,1006.492711598959,811.3495086212187,970.7647639785408,803.5162933719336,995.9409592776676,567.0009782832433,993.451683095636,671.6325477507658,976.1489903963156,783.6026953805862,1015.6187634124083,803.6990871264744,1010.7618369590077,800.2163942526365,965.244621116143,796.6330557805729,998.6180850027499,401.8465883890234,1007.3523581673888,333.6010220211757,1024.799487606442,371.40247171809773,990.8293290732338,420.47672949116424,982.4978285869283,473.9327908514083,989.5778025967375,510.42885509984615,997.4994424365858,422.5562801722462,985.8306961581118,483.3989518291844,991.751084180508,532.1504557725133,3,4,trajectory,person0,18.173481356491106,7.395113528380883,0.7309640601821368,8.434128967281126,-2.2173459769754955,3.1215415816326555,-10.569277148650665,-12.04003999798365,13.664806742325233,13.751180125837182,-6.007537290631771,-8.054575421268543,-104.44168144929708,-98.78551657954507,-86.26820009280411,-91.39040305116237,17.433450827825222,90.61025832556108,-14.846898673368594,82.68177677641751,-99.95901913272536,-101.42978167242228,-86.29421208076396,-87.67860154658354,4,-163.6111102781938,-125.59879230784574,0.20626112584695316,23.214397528508268,29.502830183225843,0.03754098082671619,95.82561229300771,7.475488572481314,0.09611675660740499,-549.047068612326,-157.2319451756514,0.5711169478622634,-17.12686175047851,-1.9001829809555246,0.017231949651189123,87.424186361118,30.146270530993686,0.09247586705639126,54.884752739818,29.5639160018952,0.06234068665549069,0.7135591745121567,-13.059290383684315,0.013078770279384835,21.492056253830025,8.976151310009529,0.023291195211022988,46.819737176679176,-24.38779156027086,0.05279064468710846,-755.8973263132823,-236.81279796665004,0.7921244026088089,60.61847352431828,-28.35160010480789,0.06692094261829715,109.75016880770842,13.724925084922948,0.11060503208221244,-62.58310062572867,-4.256414952969053,0.06272767772030094,29.476623997035677,-14.622733578556826,0.03290434165231198,82.2226978259694,-34.568866039560426,0.08919404989707412,-258.6675272946043,-150.6733769420138,0.2993515595346299,32.684298619162206,-42.322229182893246,0.05347368006071687,-25.743088708623684,-21.27353991326694,0.03339566014771126,21.006488980450047,-11.275000545877502,0.023841103510435654,78.99556340186763,-30.567788337348524,0.08470353428880892,-10.438667753945964,-19.03032983109703,0.02170528133790513,-65.08186890236082,-37.84199779675458,25.04705930862715,-15.35348613753547,-37.33298497539422,-46.219549414779884,176.8784584183652,18.17348135649297
6,0.2012738853503184,1002.6032108763694,568.5221285683898,1005.9542656665373,567.2679651057476,1010.222471450291,672.3148138264626,981.1671303897141,789.0042279251285,1017.322247372125,807.5769199404593,1005.7500403547155,810.5611702021066,970.3495229712522,802.9943262280703,999.4836731438858,567.4132058777587,994.9072749858858,671.6061342009613,977.4280501875639,782.7375853973765,1017.5981345475045,802.6899678620362,1012.5175183944499,799.263533266473,965.9227901133563,795.9706736655914,999.9294076794744,401.120007412137,1011.7732093085658,333.3333198586458,1028.2517963887424,371.6513571516994,992.0521501382043,419.1226519447592,974.7665480049284,468.2558611450198,964.8255638389884,500.59319574499096,998.6935047402646,421.0747557436372,979.2440639790316,477.71745685056237,970.9913542454967,521.7161775841132,3,4,trajectory,person0,16.297280081866976,6.4197873744179,1.5062916947244978,8.33947266043447,-3.5803643383391845,1.4181397582683315,-21.05654707993075,-20.719345810092832,2.6591589829893385,2.517780057991624,-5.635387877712384,-7.439019552629388,-103.97489325593996,-98.94527078607824,-87.67761317407135,-92.52548341165873,23.543026718935817,90.90424706765256,-13.016345562800982,80.23316589447374,-110.15230032924302,-109.81509874243405,-107.49314102928238,-107.29731868444108,4,-196.34833900928882,-169.3660844893022,0.25930202622992377,31.692641832979625,15.244705559846187,0.03516851708502841,102.91376180148681,7.419306280151545,0.10318085323262191,-618.8501771765995,-311.04715359091256,0.6926224610482374,-17.033517498658703,-10.550700318357837,0.02003641673515772,105.60874879675725,12.288556773216271,0.10632128879008727,65.28645354782445,19.771867232461783,0.06821471799186987,-12.37838698942673,-15.559906630352693,0.019883036961322147,43.39137850048446,-0.7873912631589444,0.04339852201600423,39.09069498336669,-21.659470893258604,0.044690212727828076,-737.8673705632776,-293.202250388405,0.7939872896808803,59.0053040905249,-30.081973009520045,0.06623104265343259,131.78613211989557,-7.980235351366447,0.13202753036918388,-48.59658157932938,-5.585824041045104,0.048916553143224774,38.128934283415,-25.789038107072642,0.0460314035857807,35.59514841979208,-44.164430751573555,0.05672311287859265,-230.470452792532,-169.22999314613824,0.285929047476182,36.4524507342443,-40.36522306055536,0.05438871571623013,-22.13912379991826,-23.500468063404355,0.03228641822542716,20.21630365110838,-19.745694693435432,0.028259359374199943,52.33708582868977,-28.404906612846514,0.059548377582635884,-12.24279485528313,-24.93305041192448,0.027776663383353203,-55.929797490377545,-29.07459610864338,23.112614928446334,-2.8217164889097877,-40.63174988622137,-50.77862397497448,178.58186024172392,16.297280081868607
7,0.2348195329087049,1004.7790511742319,568.4702698273833,1007.237512725613,566.988404704838,1009.18788227343,671.9177920133081,980.6770957085612,788.3355716097556,1017.1315768646369,806.6257483662486,1005.4103361731308,809.7354895241016,969.4598762473836,802.3436322484586,1003.0307347286724,566.983844213753,996.777451039388,671.2048214045799,978.7171097499034,781.6406286973915,1019.1735454397261,801.7359541848319,1013.318762705347,798.5097599710778,966.2874791748932,795.1632429688453,1000.8709667435692,400.42994014007184,1016.8427339637313,332.4651058257342,1031.7211437869512,371.8705917898878,993.2347750418062,417.8064543335912,968.3415257257743,462.4481913565338,942.6299453992076,490.1240156117043,998.0459257362296,419.2206132831311,971.9705250529896,471.0560024587288,950.2817313749656,507.59347323051287,3,4,trajectory,person0,14.843688732018634,5.8647258521708086,2.205782550693125,8.54718210682965,-4.840073152104527,-0.2409293213330076,-30.768831237342525,-28.92100113894428,-8.32144194805495,-8.88632711714294,-5.209983951300491,-7.088950984787593,-103.75721984768796,-99.29467698399527,-88.9135311156693,-93.42995113182442,26.37613753853815,91.32739820564746,-11.510334641222045,77.09603857175492,-119.44143315923544,-117.59360293328034,-127.7628749797331,-126.47993005042323,4,-216.82511608644108,-198.5787986426334,0.2940181461002878,38.25375726738572,-8.333730938507538,0.03915100275123874,103.42168509850293,6.535412315616321,0.10362797191274667,-617.356479241781,-420.99960446492275,0.7472413863146427,-14.60799587487227,-19.932729401307206,0.024712491676599956,105.73835483762805,-12.799325553592597,0.10651019865907203,64.86207470210174,-1.545915633802837,0.0648804946791242,-26.520481452032193,-19.397269898551414,0.032857115149763715,55.75018488604493,-11.963185259215772,0.05701930301550967,28.067994885356562,-20.570992730550113,0.03479911031628176,-661.6541952618185,-312.08758498594875,0.7315633498268802,46.9631981162286,-28.43926847868414,0.05490295045720962,151.12317168246562,-25.88157022160512,0.1533234120951652,-30.84123432288331,-11.835270506057595,0.03303415448457176,38.42702872543659,-32.70041808182785,0.05045744622344518,-19.304412082309245,-55.27222144926342,0.058546381525932265,-191.5307274355391,-173.12737154284218,0.25818037556971696,35.25419807573019,-39.236017396209604,0.05274773495685365,-10.12662465356884,-24.613645527871597,0.02661541044293666,10.871427087586127,-24.069611276420247,0.026410871131385995,23.88519433117359,-22.47007735007434,0.03279339696274619,-5.683911963727852,-28.35454502868787,0.028918628580817875,-43.331742137884014,-16.546454239137933,20.851910959571057,6.191844889375284,-37.55207919515663,-49.45705927166006,180.24092932131674,14.843688732018663
8,0.2683651804670913,1006.6313922809127,567.5297176252568,1008.6468250664565,565.8167818230559,1008.8172413203631,671.1913366457409,980.3421077775948,787.3599859705754,1017.3771441528241,805.6086700447883,1005.7060291595403,808.8412204766254,968.285726243472,801.4972712721205,1005.9681028494205,565.6747065384209,998.6172507372391,670.4041164942519,979.7468362994948,780.4519309619403,1020.205669339933,800.8724920357381,1013.343602081446,797.9475605470892,966.1496163638819,794.3140558265422,1001.432204429244,399.6959977647472,1022.2791341031889,331.23147550769363,1034.9953164636133,372.0118858163861,994.2258259246468,416.4860593109938,963.1945403044712,457.1003073111745,924.356883686182,480.5548660327262,995.8368663909512,416.9857378387586,965.0312937256824,464.4379380993215,932.5073087534356,493.3203670987007,3,4,trajectory,person0,13.894022243813488,5.723851437728466,2.8189727005537772,8.902102011985923,-5.818237561001451,-1.6545321576259808,-39.02182375595079,-35.39292237063172,-17.153703946940137,-18.37644510927356,-4.868836384821725,-6.913258726290491,-103.77100807343402,-99.73217286125312,-89.87698582962442,-94.00832142352851,24.560773100874872,91.77754632797536,-10.856451402042415,73.47506632198846,-127.2442770132758,-123.6153760426258,-144.39798137488435,-141.99182115190249,4,-206.8593642507408,-197.2853362835979,0.2858536347341992,42.01177927450911,-34.92622641262087,0.05463360585972456,97.60350194354078,4.211992815234658,0.09769434208345106,-529.8577882747254,-425.48310051161553,0.6795477500634972,-9.986032625644663,-29.082331395811813,0.0307490300174861,87.56331549824957,-39.02555981527756,0.09586620123871499,55.21852286371443,-28.03798020262907,0.06192910140712178,-35.00156024318858,-25.230127838938266,0.043147057492101674,54.84466187898188,-23.86911473193024,0.059813640373295264,16.730566452715387,-21.878915112525895,0.02754267198965706,-544.7222827110819,-285.2575602340953,0.6148936826417071,30.767744113762806,-25.739915963493292,0.04011480215154603,162.05977630914643,-36.774675936526144,0.1661798660716968,-11.048853727498402,-21.655726463554284,0.024311471723364276,30.69627878845028,-35.4352299618702,0.04688194806008904,-65.85233871051689,-66.62191989237036,0.09367502721531526,-153.43228692619056,-159.42110033950817,0.22126127972345366,29.543352266956294,-39.361142762238906,0.04921492886024345,8.814645354359854,-26.65827350387726,0.028077776246182,-4.109707847234002,-25.314376204098366,0.025645805528238697,0.7404649457322267,-16.759235993581132,0.016775585814641572,7.320391945325591,-30.31923350682144,0.031190448196112087,-28.30967822434329,-4.1994841267306,18.27927598635236,10.580207299278754,-29.15920484749694,-42.13967948696142,181.65453215759976,13.894022243809601
9,0.3019108280254777,1008.0177872948743,565.8558110853639,1010.0317896716305,563.9706476288296,1009.0099358657951,670.1131040381072,980.1586137286042,786.1636549145571,1018.0534559921718,804.5830155478418,1006.6029249522144,807.877807544487,967.127940124518,800.46741845917,1008.0273647949493,563.6992103031772,1000.1031956281623,669.220576315325,980.3751111140213,779.2389963985181,1020.8183962703392,800.0315034434269,1012.9798377339931,797.4205059086931,965.572942518786,793.4517483939501,1001.6975695612044,398.86685713131095,1027.5928492042342,329.92302255275257,1037.8857622269281,372.0567462735862,994.9172807148657,415.13805771846916,959.1222461790801,452.7085356191733,910.6847805495056,473.1717768042269,992.8635599127988,414.5042648671192,959.3930661489703,458.9336275290347,919.5570729191585,482.1742521697087,3,4,trajectory,person0,13.428651339383975,5.868259357719621,3.3756333509154053,9.26558514094431,-6.472088671833177,-2.705334273935173,-45.41200347776046,-39.411756438847554,-22.60071316074532,-24.789367186968573,-4.693350921731281,-6.7869033736150595,-103.95899868226748,-100.1625115602787,-90.53034734289432,-94.29425220256988,18.386066296904303,92.1749869310077,-11.738783489630492,69.76784640066852,-133.23701508955406,-127.2367695077952,-155.83772970745267,-152.02613669477253,4,-168.07627776147987,-164.08419484842224,0.23488988514878442,41.2859701922126,-55.03349401775542,0.06879837787705892,86.16455408362368,1.3372959076735997,0.08617493104595089,-386.0481694901599,-332.2670969338749,0.5093472419396892,-5.469980827502811,-35.66278021421795,0.03607983623661371,61.386859262284275,-58.88979283543033,0.08506676313512462,41.328610859236534,-49.89936584110981,0.0647919808842045,-34.513750761223896,-30.700042715174416,0.046191899877807766,44.2962052927085,-35.281482549022115,0.05662982265724243,7.910568174262691,-24.716787237245295,0.025951814198065415,-407.56712515028806,-220.0908244698205,0.46319642973481123,18.26546735577824,-25.069976391048684,0.031018236796644953,158.4025197843212,-39.005148213748456,0.16313417747731085,5.744248791043312,-32.14225051870181,0.03265150322083792,18.72895174949043,-36.15773287163638,0.040720452846835516,-88.63464248162884,-73.9730233950722,0.11544742542843502,-121.39560335817829,-130.91927005902383,0.17854060543048397,20.612354822345694,-40.184098106272145,0.04516227310418268,26.73657711072632,-28.71946145805034,0.03923839984044015,-17.19072031899998,-25.705493718412782,0.030923991857349818,-10.843861243687229,-15.71156548636431,0.019090380213726915,20.160941540051468,-30.574890383657465,0.03662359192861949,-13.872765568753197,4.304818374419887,16.5941244506536,10.835478084772188,-19.491384379857138,-31.324544100103136,182.705334273902,13.428651339373161
