Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RHip_vel_X,RHip_vel_Y,RHip_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,Head_vel_X,Head_vel_Y,Head_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,923.2652759338742,792.1135172192269,901.7259375205361,793.909923809207,934.0574259112843,1025.591608621497,914.299488309966,1154.8527819194512,1069.404059092204,1066.5493729114537,0.0,-900.848686871577,0.0,-948.4167181120175,0.0,-962.7817590968252,0.0,-964.5705900405056,0.0,-1052.645580291747,0.0,-1012.4582459131879,0.0,-865.174806950729,0.0,-962.7780688073933,0.0,-1007.6699924094843,0.0,-1018.4606159375027,0.0,-901.733465824629,0.0,-867.614391446334,0.0,-887.3950754492337,0.0,-978.9402137110565,0.0,-986.1182967160153,0.0,-1027.4588548918434,0.0,-0.0,5,1,baseline,person0,16.63281563997201,2.943902494820338,24.132591564694465,4.221612300011587,10.659611051293938,-4.82328306693245,9.541424424424152,19.728986827934108,15.630475895470434,8.426969207749563,1.7834799145102105,-98.68856443466606,-89.25330045006093,-82.05574879469413,-86.30939795524058,-2.193257623465129,83.03099099346547,-14.335731997237849,70.34908356810503,-101.79229207346695,-87.4275845853105,-82.0633052455329,-71.79712893619357,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0867397881596,16.632815639971938
1,0.0341085271317829,927.5577866371196,790.9922255906305,909.6938501477798,793.2602729130105,941.9321047946748,1027.773725410439,930.9336967985741,1149.8614084076926,1069.3450837823195,1066.5671990768692,0.0,-912.3820899721065,0.0,-951.7994691752568,0.0,-951.0581634769438,0.0,-949.0631092700887,0.0,-1044.1806957811727,0.0,-1018.0677469320667,0.0,-873.897420116574,0.0,-964.3137777662356,0.0,-1010.4762471987754,0.0,-1020.178175653254,0.0,-906.0080194095284,0.0,-871.1258234924572,0.0,-888.7460853612712,0.0,-978.8099490522222,0.0,-986.1969769605192,0.0,-1026.544828871454,0.0,-0.0,5,1,baseline,person0,11.954562571923088,3.0055236762635023,20.31011961169998,4.238152017945182,6.381565378308499,-5.634145689687604,9.177465413483006,19.18691224197804,15.09844739912362,8.444701345599963,1.912611168447985,-94.12949170593735,-93.15344083198843,-82.17492913401435,-90.14791715572495,-2.5511990905405844,83.47051746596652,-14.128926781851678,69.84990962994952,-102.16362822372106,-87.35201712446349,-82.97671598174306,-72.2536290894501,233.60471111691533,-19.046583093033995,0.2343798911671761,0.0,26.79758105232798,0.02679758105232798,0.0,343.7145079465217,0.3437145079465217,0.0,248.17502315092412,0.24817502315092413,0.0,3.8191229521861465,0.0038191229521861467,0.0,-2.3067617138664045,0.0023067617138664044,487.6847488705591,-146.33799614019554,0.5091671860943792,0.0,-255.73115872591046,0.25573115872591046,0.0,-39.60915423928176,0.039609154239281755,0.0,-0.0,0.0,0.0,-99.17611071769676,0.09917611071769676,0.0,-164.46037078076517,0.16446037078076517,-1.7290488579780807,0.5226307587746284,0.001806309182640848,0.0,-82.27428814057966,0.08227428814057966,0.0,-102.94880317043189,0.10294880317043188,230.87126726303825,63.97569676670811,0.23957135017448772,0.0,-125.32213919364065,0.12532213919364066,0.0,-45.024194475147915,0.04502419447514792,0.0,-338.1384090837071,0.33813840908370707,0.0,454.6511407690404,0.4546511407690404,0.0,-50.35572802998052,0.05035572802998052,125.8486092542413,-32.874231838395126,0.13007147100802413,-137.15787404052537,1.806621001401862,-112.06792771279298,0.4849144575985843,-125.42452086707327,165.64544659998086,11.954562571923006
2,0.0682170542635658,931.7371730630464,790.0361650237569,917.2117635899511,792.8247547528863,949.9809690061069,1029.57867451865,947.1108267435781,1144.5908328718053,1069.3270668381492,1066.5726449664744,0.0,-924.603025801345,0.0,-954.937100027905,0.0,-940.4462563797885,0.0,-935.0707673374636,0.0,-1036.4873086984878,0.0,-1023.3167445575389,0.0,-881.6509121058972,0.0,-965.8905774334928,0.0,-1013.054681472924,0.0,-1021.9376228327677,0.0,-910.1785221142151,0.0,-874.7642155703569,0.0,-889.9051959296155,0.0,-978.6545266140448,0.0,-986.081610702194,0.0,-1025.485826637695,0.0,-0.0,5,1,baseline,person0,7.680844112093324,2.773539930936432,16.866436938569557,4.243204898128179,2.4642291043048123,-6.336664430460172,8.777459145550866,18.44063499544087,14.616386737033476,8.45011850980471,2.0656925616115043,-89.80761601718062,-96.42072431309394,-82.12677190508735,-93.6471843821575,-2.9522559597783835,83.88858651353765,-13.83964157027607,69.4717889978663,-102.44807791692251,-87.33395434399381,-84.00744292148165,-72.71768293031971,220.41155319093286,-12.768600603641785,0.22078109054313222,0.0,31.048020035209987,0.031048020035209987,0.0,311.1218217120573,0.31112182171205727,0.0,225.55612128780956,0.22555612128780955,0.0,4.556703301108499,0.004556703301108499,0.0,3.382328937261556,0.003382328937261556,474.28403702397765,-154.52369184760454,0.49882153032720555,0.0,-227.31828786879356,0.22731828786879357,0.0,-33.98301439009369,0.03398301439009369,0.0,-0.0,0.0,0.0,-91.98963181627622,0.09198963181627622,0.0,-153.8910667467974,0.1538910667467974,-0.5282240449947222,0.1596635816025762,0.0005518270571481149,0.0,-75.59500485572075,0.07559500485572075,0.0,-106.67104046569361,0.1066710404656936,235.97806438062113,52.9178261270903,0.24183867182657437,0.0,-122.27155656922278,0.12227155656922278,0.0,-46.22889933549558,0.04622889933549559,0.0,-358.2956186299458,0.3582956186299458,0.0,410.2300248428731,0.4102300248428731,0.0,-51.583792308470116,0.051583792308470114,122.53201112376158,-28.029957528793766,0.12569714503161802,-125.29765484500915,-6.801341624361845,-100.96251473496034,0.14814125991061325,-114.84917712419917,166.015358418625,7.6808441120932684
3,0.1023255813953488,935.7647605919236,789.3723283111132,924.0105706946305,792.7139914021097,958.36173022743,1030.7837005531878,962.2209728066213,1139.4784073591727,1069.3977559640534,1066.551278125775,0.0,-937.6316396964518,0.0,-957.6940561667566,0.0,-932.1697903778245,0.0,-924.3158272294671,0.0,-1030.3102864091345,0.0,-1028.0062471339704,0.0,-887.6908067497105,0.0,-967.5326997431753,0.0,-1015.3429213150375,0.0,-1023.795168445392,0.0,-914.1976268560969,0.0,-878.6406638032332,0.0,-890.8492394807752,0.0,-978.4999454008295,0.0,-985.6714265908656,0.0,-1024.1595849688936,0.0,-0.0,5,1,baseline,person0,4.358578230957517,2.0764827662501553,14.159568758127213,4.2233800221635995,-0.7435583792580521,-6.862243869890756,8.302242371078416,17.38182724518111,14.208327208368772,8.428864372649388,2.269831324334302,-86.15756761549005,-98.54176030301522,-81.79898938453256,-96.46527753676506,-3.4154833993811216,84.27828084249296,-13.468068473084264,69.25348837335328,-102.5839630273978,-87.41947678548394,-85.20213578221669,-73.21132508089552,199.3286628417332,-3.2473800568574296,0.19935511357250665,0.0,38.88299438076689,0.03888299438076689,0.0,242.65093505757955,0.24265093505757954,0.0,181.09906257422296,0.18109906257422295,0.0,4.5320401147251665,0.004532040114725166,0.0,12.025852354856124,0.012025852354856124,443.0020095755832,-149.88702071127636,0.4676717860484078,0.0,-177.07872932998293,0.17707872932998295,0.0,-27.677640477183083,0.02767764047718308,0.0,-0.0,0.0,0.0,-80.82894134360447,0.08082894134360447,0.0,-137.48768917265133,0.13748768917265133,2.0724766458322277,-0.6264369204992596,0.0021650825995524043,0.0,-67.08703173469321,0.06708703173469321,0.0,-113.6504141002386,0.1136504141002386,245.70868126151896,35.329172376227135,0.24823558662702633,0.0,-117.83284356881124,0.11783284356881124,0.0,-48.14404044296162,0.04814404044296162,0.0,-381.9752710156302,0.3819752710156302,0.0,315.31528952989663,0.3153152895298966,0.0,-54.45986000648834,0.05445986000648834,118.08154346026373,-19.462485438871937,0.11967472266697113,-97.40279515148147,-20.436448691938534,-79.36045347205949,-0.581229318052453,-94.04649667718384,166.0772702270255,4.358578230957491
4,0.1364341085271317,939.7283166349172,789.0943951523623,930.1389538156508,792.9225875857767,967.0654338284522,1031.435365228136,975.5790391416285,1135.5445607215308,1069.6106552541448,1066.4869261457768,0.0,-950.6955761448964,0.0,-960.1377459571631,0.0,-926.9398571603056,0.0,-917.6824018649452,0.0,-1026.2075199218198,0.0,-1032.1879656541485,0.0,-891.7504790890154,0.0,-969.2471243373504,0.0,-1017.4061966940789,0.0,-1025.7688473547537,0.0,-918.075414268822,0.0,-882.8070389733988,0.0,-891.7373945514272,0.0,-978.3915338705316,0.0,-984.8406225567328,0.0,-1022.5415439635804,0.0,-0.0,5,1,baseline,person0,2.49742003950159,1.040970073166583,12.441038299841004,4.1636720831420835,-3.0913127003315783,-7.20550999593075,7.668989329542501,16.034082087866516,13.98826874559834,8.364851829645723,2.553946523097263,-83.70402792866594,-99.47559291249124,-81.20660788916435,-98.43462283932466,-3.941173621739195,84.6566898610069,-13.123379336206456,69.16235417829232,-102.54882013492384,-87.67432079936806,-86.51473804705735,-73.68625862767854,179.67305059355212,6.115660839327255,0.17977710203775904,0.0,47.438020383048034,0.047438020383048035,0.0,153.33213296816666,0.15333213296816667,0.0,120.285653832638,0.120285653832638,0.0,3.1784289564592902,0.0031784289564592903,0.0,24.357663727985155,0.024357663727985156,391.6342175490798,-115.33323096722376,0.4082635356245019,0.0,-119.02221176598239,0.11902221176598239,0.0,-26.039091844115074,0.026039091844115073,0.0,-0.0,0.0,0.0,-71.64454158237378,0.07164454158237378,0.0,-122.60038388703734,0.12260038388703734,6.241820095861038,-1.8866830499508287,0.0065207277998752915,0.0,-60.491482703710155,0.06049148270371015,0.0,-122.15054476167028,0.12215054476167028,255.17676466633415,19.105623424616216,0.2558910042811606,0.0,-113.68967641852979,0.11368967641852978,0.0,-50.26381196558956,0.05026381196558956,0.0,-383.01086405667206,0.38301086405667206,0.0,194.47997091439345,0.19447997091439345,0.0,-57.864677115374846,0.057864677115374845,116.20425671503942,-8.14849488156076,0.11648960145665195,-54.56577424950338,-30.359349410859316,-50.38418843611844,-1.750528212221723,-68.83188804965573,165.86329775017123,2.4974200395015913
5,0.1705426356589147,943.879076983822,789.2057191609307,935.9974166383035,793.3182139239653,975.8056529975404,1031.656795868314,986.6007441295612,1132.5491043771124,1070.0078400577675,1066.366871125736,0.0,-962.5427904953012,0.0,-962.5468828824064,0.0,-924.6482616546419,0.0,-914.7850595655276,0.0,-1024.259753731158,0.0,-1035.9837337354213,0.0,-894.1671151581608,0.0,-971.0292854799072,0.0,-1019.3614695467046,0.0,-1027.8357341083065,0.0,-921.845336740684,0.0,-887.2732296250553,0.0,-892.8746852631614,0.0,-978.3495242442635,0.0,-983.2912929894824,0.0,-1020.5991652702593,0.0,-0.0,5,1,baseline,person0,2.1688924229177435,-0.0367937234734265,11.729814154787796,4.052280983505915,-4.715683006231479,-7.411821164662806,6.710872415716927,14.513670209369748,14.208983697930709,8.245430063084388,2.9357768015781933,-82.68915488578506,-99.60886092797809,-80.52026246286731,-99.64565465145152,-4.508713790433183,85.07002835477995,-12.92595137117237,69.13416660076754,-102.34179280988285,-88.21909920387468,-87.82812260051313,-74.01026232264728,171.75947820959283,11.599044915077236,0.1721506787607112,0.0,56.94701169054841,0.05694701169054841,0.0,67.18541368877366,0.06718541368877366,0.0,57.10496331712778,0.057104963317127784,0.0,1.2316458610388377,0.0012316458610388376,0.0,45.42352594893215,0.045423525948932154,323.1363507825703,-87.82133373408936,0.334857712851161,0.0,-70.85137566357882,0.07085137566357882,0.0,-33.34329586675218,0.03334329586675218,0.0,-0.0,0.0,0.0,-70.63151439917696,0.07063151439917696,0.0,-111.28501874641339,0.11128501874641339,11.644736288026436,-3.519794905743556,0.012165066353957055,0.0,-57.325044997436834,0.05732504499743683,0.0,-130.94058955993026,0.13094058955993026,256.24733473008496,6.491943768854656,0.2563295571918505,0.0,-110.52727247050026,0.11052727247050026,0.0,-52.24972440677894,0.05224972440677894,0.0,-347.3387843641405,0.3473387843641405,0.0,84.94480832383483,0.08494480832383483,0.0,-60.597361638249815,0.060597361638249816,121.69274659289127,3.2638175239401965,0.12173650676009735,-9.631832395299119,-31.598074946945683,-20.851798798150842,-3.2657845120604008,-47.62358396842882,165.59029081764726,2.16889242291775
6,0.2046511627906976,948.5165948450408,789.5392929318424,942.1083008428201,793.6425828177045,984.1574105141584,1031.4033427548572,995.122371600061,1127.9841179424297,1070.5786988738616,1066.1943205498294,0.0,-972.3435676540851,0.0,-965.257240636423,0.0,-924.694207957998,0.0,-914.6303772132242,0.0,-1023.9591966551056,0.0,-1039.2994756601156,0.0,-895.68040619179,0.0,-972.8570051771542,0.0,-1021.3327386177775,0.0,-1029.969491698658,0.0,-925.5141081321035,0.0,-892.0243755697192,0.0,-894.6100228779301,0.0,-978.4023864280788,0.0,-980.6991994797087,0.0,-1018.1040802498289,0.0,-0.0,5,1,baseline,person0,2.8414333148736155,-0.9636435484983852,11.795808132126846,3.892182735331077,-5.907955073746567,-7.538675989297536,5.239865072598716,12.963209991003788,15.071608099013106,8.073789638644175,3.3942801000446625,-82.81202713740053,-99.37119943235804,-79.97059382252694,-100.33484298085642,-5.068058727162023,85.57311209289014,-12.892291325744718,69.10091752169542,-101.96556389640736,-89.18702278797478,-89.00235390540362,-74.11532078118691,179.16001417786873,9.509906202805507,0.17941223201387435,0.0,73.15135628080012,0.07315135628080012,0.0,-1.3470620756636795,0.0013470620756636795,0.0,8.811787002444373,0.008811787002444373,0.0,-1.549823116399368,0.001549823116399368,0.0,75.9954688092757,0.07599546880927571,249.83862356692583,-133.83710228955874,0.2834284879384602,0.0,-44.366941667768,0.044366941667768,0.0,-50.87694370571994,0.05087694370571994,0.0,-0.0,0.0,0.0,-79.4627614245784,0.07946276142457841,0.0,-97.21152461034939,0.09721152461034939,16.736542562761787,-5.058869157258251,0.017484393444023038,0.0,-57.794025038274434,0.05779402503827443,0.0,-139.29496065037247,0.13929496065037247,244.85834537357317,-7.430784462711152,0.24497107146929678,0.0,-107.56170670298165,0.10756170670298165,0.0,-53.585418396561124,0.05358541839656113,0.0,-287.34096670070744,0.2873409667007074,0.0,4.535005328895899,0.004535005328895899,0.0,-62.55789298985101,0.06255789298985101,135.9635918402786,9.779776465365744,0.13631486468401896,19.71767615052446,-27.17355168823179,1.9348234265312252,-4.693789548762293,-34.95524925214698,165.5437059154171,2.8414333148735977
7,0.2387596899224806,953.7696720440316,789.8150240325051,948.7724323078448,793.643354473639,991.759799148744,1030.4967907397051,1001.5085048174033,1119.5347250960926,1071.223929879837,1065.9992898723042,0.0,-980.0241206212864,0.0,-968.412066905041,0.0,-926.3776254373461,0.0,-916.1927707278109,0.0,-1024.5164953531055,0.0,-1041.8670347290586,0.0,-897.0579755045578,0.0,-974.737884839626,0.0,-1023.3708151460563,0.0,-1032.1305091398447,0.0,-929.075059649472,0.0,-897.0349878576566,0.0,-897.2404781252518,0.0,-978.6574325429241,0.0,-977.0609300986241,0.0,-1014.5669880763464,0.0,-0.0,5,1,baseline,person0,3.778058543789481,-1.64784651314133,12.288527726776662,3.711226690136698,-6.905549087696372,-7.612730186202352,3.1934664611775343,11.51212754846899,16.446040436546532,7.879787688240154,3.856143965801371,-83.49404745604768,-99.07488876084643,-79.71598891225823,-100.72273527398778,-5.526307343729743,86.1828138137086,-12.89924509064948,69.04704226832126,-101.42991637249372,-90.6237196583464,-89.91778882402475,-74.17706354719957,195.3802179518619,0.022623548988278435,0.1953802192616797,0.0,103.70111144982842,0.10370111144982842,0.0,-49.35473973543231,0.049354739735432314,0.0,-16.338984554994358,0.016338984554994357,0.0,-7.477488367054815,0.007477488367054815,0.0,106.66744321815813,0.10666744321815813,187.22981478117083,-247.72083572215095,0.31051669197302817,0.0,-40.387827578873456,0.04038782757887346,0.0,-77.12016520556611,0.07712016520556611,0.0,-0.0,0.0,0.0,-92.49377014811733,0.09249377014811734,0.0,-75.27616361219607,0.07527616361219608,18.91699994791054,-5.717944863804998,0.01976228176336835,0.0,-59.75269821544681,0.05975269821544681,0.0,-146.90204207816507,0.14690204207816507,222.8882122412599,-26.57845680786854,0.2244673016775331,0.0,-104.40062403193878,0.10440062403193878,0.0,-55.14397192246701,0.05514397192246701,0.0,-225.1798483565856,0.2251798483565856,0.0,-45.80653713219933,0.04580653713219933,0.0,-63.35710225297643,0.06335710225297643,154.01067242495785,8.083934542156468,0.1542226871068895,27.46014875685147,-20.05958691794085,14.445642661324147,-5.305302234107922,-29.247642681710126,165.89880272596685,3.778058543789456
8,0.2728682170542635,959.4695320580591,789.8283828333182,955.9012308824312,793.2618987774425,998.37396013562,1028.8548055995518,1006.3042700828555,1107.931807408499,1071.7960583747058,1065.8263555170856,0.0,-985.8502303608452,0.0,-971.8223339766352,0.0,-929.1311711399452,0.0,-918.6526751345829,0.0,-1025.2891949381265,0.0,-1043.534178166579,0.0,-898.8048884796475,0.0,-976.7567610314716,0.0,-1025.4099061260813,0.0,-1034.2791187101243,0.0,-932.5659896955796,0.0,-902.2952750686361,0.0,-900.9955055795089,0.0,-979.2627621586322,0.0,-972.8598736589144,0.0,-1009.5427359149771,0.0,-0.0,5,1,baseline,person0,4.563602905134558,-1.9786121150284464,12.882834901188795,3.550772358562934,-7.762220809630184,-7.609565912362904,0.7396541046825992,10.270635805673727,17.847913160087558,7.707765508806213,4.233552566509038,-84.35476365539814,-98.93424102413384,-79.79116075026361,-100.91285313916228,-5.740052027414433,86.84936767046794,-12.699929450402252,69.0427520371868,-100.76019824189495,-92.4109781527142,-90.48956243622123,-74.56158777865244,209.00341275491877,-11.18358745666745,0.209302410811734,0.0,147.301938367417,0.147301938367417,0.0,-80.7289535534741,0.08072895355347409,0.0,-22.654146924479907,0.022654146924479906,0.0,-17.74716373326136,0.01774716373326136,0.0,123.16733652785575,0.12316733652785575,140.6031180098494,-340.1764503862732,0.3680886499085461,0.0,-51.21631222421977,0.05121631222421977,0.0,-110.09057763617248,0.11009057763617248,0.0,-0.0,0.0,0.0,-99.98283005355724,0.09998283005355724,0.0,-48.8776144182115,0.0488776144182115,16.77376723592509,-5.070120868908672,0.017523281453835558,0.0,-59.782440096186704,0.059782440096186704,0.0,-154.22205686735325,0.15422205686735324,193.91517438795412,-48.140018881765336,0.19980129197742286,0.0,-102.34772180633553,0.10234772180633553,0.0,-59.1897792609278,0.0591897792609278,0.0,-170.81094463706413,0.17081094463706412,0.0,-72.11992465308876,0.07211992465308877,0.0,-62.9933260377436,0.0629933260377436,167.10953222944445,0.39165575111138135,0.16710999119194253,23.030732412162497,-9.697446055326829,17.424005795264833,-4.704229266594451,-25.116057302150438,166.64052842073156,4.56360290513453
9,0.3069767441860465,965.2368438543633,789.5845733817642,963.1408486063661,792.6854249050305,1003.9236369521336,1026.695950929975,1009.9336173733531,1096.1819599086866,1072.1973055451692,1065.7050725861884,0.0,-990.004482132819,0.0,-975.1305717136868,0.0,-932.5762891185803,0.0,-921.478397318841,0.0,-1025.9406976993594,0.0,-1044.3939786930089,0.0,-901.069008853442,0.0,-979.0299893820065,0.0,-1027.3531648895002,0.0,-1036.4742820821941,0.0,-936.110177970484,0.0,-907.8214597900062,0.0,-906.0566329725324,0.0,-980.3109087509052,0.0,-968.9065532412964,0.0,-1003.2657275925084,0.0,-0.0,5,1,baseline,person0,5.209178920653532,-1.8299385806867352,13.371574888752953,3.438241961790167,-8.395125008279532,-7.48544664941698,-1.7635611656613337,9.341925456407385,18.77300121991323,7.587122308242206,4.481186149098992,-85.34156490558975,-99.0836581458802,-80.13238598493625,-100.91359672656696,-5.542106803971005,87.4815282817126,-12.008804451571857,69.18617923504063,-100.00391836770436,-94.28203284596012,-90.661992911297,-75.50643291476467,212.25242872445776,-16.90116580480954,0.21292426565563796,0.0,184.03047127238065,0.18403047127238065,0.0,-101.00459528271449,0.1010045952827145,0.0,-19.100876408871446,0.019100876408871446,0.0,-30.72975236436853,0.03072975236436853,0.0,115.90416678925426,0.11590416678925426,106.40586374413338,-344.48416533540694,0.36054340654901323,0.0,-66.3798927771578,0.0663798927771578,0.0,-148.38305311364508,0.14838305311364508,0.0,-0.0,0.0,0.0,-96.99151547264846,0.09699151547264846,0.0,-25.207788161242483,0.025207788161242483,11.763837497680628,-3.5557950194923924,0.012289489447999203,0.0,-56.97281374569168,0.05697281374569168,0.0,-162.01768842198746,0.16201768842198747,162.70643393869517,-63.29369372168905,0.1745837200599814,0.0,-103.90915624151634,0.10390915624151634,0.0,-66.6469220952308,0.0666469220952308,0.0,-121.79510876923223,0.12179510876923223,0.0,-82.84503676574992,0.08284503676574992,0.0,-64.35819886295602,0.06435819886295602,169.08709584619078,-7.148049829651361,0.1692381180410196,18.927115000442626,4.358837711381983,14.328967817221875,-3.299186632656111,-18.555600369492222,167.61391426664886,5.2091789206535
