Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Likert_Score,Nose_vel_X,Nose_vel_Y,Nose_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,960.3429027659715,559.767018670275,960.3313651658416,559.7762970185146,983.8870913387814,668.7804922339483,955.9139565566394,770.4253025920763,991.2763513224892,795.4649422001723,982.4359890183274,798.420875408215,942.6644165017718,785.1663533200502,963.2855448772381,558.3025692032031,982.4143580366316,667.3006977359267,957.3816032011679,764.5206038140475,992.7179413378026,789.5844185076072,989.7739673184865,786.634807049731,944.1262445918086,779.2673352917562,986.8460247130339,418.3518000848263,1004.5324873005065,349.1129452652262,1016.3067523497745,387.4218068251935,988.3042394817448,428.65177022159617,1063.3972350399097,430.0892042151533,1131.1062888065599,403.5625960950436,976.5294234933692,428.6573719157427,1045.700294779953,436.01299281332876,1119.2810592760472,412.4296509081609,5,1,trajectory,person0,27.582394642422376,24.39421374084492,2.4561291899233515,3.425931234020683,20.569363235382003,22.809534887054728,99.4622568804833,94.49359840405032,22.476588847135723,23.800982199968203,-11.963117899986246,-11.983699158868804,-105.3878375873988,-104.43982833749408,-77.80544295252693,-80.04561460419963,26.5337416908462,79.3850222905798,-79.29981332315965,75.66994598396316,-1.1527209484056982,-6.1213794224436375,21.32386646053151,17.679599563483443,3,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.19046524310673,27.582394634871875
1,0.0335443037974683,958.120067834728,564.260437360829,957.5864262599042,563.4604449353287,989.133465054922,668.9969150345385,955.8349465467791,770.531546718055,992.7155057013753,794.2188268228086,983.5114552086908,796.861926908764,942.991609447846,784.8145969355147,960.3123426725716,562.4704182315794,987.2227339520622,668.0656787685814,957.6670432014456,764.3397823023015,994.773645663354,790.2374501196109,990.6389458992426,786.7052399030484,942.3249574262678,778.5163320935976,988.194690268853,422.5293460970545,1005.7314115453289,354.8574191969272,1018.3847975711468,392.44779248894315,988.7560798838568,433.4317585325087,1061.7461078088718,443.9398805875593,1130.6589480340024,427.84419791733757,978.4391090630224,433.3927885257511,1047.9717377252437,447.2724928104155,1119.5731053999884,433.1487240377573,5,1,trajectory,person0,34.8096040209152,31.473482973968384,4.56926330467672,7.321996680127016,26.382108389226048,28.68842729544411,93.73123343482229,90.90358470647404,21.344989048110065,21.76665011079793,-10.762053203604305,-12.48292293216556,-108.0819883712545,-107.05218623052576,-73.2723843343071,-75.57870324052514,4.625656053749416,78.03918857235796,-57.22552230468662,75.46350822737682,-8.229578206435031,-11.057226929918356,13.115408916533426,10.70942023897829,3,61.94927263714103,149.83127073064932,0.1621330381786265,35.7415152230034,171.25035494504962,0.17494038978818374,9.754053864098665,-10.486322406908895,0.01432147074868282,-53.69874946329316,-22.388397228126845,0.058178999857044,-49.22228349132149,412.90695600757584,0.4158304792960013,156.40132965098306,6.451849527028589,0.1565343485593973,13.469959157300902,142.49776474041153,0.14313298975328165,-13.335819257377286,723.866620362728,0.7239894530658739,-81.83025417700219,109.82931525596922,0.13696229038778468,8.509343404506463,-5.390528086013797,0.010073068957468782,61.283261025874005,19.467734848412103,0.06430109471924632,67.71471421809004,335.660565950887,0.34242268916663127,8.706280675985699,617.6629348068361,0.6177242915390352,32.06106756177573,-46.474313757219775,0.05646037453298778,25.78615391688244,2.0996963819157184,0.025871498965490607,42.90309280452871,-37.14834521197581,0.05675099051278426,-2.3553927467795113,3.16727771785574,0.003947090464330277,143.34403672415763,22.805094935742574,0.14514677130203374,40.20550147535979,124.53816413812376,0.1308672482929912,56.930249057586295,141.1690234681743,0.15221611755893902,-66.26564512009037,133.95474586934512,0.1494490202848536,-88.63508459194364,124.24908424216169,0.15262376340411998,215.4526569437488,211.0423658176433,62.99531889264769,116.1468566952456,173.2856102466718,175.25754726896682,151.31157290666505,34.80960403694739
2,0.0670886075949367,956.2317377019945,569.3303185035174,955.1930462741334,567.909354986812,994.07392285372,669.9769479565401,955.7818881748376,771.3196812920821,994.030433301745,793.7238289521791,984.5571296627917,796.1877863024496,943.2449946800776,785.1664763666591,958.0679863901802,567.3220789576012,991.8685932408144,669.4415934726413,958.060205716164,764.6900639829429,996.757836132904,791.2618467774564,991.4696457994809,787.1405793376662,940.825298882184,778.3249883369176,989.3313421871655,427.33206849694847,1006.9160380945343,360.9986039487161,1020.1975145592073,397.9393639740673,988.7820808216036,438.8652248243994,1059.2519206229879,458.3817783094425,1129.023215211303,452.5585598482686,980.2466713742464,438.8013494618124,1049.3035979005747,459.3775842820355,1118.9860250130776,454.7522124824392,5,1,trajectory,person0,41.56842249875519,38.00245591045271,6.630694839468898,10.990792457588103,31.573003941604146,34.05747408194921,87.70198142172731,86.77748233628645,20.43815610240551,19.75994852812888,-9.6241244664792,-12.899952570736376,-110.61214386804257,-109.53064742008516,-69.04372130660596,-71.52819144695103,-10.770827900556917,76.89880485573987,-37.41527710716793,75.14566635773194,-15.399214024589051,-16.3237131023616,5.038940231406885,3.4362350660431873,3,54.03948756859307,163.7109989904945,0.17239941243270468,35.315282032918056,183.07682844955485,0.18645185507313217,7.553748432565195,10.489990588834615,0.012926678534578013,-44.7068018802321,-5.704210104798542,0.04506923726088573,-74.35501422068974,430.5320452938759,0.4369056078430294,147.28157211511106,29.216075787974006,0.1501513921651987,0.7751222950914817,161.97880643749536,0.16198066103547035,-48.763355846505654,736.7677707711498,0.7383797213632716,-71.34981844373398,132.62788455364927,0.15060196663101688,11.720693835002443,10.442359536103286,0.015697692080529277,59.15133852620765,30.538617347091716,0.06656942240183633,39.70451088723064,360.8687646256533,0.3630464343128016,-17.501641723001143,644.0285234452332,0.644266285377442,31.1729365562144,-20.09702184861891,0.037089651666221315,24.764261176912562,12.978043522565667,0.027958867024826802,39.19972846385361,-14.756540294236544,0.041885250304794425,-1.581740144670305,23.495332584205716,0.023548514924039275,138.49920143827512,41.01783457386274,0.14444546220691282,33.88509492328066,143.17549795910355,0.147130632003662,53.88581984403376,161.2363448863552,0.1700024720190131,-56.293615277718416,151.1398529329768,0.1612830625504043,-66.90722502223382,144.6344140964997,0.15936025383141678,201.48930556579555,194.63730640840035,61.45399669757805,109.37164770544355,154.74745231617703,160.05837589958568,145.9425261623458,41.568422561436606
3,0.100632911392405,954.972336584881,575.3024165870263,953.4939664000246,573.5542920798175,998.4129140907912,672.320947704518,955.7709882511278,773.3438739323286,995.0721512638996,794.6407216214415,985.4490886043462,797.1038409082303,943.3586448321072,786.8136851840625,956.9891714292083,573.2146925347075,996.0709955904824,671.9603490358081,958.5867460986084,766.1450536728539,998.5328307651027,793.037815209298,992.2302482418626,788.408337896269,939.8763803800044,779.3389483253409,990.0487912426125,433.16715830463943,1008.0022577879859,367.7619899784189,1021.5610740396111,404.1493523551681,988.1189831519545,445.3814066730047,1055.1845034101696,473.8149004544447,1125.094786972129,478.03986567791753,981.87383427607,445.3273328271389,1049.068771179842,472.8538555949723,1116.6230227754463,477.6712130698495,5,1,trajectory,person0,47.37270747314674,43.42680770400726,8.632204011892702,14.185622124560451,35.576190848929706,38.39660240106937,81.03982988528693,81.70043606160618,19.904404950184095,17.90103598843796,-8.644364744519747,-13.069610410993606,-112.82730268254356,-111.70181446554372,-65.45459507467972,-68.27500662681938,-17.001265848101664,76.1488027110605,-21.77133376125746,74.6547275884643,-22.8113677225203,-22.1507615367539,-2.9069632211439185,-4.249719417662211,3,40.64950903845258,185.12795551206077,0.1895382349214606,32.381643691575256,201.6254703194433,0.20420920921864627,3.3880611359760535,49.10547040560857,0.049222212282842494,-28.288513838561602,30.227486447334403,0.041399769952480125,-121.25507917458457,460.08175451138703,0.4757919871749744,129.35105952023795,69.87772833594303,0.1470190243349479,-19.76781732161517,194.25598718483778,0.19525919993387408,-117.11163429990594,759.6313813367049,0.7686058615440721,-50.651815114941,168.28303031979047,0.17574067448388175,15.696864231360601,43.37516434074248,0.046128043837606915,52.91493431837844,52.94396457188113,0.07485354806892529,-7.000494693538078,401.74544668754976,0.4018064345678565,-70.44421765014096,683.2456778888368,0.686867559398547,26.59047410672156,27.308797681764393,0.03811592507133692,22.674563376663276,37.79355703004694,0.044073674424827916,31.05498830574024,27.33378146102754,0.04137085819304303,-0.3249411219126608,60.343856067724374,0.06034473093696703,125.27916438632793,75.0874299962943,0.14605817735678128,21.388103917099787,173.95173388965443,0.17526168067317455,48.5078751864404,194.5481833436961,0.2005043879755146,-37.54441066111722,178.03613154611313,0.18195177082896308,-32.16089883651909,175.6665934307147,0.17858632495665738,173.03340112337102,161.70709120407932,59.66763193263425,95.24209195879845,119.34028893536595,129.35514611716738,141.6033977857402,47.372707607863845
4,0.1341772151898734,954.4911899957555,582.1551282069321,952.7201439205788,580.3756410155364,1001.9080623159815,676.3557014748593,955.8203090445124,776.9160275351992,995.7875656297952,797.4014117469771,986.085949349796,799.9970301947038,943.3214338261096,790.1173362985255,957.121079212674,580.091873727894,999.5054083550187,675.9779624054788,959.1597705482314,769.2162950079198,999.9979095718949,795.9413784336064,992.949631946388,791.0066798854604,939.5872933430785,782.1304058272809,990.2268895449637,440.0651224527698,1008.8300228755438,375.1211002031494,1022.3903972857833,411.0454669183266,986.7237224411328,453.0565379609584,1049.126228863606,490.303482608208,1118.1205237726688,504.30160772927,983.3317893189571,453.03425122751315,1047.1349751063058,487.6104279233836,1111.8967783624485,501.56188300151206,5,1,trajectory,person0,51.801949135150856,47.3261655815921,10.564508486194958,16.69736484919251,38.02928328730503,41.30657674411153,73.49992264701734,75.5722856642355,19.82414347267857,16.313177589021212,-7.911044558692669,-12.844696303167874,-114.60769498029283,-113.40920488354055,-62.80574562397621,-66.08303908078268,-15.42634481620343,75.88767755735992,-11.213841214816934,74.03505189999383,-30.612399946793115,-28.540036921993604,-10.788253243916063,-12.226841486767812,3,24.723221300983784,205.58228320359353,0.20706354782698946,24.676770534744477,219.38479537875838,0.2207682754550665,-1.1093092354009921,98.48620303493661,0.09849245024477005,-8.618066383831192,83.2170349634938,0.08366209402298912,-180.6051657277382,491.5464113763394,0.5236755679087017,104.19498482642642,120.28133881394943,0.1591357763981919,-41.594564586758054,228.80580065975198,0.2325558045259506,-207.91199726692824,782.8972158705076,0.8100342271937127,-23.068670141968973,203.35342110256133,0.20465770793262247,17.082615668007538,91.55776055479691,0.0931377435622658,43.67593424021518,86.55905461145791,0.09695389196409267,-57.6490150224054,439.91291092245,0.44367418014723026,-140.8955881610677,712.2124243778637,0.7260152231196308,18.985659958691354,86.24979382317301,0.08831467725472877,21.44577836132322,77.46000647023405,0.08037396351985945,21.327447134246658,82.29981883672129,0.08501835202955435,1.4703179914654199,106.4906168402918,0.10650076671095786,102.38438052768804,119.77036083169114,0.1575674481287043,5.309345617257664,205.63742177445238,0.20570595126278557,43.46356542946588,229.7534164639881,0.233828385566672,-14.343615298460351,204.28838414058615,0.20479131620896898,3.9323452429371177,205.0178544383923,0.20505556314723933,132.04154388616024,116.24500842611393,57.60454847919925,74.87836801733296,73.1299255213774,86.75017852842646,138.69342318133613,51.80194935631663
5,0.1677215189873417,954.7388755987458,589.6146481091786,952.9131519095034,588.0093568901843,1004.4329408256434,682.0594009094367,955.9498960371208,782.0432385499357,996.2313653624774,802.0885415996526,986.4520115137476,804.8451426883387,943.204920487038,795.0955500343489,958.1979373066564,587.6137035090281,1001.9633109494113,681.5705460789267,959.643265396021,774.1691048231844,1001.1837301823625,800.2146110157998,993.7459479177016,795.2345811076189,939.91553708715,786.9387616253325,989.9122195542395,447.71009141342336,1009.236818736857,382.8444869956053,1022.7087684080942,418.3781831162753,984.7883522248588,461.6365422174972,1041.0684234431517,507.5407199891785,1107.768468652517,530.930255345708,984.7130364006722,461.6266960638742,1043.7455544696563,503.00801932874896,1104.7659696973985,525.4664658850671,5,1,trajectory,person0,54.62883268212769,49.56100082759799,12.372938089279309,18.38727316878205,38.90096088842357,42.65869122555036,65.02529898874525,68.6277233001344,20.177393854298384,15.054497194809692,-7.495398791699434,-12.204156427230288,-115.88719619133896,-114.57709467393602,-61.25836322318749,-65.01609356031425,-9.190937573415788,76.082944892298,-4.89811611055139,73.43816895871936,-38.89175576507509,-35.289331455579855,-18.71435187965856,-20.23479969886387,3,9.491063646250181,218.59795458035717,0.21880389858467572,12.127121903299278,230.24436098264738,0.23056351153199658,-3.4734165232662426,148.40712646416662,0.1484477679444701,9.785379540247359,143.34343699852005,0.14367704960534014,-240.2138219682611,513.8648124893101,0.5672386850165223,75.26996311822214,170.03481333268454,0.1859500069720337,-57.69594229647003,255.78125896851634,0.2622076928638762,-308.6084356573596,793.8351553579653,0.8517120525395232,5.7538230660550695,227.57115248950376,0.22764387961304045,14.413619990706893,147.64980203995998,0.1483516649171012,35.3508785762064,127.39070716727745,0.1322046780136343,-101.04310577181181,459.02253623542055,0.47001212537126263,-212.578824354318,712.6271878493774,0.7436580298941011,10.912796585727872,144.52863660270188,0.14494004252640927,23.73923084293641,126.03931945302536,0.1282554526294925,13.230256181845544,139.72953145711892,0.14035448564211708,3.863159402286481,152.84893213743,0.15289774379015592,73.27332262528576,166.72230573674722,0.18211344551879366,-9.380728025358431,227.90662184589985,0.22809959741195454,41.17679979452432,256.15212908397035,0.2594406330465013,7.383834957071642,222.37814048206835,0.22250069299428216,32.102562047022296,224.2356802677729,0.22652199627218056,84.27313215515852,66.62339035262845,53.91167495987321,50.378398961348594,25.985860561647147,40.30831850327093,137.3413081154855,54.62883296815147
6,0.2012658227848101,955.4928792383548,597.2424731098859,953.9129487376008,595.8660521027006,1006.0044249538452,689.0263751576994,956.162015430166,788.4135403298347,996.4131960394936,808.3696762118477,986.5240207851068,811.1894185756569,943.1217287898204,801.3638566784091,959.7595970354585,595.2680399051819,1003.4239884689216,688.4462306492921,959.9488252512348,780.8443547170198,1002.1871742100024,805.754779033892,994.6989525165257,800.9679497737577,940.7201850013438,793.5203895506467,989.2875796122969,455.5915131969634,1009.1589701363928,390.5651005818046,1022.6525659823351,425.78184306174273,982.7307249722612,470.6339195622188,1031.43008345351,524.8653403686181,1094.1348767450424,557.0733818619934,986.0363551017424,470.55733272329843,1039.23071866798,518.1925596370746,1095.654347940386,548.2415051120591,5,1,trajectory,person0,55.88449794221233,50.301661629236825,13.99101522497956,19.185199794570693,38.49966960655127,42.633062057682025,55.78967059488102,61.268412634703864,20.79023822363199,14.196092691719944,-7.4651002135383715,-11.224098253429194,-116.66455754799888,-115.2151136861541,-60.78005934960091,-64.91345180073164,-1.3035000551388587,76.58687694875341,-0.4800787527427395,73.03211788794636,-47.623451110318925,-42.14470909410569,-26.8331929372148,-27.948563938004437,3,-1.6754685414976913,220.71288139317983,0.2207192406830755,-2.320769598744829,230.16168804141276,0.23017338815250354,-2.4800543698831503,186.8664999550018,0.18688295662020726,23.987617064644372,196.20702116974198,0.19766790566185397,-287.3316449742271,516.4698150851833,0.5910165345383483,46.84801740676876,207.69470400481075,0.21291272110090287,-61.34058602083451,268.22370197471787,0.2751483632413641,-406.4353813926318,779.3611301081288,0.8789729747672529,29.805263931959168,234.21846105237265,0.23610726641887908,9.1091428535451,198.99801570301702,0.19920639231024814,29.91399176737677,165.15972582236793,0.1678469002906471,-134.59321823865605,452.6712016444267,0.4722568699278473,-271.6294787939612,678.9539995971219,0.731273620007455,2.1466914858024704,189.13124343325688,0.1891434258094769,28.41032577626171,170.91929231131152,0.17326439650116487,5.420612635579373,187.24891862770423,0.18732736203926434,6.323559264366872,189.90710966491505,0.19001236197429902,43.54472605332556,204.9732381354232,0.20954753999696604,-18.62134166546245,234.95559279232455,0.23569235233629138,39.44987825831806,266.23407399792956,0.26914099474463404,22.4778443506073,227.3955377569327,0.2285037944508028,46.555139085042704,228.1858774702439,0.23288661544213493,37.4330398289383,22.08007672810121,48.23701649823383,23.787246580114275,-11.963023119966566,-0.7640393439995166,137.36693629835432,55.88449819839797
7,0.2348101265822784,956.4732425024483,604.4652202718526,955.4317428867096,603.2275218176782,1006.7638821723195,696.5237961443376,956.4152842315912,795.3924527923435,996.22486635937,815.5177382416364,986.2126656616352,818.2062850966456,943.1388212585791,808.1633577765571,961.3052632885514,602.4330282613935,1004.0411002042468,695.9408406401739,960.0826680692412,788.5723536345968,1003.0396384104689,812.0227599607335,995.712129897144,807.6060600900163,941.8001011901276,801.1190612128468,988.5698155730768,463.10652653697423,1008.7140306856113,397.8343092162197,1022.4326157722423,432.8280530584306,981.0652060151295,479.4160283412858,1020.9093473968977,541.2834053224474,1077.6691757122362,581.4786473110062,987.10296711279,479.1185874271581,1033.754625066141,532.355304143569,1085.0681242387905,568.9516137279927,5,1,trajectory,person0,55.83936125449857,49.95367509403523,15.350431788290257,19.106861969952707,37.336504864833465,41.61206911214395,46.143089203880805,53.85571294408688,21.34420418980597,13.793523991613236,-7.879469104054324,-10.05429416921056,-117.01484806450576,-115.40472615135288,-61.175486793555216,-65.45105104086568,6.304730149794014,77.21244113875453,4.3629601121754575,72.8613570338733,-56.64446678764856,-48.93184310822568,-35.30023166109332,-35.13825757649551,3,-6.557006263143881,210.0568263163556,0.21015914116029905,-13.264232683674946,216.70471023350711,0.21711027452903964,0.5095490686587419,202.7021082089399,0.20270274865576482,32.19372789204482,226.52643823162512,0.2288026733530299,-313.63703715938266,489.44420051037866,0.5813121506483069,22.640422739424604,223.5080218658181,0.22465178517027387,-49.651319854112764,261.8062617155839,0.26647283583274345,-490.86429494026095,727.5531964045329,0.8776567721186069,45.277259539470734,219.45513489933043,0.22407718863170323,3.9900311783050633,230.38185452399472,0.23041640402262795,25.413083712022758,186.85678989452538,0.1885769995345166,-163.24958284727552,422.2101192502095,0.4526718580794322,-315.5893103494498,617.3956908146248,0.6933787217987794,-9.281907454435776,209.18205855023132,0.20938788748469933,30.204155875037536,197.89083584317802,0.20018260149881956,-5.614356501798227,213.093169944644,0.21316711771749933,7.550277476448687,208.05059793893892,0.20818755484591625,18.396915883282677,223.42422236968102,0.22418035073465573,-21.39749399939113,224.0324731550396,0.22505199794140357,31.79711278217466,255.22231003959172,0.2571954197166579,29.2259237220346,215.3196323756111,0.21729403743263295,46.07835245069515,213.59776609083332,0.2185113732590705,-1.3455842752403149,-10.373938219217287,40.52600320813027,-2.3353540169135414,-34.67547720592713,-30.437148187738906,138.38792793230974,55.83936127095054
8,0.2683544303797468,957.527027266032,610.674164718102,957.1967376367284,609.4138016776614,1006.9297800967789,703.6112327162784,956.6239472407316,802.0537324438703,995.5819991364073,822.5251899933686,985.468507004094,824.8645563633312,943.2438892910856,814.4957397434557,962.5300106088382,608.5008613337787,1004.0795757536871,703.1123558611678,960.1221258794582,796.2515566339956,1003.6650332290291,818.1426821821768,996.5893905521061,814.180656437939,942.9531593372747,808.5619047832553,987.9381736490938,469.5902464414633,1008.1957683448659,404.17949925977143,1022.2625177286171,439.0114243725936,980.1359196986937,487.2339022240482,1010.1747581025567,555.509095402705,1059.0254362633775,602.6284397095068,987.5924278183727,486.53702108664396,1027.3040445242154,544.7952690121364,1073.235229820387,586.983407812518,5,1,trajectory,person0,54.9259124477246,48.99969550288858,16.341110015546533,18.297088386505106,35.88089972801568,40.003939573117165,36.46999415853403,46.57800002055598,21.45799397841095,13.722630722644238,-8.74363414305728,-8.940855810186102,-117.08514295895488,-115.28196585922036,-62.1592310862798,-66.28227093138129,12.802397609587365,77.83682513963055,10.549386295894172,72.7860415247927,-65.69317601681743,-55.58517026590064,-44.235144706600664,-41.862496242134135,3,-5.0708473382613235,184.33446559202935,0.18440419924130524,-15.450084875050559,189.1584956379565,0.18978841269861835,3.132216818116147,188.7766699566015,0.18880265332377968,34.37418627344049,221.88099700463286,0.22452786355757962,-320.0122846237536,424.0866099397587,0.5312789427789429,4.945636238601683,211.28584497484107,0.21134371910358998,-27.703252452241834,233.0611459389539,0.2347018703436575,-555.7944967772981,630.5032450873741,0.8405009605667559,52.61682462320153,184.4211731844048,0.1917803414120983,1.1762894366568268,228.92718375566298,0.22893020578145182,18.643845534435084,182.44296433736287,0.18339309750510277,-192.30032558947644,370.85178287427135,0.4177444913853974,-352.75421096372344,537.5515972367866,0.6429597600507045,-22.18435243235975,198.4918604030801,0.19972772501362693,26.152298770570788,195.99740056071673,0.19773447791809917,-19.164720986438336,208.90139184409247,0.20977864058308487,6.220519895130801,198.58154432853595,0.19867894859715762,1.147006945577361,213.79234055038728,0.21379541740398922,-18.830079997984253,193.28825375646693,0.19420329799711136,14.591470090954294,221.15330532052133,0.22163414776068904,31.414715593625512,185.0968344353597,0.1877437681357742,36.511335208552154,180.8901180069589,0.1845381055264272,-27.23111537175229,-28.439391585126653,29.533426397451212,-24.14042003485297,-43.39351162588867,-47.94046550306252,139.99605622591037,54.92591187267507
9,0.3018987341772152,958.7179587637036,615.3847507620507,959.0289314641624,613.9604518032264,1006.7139069388056,709.328672884029,956.6956172331754,807.3852529856659,994.5900508844128,828.3223293311752,984.413794347331,830.1731408422924,943.3967442491756,819.400817214861,963.4665566501748,613.0338228300229,1003.8105287585956,708.9506106032613,960.1439516485328,802.6300376595539,1003.9422559988956,823.1514143354475,997.2081782486733,819.5917663585694,944.0432502238332,814.5615295177593,987.5071655892124,474.3898698999745,1007.9505882085704,409.16020420237356,1022.2965828411708,443.781356948047,979.9108460991116,493.2553093348094,999.6286134798912,566.1326953880179,1038.8904027807257,618.9972014836846,987.321146796119,492.101215048264,1019.8553969193458,554.8847803372315,1060.0118832963333,601.844089946244,5,1,trajectory,person0,53.600950257981985,47.827746737837835,16.825557762454483,17.053963004590834,34.370608604771796,38.11324085247396,27.055136888773408,39.40707695826149,20.785948495531574,13.629925620285649,-9.92587309421664,-8.17761879751442,-117.03374745553184,-115.0031761830899,-63.43279882962289,-67.17543107732509,17.837221524119627,78.45395584581937,17.107654643885983,72.56476763926322,-74.49090124515894,-62.13896133605744,-53.7049243273127,-48.50906490116858,3,1.0155259968827126,142.19798998521404,0.1422016161964602,-7.309143685789969,148.48139262851734,0.14866118369743814,4.556808184570758,146.22683782680062,0.14629782158889593,32.49704907099033,178.85673736823222,0.1817850123094067,-314.39450007191346,316.7035467319635,0.44625669539859386,-6.435463954676752,170.44444273671124,0.17056589124482066,-6.709741270558187,179.50609877363442,0.17963145639015352,-600.251941558298,487.97440760756734,0.7735770264327029,54.62011787444564,135.54164525269536,0.14613314091754084,0.6506550026016598,190.15094378079363,0.1901520569771964,8.264376912998761,149.31692079561674,0.14954545383141737,-222.05402293762282,300.78165837076153,0.3738684195208895,-394.20542467934195,443.01656172240223,0.5930106160997115,-31.44237731482287,158.25591465582136,0.1613491791573738,18.446878501437347,161.31233348294487,0.16236365436931877,-29.571287512287235,172.8203802591391,0.17533209882405387,2.1365771332299723,158.93966898183228,0.15895402900807726,-8.020646268763938,174.04608476429794,0.17423079632587868,-12.84891952099232,143.0831144235415,0.14365887499906577,-8.087245569069582,165.8759709313132,0.16607299983230353,35.50324087398284,140.42879149884783,0.144847249177825,27.91967443984365,135.1335691333164,0.13798764338713687,-39.49887282628923,-34.937340543022145,14.442027171972844,-37.059209498576394,-45.023773108025125,-56.364226011627686,141.88675467544226,53.60094862590895
