Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,Head_vel_X,Head_vel_Y,Head_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,1017.3643576107095,832.6861846741332,1020.1099537138842,832.6901345538791,1033.8988527629124,966.0585721832464,1006.368889436237,1076.0689661912638,1032.496949578316,1099.427873324839,1025.62089052373,1111.8069890529646,992.6087640844574,1087.069308161433,1014.6067861853951,827.1870733290972,1029.7836830228193,964.6841671035702,1006.3766767401019,1071.9417453737155,1040.754969143047,1092.5407463847046,1026.9994944541595,1091.1671626469358,989.8775632534221,1084.3264060574975,1029.7476609476225,671.8015075444714,1037.988843985907,590.6586634368356,1062.7487354141288,627.7874252870304,1032.5135327528403,684.1792251363769,1110.9078163893398,675.8961971438757,1178.2813009468334,630.5217550494235,1018.7464138321496,674.545413554825,1090.2568428290551,662.1463735474748,1145.4027939028917,619.5207157019652,5,6,trajectory,person0,19.952278587570916,18.609374752284666,3.1298036454606133,-3.1749471740285373,10.702122911545588,100.42607413433872,104.25242291149954,27.93530216137104,27.842540857419717,-17.224623079495775,-9.180640936236625,-104.04794342883116,-102.30870046196274,-84.09566593594847,-83.69932680436631,-44.87267236239433,85.59861781981238,-34.99460134229312,84.20158309888788,6.02462551311376,9.8306536157516,33.9599249483244,37.647219453915504,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.69428375576086,19.952277492882686
1,0.0335877862595419,1019.6369383533377,811.2082083776628,1022.8175325974152,810.7962829542641,1032.7079175431325,944.0357316653664,1008.8441463943136,1059.7685801372172,1037.7381616904004,1084.8757831226615,1030.3744669678154,1094.387235973268,994.4950442532124,1072.1451469086453,1015.2464830093937,805.9267284100195,1027.9796194237122,941.5760966913892,1006.6550465528708,1053.3092723173295,1038.2122240869523,1073.171831961886,1026.441260545441,1070.7684145387113,990.6103754983892,1066.7991121272914,1030.5701947509144,650.497023025148,1037.2921120153126,568.3124271948935,1062.0314449600344,605.255201476156,1034.1296317912627,662.1667419185462,1111.6111895040583,643.6629387585098,1175.673270892156,597.2376035739754,1020.5212957311785,653.14871268008,1093.101195252209,632.7473697080604,1152.7441215784343,589.0745951285996,5,6,trajectory,person0,16.04495732433257,16.222349303620124,3.572262997365777,-4.850837804853277,9.229323110879978,106.96573382673348,110.63320563397195,22.955871801338585,20.621458424346542,-16.659153994572385,-7.310398764693428,-101.80605163715693,-100.88208680980236,-85.76108510311572,-84.65972829647359,-36.44919714734607,86.11103875950833,-35.10042300404617,85.30376661496126,13.076673209669195,14.895282710302316,36.03254404949022,35.38797591095814,-35.457389497998136,-655.6800245096125,0.6566380441391885,-53.7118935188745,-687.9902781808448,0.6900837560591752,84.68412896208044,-875.2885234007492,0.8793755744249042,56.15970502429756,-444.33298275344725,0.4478679627200313,-16.62014591865646,-607.3263641312344,0.6075537357462484,-21.35569306508363,-670.8457543692164,0.6711855866908146,156.04517879161048,-433.2554128375622,0.4605001092042782,73.6951503427353,-485.306948427301,0.4908704608915242,80.61200766876118,-651.8396726249057,0.6568053399509878,218.5713467036528,-906.4640443433871,0.9324432944084151,20.941335915484903,-959.6720110188521,0.9599004679042995,141.5269350398211,-518.6335576000548,0.53759709858839,-75.70445507918818,-576.6654066793742,0.5816134074963581,19.045519078138962,-632.9784509998178,0.6332649139397228,-77.64816753698514,-990.9599643826604,0.9939974290364815,21.817819111521402,-521.8353420129533,0.5222912419374454,48.11567591666744,-655.3716594399601,0.6571355493853646,67.66092665552338,-639.4579306449128,0.6430275624423561,24.489074598008653,-634.2926072798582,0.6347651742373296,8.287828516527227,-554.7395387242223,0.5548014454969293,52.84307472108656,-637.0381396799091,0.6392260804698271,-20.74361094269662,-665.3083972032778,0.6656317005552967,-116.33161033732372,-71.06825767614902,13.17322161354013,-49.89583469046396,-43.84926679254442,171.87212386262405,16.044966534041208
2,0.0671755725190839,1021.5080266085026,788.7862904830523,1025.269662475106,787.9969585382261,1031.964781288077,921.3578502564106,1011.7740127152359,1042.1619956363918,1042.9433312614235,1069.3731789240132,1035.0238776632414,1076.4941096463992,997.336433916217,1055.8449620496604,1015.2675855920359,783.4622551259959,1026.4339931794839,917.8424759833268,1007.3870974081236,1033.4007997817637,1036.3807442205657,1052.366462014345,1025.9349112006905,1049.1530265945837,991.9474486667716,1047.955604053232,1031.2290798154725,628.6650497732969,1036.786265799559,545.6231349943894,1061.4139950116823,582.3937265327527,1035.937883224343,639.8601596895659,1112.5317088378156,611.7576546849232,1173.308132148875,564.5669488894619,1021.2874043529545,631.3738245737087,1095.2234869032525,603.4310198594123,1158.7352094097425,558.9884609518972,5,6,trajectory,person0,12.521077008902076,14.165591884214562,4.312098275861104,-7.231349269947434,8.194563005916313,113.12350133818516,115.12619095589828,18.311537722984703,13.935144513324367,-16.8886386623279,-5.126566538866123,-99.6552160893859,-99.44129794531594,-87.13411092844737,-85.27567790906494,-28.818477108078586,86.52984513904816,-33.708520183774084,86.15235401913769,19.653232271164885,19.758702444817843,37.96477393590899,33.40024072845017,-22.125193048246885,-675.1823783120919,0.6755447935929897,-46.01750863497474,-706.6146165354937,0.7081114512579025,63.186410519704026,-872.8276886756578,0.8751118194798053,84.59591951217975,-485.3009583015983,0.49261901072386644,-15.075400945983125,-643.5490501547093,0.6437255996686093,-18.383168916843633,-680.6484585422342,0.6808966625085957,154.9720940463703,-461.55480682338725,0.48687697587264417,87.2301109183682,-524.1960385472987,0.5314043461240338,73.00659408579855,-678.7980678411325,0.6827128090821669,178.3710240684972,-895.746267533638,0.9133332349299944,27.406371073223973,-949.9073212817829,0.9503025982286566,138.42563661381993,-532.7271701863239,0.5504179273303784,-54.5281505674175,-619.4326052563342,0.6218280081010766,0.6282814377566268,-668.8286364107014,0.6688289315068264,-70.4166307658672,-972.694491743472,0.975240009513816,39.8083147859334,-561.0226267504056,0.5624331868337971,53.83657675762061,-664.127789090095,0.6663063088690342,55.707400324227976,-667.5616464077233,0.6698819793108888,19.616805331156023,-649.9973854528375,0.6502933339247183,21.79515046320992,-592.7295232179822,0.593130100633858,22.809143057423675,-648.297804985145,0.6486989293621279,-15.060421423568531,-675.5221086968259,0.6756899700540638,-104.91552757304427,-61.235277714120116,22.026913973383603,-70.87431861984874,-30.807630397781825,173.66395606749552,12.521105160938532
3,0.1007633587786259,1022.6928153342496,765.1972871736778,1027.217371818821,764.0828182563913,1032.0560258663895,897.7873311282393,1015.4697766799752,1022.7268468466259,1048.074291162207,1052.3350407599748,1039.6238894329078,1057.7899367674336,1001.7628913389116,1037.6140648320904,1014.4128332894451,759.3973291282537,1025.500426440963,893.3431455478385,1008.9700810203437,1011.8917077071333,1035.8537634026902,1029.868109794321,1025.8842340912931,1026.2490362071148,994.4235611999784,1027.4588053035725,1031.6283916371374,606.2523016278943,1036.7178812726934,522.6409110229015,1060.9780428583267,559.2147195301187,1037.9986462042361,617.2099626364954,1113.7147420870042,580.8532164649921,1171.3232928845055,533.1265364165147,1020.5271810765717,609.1980737523353,1095.8570207828445,574.6481565030805,1161.403951453541,529.8631058382908,5,6,trajectory,person0,9.731939674814416,12.693679853842063,5.360638770711898,-10.413693183741156,7.913838808713472,118.4788380751136,115.8960873424424,14.503795372489138,8.49525660518129,-18.088406129079154,-2.626916708980257,-97.67445811992802,-97.99623899544623,-87.94246280695658,-85.30250350344718,-22.940621693203923,86.78367753082426,-30.151667303600323,86.50873732544109,25.262440124793812,24.428993026050755,39.76624874062243,32.42323177368162,2.716599945221311,-701.7586376796459,0.7017638958177137,-27.794827896870824,-729.4118834202179,0.7299412634811422,18.862031415131295,-856.9443408362466,0.8571518999106137,131.78770963022708,-542.7835307958335,0.558553454660136,-1.5087957570632875,-681.9142592632761,0.6819159284334243,-12.979484565816795,-690.1022539420569,0.6902243026114783,152.76266977332338,-507.2718407929655,0.5297746254189202,110.03297258655496,-578.6373844225765,0.5890063477651443,57.988619096963305,-711.9891765728055,0.714346741786924,79.45572903126755,-867.1412545187349,0.8707738903781024,35.22212628266266,-920.109410638856,0.9207833218114102,136.95489586961656,-556.874237987386,0.5734680116943659,-15.689656168562705,-669.8373047325309,0.6700210296117796,-25.448307190771537,-716.4784785691437,0.7169302801469825,-59.09407809827499,-936.0668258991114,0.9379302813189915,73.72062314774749,-610.2455991375923,0.614682374518817,61.354534174086844,-674.3581395345981,0.677143470189504,35.27439160746779,-702.3089621654685,0.7031942555519168,11.888601963207105,-667.288637965396,0.6673945348999741,47.1297393638254,-640.3843322219493,0.6421162708480872,-22.63392027412456,-660.2325812727098,0.6606204324125926,-2.035993868045164,-684.2434864238461,0.6842465155077451,-83.04022517397347,-43.82283544972666,31.217910187603156,-94.74705743340397,-8.357924962175488,174.72614033778086,9.731995312971435
4,0.1343511450381679,1023.107495735996,741.1915729117234,1028.474576845589,739.794956114202,1033.199635748674,873.7853599871877,1020.0023339212465,1001.9156354617935,1053.2928772431158,1033.7285638284318,1044.463045604329,1038.2188743611384,1007.8135293302506,1017.9023681865509,1012.894340502155,734.4811067369063,1025.5572715485773,868.7007751296628,1011.7041058147929,989.6065785101365,1037.1885373727785,1006.7537153757771,1027.182614687708,1003.2010998102263,998.3533503742842,1006.0542431184724,1031.7759759549947,583.8408120030813,1037.346019181058,499.9691886769992,1060.855038220947,536.265823855094,1040.141774937903,594.5627012778281,1114.9717559289352,552.009265500336,1169.6876015327032,503.6717064275098,1018.4338444261796,587.1241723608535,1094.3372398794215,547.3527117617604,1158.2108754572025,502.61561845705137,5,6,trajectory,person0,7.921156725848515,11.90050054334834,6.357806744536354,-13.749845927445204,8.488340062536377,122.62998323918303,111.3195915986376,12.06380665555256,5.357739007956899,-19.67111361739639,-0.1941059026578365,-95.92558463670626,-96.56957720722816,-88.0043420553466,-84.6689908083687,-19.645398682481932,86.84251560768213,-24.864551949457656,86.2035261832185,29.472566512767145,29.176356813226665,41.53640028817456,33.85811148827556,34.048385131647585,-714.6041407904005,0.7154148241159527,1.6924338857854377,-733.6705738138685,0.7336725258675213,-45.24802235191455,-812.6598320711198,0.8139185378086802,180.1439947421378,-586.8709683103808,0.6138968905990805,38.6563313932669,-686.1999245437261,0.6872878933901,-3.662183521979515,-683.2512121427799,0.6832610266089576,155.37154013615012,-553.9655631891223,0.5753417772800102,134.94659059239635,-619.6065207756928,0.6341315501536499,37.430422387867566,-723.1158955970014,0.7240839971889915,-95.06658080007313,-811.2320106687212,0.8167833433161042,37.424730293854715,-858.7630855386242,0.8595781799937607,144.0748769218508,-582.6839034601472,0.6002317065197411,39.739861382171036,-688.1785610975569,0.6893250238726126,-45.20967162158843,-741.8238939242028,0.7432002448902979,-48.698992519568584,-876.9506201271893,0.8783017602247435,117.00054132592126,-637.2721923291138,0.6479235863792223,63.806787297808285,-674.2707359057777,0.6772830511715074,12.346166506540975,-714.715583708188,0.7148222110586262,4.393987645297777,-667.251168375117,0.6672656358792844,81.39937456200948,-663.4890738196763,0.6684636184993004,-62.32434118212932,-657.2002459736591,0.6601488368630399,18.701378635399955,-674.9990062075443,0.6752580247165056,-53.91194688966659,-23.615111289699488,29.68841012977359,-99.3263657784614,17.104469147909203,174.84685766302874,7.921242581359664
5,0.1679389312977099,1022.8732722126437,718.2091589600628,1028.979595485767,716.5329006913782,1035.429969617728,850.4552765961029,1025.2124965178807,980.8132368111028,1058.9880247245699,1014.0851725798774,1049.9407481895444,1018.1355164005803,1014.9266797880532,997.7738142258496,1011.2532178716516,710.367485186523,1026.9028029688968,845.2190271120589,1015.7273200245231,968.0254344873356,1040.9348070447595,984.8233791345859,1030.9283039065397,981.7261000897852,1003.6230779056798,985.0281658085997,1031.7301160764869,562.4572834009298,1038.8982719411188,478.60138132965193,1061.290006364833,514.5336358931593,1041.900452980093,572.6682128214821,1115.8799388444863,526.5093311056571,1168.1659149105053,477.20661058901396,1015.7208568257334,566.0715167464615,1090.3337781926368,522.9000462143847,1146.7124643638087,478.3719542300815,5,6,trajectory,person0,7.204857152217366,11.747176288043898,6.648696966907716,-16.24106333957349,9.798138553780856,125.25265207668424,100.52068018157246,11.334683356366696,5.9642942502991,-20.698583329495168,1.4648724580409929,-94.47009022076736,-95.21169923610556,-87.26513013043525,-83.46442000994696,-19.04555725036027,86.73696829138284,-18.982355414233584,85.12865543502491,31.989990574847827,34.27495627194726,43.324716940073806,39.581261172789965,66.40312201046873,-694.6002100527509,0.6977670287553452,40.060140014063144,-699.1156796150227,0.7002624852878536,-119.19397294745592,-728.0225424332301,0.7377154095435063,211.77788863003138,-599.2819474663318,0.6356010751026411,111.51938356066353,-639.3693098585866,0.6490221007783907,12.950187920242092,-647.0265052303301,0.6471560907831618,169.56007274328778,-584.8373303546845,0.6089214409471089,155.12075003615132,-628.2759598273832,0.64714227862874,15.035782241664524,-692.5748319067985,0.6927380259075929,-342.33905755331455,-721.8000031211484,0.7988687469366801,27.039082258458578,-759.2025922052122,0.7596839395304428,163.08614515073458,-597.9363392802538,0.61977815109279,111.53666523397955,-652.9259199081896,0.662384091429944,-48.86069649908243,-717.9282779773212,0.7195890354791805,-45.30476079725476,-787.9380806461252,0.7892394695421638,156.89416059382498,-626.003665362119,0.6453652970800714,52.36064171065971,-651.8586335866614,0.6539581905457117,-6.9734730816264605,-684.2491426517084,0.6842846765392443,-1.3653736555732392,-636.645965200417,0.6366474293132658,119.7820594260607,-642.5295152242982,0.6535992041723429,-80.77303992237358,-626.7949739739453,0.6319780244417522,46.2147980836307,-636.1779005687481,0.6378543162305721,-21.326191851291014,-4.564881237473158,8.660595256965527,-74.17033658836483,38.996273262051496,174.0020984218181,7.204960090332108
6,0.2015267175572519,1022.2508679582687,697.825884876813,1028.8089117332268,695.8070194002987,1038.6490656428512,829.1325061935064,1030.793885994571,960.7260418729429,1065.4892789388982,994.5127608164523,1056.3026832101707,998.3980438482868,1022.2465843822459,978.5157349054105,1010.1077201333048,688.9932494055103,1029.6453435264323,824.390224341983,1020.9324689201469,948.6342401207955,1047.3688799937481,965.9173857959426,1037.7394953585972,963.485419029406,1009.638123313397,965.6711339922103,1031.5281313905805,543.2580415911151,1041.5535469125864,459.6168846489518,1062.5303462788015,495.1532656958018,1042.6747829143417,552.5470190401644,1115.93874137683,505.57079402157547,1166.426106852896,454.8533218949256,1013.191511891697,547.1122747040097,1084.2805672425204,502.67898699291214,1125.6135632955957,458.19033766416425,5,6,trajectory,person0,7.587833153738069,12.128971743424865,5.453735566263023,-17.188098200152737,11.565747233514212,126.16794299622732,84.601897094556,12.34633081048688,12.10595900174462,-20.5347197763812,1.4822764649959892,-93.37096882212168,-94.00584779980667,-85.78305863198862,-81.87679901998688,-20.399367359694256,86.55651558644239,-13.649435478325913,83.19823946083692,32.72531970634743,39.499698946828005,45.07170390430384,51.42134503711473,95.84126802071545,-634.8370278954847,0.6420308408814883,81.65291205389546,-620.1302642908998,0.6254828077064808,-180.22059874210032,-602.0360813665686,0.6284321025203715,217.93352314528366,-573.3655434039853,0.6133865558303859,202.78774550444393,-543.0748224794723,0.579700899203965,36.92830198406022,-577.0064763304144,0.5781869708101931,193.5600686538665,-582.7240775019728,0.6140300079620008,166.1731866923699,-598.0505765679392,0.6207076768566195,-5.081720814263438,-617.0660111662283,0.6170869355471998,-628.1718272581592,-600.8617659398092,0.8692725155721654,1.750711758411207,-623.3973540942491,0.6233998123863783,189.41215629591983,-587.6383873523749,0.6174105921044518,191.5598991630719,-562.8829834914281,0.5945859467491454,-34.10459175532255,-636.3692925710633,0.637282511690218,-51.79883080609219,-665.5183679376305,0.6675311355549234,179.08430645703604,-576.3116290788649,0.6034950560118391,23.053913951493612,-599.062814852868,0.5995062460791584,-18.530672118891626,-606.8656602058493,0.6071485117714275,-6.013634966761304,-571.6137902467553,0.5716454224480197,154.9714784833429,-577.3287413674411,0.5977663713795106,-75.30549689972148,-564.4683426275421,0.5694694264769604,79.05477755960557,-565.2202420844807,0.5707219812807612,11.402240045275464,11.367091967024239,-35.577259882830596,-28.19581062179121,52.62653114660672,172.339574218431,7.587910190133059
7,0.2351145038167939,1021.4960481802242,681.2257195576819,1028.1239546771492,678.797377478995,1042.6940384410711,810.8821172500229,1036.413925885303,942.9074053915946,1072.7555981299877,976.5590369528277,1063.395147497666,980.2939261602887,1029.02430330055,961.4051649341312,1009.8878027140521,671.8828245476936,1033.6489208672806,807.2228994612406,1026.9782866748221,932.4408633258292,1056.1687319052555,951.1971160240979,1047.263789659288,949.4286971444642,1015.6445955145974,948.9886593878346,1031.2097673448698,527.2299044453601,1045.3149066873623,443.9391597525143,1064.6184169400624,479.0915721841722,1042.1793632947838,535.2203836026,1114.9148348537722,489.8856402606861,1164.3298080105703,437.4430490416933,1011.4220570033679,531.1679851331547,1078.1572541195048,487.57713177030047,1096.3836055730208,442.6125298288824,5,6,trajectory,person0,8.992158184183609,12.929718418714575,2.491402153360698,-16.634653386218822,13.51241242489197,125.5189645461646,68.74627303970736,14.714864687009143,25.67869501043813,-19.267690096640507,-0.5130478647917366,-92.66999925264824,-93.03214100760698,-83.67787713183587,-80.10245865226366,-22.657017452373367,86.38367749008272,-9.500103004812864,80.44540224227414,31.90412953241009,43.464923274100094,46.61903785291666,70.22724607899613,120.42987194700854,-543.3638526355317,0.5565497555547937,119.19741628434461,-511.11808167664697,0.5248330377040673,-182.30773161705574,-449.6234168550283,0.48517762313584395,201.79117688586993,-509.4283332358135,0.5479387792193608,283.56421667965753,-418.5069470289482,0.5055261909067014,62.167558323898376,-478.2004204598814,0.4822244782629379,216.3381395528934,-534.5313241215533,0.5766506109355546,167.32391492861197,-530.5094043310544,0.5562710855246096,-20.393039624129383,-506.423429929724,0.506833864739618,-870.2555594675725,-463.7938241868,0.9861285160353259,-30.48448966377074,-466.98980515375104,0.4679837414137364,211.16200492315284,-539.0089584381226,0.5788955429088355,261.99559100169563,-438.2625772981002,0.5106033454299932,-6.547541345934367,-509.42401281226523,0.5094660882997294,-62.41253371469545,-518.3513054030528,0.5220952022167384,178.82905871755483,-496.68276663027837,0.5278954469488388,-14.749993218655705,-515.8611914365764,0.5160720212628412,-22.473043391778816,-494.2321947286726,0.4947428624908189,-9.478565906387589,-477.2013559304331,0.47729548218423945,180.0004831505559,-482.1209909410433,0.5146268782724112,-52.681497811617426,-474.7049849504529,0.4776192656797726,111.98593874900891,-466.7686275984793,0.48001437706350486,41.81058613371944,23.84041237794364,-88.19674479322826,16.477561505759724,57.957531834201376,170.0615546219186,8.992122120812368
8,0.2687022900763359,1020.72324360981,668.9634245755374,1027.0809915144791,666.1867259930999,1047.3854012186364,796.3387045874143,1041.7858662420665,928.4272234781332,1080.2838603804314,961.7238818687084,1070.6355407955646,965.1972117377496,1034.804476508506,947.5285892330252,1010.6469713315096,659.7644526987489,1038.6153586596713,794.0360366392451,1033.375368718083,919.8996686900999,1066.321053653373,940.7441245397592,1058.337207546474,939.4404335266556,1021.1437446602738,935.7204127829121,1030.8644085519013,515.0265674170488,1049.7889127991468,432.184881348886,1067.2683602695583,466.9535850542987,1040.7071878648048,521.5025596093869,1113.0638349044564,479.3605891711437,1162.1047835766515,425.17170693942506,1010.6672858056955,518.8314329139166,1075.2567698979262,477.699026343263,1064.5480774582966,431.41909933807943,5,6,trajectory,person0,11.301675882178738,14.112286222444478,-1.3767394239279205,-15.140491101198377,15.524468596894,123.87082803224668,61.7000697330114,17.695810106374243,47.08096969073933,-17.47799329441718,-3.7444371203659506,-92.38086495944502,-92.3610639103536,-81.07947554932868,-78.24906415997152,-24.91041758154259,86.22472112758139,-6.61676767708642,77.20338501666873,30.09758174748712,43.831775993803866,47.79338333831119,94.35962757428348,139.67466451387003,-432.99705881857466,0.4549675426363933,147.8643979098173,-392.60887038213696,0.41953021973627885,-86.35532568790579,-294.0981388504343,0.306514204483175,172.091520509602,-413.1435038283835,0.44755228318812124,329.685850732131,-297.3778486211191,0.4439891271455802,78.89604003726652,-361.38098045759796,0.36989295501544334,224.1368988200309,-441.6830263680961,0.4952991471770783,159.93731516727942,-431.11450696896276,0.45982568751866126,-31.05185779767655,-375.45348742096866,0.3767353701064643,-947.8304961429261,-333.2589532489063,1.0047109929423,-55.10931667280839,-313.3594756204664,0.3181685052692638,215.56625500561762,-449.47036121650586,0.49849013622061095,302.26230659167777,-311.2140646473585,0.4338394818598829,22.60252020157576,-360.7969800481299,0.3615042665464867,-66.24504564622573,-365.3513216811673,0.3713084894354643,163.72466774627455,-395.0318875556451,0.42761660282828573,-43.830677574371975,-408.41703252520784,0.4107622192379981,-23.008499710061738,-365.0819642411232,0.36580627615319106,-10.282273154289031,-363.32662516108746,0.36347209204031716,190.4585790152725,-373.3855675637565,0.4191554036218851,-22.471597021607426,-367.2928047091352,0.3679795878357989,133.20336378267496,-349.9569251989337,0.3744502445154919,68.76064055394592,35.208268701958474,-115.16512423291115,44.48528621310873,59.90439966642408,167.30419667691007,11.301389410116343
9,0.3022900763358779,1019.9142628247837,661.0784780561233,1025.760282301914,658.1992302043444,1052.5606926939317,785.8750316885578,1046.674688692392,918.0777478042588,1087.3790270652344,950.9084412781392,1077.3281416820664,954.0897035072088,1039.3995958537037,937.6501323207484,1012.0873859120785,652.666159040146,1044.2727452388551,784.8309991982431,1039.6119535298585,911.199392343942,1076.5062743457986,933.9708327895836,1069.636974698279,932.8114257341073,1026.0188668631872,926.4744492388987,1030.5959857179344,507.0092781090462,1054.1953055374217,424.58427549011327,1069.9619211201402,458.9803371812472,1038.9114710210267,511.95256617617014,1111.0104557608308,473.3712274707078,1160.1843756395306,417.6685725692233,1010.8728888093923,510.41189399999564,1077.4843160126088,472.59321760090387,1037.925527740225,423.92768022415,5,6,trajectory,person0,14.416244959785008,15.793626079688975,-4.552204655294584,-13.12066500104495,17.678350830320696,121.99156614942854,68.59669365655402,20.518930534472705,72.41559239067354,-15.599753143007163,-6.723531578670235,-92.50961189517518,-92.08587842276482,-78.09407276747017,-76.29295817515582,-26.186111192075423,86.02737233860447,-4.834429370658711,74.0849180334061,28.02096297608025,39.506311833148104,48.53976423148645,118.84070253575943,154.08254165083977,-311.53207948868265,0.34755383207803314,168.4358276984266,-274.05906926619525,0.32168152184965065,66.32012295986726,-152.01385119296427,0.1658510466169225,136.80923505020203,-294.10860352460253,0.32437114153730334,336.4248856560032,-197.36364109632666,0.39004372897850115,80.1946525968741,-237.3853344022144,0.2505653194166832,211.24246266117777,-322.0051630373997,0.38511128658337385,145.553577498331,-308.1321166539892,0.3407803474912106,-39.321115192279315,-237.80953371067378,0.24103842935028555,-792.6259120607625,-223.03997816471667,0.8234091743051403,-61.134697230667264,-178.31963244479607,0.1885082027942883,199.25698093903102,-330.7008132274661,0.38609114509691206,303.2417978881309,-201.65936801659169,0.36417315757106156,42.88507046693683,-211.335561199311,0.2156428730479676,-57.17578176428112,-223.38877329464376,0.23058970934203124,145.14568376855516,-275.2775509694901,0.3111992923905863,-53.463387848848114,-284.3293499435009,0.2893121378020116,-24.085564281462602,-234.75636228255513,0.23598869472687617,-7.991679829468644,-238.69656803371382,0.23883031327193394,185.6801387142208,-259.03095485152204,0.31870699629004623,6.12136215551728,-250.67263584628412,0.25074736576236006,131.1903292531851,-226.29076534073255,0.261569136115203,92.72921571964113,50.05807302250658,-94.54226029750741,60.13573161820426,64.12694831338568,164.12144510607465,14.415539127705017
