Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,835.3854414914931,1062.404816781631,940.35991146291,933.5754660790524,1163.296220143773,1074.5477850433444,1152.2421662012734,1067.200615167618,0.0,-0.0,1080.6154908147828,970.1783213587544,1009.7511996003361,973.3228603952946,1161.098837852478,1063.8793634176252,0.0,-0.0,984.5587125334996,894.4821753642942,1041.1100760885076,779.0070906662316,1052.8922759024758,854.4282517896082,921.7345020280932,934.5367476765368,865.9676784506554,1071.9132889477144,955.5746267351162,1102.2787040655382,997.8718057242744,943.1620690064676,990.032243949825,1065.6626093034072,924.7070135544647,1097.7327300748545,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,142.912904333095,7.190816876679748,-53.185296554540386,94.2835262080837,81.12753839474811,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,9.02996348787414,-62.7813755691347,50.702802994515615,-6.504242596911291,63.90729553986277,-112.05955938906304,-93.65087917758204,-11.22770447687994,-36.769099032504705,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.49059312742793,43.01777994795429
1,0.0336538461538461,848.9502899485742,1064.5677881766844,939.3048320279208,948.9863914772828,1163.2962201435596,1074.5477850439217,1152.2421662012734,1067.200615167618,0.0,-0.0,1070.7302336516468,981.330010576654,1030.550137810054,983.7119514696684,1161.098837852478,1063.8793634176252,0.0,-0.0,987.3591455850911,894.8341745327291,1045.1886167729779,779.4598013426292,1055.7670928081877,854.8600369221356,927.2054367219891,936.0571846807646,865.8110419148398,1072.2768385290576,973.8221598094486,1098.1308060573347,1001.2079262597222,940.1574108086251,992.945688601628,1066.1696574683867,949.259729612045,1093.4898384090193,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,139.6056038350163,12.172788249775085,-42.486842547347386,99.0548139813332,77.13974979312589,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,8.61008862439157,-55.80887605404481,53.939229006484105,-2.8969201350724743,63.38215526668299,-114.33423781856266,-93.37603768774396,-9.517274940949504,-34.32016527963185,121.19092319568351,13.451974384386665,0.12193521017269889,0.0,-0.0,0.0,99.13043876759345,-89.28127216446507,0.1334091055721493,-4.6543427785191005,10.802616131341244,0.01176262819190792,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,618.0255925173295,308.7044204956792,0.6908357635791371,-31.350931782535397,457.9246404045616,0.45899657647228725,0.0,-0.0,0.0,83.21286781872229,10.459403862064693,0.08386763678419658,0.0,-0.0,0.0,0.0,-0.0,0.0,729.5664199966748,-126.07449521339039,0.7403795915137557,86.57092679643179,15.066574045108005,0.08787221984136893,542.2124113515943,-123.25182652947494,0.5560443433455305,0.0,-0.0,0.0,403.0697827246983,64.27115002444047,0.40816176997754167,-293.7333557046077,331.3644796175905,0.4428111364969564,-6.347176752439877e-09,1.715453176335102e-08,1.8291107477310722e-11,85.42313091257891,12.830186795096484,0.0863812768376612,162.5649166186253,45.17869955419668,0.168726011653891,0.0,0.0,0.0,0.0,-98.27407194291062,50.72701913939642,43.01777994795429
2,0.0673076923076923,862.651959765883,1066.667807519861,938.2401744759344,964.3734877507641,1163.2962201430928,1074.5477850451864,1152.2421662012734,1067.200615167618,0.0,-0.0,1060.923145658207,992.4529964219256,1051.4632276714194,994.1738948048888,1161.098837852478,1063.8793634176252,0.0,-0.0,989.6522597463164,895.042076855491,1048.5590986198772,779.6440582930319,1058.2266838906276,855.122968400893,932.300152633282,937.535836756121,867.9446140567758,1072.7309954847883,992.4236451960812,1094.0374016569128,1003.8044271927932,937.3020213217575,996.2303337965398,1066.4340678490992,974.2392380436625,1089.2243204754539,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,136.27374067401018,17.112391271694577,-31.80294210676269,102.9868269586124,73.52412943024467,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,8.16691321310646,-48.79554432627063,57.20287300850695,0.763152165501347,62.96128119511264,-115.66266328595992,-92.71807855695587,-7.754088959031056,-31.622476889813587,100.15146059358096,5.475063669105336,0.10030100388933481,0.0,-0.0,0.0,77.15317058268299,-84.84585903835104,0.11467969099590526,63.39757221752648,13.49494954171551,0.06481794370550437,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,621.4175273091429,310.86917338940674,0.6948376689636382,-31.635538687594945,457.21657498344143,0.45830972469242154,0.0,-0.0,0.0,68.13824936212131,6.17766901921104,0.06841772153941948,0.0,-0.0,0.0,0.0,-0.0,0.0,742.2482505394887,-126.7468185973697,0.7529921788793601,97.60088579166427,7.856765598309615,0.09791660570600001,552.7298514885086,-121.63258789825176,0.565954746570196,0.0,-0.0,0.0,407.1353317143181,62.400574768676215,0.4118895605154238,-291.41061466221635,330.5115794023557,0.4406336919220436,-1.3868779140986047e-08,3.7575022458570665e-08,4.0052782021022456e-11,73.0849921639275,7.812821083078335,0.07350140306740774,151.38584422127292,43.937090239160256,0.15763293351730664,0.0,0.0,0.0,0.0,-99.00393392703859,53.99066314141926,43.01777994795429
3,0.1009615384615384,876.5121102952636,1068.7033381682077,937.160765427368,979.8011051525192,1163.2962201423165,1074.547785047289,1152.2421662012734,1067.200615167618,0.0,-0.0,1051.1565653518596,1003.5875559820208,1072.5265576581749,1004.7522265834641,1161.098837852478,1063.8793634176252,0.0,-0.0,991.1347245637462,894.989477731969,1050.6789819261082,779.3275795104154,1059.9828799734785,855.0440559158604,936.8043845025707,938.8509731249076,875.3333040354945,1073.3120171593905,1012.091711316513,1090.0782666107386,1005.2045089095225,934.6766167751272,1000.4094054033869,1066.1676720082735,1000.2259511584047,1084.8986653069278,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,132.89348283860517,22.03028788997335,-21.086203458747818,104.94915800890948,70.53152265263441,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,7.68873554913267,-41.69452411537424,60.49776299806716,4.422383194290675,62.76172934769844,-114.8694217772389,-91.3570484500788,-5.960658434330297,-28.474702506009365,62.990818242293564,-9.40394096917379,0.06368891024805942,0.0,-0.0,0.0,41.60242815424003,-78.01202081415747,0.08841174933139397,219.54964508192649,17.264644045318263,0.22022741561760975,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,625.8818053207369,314.3275728490939,0.7003783672307042,-32.07386887168751,458.4206313664391,0.4595413020902505,0.0,-0.0,0.0,44.05038314648414,-1.562945384652438,0.044078101747097274,0.0,-0.0,0.0,0.0,-0.0,0.0,772.1766182666272,-128.53375357906543,0.7828011596866783,124.17812774631591,-7.915762127387807,0.12443016796837389,584.4225361499783,-117.64286994345821,0.5961455741750551,0.0,-0.0,0.0,411.84447287302135,60.484339265156414,0.41626220718724793,-290.20695767432215,330.8554840714019,0.44009706840958107,-2.306624732487507e-08,6.247548510275801e-08,6.659758257232198e-11,52.18411217614219,-2.344828126681675,0.05223676657830067,133.84003268743325,39.078337815375185,0.139428371704563,0.0,0.0,0.0,0.0,-100.44194710917787,57.28555313097947,43.01777994795429
4,0.1346153846153846,890.4213362575192,1070.703116291185,936.0682766917548,995.3312475184822,1163.2962201412975,1074.5477850500463,1152.2421662012734,1067.200615167618,0.0,-0.0,1041.3563098706811,1014.7749077874893,1093.5544152154466,1015.4284586015509,1161.098837852478,1063.8793634176252,0.0,-0.0,991.7659263667912,894.6203203694622,1051.2317343327124,778.3760831066909,1060.9335876251157,854.4943201758302,940.6637579386186,939.8728430852804,891.3494013082367,1074.0205300909445,1033.6366390243513,1086.4045637141908,1005.4463023379749,932.3778553836129,1006.1360746824129,1065.1803147126884,1027.697100475958,1080.5247667880694,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,129.45310931985955,26.96875545765367,-10.290081155848624,103.56120603654004,68.28274841497613,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,7.171867314170544,-34.479970941335374,63.79930669874887,7.890170316017426,62.9071205448344,-110.66589761271486,-89.07365330098374,-4.2401632390985,-24.755731886630652,16.424642939097385,-28.273035996384923,0.032697606336392876,0.0,-0.0,0.0,7.1847190168722035,-68.30605277642489,0.06868287292511246,475.9068903900538,21.05295568046318,0.4763723283982963,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,624.8277674160743,317.236608537438,0.7007487457930206,-32.462522429648835,461.4670874457587,0.46260748822102626,0.0,-0.0,0.0,18.755710719051084,-10.969247343061163,0.021727886962380445,0.0,-0.0,0.0,0.0,-0.0,0.0,816.2855797215868,-129.9672702746424,0.8265673832205388,170.16388714819715,-29.33861678310272,0.17267455783678765,640.1921376043379,-109.16145749742289,0.6494322111301326,0.0,-0.0,0.0,413.3027143070238,59.4219785113304,0.4175525178750026,-291.20759144073105,332.4241679339167,0.4419362948879268,-3.027774856231444e-08,8.193268286049701e-08,8.734819161677885e-11,28.249598791508138,-16.33500484660996,0.03263237985835463,114.67852495685226,30.364135965362845,0.11863028634881746,0.0,0.0,0.0,0.0,-102.22824169986956,60.587096831661185,43.01777994795429
5,0.1682692307692307,904.0544686331128,1072.7554568492917,934.977503823266,1011.0146568982448,1163.2962201403584,1074.547785052589,1152.2421662012734,1067.200615167618,0.0,-0.0,1031.3856402614558,1026.0569085487261,1114.0030571641169,1026.0696454177044,1161.098837852478,1063.8793634176252,0.0,-0.0,991.7159452719412,893.9397340936924,1050.162692598521,776.7879087491755,1061.1344374139776,853.4095370265743,943.9495415333824,940.5361541406344,918.5416681120064,1074.6363752704317,1057.7806435122263,1083.2228891201344,1004.9348259822724,930.5739378122686,1014.0456793023258,1063.4243482574616,1056.7537001696921,1076.194171802069,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,125.970442378909,32.00618987074425,0.6237632849070981,97.52558486956036,66.57908903622756,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,6.633520103437678,-27.178096315342327,67.03687631542297,10.802476231853811,63.48660525268268,-102.09989948103718,-85.69630826160898,-2.8120471023968454,-20.554988374759606,-31.76581153025948,-47.1914666233166,0.05688674102315557,0.0,-0.0,0.0,-15.198154569448393,-53.60212211994317,0.0557150912956099,807.9987850263022,18.29939961905176,0.8082059790860239,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,607.616789331917,316.1952653942712,0.6849654068168558,-32.41153666366721,466.0213072843734,0.4671470502442851,0.0,-0.0,0.0,-1.485152532685523,-20.223135051443247,0.020277595255706597,0.0,-0.0,0.0,0.0,-0.0,0.0,863.3961051852398,-128.68053672687626,0.8729327093088897,235.02825156312866,-52.17728895530738,0.2407503863248135,717.4218476397128,-94.54118793767886,0.7236243111500932,0.0,-0.0,0.0,405.09879058906785,60.983833726594646,0.4096633472898428,-296.27132553126404,335.2365940481818,0.4473927495177785,-2.7902505702773644e-08,7.55591145207292e-08,8.054644381752671e-11,5.96810801189056,-32.233556435034735,0.03278140438864939,97.6347125301256,19.70981421623315,0.0996042863900881,0.0,0.0,0.0,0.0,-103.48496053110229,63.824666448335286,43.01777994795429
6,0.2019230769230769,916.7962469031355,1075.0386112553122,933.9237941854158,1026.86480954048,1163.2962201402252,1074.5477850529492,1152.2421662012734,1067.200615167618,0.0,-0.0,1021.0306821904742,1037.4663829545568,1132.872308064157,1036.3687784837746,1161.098837852478,1063.8793634176252,0.0,-0.0,991.277493449247,892.9967068966611,1047.7424885909952,774.7000934970538,1060.7334708430772,851.8056155394386,946.8657766274649,940.7379046839832,956.215163605424,1074.57808470452,1084.6489108412595,1080.7240904048986,1004.0426945441054,929.412424446014,1024.585119941645,1060.8751225498613,1086.6188847420403,1072.1098128085748,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,122.51827688131766,37.26479571767738,11.664824016687938,86.54506406652214,64.60977193647075,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,6.129672585935863,-19.91364468417876,70.07927932170847,12.599715763493698,64.4911919672147,-89.42009709149072,-81.0607941559642,-2.024497925779567,-16.384914640881306,-71.9146333664823,-62.03793892018608,0.09497589356094688,0.0,-0.0,0.0,-26.509048448388143,-34.51354002585048,0.043519123322454153,1119.441008947264,-1.7320625299466816,1.119442348919084,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,560.6863124583404,306.03138253465755,0.6387678358168996,-31.31022923897824,470.9759642264238,0.47201556047868487,0.0,-0.0,0.0,-13.02828273148469,-28.021379568930637,0.03090200420486648,0.0,-0.0,0.0,0.0,-0.0,0.0,887.4226272926346,-121.36381009239355,0.895683032010267,313.1719504254816,-75.74842102583739,0.3222025664410634,798.3713720627011,-74.25001896700769,0.8018166330563871,0.0,-0.0,0.0,378.612840023533,67.84230235032182,0.3846430301186775,-307.6901826805967,339.0243823446809,0.4578326990749037,-3.958738099234838e-09,1.0701788661598179e-08,1.1410516548160509e-11,-11.914435249611426,-47.65938133203302,0.04912606636266861,86.65384279559606,5.994873288078945,0.08686096348178507,0.0,0.0,0.0,0.0,-102.57863192842818,66.86706945462079,43.01777994795429
7,0.235576923076923,927.7412651924199,1077.8339241185147,932.9683600965257,1042.8081672406756,1163.2962201421321,1074.5477850477869,1152.2421662012734,1067.200615167618,0.0,-0.0,1010.0227035655267,1049.0015572460877,1148.7495606306743,1045.8067102450877,1161.098837852478,1063.8793634176252,0.0,-0.0,990.7447440861886,891.8624651949924,1044.5540892916608,772.3449903744678,1059.9082685791377,849.8213890431568,949.7049231836204,940.2775061868039,998.7285675889874,1072.8793613668026,1113.5455777776285,1078.8973412579642,1002.8348184630604,928.8820184291208,1037.938854063697,1057.2019818101871,1115.5262652323088,1068.5504623463278,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,119.25242107730064,42.89695907775248,22.77489508044688,72.153755493542,60.899171224883695,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,5.773307225119489,-12.963081911447349,72.73685271076833,12.606841217902833,65.77548729047643,-74.67784061257493,-74.98936173216902,-2.279406929653501,-13.247743772861668,-94.74100775164594,-69.98020707112765,0.11778407333555475,0.0,-0.0,0.0,-35.891174979622946,-15.760635930542254,0.03919915925569082,1263.2554326544578,-50.476350606462304,1.2642634812813143,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,471.78121911936836,280.4414009075908,0.5488395922824533,-28.390041498451883,473.74548594866735,0.47459538547379787,0.0,-0.0,0.0,-15.830266788019873,-33.70318199243989,0.03723576000292473,0.0,-0.0,0.0,0.0,-0.0,0.0,858.9621631394061,-105.76355659248519,0.8654489745838397,396.7966710552597,-109.1447534074614,0.41153392977604114,858.6438175378183,-54.28054608033567,0.8603578226986128,0.0,-0.0,0.0,325.22340059587674,83.06072507801906,0.3356625453422416,-327.09422199844096,342.7594646626378,0.4737875902559958,5.666273799371484e-08,-1.5339450344851845e-07,1.6352534838722072e-10,-24.5202958427723,-58.95987303237109,0.06385539551369482,84.36321195433412,-13.680412487615941,0.08546522811695538,0.0,0.0,0.0,0.0,-97.04257246222026,69.52464284368065,43.01777994795429
8,0.2692307692307692,935.876706993218,1081.4891917146529,932.1947745221358,1058.6126942639848,1163.2962201477344,1074.5477850326206,1152.2421662012734,1067.200615167618,0.0,-0.0,998.1330043573722,1060.5810619669828,1160.168693294924,1053.6931111397114,1161.098837852478,1063.8793634176252,0.0,-0.0,990.2964517252065,890.6161246077118,1041.304736539819,769.9474501332373,1058.8435768424074,847.719389794463,952.6889091777591,939.0926604608012,1038.391499448626,1068.359719468006,1143.9348000884747,1077.1764516859198,1001.1005665505794,928.76203115233,1053.627774098293,1051.676912181449,1141.7782371347066,1065.605493920428,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,116.42703772470306,49.0299521293413,33.7727481611811,56.9493811058789,54.13607850644113,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,5.741535774464189,-6.787804569098577,74.80313369896804,10.342571129748366,67.10123732377087,-60.65970934588599,-67.46280133015397,-3.781768084169448,-12.113054277277724,-96.55219605473398,-71.24119573942076,0.11999014348426396,0.0,-0.0,0.0,-51.53205682800673,-3.5653362246392737,0.05165524661948329,1178.555689543546,-134.2979307071023,1.1861827209783795,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,339.3113705948461,234.3387694402489,0.4123673909000603,-22.98654278186767,469.6202315497564,0.4701824571694583,0.0,-0.0,0.0,-13.32068729775693,-37.034120307768724,0.039356915238048205,0.0,-0.0,0.0,0.0,-0.0,0.0,780.0585936712507,-87.5076332267353,0.7849515879551517,466.18505245657207,-164.17349753964635,0.4942483590547743,902.9940343794339,-51.13500442645591,0.9044407193412622,0.0,-0.0,0.0,241.7388420808594,108.6136657138242,0.26501810532563436,-353.2939193280194,344.07671170659603,0.4931585718336214,1.664649370728248e-07,-4.5065614732006155e-07,4.804180870783494e-10,-31.636554462842962,-62.459406246901615,0.07001463423453642,88.66701239726517,-35.206844429792554,0.09540105335980516,0.0,0.0,0.0,0.0,-83.95424819147087,71.59092383188036,43.01777994795429
9,0.3028846153846153,940.5914357206215,1086.2858341918907,931.6861626700173,1073.8139128776672,1163.2962201586263,1074.547785003133,1152.2421662012734,1067.200615167618,0.0,-0.0,985.3794457574097,1071.9837846697083,1166.1392971299208,1059.3620792718732,1161.098837852478,1063.8793634176252,0.0,-0.0,989.9460952552598,889.361150333629,1038.5530655686011,767.6374928731818,1057.7478193225718,845.8083848075521,955.868807021276,937.4498876604724,1070.6326442789718,1060.0629404806984,1176.1659787711271,1074.113866672329,998.4824759119159,928.647529632598,1069.9514302278467,1043.5910019927499,1164.5078860806618,1062.82752491582,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,6,2,trajectory,person0,0.0,0.0,0.0,0.0,114.36845374489208,55.64697018265653,44.297487761895795,42.948381571499176,44.44201287902883,0.0,0.0,-39.8055700808666,-66.03751026218045,3.2122098670876853,6.25105914499168,-1.995682893336376,76.16588203671019,5.854831760714798,68.24332750324108,-48.95565614616435,-58.907687082586975,-6.189932455603668,-13.0763343067697,-81.76393743047394,-68.63873001307638,0.10675493769349712,0.0,-0.0,0.0,-77.79469326314334,-3.402330872037299,0.07786905775254621,958.0225892445592,-246.53286133713485,0.9892349231713993,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,177.41222823990233,168.449338784236,0.24464316558181942,-15.11303789152055,451.69335309227455,0.451946113095414,0.0,-0.0,0.0,-10.410592249842837,-37.29066414417564,0.03871658641081616,0.0,-0.0,0.0,0.0,-0.0,0.0,675.3952829655271,-82.54536470834967,0.6804208443947899,485.0457821353099,-240.2670456070623,0.5412925862895229,957.7264522845288,-91.00252611812685,0.9620402367704742,0.0,-0.0,0.0,140.09479647141606,142.52880503791917,0.19985247625162084,-378.96288411316954,338.823760309554,0.5083447728517307,3.236466333029453e-07,-8.762072971941459e-07,9.34069789097475e-10,-32.559652017972,-56.784148182498136,0.06545663010225423,94.48839306449935,-48.81382035262617,0.10635245874604776,0.0,0.0,0.0,0.0,-61.16935254295483,72.95367216962251,43.01777994795429
