Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,Hip_vel_X,Hip_vel_Y,Hip_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,984.9088779619326,581.9182229900148,986.2716101250788,580.5617507180021,986.2706459602437,678.6474200362525,975.3628626288337,775.3686318015255,1003.97279322909,793.0785548427733,997.1588723818617,795.7998058090022,969.912261971597,791.7171142545689,982.1811703656984,577.8369049148612,983.543036820002,678.6512282726703,975.3621746107445,771.2851140140945,1008.0501498377434,790.354835452473,1001.2323904280802,787.6313906536974,965.831345839825,786.2685833650605,995.797383280725,449.7801846263381,1014.8706284818836,381.6720217489274,1027.135412862603,418.4403737630804,993.0761450995136,468.85265097894194,1001.2390547999854,536.9095503070236,1024.362901196292,595.4471467014272,986.2558979418966,466.1226573621242,987.5734282628716,530.1033181947793,1011.99240109825,587.2831546813436,6,3,baseline,person0,6.43384591646132,5.8207818575338335,-0.4828580324999847,4.144853973285005,5.484587756894196,4.710128894447201,11.60195036487624,6.010732996921586,14.725098077462768,21.99727986382303,-2.2937216334430848,-5.52972014808576,-96.43438559951552,-95.04686267814108,-90.00053968305284,-89.2260808206058,-33.703252513274634,85.28933142249214,-21.81334078828092,74.35539920859763,-83.10871821262515,-88.69993459001779,-68.38362031008016,-66.70265571675563,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.289871105545,6.433845916462687
1,0.0335429769392033,984.3064871364176,582.0033939416085,985.8269894830236,580.9196708960869,986.0266745545157,678.9589869637402,975.2002752169112,776.2204289508002,1006.2015689914323,793.9432520090766,999.2119397550651,796.600396500432,968.7945304934879,792.2384148523993,982.1779995482228,577.9207147085908,983.8927379223907,678.5705936354681,975.0423073451796,771.7933676627388,1008.9285495736265,790.6382577339151,1002.3935009849936,788.0977191386838,965.7754256858904,786.5521407744378,995.3167847012302,449.74421973363474,1013.8437920879231,381.7481761920177,1027.1213794920939,418.8459376166962,993.1173866664326,468.2950126011188,1006.232594779255,535.8774576690904,1032.368087628359,594.5519498111222,985.4395085516644,465.4301288337388,991.8490158523045,530.1250607012564,1019.2842858886621,586.0516352979005,6,3,baseline,person0,6.470437728200848,6.397882905644574,-0.0782982166858172,3.69924860555687,5.7363496566994145,4.87560667828474,15.54765963018778,10.062330316296457,12.962724831475152,20.860230680255135,-2.838288299992344,-5.497783970448981,-96.35278328157035,-95.41948548059942,-89.88234555337068,-89.02160257495595,-33.39032768236772,85.24204776832883,-21.14186582551832,74.75753824427817,-79.21029260146645,-84.69562066397528,-66.24756786579506,-63.83539123510094,-17.958776485667556,2.539158994386008,0.018137391798738245,-33.32236969112815,15.541274072822093,0.03676834945491555,-0.09452999599084842,2.4985794755661885,0.002500367036229409,26.18729212601184,8.44952676549502,0.027516699864880208,-1.6671195891761565,8.453555267059105,0.008616373040777519,-24.33860869629775,-20.646006752490266,0.03191591245907555,217.38931531416424,-36.714671618898215,0.2204678695974646,34.61560847797988,13.90241795866039,0.03730305048381534,-30.61255999494764,2.2703543346290247,0.030696633988908907,1.2295142137721349,-16.62459413885218,0.016669998064889693,-4.847137217937524,25.394202512750116,0.025852664475215694,148.86991063197357,-30.769261768381643,0.1520164391154555,-13.255252891270477,10.670495309152543,0.0170164978580841,-7.27339753326484,9.288589025729879,0.011797465734886142,61.20707106363073,23.86760998825072,0.06569602997700537,238.65462050600252,-26.688057292215703,0.24014220847426354,127.46595500996902,0.6481984743494176,0.12746760313062136,-14.327845151188278,-1.0722033637204313,0.014367907527876244,10.425464114961144,-2.4039201215907036,0.010699024907127342,-9.536042854656223,15.15231190020713,0.017903314476571053,66.44537741482877,25.778784270414754,0.07127084886725862,-0.41836985830562345,12.090872385920663,0.012098108463349034,1.0908933874846694,17.204824996801467,12.060939508959889,-13.284610025395049,7.5056516379431,4.933306430656638,175.12439332169953,6.47043772819967
2,0.0670859538784067,983.637114091508,582.0585593103459,985.1764735944362,581.2964688184048,985.776650730971,679.3858652898035,975.0633491065503,777.0853801768632,1008.5183232116249,794.6075082090684,1001.4514670678021,797.2747081399922,967.7852642801668,792.6970421381351,982.1591166927443,578.1384918172871,984.174513642594,678.573753369551,974.8328828540652,772.3251070799095,1009.9766350963049,790.8374122809992,1003.7969966029469,788.4634968304875,965.7608767497918,786.8365336478246,994.8221066078288,449.7747943278391,1012.895797082391,381.9408590033563,1027.00749651687,419.41779064138865,993.029584757169,467.7993774948837,1011.4405387195211,534.3947116965765,1041.443514983156,592.6020664564908,984.4970874826146,464.8631175767856,996.8908992386132,529.7500185775034,1028.0836085227431,583.9477251027117,6,3,baseline,person0,6.609922065130736,6.840944841126308,0.3488633817541018,3.45082185228335,5.98578851960592,5.182365420490963,19.939609195891094,14.866710266696266,11.607286499053552,19.64920954677056,-3.1823453019669,-5.338116437584635,-96.25937802333812,-95.68697770021872,-89.64945595821393,-88.84603285909891,-30.476146734683994,85.16817862127046,-20.078061629334467,75.0770330014625,-74.89221218280723,-79.96511004673538,-63.284925525285395,-60.31590156522954,-19.955683901365912,1.6446175554836648,0.020023338554672636,-30.088748984635007,13.672825955997256,0.03304964425048122,-0.5629451289550078,6.492480053008563,0.00651684006685205,31.246049644850725,5.9372949349408,0.03180514250169224,-0.4337401574375782,8.478462537843189,0.008489549901483845,-28.09592812104856,-16.90402309791687,0.032789131947613896,262.32980602853974,-62.72282269406425,0.2697240805298672,41.84171311023531,10.90474743689724,0.04323936253764334,-28.26210110242267,5.744356313032213,0.028839972055718668,-2.6175944199212897,-14.776121604633023,0.015006184399177088,-4.082109665136705,25.786358427003282,0.02610746828484305,155.26182871918397,-44.20436430557255,0.16143190911615024,-19.39350492851315,11.23328805909992,0.022411934187637192,-7.453835239425316,12.726310095760665,0.014748512753154417,66.76590801096907,20.102915754389063,0.06972670718137526,270.5611780148867,-58.13089750994916,0.2767355277049108,150.31114845432555,-11.180943314387951,0.15072642383821708,-14.74759065952993,0.9115050897190712,0.014775732529713653,8.400438658563287,0.09419957234752656,0.008400966802440955,-6.2434676413475945,15.852481374400353,0.017037665741358603,69.06823518948904,19.80313796225808,0.0718511335007514,-3.395136198861194,17.048368298642924,0.017383147340311843,4.158376794722305,13.208783951549178,12.734755153490068,-7.4062225819668,7.436396100400196,9.145245002023012,174.81763457948438,6.609922065124181
3,0.10062893081761,982.928928523182,582.0794103532027,984.2681574578536,581.6819672357833,985.4969802200824,680.0335482034724,974.9469601848449,777.9765201310357,1010.712781459665,795.0284416585582,1003.7349818799516,797.8420288515207,966.9620202779372,793.0839612401874,982.163869560064,578.5574361672927,984.3795617587294,678.7878123855662,974.8163457248212,772.9492507272082,1011.0940994866341,791.0440882626187,1005.3767105680417,788.7737503481238,965.8366746031593,787.1977263197873,994.3027659814674,449.9724413014427,1012.1552857997577,382.3129720547743,1026.746163999846,420.2086325686012,992.755650111388,467.4303978414267,1016.9884338747337,532.0327847502782,1052.2116416757192,588.5081504771804,983.4988386981432,464.511333197492,1003.2041994802628,528.5058092211201,1039.3468188030856,580.0404393991795,6,3,baseline,person0,6.862092028332236,7.0696448838435835,0.7136884640340643,3.4336329228594415,6.191878054843736,5.632414283796951,25.118711164150405,20.89722521195893,10.947566879411818,18.36799395643632,-3.25749579532326,-5.083631627840786,-96.14922580164288,-95.79731488610744,-89.28713377332595,-88.72767000227911,-23.21036512388265,85.08045194284699,-18.708726104871225,75.21362036416683,-69.80083689295718,-74.02232292703657,-58.853269342690545,-55.65432888871102,-21.112782255718006,0.6216217151672209,0.021121931448949655,-24.542961816468516,11.535025729932457,0.027118513847827933,0.14169485696893824,12.489778434540682,0.01249058216323038,33.31440713669341,6.1615277020345856,0.033879405934760846,2.2597235035162373,10.7680565328902,0.011002608409275638,-29.7602918870507,-10.487571807691008,0.031554146092454015,335.78445648271116,-116.48595503655599,0.3554155018231032,47.0952225843894,9.24943299453071,0.0479949164078186,-22.076492613505437,11.093620345400446,0.024707082759444565,-8.166676627344883,-11.000205918686897,0.013700333477296654,-3.4698447283389777,26.567109883769472,0.02679274435393029,165.3966243147756,-70.41494708651581,0.1797618093698432,-27.079174821868765,11.492671568095037,0.02941705642659427,-8.337677105866963,19.309046863754144,0.02103226450737894,68.07728533721041,16.913248712441334,0.07014680862942278,321.02477702204146,-122.04987013319192,0.3434429767247839,188.21526345417766,-37.092991437175776,0.19183554261628344,-15.482842423398857,5.89235040055681,0.016566176467451427,6.1129969622872204,6.381634414950845,0.008837080381382631,-0.4930131655863792,18.607282485095254,0.01861381270620219,65.42228651969886,12.549078462914414,0.06661497537141295,-7.790975663777481,23.576974955024813,0.024830889026038524,7.5178170279447105,6.818120023508797,10.8763477654714,-0.5124449584502725,6.144044269277381,13.417081737309797,174.36758571617293,6.862092028316937
4,0.1341719077568134,982.2673786631781,582.1154252069852,983.2392546926526,582.0383526636112,985.1715833385924,680.9536862448732,974.834244102074,778.879852326093,1012.308014698824,795.3350925459744,1005.5964630522685,798.433856667482,966.3935490486808,793.4516993353296,982.2341796373804,579.1263759771821,984.5146051202472,679.3478870151876,975.0181561625792,773.7421509200624,1011.865534000923,791.5109595109877,1006.715230451269,789.1998884664415,966.0720196700128,787.7593502622175,993.7583954045128,450.4400898438422,1011.7499633053824,382.8298553937503,1026.3438303675605,421.13171574959364,992.3173679299748,467.2400729247783,1022.861968349849,528.4662505742077,1064.6084784199159,581.4157356408974,982.7122920103328,464.3902926974098,1010.8482918674196,525.9199279999312,1053.1127147226814,573.5470959234357,6,3,baseline,person0,7.140499139120534,7.053360056075241,0.7984377088513959,3.517372681643573,6.296651341754756,6.100017842010356,31.25430613805896,28.173748928697,11.028775333270197,17.06216545909994,-3.1380291595825653,-4.944437720655294,-96.02663873188015,-95.74286614909046,-88.88613959278615,-88.6895060930417,-12.289192552312198,85.01384256517989,-17.71371130151585,75.0963431431295,-63.731851296711014,-66.81241131338518,-52.70307448983776,-49.75024304697416,-19.722455201369105,1.0736928283896552,0.019751659562167092,-16.947548522206596,10.96319196143114,0.020184424165572208,2.096119179994975,16.961518082326773,0.01709054742463918,22.99839145723628,13.918599091999956,0.026882213642185435,7.016224805570575,16.743413783697022,0.018154044057851114,-23.448923130348078,-3.608519908701017,0.023724953359373857,410.39577210294476,-193.5828023706123,0.45376094051122523,39.904624018710734,12.704242652346693,0.041878118384716986,-12.083676863567051,15.40958454322144,0.019582403895788556,-13.066287533380242,-5.674061577580054,0.014245098970914107,-3.3603482176095225,26.930591065146857,0.027139430267818062,175.10474653937447,-106.32730012410335,0.20485889537020285,-30.674163687553474,10.62474056712253,0.032462123005889236,-9.700894529418061,27.431615359260913,0.029096406580355116,55.49540744969364,17.64386676334752,0.05823269083916929,369.5806954363628,-211.44261730668603,0.4257908769017101,227.88950429211175,-77.0915839066927,0.24057584765671525,-16.229047825457677,13.941772170285118,0.021395209851018736,4.025980215249915,16.69722489558727,0.017175733926310194,6.016473675660993,23.638336999464684,0.024391984986675087,47.5578909424243,9.142029581092602,0.048428604107005765,-11.994571412514128,27.519417333336918,0.03001979469843632,8.300011990376127,-0.48549142784371024,2.526586861116695,2.4964915587519183,3.1235536160347817,13.940431079237113,173.89998215796604,7.140499139094004
5,0.1677148846960167,981.7146981525868,582.2469997683194,982.3285725809696,582.3274424507451,984.8511137736654,682.0833577441922,974.7539915360366,779.7517263561956,1012.9285977902915,795.6871469726294,1006.6140785211963,799.1285369456366,966.1628287387975,793.8671743856725,982.30936324744,579.6910380514018,984.537000172346,680.2826959118456,975.390557915607,774.6952525166582,1011.8595421885555,792.424742384696,1007.3588471366048,789.8634691148062,966.4863885746388,788.5523797454647,993.2213307256278,451.1800808538246,1011.7135168343174,383.37475082930376,1025.8541378606271,422.02059420753056,991.7865256202816,467.2161163648384,1028.9315499378342,523.4331734277885,1077.9002444137795,570.8005250223866,982.373636101862,464.41216459375863,1019.2937796469308,521.5792742270297,1068.400780404848,563.9134581004037,6,3,baseline,person0,7.3468555309549215,6.804899644458844,0.3656910568736131,3.5555069622666347,6.291529561434265,6.459857739545658,38.4193812420749,36.40860026869449,11.611741739623648,15.815568173394729,-2.9654603598740232,-5.16347160740127,-95.90277728751788,-95.52914957913322,-88.55592175659935,-88.7242499347107,-1.9560417704495028,84.98422050386256,-17.83288212495382,74.74907965312096,-56.59639825403374,-58.60718680203408,-44.9846540593693,-42.79161105402574,-16.476787722000417,3.9225666097782295,0.0169372684469489,-6.878349238394335,12.386349938344267,0.01416803984468003,2.2414113749032634,16.833988087677533,0.016982552219487353,-0.17863090620909325,27.242151922427144,0.02724273757105284,12.353372969162153,23.642191469307804,0.02667506403341212,-10.096179271286326,0.6520559098996483,0.010117213686958813,455.775458149598,-287.20282759914375,0.5387176741414926,19.187822431575274,19.78299807937242,0.027559744967508605,-1.0865604186233047,16.244695172437904,0.016280993052905163,-15.825736357729946,-0.7142049432088485,0.01584184395723173,-2.392529624989589,25.992744522433263,0.02610262373430949,180.94940109180928,-150.04861242762286,0.23506865347582914,-27.14971045454925,8.618489278930413,0.028484822892496615,-9.553998904387381,33.67833157344696,0.035007269425593165,30.337661167412122,20.710155792482794,0.03673260456403295,396.2607736920596,-316.46596656435327,0.5071225776481856,251.78110442667995,-129.40574060462595,0.2830893326279718,-16.01124073926014,22.060981985100312,0.027258883985912995,0.6676524906948239,27.868990231619364,0.027876986501026726,11.102227262140513,28.41434134851518,0.03050629843901347,18.501133414378426,10.495622594654908,0.021270872837428664,-14.598957862949467,26.499689027245303,0.030254968008987863,6.15199993156269,-7.407226021313837,-12.90125956208767,1.1368782410750249,-0.15269307580463284,10.727726945271211,173.5401422604619,7.346855530918532
6,0.20125786163522,981.2873170744055,582.5187791352723,981.7266073002412,582.5462876665155,984.6308185732314,683.2422920074846,974.7714878035084,780.5669462480205,1012.6423305382885,796.1304865115401,1006.7675634234274,799.8694803916525,966.316583471179,794.3576056906805,982.2304861358277,580.1004612621949,984.3900634626812,681.4507065983424,975.8251565713648,775.6812699852316,1011.0461584431032,793.6754088431277,1007.2171559341472,790.6741085297855,966.9631886277797,789.4338018234055,992.7489314264399,452.036204535636,1011.951669131925,383.82839124475186,1025.3782006270142,422.72836462111053,991.2482624640968,467.27284466809573,1034.9824694196789,516.7612972225843,1090.9022091015681,556.4623451967749,982.4478508429409,464.4255140306706,1027.5329646112996,515.2524101607033,1083.5149788986828,550.8667060165171,6,3,baseline,person0,7.436161563261387,6.412388258416263,-0.5936274905981201,3.5166902325257885,6.24419092610108,6.669252136531095,46.6102926065753,45.29237338230642,12.340685260159033,14.774567310408916,-2.859082319596467,-5.780158074289095,-95.7852289290179,-95.1865168346028,-88.34906736579296,-88.77412857622296,1.8375509457319583,84.98168049775407,-19.214007744389853,74.2828487976737,-48.40802689571232,-49.72596029223907,-36.06733840770554,-34.95137880958708,-12.741298393283314,8.102422377282881,0.015099335519372313,4.583812959121664,14.620983280555294,0.01532267905212692,-2.3515238899402724,12.205929471768405,0.01243038128436712,-24.24900291129543,37.285493791996565,0.044477209776525195,14.214601584262509,26.277395698611365,0.02987568280225102,2.212526968412513,0.3979800879390725,0.0022480355282665475,450.5920425974499,-388.956296500867,0.5952480066659716,-4.224168973269029,24.167187559069674,0.02453358021223117,7.099915372426488,13.524154885546436,0.015274539720196725,-16.0469703437585,1.6912125408586773,0.016135843859923234,0.521607474003879,24.30374302502897,0.02430933975622499,180.393037052491,-198.90530936765242,0.26852368594159975,-17.946089931716127,6.524322995152484,0.019095259474076764,-6.567550662938165,34.55072772440438,0.03516938310514111,4.575768647764815,22.089376484350254,0.02255832910889531,387.62107225469765,-427.4569860510527,0.5770351554105967,245.63070175024575,-188.61963497735707,0.3096963163185988,-14.083404107041211,25.523187264001557,0.0291509066643821,-4.380550656882254,34.82131859118428,0.03509577542221097,12.956472424779125,29.395645781841466,0.03212435475812014,-8.534342450338878,13.21706000377304,0.01573294874468843,-14.18887877708592,21.10040545485213,0.025427374841103686,2.66243608813651,-11.701745696394486,-28.59968419650109,-1.157223755398978,-1.4112830658705817,6.242570460128352,173.33074786354703,7.4361615632249425
7,0.2348008385744234,980.9859050066868,582.909213681836,981.4877521251489,582.7332417888404,984.567293517367,684.223144984596,974.9040139746385,781.3289212657419,1011.8581292675874,796.5888654665918,1006.3777283584981,800.5269528316315,966.7854145507084,794.8927021554533,981.8801898090665,580.3062047774299,984.0807845961195,682.6054037580776,976.1940003288823,776.5213309258341,1009.8161569231065,794.8942998125934,1006.5661421134222,791.3766462828557,967.3170184185286,790.1715906857768,992.3843490739937,452.78112934439827,1012.2989899036867,384.1049392911846,1025.026733297361,423.1667329201163,990.7834191705938,467.2895172369441,1040.745955886467,508.42608653318587,1102.3740693929178,538.519083117068,982.6627085663928,464.293460706739,1034.4730840640718,506.9383294290961,1096.4963187021226,534.4270091128416,6,3,baseline,person0,7.424021465326529,6.026669234667266,-1.777148515184906,3.4830475469707554,6.23807176328173,6.744247134467908,55.71376182366907,54.7528758171845,12.97587973048076,14.04838903586841,-2.8520582203443485,-6.5698616576100175,-95.68388363128804,-94.792706771815,-88.25986216597435,-88.76603753716053,-4.070436085349322,84.99589069975576,-21.277783800466416,73.83136120329225,-39.290347476760374,-40.25125437462362,-26.31446475615975,-26.20284444740221,-8.985847268861027,11.639829919431294,0.014704798254059289,13.977026558471449,15.95256335603542,0.021209468381940655,-10.443209241571608,6.133728547941826,0.012111285859192788,-36.66942031489969,36.33818702719619,0.05162470554544856,10.548550636702712,21.995330459444418,0.02439398455675588,6.405445880412075,-3.9368397197115517,0.007518540011570501,387.0061928900466,-490.1084639408258,0.6244838666944756,-19.408349530363015,20.944406763407564,0.02855437280284431,10.354500508145497,8.244588634275871,0.013235895229323034,-13.858140687559587,0.49705095879316785,0.013867051704375797,3.9509364768137365,22.716380215821026,0.023057402914325852,171.823940291128,-248.49346867768799,0.3021133403751615,-7.120869907441189,5.5735697718091,0.009042757778461481,-1.893840727956748,29.241679380135928,0.029302942611170203,-11.621957873207725,19.60089711687526,0.02278738845486564,342.004834935863,-534.9335007512601,0.634918228865344,206.90231118577344,-247.86353181103985,0.3228697830021524,-10.869111382301886,22.208070861226478,0.024725209677940875,-9.220376209368405,34.42440907460747,0.03563783491709624,10.996154520992127,25.04431679171578,0.027352024016758843,-23.379000382776876,13.665422597480019,0.02707990830238535,-10.478119765285644,13.068854914109998,0.01675070036093198,-0.3619266696829547,-11.499248395516938,-35.28372054549349,-1.0029725631094237,-0.18242754155187121,2.2357883759912194,173.25575286573013,7.424021465313686
8,0.2683438155136268,980.8339955132587,583.3389393056741,981.5693319947231,582.9219232947988,984.6736653307424,684.8893655332956,975.0869836292768,781.9999832261457,1010.9198071866696,796.9453617647807,1005.7477779750723,800.9743630617286,967.3833115883281,795.3879580121912,981.2949324916776,580.3433343325527,983.6922190621216,683.5131032589672,976.3943273205472,777.0828943159007,1008.5839200134219,795.7279841692396,1005.6951837679288,791.7611167482163,967.443130836372,790.5759222474347,992.1394513767991,453.24761760875396,1012.6270856578885,384.1532883747965,1024.8541562743753,423.26613354389417,990.4674140062444,467.1408479247844,1045.941635031868,498.5291878227381,1111.397128072929,517.4811073430194,982.7566546798496,463.9286118958954,1039.2421653588385,496.8139053916914,1105.4318836661241,514.9510420985564,6,3,baseline,person0,7.385337554918085,5.784948550475947,-2.8261707851639044,3.5574630541155674,6.294502437901933,6.711821235631665,65.51508748431277,64.97408282293219,13.416078099000217,13.643029078774225,-2.9074624479424283,-7.281186169590547,-95.63810125872617,-94.45503105201377,-88.2527637037553,-88.67008250148504,-17.092584209604443,85.03541506097207,-23.126892504701168,73.47958193495873,-29.44949745512697,-29.990525629450996,-16.033418896339395,-16.34747303776862,-4.528801772823029,12.811195160674528,0.013588111235282684,17.82480543403395,14.764815228999542,0.023145700626847808,-17.447983774653217,1.1069248620986438,0.017483060957706863,-36.73606286997385,24.85421488251192,0.04435392105116241,3.759726456957494,12.054134681928456,0.012626864454852463,2.800768507431173,-10.877055173274448,0.01123185797073105,266.3915304892944,-580.6272666133777,0.6388211567029939,-25.96544567501998,11.462025748559837,0.02838278357319913,9.7813546721407,1.4414070551797158,0.009886989102903402,-9.420903962165749,-4.432203868762026,0.010411429421487685,5.454782828906589,20.006034694537817,0.02073634683133905,154.89618452226318,-295.05129280522476,0.33323879330832634,2.432099861685464,5.625067396388407,0.006128335251201774,3.171209686252949,19.861700108106238,0.020113271789008666,-18.780395805879433,13.338417484766158,0.02303511770370209,268.99993689783656,-627.1946527638214,0.6824471397160153,142.1782361002327,-301.8343916151277,0.3336444976052322,-7.301012597610742,13.90718138110403,0.015707147383194613,-11.584109982315956,27.060791370272582,0.0294359989412252,5.972248439007866,16.741608566358167,0.017774960163285572,-27.97372703736247,10.628045889756631,0.029924651439835297,-5.144952497760461,2.9633810963783414,0.0059373532593727405,-1.1532640790517485,-7.206297897453707,-31.273976423748863,2.218512306754707,1.682339487114801,-0.9666971090554844,173.28817876472738,7.38533755497086
9,0.3018867924528301,980.8893323593144,583.6835005229489,981.9205976238244,583.0883816556966,984.9769513333224,685.185894111268,975.2288080993565,782.4416669051909,1009.9032225735644,797.0979569467698,1004.954704843175,801.1083412479982,967.8936874357996,795.6984518518133,980.6317542780922,580.2344765884237,983.3384864815172,684.0200491258613,976.3716082083648,777.2922099736496,1007.4809482008183,796.0312539423422,1004.6567596219583,791.7683638777916,967.3396858492864,790.5353477674779,992.0086299386384,453.3726102614753,1012.9065467262244,383.976541024889,1024.84069522176,422.929160878676,990.3520688653275,466.7243634006305,1050.311226367306,487.2451532951225,1117.457325893905,494.2264341735032,982.6224418638136,463.2732429539172,1041.2349068866058,485.2009434363746,1108.652491500675,493.1664323200845,6,3,baseline,person0,7.439993496093834,5.76386932237569,-3.608127567260973,3.770177306380877,6.36663448112183,6.592303908187314,75.76050358530088,76.20208629131551,13.580505207053998,13.590331790797052,-3.001683001902273,-7.879917018750305,-95.72230301176296,-94.2718482651103,-88.28230951549196,-88.50797894255744,-30.92972021687833,85.12538657683513,-24.156626035249,73.2310336223255,-19.114109838555557,-18.67254162729401,-5.5336106019045035,-5.082195341779396,1.649729723033512,10.27223129000092,0.010403861967285715,15.215579952747095,9.256597593734366,0.017810066600402373,-19.771000492515157,-3.2453214968441126,0.020035582649199725,-32.882347163246614,9.04123011062389,0.034102677268471535,-3.0839536774890957,-1.2096266837141123,0.0033126978429750755,-4.00121957807276,-19.538186582725316,0.019943683036323562,96.01437106754922,-649.4536790206927,0.6565126355562472,-30.958019851750393,0.21605505046477808,0.030958773763284018,8.331433099763231,-5.2692803691180785,0.009857894963135057,-3.438727013582779,-12.416444876337609,0.012883825008167194,4.228142014248048,13.167694681534423,0.013829872310283977,130.268441687746,-336.4052793545392,0.3607469734832979,10.47210656758134,4.96253988426212,0.01158843466848187,9.041713951916421,8.840258230800833,0.012645266180493076,-23.643492744686736,3.9942246781621527,0.023978502454233747,180.6696475378405,-693.2799438662034,0.7164346460833491,59.408606796559205,-346.21142829288243,0.35127159811477193,-3.9001141251685136,3.7263434592541134,0.005394119554261369,-10.545652559266832,15.113323656778503,0.01842887245208756,-0.6773135319388257,6.2402230466407,0.006276873209837297,-30.30692877819775,4.549243863052405,0.030646460671540376,-0.4013076310983996,-10.045997581817737,0.010054009907925576,1.6294302463020254,-0.6284244877388917,-23.312086566268874,6.341543645659548,2.1504365384931767,-3.563110324434712,173.4076960923271,7.439993496271001
