Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,929.809721737874,537.3147062261588,932.7463533352196,537.3106632378963,960.6265414279488,647.4515060041016,935.684398272825,753.1780088339493,973.8806570253819,770.8274741502969,965.0542722457252,775.2199043455784,923.9416324784064,767.872625133302,925.4089628732401,534.3813079355932,951.8150889561442,647.458909474267,935.6764670506736,745.8530950417264,970.925215023076,764.9742436899054,969.4687347625776,763.4929725999165,925.40590475995,760.5342296428348,953.3005482016996,396.32982233030475,963.5846410830252,328.78139788655056,981.2030197670764,364.0350277225114,960.6255101615076,405.1292055941989,1035.4961774843964,407.9989991667064,1101.5564647857918,382.97043489052163,940.1048852503086,402.20085101532936,1010.5525592110179,413.8847018059299,966.5343221411946,394.7287493261099,7,2,baseline,person0,27.478729235162533,22.45834645365483,3.748218610221355,9.883352449373389,22.60397619272098,23.664906028312146,97.1603981153508,89.91729196783436,22.936761092100035,166.1578265894169,-3.39252923836407,-5.566079284301169,-103.2737704829882,-99.31431753678513,-75.7950411157682,-76.85597102073541,-21.737533646382985,80.54005304272923,-8.196680851814449,81.34320225280604,-2.299549160787048,-9.542655296404629,20.637211933340577,156.61655156117843,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.33509415849744,27.478729367219998
1,0.0335470085470085,928.6932833643292,542.6886171431265,932.3213975123043,542.6917448641461,964.1583161120132,651.468632471596,933.7417260852396,755.2504910345143,972.996634486764,772.5941150236954,964.5760906979481,776.9667761765073,921.5806128539368,769.4849779788344,923.7975223544572,540.1231644100388,951.0712642763624,651.8216860634669,934.3077756976076,748.059549109992,970.8412965725668,767.1727563750694,967.8593753999183,765.0288386887319,923.689016272694,762.0265070230208,951.1010914828416,401.8430336555638,961.6475026108442,333.0085050701931,979.6433379808192,369.29537477682527,959.138366307006,410.7342540690464,1030.2438587916683,424.18446712913885,1097.575371547905,412.6539836017119,937.721443166639,408.6023444168332,1009.7658753796137,427.9475031997647,1010.8697174028456,419.1279275083441,7,2,baseline,person0,32.6886603850001,23.645121506218132,3.74575632393563,12.923000057565368,22.775819905435693,25.368760182435732,88.52857010250993,85.23025242445418,20.79991942905794,105.59591119957707,-3.898865948679419,-6.161081558926432,-106.35746568640197,-99.90686708457942,-73.66880507568045,-76.26174544368479,-17.680415486352846,80.96243466733145,-7.552859976091836,81.30337905662117,-10.508995381327688,-13.80731304626613,10.290924071561207,91.79019565155907,-118.6720786835035,884.8344456584122,0.8927569985627071,-47.97325998245139,45.782505067873025,0.0663134333573047,-14.25407416303784,52.07235776272533,0.0539880456510017,-33.27981903305534,160.19046555037517,0.16361091530860294,-71.04782771702976,190.82158674546417,0.20361893770316514,-48.03529699301644,171.15852420640363,0.17777128611145657,-57.74400031724327,126.0054880219549,0.13860646660343381,-156.56593300616692,482.4712742941663,0.5072390185081666,-2.5015181425689437,65.5352825896028,0.06558300738085054,-23.45019319089999,419.1968823130383,0.4198522808103605,-51.17858675387441,44.4831728615982,0.06780855705557136,-57.908954381525774,61.77845030983563,0.08467599376592201,-40.79920721241491,65.77200662091052,0.07739852817788376,-44.33014801953669,167.08042587443518,0.17286130490603344,-12.667472937855598,160.4042166296166,0.1609036282474459,-26.35175465434125,52.66165151277084,0.05888687895800825,-22.172608289038497,130.04964609844376,0.13192624836881253,-70.37943848737604,48.06249246555203,0.08522481178506405,-46.49242522091549,156.80524977190458,0.16355253577658707,1321.590126270872,727.3130821201031,1.5085041535506962,-65.5634232118187,164.34285988670345,0.17693823232696965,105.27837911733398,119.74619024123494,0.1594449346541405,155.3024062499353,35.37647927386154,-0.07339808800759491,90.60860386202856,5.1224750032156035,50.79004739680508,154.63123974301192,32.68866061072151
2,0.067094017094017,927.8540531062471,549.04146811592,932.0014370191943,548.9401136957139,967.104635453662,656.5076051464555,931.7418791811061,758.4610276150761,971.9757884951748,775.6766345053412,963.8673059981469,779.9988759131626,919.1857816738284,772.2572994211808,922.7758421924602,546.7324453180619,950.7123991936315,656.9849189197523,932.8308946739592,751.3444439816531,970.6422097431032,770.5268181081366,966.329040834638,767.8298541495479,921.7475805350475,764.7261888679482,948.8748128961402,408.1261307483678,959.9037933216413,338.2862598992581,978.213711886894,375.3670353630586,957.483055849596,417.3957566489942,1024.3086883742192,441.3978337293692,1091.9048046142584,443.5145289273326,935.484321246111,415.89348324533347,1007.546124591205,443.478168082998,1043.8746525997408,445.3376957296989,7,2,baseline,person0,37.25788434701549,24.996153104340248,4.052077209783969,15.494659052915782,22.72626518863387,26.58361415677194,79.53729982820391,79.50230861723536,18.688827699667083,56.85964936444098,-4.442704613662643,-6.7026271110096145,-109.1591198667398,-100.7547375927844,-71.90123521464395,-75.7585842666966,-14.599807236103365,81.51514996961996,-7.459124735112716,81.04878904033264,-18.94754984829239,-18.982541051765875,-0.2587220875530411,37.878187865628306,-169.0334601876871,919.9194402796506,0.9353203126562836,-45.61761634084257,83.4952379402515,0.09514421516476722,-21.12810442719442,90.38360998437145,0.09282022274533391,-25.01654527276853,189.37160861575492,0.19101684137034394,-66.68618208962278,217.34095361389458,0.22734145464364258,-30.455179351248084,197.015507321961,0.1993555318385882,-51.9780858182799,157.32415668805265,0.1656882967591236,-176.9210035265074,513.1118196756561,0.542756649871459,-5.934562814582811,99.98094847614288,0.10015692234683217,-66.16836745065575,462.952303525681,0.46765701982416474,-57.87209714767561,80.4745925749032,0.09912285144388587,-59.613270772895646,95.70261908935515,0.11275075765955977,-44.02422414442376,97.91915923168013,0.1073605796191395,-49.34301236101047,198.57217881627858,0.20461095539756163,-9.537675845572146,186.25710911934175,0.18650114733703274,-30.43031363463163,91.88656798791435,0.0967943457258721,-10.697379536177866,153.9103806841763,0.1542816878676439,-71.38732434972864,82.63990031962541,0.10920395232156656,-42.615605857132294,180.9896276660635,0.18593906309667896,983.8413803915299,781.2848106747808,1.2563239300283344,-66.36295404944417,187.2923209829476,0.19870192542939313,87.82658929246104,150.20631922510907,0.17399841413616965,136.20361874033165,40.272789039563776,9.131093922103355,76.65837005248382,-1.4771724498887089,36.21348152798383,153.4163851842639,37.25788465209585
3,0.1006410256410256,927.5024983744472,557.0010850109971,931.85479586979,556.6591832332273,968.901213489494,663.2752941376291,929.7454725893672,763.7158919837142,970.8104449640016,781.017778711759,962.8830961763042,785.2353681749688,916.9054324278557,777.1542930977159,922.7609985944828,554.8127097287577,950.9866421532081,663.5544375680647,931.2422929078632,756.6176270363746,970.3490604891276,775.9005512726451,965.0112822332371,772.8292501540091,919.5274815135945,769.6660982852153,946.7593480220642,415.6531777300692,958.5650379617772,345.2705916789804,977.0552351356272,382.7092143657938,955.6089856738874,425.74695617979893,1016.966406423424,460.11972144156886,1082.8789176587024,475.9245928119213,933.5875132424916,424.6447523316935,1002.8192132057501,461.0757396859691,1059.6287628385055,473.9410918226771,7,2,baseline,person0,40.51292710317016,26.5359894940684,4.956443889847157,17.256798436915854,22.335012741122856,26.948321084919236,69.82594596010654,71.99704598480294,16.647972756215985,25.06741196652157,-4.974916519536601,-7.010686019899032,-111.33078055775432,-101.96715129415809,-70.8178531566698,-75.43116151235675,-13.168456160710235,82.23382411444732,-8.168022580218816,80.4935159848026,-27.940228579396887,-25.769128565724145,-11.292255711811531,-0.7025973861783303,-269.051916891731,966.1089106998388,1.0028735520078012,-39.28095703538744,149.0265815342538,0.1541165649416102,-29.338229084227102,156.0941642372841,0.15882732697723909,-10.479465890593314,237.26756094879377,0.2374988730161507,-56.54179271935722,260.86585556792926,0.26692315172181386,-0.4424715830215377,240.86393275194956,0.2408643391659244,-39.90684766983282,208.19536770127573,0.21198553635381032,-218.86547471159923,558.0792005929576,0.5994618337769372,-8.738461838253862,160.1851669420368,0.16042334126786795,-140.9041100887188,524.5645547892011,0.5431592219424122,-66.17874790064148,147.25335078222847,0.16144093653807476,-59.510718785593824,156.64181684857465,0.16756546313605447,-47.35449850528157,157.18787704520668,0.16416600506397702,-55.864002689912894,248.94021531315906,0.25513137321133317,-4.371213880332742,230.09710468511375,0.23013862147683903,-34.737628827330155,159.2137253887577,0.16295923787472774,8.174885673998741,195.83023741466394,0.1960007924516291,-67.97474185447442,145.9740790202807,0.16102483434551823,-34.53293755368515,218.8624059414057,0.2215700262006289,469.61296762686766,852.6362657015137,0.9734089279191638,-63.05971726544976,224.37312021887007,0.23306613872107204,53.554045908877264,201.73748075600358,0.20872481159409165,97.02929999238114,45.90085543903016,26.958191482138307,52.527466988027534,-11.662811811156338,10.871518622479883,153.05167727111711,40.512927401084525
4,0.1341880341880341,927.7176769350513,566.6638674764588,931.9093958462042,566.0148763004266,969.1646033155936,671.9493081219118,927.9470171543284,771.4580848108493,969.575339812714,788.9216677480442,961.7023449177851,792.9629701238252,915.0951550783873,784.7038664817011,923.8234202822966,564.5215322049506,951.8803645060092,671.757687978824,929.6806139966301,764.3769787645944,970.0729866757044,783.5900086553119,964.0372598256672,780.3432668021414,917.2253812494404,777.4557341382459,945.0343725990984,424.4489115121482,957.8263764107984,354.0836628220648,976.3042540170288,391.331259924883,953.5814746287824,435.83982563444204,1007.6095572205701,480.07773766843184,1069.1315183992897,509.12825119512297,932.2578756407872,434.8767326129358,994.9581854790914,480.125091239877,1058.1739839978834,503.8899512806624,7,2,baseline,person0,41.905509567468116,28.08375263547067,6.6623245328408105,18.085483098706952,21.62438653495674,26.332417111333335,59.15527616234923,62.366457257710344,14.774656307535258,8.62177888970655,-5.377225689902458,-6.75587623404706,-112.53190572870416,-103.41817937640634,-70.62639607540804,-75.334426481427,-13.560553503725693,83.04118385771233,-9.573676976493024,79.68604972472825,-37.80353711022015,-34.592356063538304,-23.02888064226701,-25.97563111573264,-409.7950862041468,989.7651033973503,1.07124552394875,-29.034553295715483,223.98470008445474,0.22585869732424493,-35.196916495981014,230.3514466283299,0.23302491689643273,6.414239895712965,288.0370824099417,0.2881084922675333,-39.635057171823924,305.0042529695156,0.30756874367611875,31.669640120818638,289.4094852776001,0.291137109063801,-22.01870101006848,262.7081079594601,0.2636292343079768,-278.9175431169209,594.9268531319663,0.6570638906802623,-8.22946144471722,229.21439841324934,0.2293620815994176,-234.32872459084396,567.8405431355998,0.614290512377413,-68.62311615439975,232.2006101412982,0.2421285927368583,-53.61000914638169,230.78638491078135,0.2369311894640772,-46.551957353956546,231.2978731724069,0.23593598891979875,-60.437908860455245,300.8575098581516,0.306868020597573,1.6275661759142048,278.8830799649255,0.27888782917578175,-36.817147184877406,235.60637382047787,0.2384656489133554,26.640895612162094,244.53001224429065,0.2459769586916853,-53.96240761472601,225.04460787930464,0.23142389023419302,-22.385933981149574,257.0138421435507,0.25798690876398817,-43.365382000708664,892.7430717412195,0.8937956972921807,-51.41964955082748,262.1913000008262,0.26718581204108344,7.8513655168554,258.56296462702585,0.2586821420531303,41.51137536888169,46.137143323328914,50.85045483573446,24.702192466129567,-21.182997737945364,-18.359430550203957,153.66757993312035,41.90550965329612
5,0.1677350427350427,928.4627563078965,577.5686622863145,932.1972965148439,576.6820730131391,967.8459627406124,682.1674676949759,926.5384187177248,781.4783921811404,968.2321196899468,798.9739011743383,960.3064107755624,802.7723245998114,914.0847151188533,794.7409314462861,925.6480739753296,575.4879535563264,953.0280739060804,681.3521174971854,928.3337941793616,774.4538884821735,969.82292057292,793.163352716114,963.3670430217792,789.9142450073655,915.1846385473996,787.9212693659953,944.0150790458443,434.1237392552365,957.8436363561344,364.3688610624215,976.0909267435873,400.889818045366,951.5716395373701,447.19905700958054,995.9268630648004,500.2118836319125,1049.749396721481,541.2169367413735,931.7057252450668,446.0474709275318,983.6924995815815,499.0210613692302,1042.6412136959075,532.8429491945184,7,2,baseline,person0,41.23957487053358,29.25671182940022,9.094915320548443,18.070997461071517,20.689310384497087,24.836884769291014,47.42161177730935,50.4665262386873,13.087971241714758,3.0020332794886593,-5.527801441045929,-5.678941726187813,-112.60903466812704,-104.77374601684822,-71.36946028163868,-75.51703416593543,-15.430066860069283,83.79365074809785,-11.361816369703591,78.74229184017305,-48.7847327895751,-45.73981843627761,-35.69676137347839,-42.74964501900968,-577.7600602047501,956.5289704232634,1.1174767820526674,-19.97843721143883,285.30049681814546,0.2859991458695148,-41.611285258613535,292.4062353351293,0.2953521720315202,22.210009330671607,325.0601255421959,0.3258180009330005,-16.45900542657075,332.98761345419797,0.3333941354816462,54.39095084964526,326.8971460155336,0.331391188186152,0.5145002813557266,306.59062270617306,0.30659105440618856,-348.24846273249824,600.1770898668116,0.6938944667574047,-7.4541997517909655,285.3710204111745,0.2854683596906224,-335.81789809137985,563.2684089514188,0.6557781341285902,-60.83233022643901,311.9662730309975,0.317841985756491,-41.988794161176415,298.69451269402833,0.30163134908134587,-40.14724041284364,300.38176737752093,0.3030528123704015,-59.91100782044577,338.6063874882045,0.34386569253979615,8.582007192568827,317.97758353817915,0.31809337383892955,-40.0399374175196,299.6461938538629,0.3023095070941462,34.21197447345813,285.9995550696235,0.28803854724219663,-30.120121086745407,299.19403843476283,0.30070632572192846,-6.35905502997854,284.93026754051215,0.28500121919315036,-463.01506377864285,863.0575174321385,0.9794137163028027,-30.384037128846213,288.3961390933327,0.28999228051137493,-39.30724771281567,304.59227262382285,0.30711807544477393,-19.85079223983197,34.96464348783623,72.51289736606182,-0.4318011728269717,-27.873607542364173,-44.58019975005128,155.1631110297365,41.23957438648836
6,0.2012820512820513,929.6433992473325,588.8118913510592,932.7677119842388,587.9101090984198,965.2261993866738,693.1640363665499,925.5677616352108,792.8860240932465,966.5756782996294,810.1652776205786,958.526168413854,813.7060988313345,913.9357084271425,806.3073376201746,927.7351552107178,586.8837330713721,953.8427780282423,691.645502088567,927.316492351588,785.9246985976013,969.3903311019606,803.5685580789236,962.7328892779,800.4383576760265,913.6910441123955,799.9252453645896,943.9398881611044,443.9973380071446,958.7074845967928,375.34322092644453,976.5210504894536,410.7509880766732,949.8780345207291,458.92674823646166,982.0738535070216,518.794965778109,1024.5236183045952,569.454584710708,932.0489856153532,457.24923514593866,969.1958414952096,515.7811838520635,1016.9377220814359,557.9556904774988,7,2,baseline,person0,38.756832699224816,29.61296599179787,11.773965898497472,17.401134908917577,19.603085362682645,22.709007245172945,34.63273795548016,36.286117629768334,11.395431219877349,3.6183164944365753,-5.37359195818893,-3.886492447894057,-111.6981475594862,-105.66020274051164,-72.9413164084198,-76.04723731780122,-18.093740574376852,84.34967187432352,-13.217638205887404,77.7926315231775,-61.017584149954146,-59.36420465699903,-49.622152835849214,-55.76648316369479,-751.9531400702214,841.7337101686953,1.1286935650103722,-18.903436441749573,313.7124031167713,0.3142814213067755,-53.06709715156492,325.9239707231081,0.33021591647286025,35.193687621403775,335.14848422296353,0.33699124933051744,10.232219955034806,333.9124620518742,0.3340692003743424,62.21363173004471,339.6958479644215,0.3453459209217752,25.75038067694882,327.1337844817045,0.32814569181132036,-412.9432148433418,553.9415569694244,0.6909220992433694,-12.895023720317385,310.1679050824748,0.3104358403599666,-432.1296805364325,499.6011033099351,0.6605583420327259,-44.52243283961186,357.8255265823031,0.36058473969354315,-28.93423659977979,340.04915508698184,0.34127791889160114,-30.324665948919947,341.9324289184819,0.3432744839206757,-50.48453170623981,349.58977669938713,0.3532162226092195,17.00346749534013,334.6955979561366,0.3351272313586005,-49.376724246403896,333.6028138114954,0.33723715435914337,24.285447717946784,306.83464896602516,0.3077942247297129,-4.441728135073726,344.7820439095417,0.3448106534770453,12.821523125188683,293.9508009332336,0.29423029215996654,-766.1932532211908,748.5836255054039,1.0711813785052868,-2.2413588572163623,294.3212876364951,0.2943298218759548,-78.09230889447694,327.79580498704456,0.3369695809350971,-74.00785580716561,10.619550828159255,79.85959684586904,-19.96787735083081,-32.37919173306741,-63.429724922755106,157.2909882827433,38.75683115106641
7,0.2348290598290598,931.1436468468286,599.2739423705341,933.6379466781253,598.6447094541728,961.7502145467004,703.8932808505057,924.9470639436505,804.3390699683275,964.5613205149156,821.1242357854987,956.3904442636352,824.4989072005188,914.4124477425421,817.9082507340877,929.7479252261708,597.5949283431577,953.8572650952868,701.6018776542619,926.652046994828,797.3286162484243,968.4979644661877,813.443642933237,961.8336702238016,810.5508219639028,912.8218282780396,811.7109671865377,944.8731827970856,453.2244760962933,960.4001208069259,385.84306609893946,977.6479288688308,420.0004567152048,948.8479282126544,469.8288618441237,966.6635451194576,533.7418111455139,994.2241728856228,590.8134150339231,933.2497984035892,467.43376042082116,952.4935047564194,528.5974081126933,984.8182787791594,576.589490089825,7,2,baseline,person0,34.979417903992506,28.85363518436412,14.063262284492511,16.308566324234135,18.36917783872341,20.234337784029854,20.858946647944887,20.256965027296868,9.42770857011414,6.4590348152213455,-4.878077510207612,-1.79462521913749,-110.11807150929458,-105.8574487392215,-75.13865671931538,-77.00381518268159,-20.78108918401063,84.62700329091703,-14.958839922497493,76.95667858341099,-74.51404474138704,-75.11602660229502,-65.0863363328073,-68.68528582124691,-903.1936596228707,636.6836045391503,1.105045157028399,-26.804746325990525,301.44161061949666,0.3026310278845792,-63.66362435047093,321.7219310049873,0.3279604518154829,44.7207564690583,311.8624125550465,0.3150525518446388,35.79492897416952,303.58967061433236,0.30569259893557227,59.99849472815227,319.2891329423942,0.324877468878268,50.45565263326541,312.9890153329714,0.31702980396447233,-459.3646067120983,445.5492759200947,0.6399453095169003,-26.60048315552543,294.365586740044,0.29556502560505665,-497.87857285056464,382.03776776909206,0.6275634862750586,-25.91038283303095,351.3196059026552,0.352273776245339,-18.50232609236946,341.4028961489118,0.3419038952245104,-19.80639662189118,339.9384369799485,0.34051495456663,-30.70635364197055,324.9802018080148,0.32642765158785764,25.940753932415415,319.98681315238343,0.3210365762744184,-60.04582441057752,326.6746765084465,0.3321473246934921,0.4318437819647532,296.78877482453447,0.2967890890024434,14.211082777520037,345.8106584274734,0.34610253734370716,33.591024302453974,275.71664476641996,0.27775533318901413,-957.4458258258247,555.4533897177479,1.106901521157249,27.820502524791166,275.0509952688918,0.27645439110120834,-103.61534427436513,319.82716041345793,0.33619273059843363,-112.60064485151103,-22.634829164267284,68.24144641055283,-32.56828647336631,-36.78144721101419,-73.76721705827819,159.7656600102324,34.9794147899792
8,0.2683760683760683,932.8466047220755,607.8015475059642,934.7739574107972,607.6353616258775,957.871359480056,713.1317335971647,924.5668685456012,814.3698084957616,962.6454638648212,830.3604263354941,954.4482416043256,833.7659962002805,915.1186170750963,827.9756824815336,931.6745191120953,606.3696741804968,952.951906235588,710.040234930066,926.3160872337808,807.0784861228921,967.1268791967558,821.4405767351308,960.6317045495656,818.9538579636863,912.4475118708685,821.5364820828048,946.6643082489586,460.8948063600223,962.7613342971208,394.5015023998813,979.4443683262479,427.57757104324503,948.6544824903124,478.6216898253727,950.605894279902,543.1012067861633,960.7349898882161,602.6394768090371,935.1114121162766,475.5620238592672,935.7010185055356,536.1143178490772,949.7556488464134,586.7317788555749,7,2,baseline,person0,30.473056504725964,26.92455536717259,15.568628787656584,15.129767423208795,16.925356520071517,17.651003358042573,6.277420917844585,3.5969962722001925,7.085153028184677,7.838691153331354,-3.9461564172079022,0.1988338721520672,-108.1920535483558,-105.36919924609484,-77.71900191545707,-78.44464700750483,-22.699857838256825,84.62999945266549,-16.57138256147851,76.32691357558869,-89.09257948382783,-91.77300435543889,-82.00742713116927,-83.96276398408129,-998.2762829800247,352.5220962263293,1.0586913457132914,-35.82929525748162,250.48540432476125,0.2530349307474897,-57.89495825203012,276.2418886553138,0.2822435247066956,50.76333029398679,254.19867537460306,0.2592178278296831,55.49268901513853,242.2947317957162,0.24856825137190977,57.42967761863887,261.5656720939322,0.2677961327004766,70.38521741473073,258.0986107541895,0.2675237778287409,-478.6611842619118,278.99344967031243,0.5540341815068426,-40.870567267140835,238.37993753415978,0.2418582185651912,-500.5658321919511,224.07093991259248,0.5484286083633249,-11.157966787008307,292.88795996516126,0.29310042189559177,-11.333213139305277,299.0054541935767,0.29922015867512675,-10.014596698730834,290.63306377394156,0.2908055534298927,-5.7664075194950275,262.10468122449197,0.2621681051834366,33.86324986563009,268.0016061374396,0.2701325241130904,-57.10961224485273,275.3208393247028,0.28118156478904555,-26.987767282740712,251.53829331696681,0.25298192146420223,21.050143161484524,300.0992393506153,0.3008366034676247,53.54991503638037,225.86557360017952,0.2321267988366308,-1045.1790323901366,302.3306460108909,1.0880271270815562,53.39151028513116,228.6442397086095,0.2347953187830953,-115.62446950252188,275.3882729577375,0.29867661245967175,-134.32975381253144,-57.50378053793862,44.8733454446361,-35.13871883311209,-43.03875013561059,-77.00640199758274,162.34900136812257,30.47305163289873
9,0.3019230769230769,934.6699445100778,613.3030889803993,936.1370799059115,613.580358980863,953.984467228258,719.6565109183396,924.3952939632688,821.6047645390158,961.6110775413428,836.5633981830797,953.4969870252772,840.1846251582277,915.7151062092797,835.1861838351498,933.6785206231808,611.9846791352986,951.2840377472812,715.8995132697912,926.260986699686,813.8380267670066,965.6311775123135,826.5326398313872,959.4649412858024,824.5874317063202,912.3857659242012,828.0994698393849,948.9959226663412,466.100964626038,965.5188110331626,400.0562956651813,981.7735152519048,432.5384896209504,949.1403774690287,484.1569493637347,934.9335401598004,545.5365858284476,926.776088933684,603.2798252125071,937.3747057923932,480.7046850158136,921.2245354971997,537.5085548220582,915.1332792486138,587.210016437699,7,2,baseline,person0,25.695482959596823,23.9703601930947,16.16349107739182,14.170956988974469,15.177584043194171,15.09424635026806,-8.722494254384205,-12.199822644726726,4.477950071840056,5.439736079506685,-2.586921316680781,1.814677584649394,-106.15668755230362,-104.348227075166,-80.4612105383966,-80.37787160125036,-22.98064007506592,84.44456154065433,-18.20031477388143,75.93693241936055,-104.2779451973591,-107.75527363134374,-99.79999660462856,-102.32577165685086,-1012.2780666701252,19.088092536559365,1.0124580186546457,-34.77994951854608,167.93073321991315,0.17149453649691074,-28.355868980551968,191.33237912862032,0.19342216679755278,54.35178476337756,163.9949942697833,0.1727671110266962,67.46633378487874,153.2971605900447,0.1674864939012774,59.737115107519585,167.37721776097143,0.1777179111591533,82.19739569856966,165.58237249429294,0.18486193210195012,-467.1759062552604,72.5960122158665,0.4727827285075779,-44.58524766363183,151.78888720050983,0.1582014873090531,-431.5282833058092,41.56069448121436,0.4335250288260409,-1.840579811487215,195.63555860379026,0.19564421669004045,-5.114452517934318,215.66620562057383,0.21572684086903474,-1.6424872583655858,201.49458735322318,0.2015012816262953,14.484003187215794,165.00009324544135,0.16563458913926046,40.63320558684592,177.21393389383647,0.18181263917118612,-30.833936266744885,184.90387418280494,0.18745712660102376,-49.71735366417717,174.65874286569078,0.1815970586622822,17.780695210056823,214.93723780206304,0.21567143834113392,69.42934784760983,147.8796111061215,0.16336711334733847,-1032.0553485203952,14.255744486245954,1.0321538008748559,69.50290110414394,155.18994066849405,0.1700428503248023,-115.86404928926348,194.49654689871488,0.22639210382261318,-142.41429421149263,-88.06135932920073,17.732200738604508,-28.581100842144213,-52.099205043222724,-76.21415793875607,164.90577207905093,25.695477013907023
